Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length,1-SPFP(masked),1-SPFN(masked),TC(masked),Compression(masked),Average Terminal Gap length
BPMAP,0.760625984925,0.676917558089,0.718771771507,0.326054438912,0.760625984925,1.41546207307,0.696315055224,0.835412116276,12.4779706275,790.954606142,1233.58611482,669.344459279,0.325558130756,0.378251486583,34.7186554361,9.46929238985,0.760625984925,0.676917558089,0.326054438912,1.41546207307,140.866382666
BPPD,0.81659834245,0.679353434061,0.747975888256,0.347617353956,0.81659834245,1.59137351465,0.696128765122,0.835313089004,12.4939759036,773.951807229,1339.12985274,653.977242303,0.322794919423,0.377995003307,34.4155044894,9.48795180723,0.81659834245,0.679353434061,0.347617353956,1.59137351465,137.023506701
Clustal,0.719502249396,0.705066147119,0.712284198258,0.35979323936,0.719502249396,1.0277455555,0.696315055224,0.835412116276,12.4779706275,790.954606142,811.280373832,669.344459279,0.325558130756,0.378251486583,34.7186554361,9.46929238985,0.719502249396,0.705066147119,0.35979323936,1.0277455555,140.866382666
ContrAlign,0.725623349156,0.728963921662,0.727293635409,0.372998015514,0.725623349156,1.03561864795,0.696315055224,0.835412116276,12.4779706275,790.954606142,825.572763685,669.344459279,0.325558130756,0.378251486583,34.7186554361,9.46929238985,0.725623349156,0.728963921662,0.372998015514,1.03561864795,140.866382666
DefaultContrAlign,0.73863578647,0.74016764988,0.739401718175,0.388174262098,0.73863578647,1.03927321368,0.696315055224,0.835412116276,12.4779706275,790.954606142,827.929238985,669.344459279,0.325558130756,0.378251486583,34.7186554361,9.46929238985,0.73863578647,0.74016764988,0.388174262098,1.03927321368,140.866382666
DefaultProbCons,0.740123395942,0.72891986007,0.734521628006,0.376567061846,0.740123395942,1.11013657627,0.696315055224,0.835412116276,12.4779706275,790.954606142,902.06141522,669.344459279,0.325558130756,0.378251486583,34.7186554361,9.46929238985,0.740123395942,0.72891986007,0.376567061846,1.11013657627,140.866382666
DiAlign,0.701447734131,0.65453482537,0.67799127975,0.301558508418,0.701447734131,1.17770782319,0.696315055224,0.835412116276,12.4779706275,790.954606142,954.166889186,669.344459279,0.325558130756,0.378251486583,34.7186554361,9.46929238985,0.701447734131,0.65453482537,0.301558508418,1.17770782319,140.866382666
EINSI,0.717993913981,0.70998375354,0.713988833761,0.355248313595,0.717993913981,1.03648308623,0.696315055224,0.835412116276,12.4779706275,790.954606142,814.651535381,669.344459279,0.325558130756,0.378251486583,34.7186554361,9.46929238985,0.717993913981,0.70998375354,0.355248313595,1.03648308623,140.866382666
GINSI,0.722428386478,0.720138523516,0.721283454997,0.367783850068,0.722428386478,1.01925061327,0.696315055224,0.835412116276,12.4779706275,790.954606142,802.94259012,669.344459279,0.325558130756,0.378251486583,34.7186554361,9.46929238985,0.722428386478,0.720138523516,0.367783850068,1.01925061327,140.866382666
KAlign,0.687204893623,0.685767106824,0.686486000223,0.334898159648,0.687204893623,1.03058575727,0.696315055224,0.835412116276,12.4779706275,790.954606142,802.615487316,669.344459279,0.325558130756,0.378251486583,34.7186554361,9.46929238985,0.687204893623,0.685767106824,0.334898159648,1.03058575727,140.866382666
