Statistics,BALBS032,BALBS126,BALBS046,BALBS029,BALBS002,BALBS116,BALBS098,BALBS049,BALBS015,BALBS086,BALBS004,BALBS117,BALBS105,BALBS109,BALBS065,BALBS067,BALBS060,BALBS136,BALBS082,BALBS048,BALBS066,BALBS057,BALBS052,BALBS114,BALBS013,BALBS146,BALBS125,BALBS159,BALBS134,BALBS122,BALBS056,BALBS058,BALBS045,BALBS130,BALBS078,BALBS081,BALBS021,BALBS152,BALBS026,BALBS087,BALBS101,BALBS150,BALBS039,BALBS121,BALBS051,BALBS095,BALBS092,BALBS096,BALBS042,BALBS093,BALBS111,BALBS028,BALBS024,BALBS102,BALBS106,BALBS020,BALBS055,BALBS019,BALBS135,BALBS075,BALBS139,BALBS030,BALBS010,BALBS140,BALBS089,BALBS044,BALBS127,BALBS123,BALBS108,BALBS036,BALBS061,BALBS151,BALBS008,BALBS099,BALBS112,BALBS100,BALBS153,BALBS084,BALBS113,BALBS079,BALBS033,BALBS157,BALBS053,BALBS059,BALBS054,BALBS104,BALBS160,BALBS035,BALBS037,BALBS017,BALBS071,BALBS009,BALBS144,BALBS149,BALBS070,BALBS068,BALBS005,BALBS072,BALBS003,BALBS137,BALBS014,BALBS094,BALBS088,BALBS138,BALBS011,BALBS097,BALBS063,BALBS083,BALBS006,BALBS016,BALBS080,BALBS115,BALBS023,BALBS128,BALBS158,BALBS025,BALBS040,BALBS038,BALBS064,BALBS118,BALBS103,BALBS143,BALBS132,BALBS022,BALBS148,BALBS154,BALBS120,BALBS041,BALBS141,BALBS147,BALBS031,BALBS034,BALBS142,BALBS110,BALBS047,BALBS043,BALBS073,BALBS107,BALBS129,BALBS050,BALBS131,BALBS090,BALBS027,BALBS018,BALBS133,BALBS119,BALBS069,BALBS001,BALBS012,BALBS062,BALBS074
1-SPFP,0.201829580348,0.478123195727,0.810620674004,0.336384439359,0.935281837161,0.868326488706,0.411373641182,0.850767085077,0.657799944583,0.958910034602,0.482186234818,0.780802385119,0.837330652497,0.745138530373,0.844581958196,0.695458875834,0.780795344326,0.516299499005,0.787195490236,0.479776847978,0.861823051291,0.884404474665,0.890859408487,0.683838492021,0.837244133799,0.776129795975,0.602326923303,0.803623364033,0.766478568856,0.839165230598,0.805093154007,0.674934118741,0.91660461653,0.574430479183,0.5,0.593447505585,0.549311926606,0.885003984377,0.116751269036,0.85373000894,0.963286335729,0.519504842537,0.330331506134,0.828399300382,0.497159090909,0.429519469097,0.86469206178,0.369281722211,0.883707201889,0.795242899271,0.84761525176,0.136176470588,0.32839737582,0.765545659545,0.735908027489,0.515506697729,0.727112676056,0.251343064546,0.862163146395,0.881611468117,0.539778031325,0.399594320487,0.29614873838,0.448674529954,0.853784095275,0.799363978028,0.321564732322,0.877428677199,0.8968015992,0.461538461538,0.722480620155,0.440377563493,0.587299301606,0.305375978224,0.544427710843,0.919687156924,0.775315264822,0.388645778634,0.812096581401,0.832902670112,0.178472861086,0.755174950089,0.873318872017,0.811428571429,0.396395260902,0.835373133286,0.643390412047,0.25654819649,0.363677639047,0.205352059214,0.806529044647,0.289915966387,0.578397691356,0.422746204487,0.724961539464,0.753695933493,0.208146821844,0.499431656721,0.323119777159,0.380582788671,0.0919324577861,0.689015168874,0.685361432132,0.646822900283,0.195732155997,0.851114621731,0.848872180451,0.777126099707,0.300895464904,0.720324261726,0.604105571848,0.844354018311,0.0,0.782846849197,0.870125913891,0.194169960474,0.701422012214,0.0865657521287,0.333026678933,0.765571098222,0.825916365514,0.376867360797,0.413076923077,0.282986111111,0.520305212419,0.639884320382,0.664879086994,0.899338209683,0.46916625555,0.581970181686,0.303789927134,0.176964285714,0.832276721166,0.389281828074,0.843953010872,0.858722005342,0.879233226837,0.444774671707,0.659336563548,0.645429678596,0.547639123103,0.741157792918,0.0,0.682596291013,0.314552087556,0.631143878463,0.685435254401,0.519020937776,0.114268798105,0.830752554971,0.808523231725
1-SPFN,0.20444530845,0.497507720902,0.803900975244,0.359853121175,0.921810699588,0.865106763841,0.389238354301,0.829555757026,0.639892183288,0.95659302727,0.479468599034,0.544324959335,0.823280224047,0.741692360397,0.803038623467,0.684054349524,0.761589403974,0.528003930376,0.781218781219,0.480446927374,0.85593220339,0.873672806067,0.88188182879,0.627148610156,0.837244133799,0.763947909527,0.565763712987,0.806874524715,0.771200773134,0.837306560196,0.794408789296,0.664935858277,0.917287630402,0.531624863686,0.464604402142,0.58495412844,0.537598204265,0.884838589106,0.121693121693,0.853390924437,0.958745950593,0.546340015649,0.331239366575,0.828667703473,0.502584721424,0.473220577872,0.854749666857,0.38787974621,0.864318706697,0.790224529927,0.837270341207,0.128611111111,0.320058458166,0.780073727539,0.71763657428,0.504093400726,0.720767888307,0.252933885387,0.855851784907,0.871062271062,0.535703256357,0.429193899782,0.418386491557,0.31736329093,0.848114791635,0.7871886121,0.33364215523,0.867033265284,0.899949849549,0.45371577575,0.705526116578,0.405489901832,0.581065678872,0.297160831057,0.514224751067,0.910965370739,0.786863532203,0.396795139096,0.796483001172,0.827910958904,0.181875,0.748671828883,0.858056265985,0.801128349788,0.409718603439,0.835600653659,0.6104044849,0.283279774077,0.363636363636,0.223000824402,0.799619228939,0.290526315789,0.486477115118,0.290992324054,0.721874594314,0.751103989996,0.228613569322,0.504666188083,0.259362772499,0.407389862624,0.0878136200717,0.657411456056,0.699468085106,0.626953273878,0.207245812232,0.759904714142,0.838781575037,0.77235910123,0.299568621185,0.711263579188,0.586059743954,0.834051105369,0.0,0.771830850089,0.862766814337,0.220044792833,0.696855624446,0.0569029850746,0.391774891775,0.773473256861,0.800647270786,0.338816347295,0.296248620816,0.296363636364,0.467713358477,0.653651017918,0.6940260649,0.895594866459,0.472999857894,0.474471592727,0.308540842448,0.167937637689,0.836930992059,0.397113917025,0.835182039239,0.847886066705,0.876433121019,0.411204745864,0.493720346079,0.627242922334,0.572200864969,0.729159986346,0.0,0.713114754098,0.308671439936,0.456381260097,0.674057386768,0.530920060332,0.119062307218,0.829724713888,0.796966161027
SP-Score,0.203137444399,0.487815458315,0.807260824624,0.348118780267,0.928546268375,0.866716626274,0.400305997742,0.840161421052,0.648846063936,0.957751530936,0.480827416926,0.662563672227,0.830305438272,0.743415445385,0.823810290831,0.689756612679,0.77119237415,0.522151714691,0.784207135727,0.480111887676,0.85887762734,0.879038640366,0.886370618638,0.655493551089,0.837244133799,0.770038852751,0.584045318145,0.805248944374,0.768839670995,0.838235895397,0.799750971652,0.669934988509,0.916946123466,0.553027671434,0.482302201071,0.589200817012,0.543455065435,0.884921286741,0.119222195364,0.853560466688,0.961016143161,0.532922429093,0.330785436355,0.828533501928,0.499871906167,0.451370023485,0.859720864319,0.37858073421,0.874012954293,0.792733714599,0.842442796484,0.13239379085,0.324227916993,0.772809693542,0.726772300885,0.509800049227,0.723940282182,0.252138474966,0.859007465651,0.876336869589,0.537740643841,0.414394110134,0.357267614969,0.383018910442,0.850949443455,0.793276295064,0.327603443776,0.872230971242,0.898375724375,0.457627118644,0.714003368367,0.422933732663,0.584182490239,0.30126840464,0.529326230955,0.915326263831,0.781089398513,0.392720458865,0.804289791287,0.830406814508,0.180173930543,0.751923389486,0.865687569001,0.806278460609,0.403056932171,0.835486893472,0.626897448473,0.269913985284,0.363657001341,0.214176441808,0.803074136793,0.290221141088,0.532437403237,0.356869264271,0.723418066889,0.752399961744,0.218380195583,0.502048922402,0.291241274829,0.393986325648,0.0898730389289,0.673213312465,0.692414758619,0.63688808708,0.201488984115,0.805509667937,0.843826877744,0.774742600468,0.300232043045,0.715793920457,0.595082657901,0.83920256184,0.0,0.777338849643,0.866446364114,0.207107376654,0.69913881833,0.0717343686016,0.362400785354,0.769522177541,0.81328181815,0.357841854046,0.354662771947,0.289674873737,0.494009285448,0.64676766915,0.679452575947,0.897466538071,0.471083056722,0.528220887207,0.306165384791,0.172450961701,0.834603856612,0.39319787255,0.839567525056,0.853304036023,0.877833173928,0.427989708786,0.576528454813,0.636336300465,0.559919994036,0.735158889632,0.0,0.697855522556,0.311611763746,0.54376256928,0.679746320584,0.524970499054,0.116665552662,0.830238634429,0.802744696376
TC,0.0,0.00414937759336,0.52428057554,0.0,0.818181818182,0.192857142857,0.041825095057,0.525065963061,0.378947368421,0.815909090909,0.282208588957,0.0,0.339108910891,0.559602649007,0.451724137931,0.251269035533,0.567901234568,0.00582524271845,0.303157894737,0.0,0.503333333333,0.765206812652,0.624675324675,0.0,0.674418604651,0.158620689655,0.10201511335,0.361282367448,0.319303338171,0.110629067245,0.553398058252,0.456494325347,0.827731092437,0.116704805492,0.0,0.38326848249,0.158301158301,0.244725738397,0.0,0.622222222222,0.752161383285,0.0,0.0,0.178082191781,0.274566473988,0.014598540146,0.404761904762,0.0,0.516483516484,0.362136684996,0.319923371648,0.0,0.0263157894737,0.0,0.106463878327,0.0814814814815,0.741561181435,0.0,0.627118644068,0.689361702128,0.255349500713,0.263157894737,0.0,0.00910746812386,0.450757575758,0.396624472574,0.0,0.435606060606,0.752314814815,0.252525252525,0.415754923414,0.0,0.266949152542,0.00675675675676,0.0211267605634,0.489568845619,0.336283185841,0.201307189542,0.0402684563758,0.58389261745,0.0,0.40589198036,0.398648648649,0.661417322835,0.0178970917226,0.04,0.180124223602,0.0,0.0586956521739,0.0,0.485714285714,0.0627705627706,0.0,0.0,0.4658203125,0.437616387337,0.0,0.160063391442,0.0,0.000993048659384,0.0,0.0,0.0625,0.149019607843,0.0,0.0702479338843,0.674897119342,0.41456166419,0.030888030888,0.51582278481,0.263565891473,0.0661764705882,0.0,0.264197530864,0.619926199262,0.0,0.344028520499,0.0,0.0,0.116302186879,0.378048780488,0.00212765957447,0.0,0.0677966101695,0.0485252140818,0.10182767624,0.0,0.759259259259,0.0548628428928,0.0,0.0305882352941,0.0,0.31968503937,0.0,0.4,0.484962406015,0.750902527076,0.0026525198939,0.0523138832998,0.328200972447,0.0169902912621,0.277551020408,0.0,0.530769230769,0.0,0.0,0.377513711152,0.17864476386,0.0,0.608355091384,0.494736842105
Modeler,0.2018295803480041,0.478123195727,0.810620674004,0.336384439359,0.935281837161,0.868326488706,0.411373641182,0.850767085077,0.657799944583,0.958910034602,0.482186234818,0.780802385119,0.837330652497,0.745138530373,0.844581958196,0.695458875834,0.780795344326,0.516299499005,0.787195490236,0.479776847978,0.861823051291,0.884404474665,0.890859408487,0.683838492021,0.837244133799,0.776129795975,0.602326923303,0.803623364033,0.766478568856,0.839165230598,0.805093154007,0.674934118741,0.91660461653,0.574430479183,0.5,0.593447505585,0.549311926606,0.885003984377,0.116751269036,0.85373000894,0.963286335729,0.519504842537,0.330331506134,0.828399300382,0.497159090909,0.429519469097,0.86469206178,0.369281722211,0.883707201889,0.795242899271,0.84761525176,0.136176470588,0.32839737582,0.765545659545,0.735908027489,0.515506697729,0.727112676056,0.251343064546,0.862163146395,0.881611468117,0.539778031325,0.399594320487,0.29614873838,0.448674529954,0.853784095275,0.799363978028,0.321564732322,0.877428677199,0.8968015992,0.461538461538,0.722480620155,0.440377563493,0.587299301606,0.305375978224,0.544427710843,0.919687156924,0.775315264822,0.388645778634,0.812096581401,0.832902670112,0.178472861086,0.755174950089,0.873318872017,0.811428571429,0.396395260902,0.835373133286,0.643390412047,0.25654819649,0.363677639047,0.205352059214,0.806529044647,0.289915966387,0.578397691356,0.422746204487,0.724961539464,0.753695933493,0.208146821844,0.499431656721,0.323119777159,0.380582788671,0.0919324577861,0.689015168874,0.685361432132,0.646822900283,0.195732155997,0.851114621731,0.848872180451,0.777126099707,0.300895464904,0.720324261726,0.604105571848,0.844354018311,0.0,0.782846849197,0.870125913891,0.194169960474,0.701422012214,0.0865657521287,0.333026678933,0.765571098222,0.825916365514,0.376867360797,0.413076923077,0.282986111111,0.520305212419,0.639884320382,0.664879086994,0.899338209683,0.46916625555,0.581970181686,0.303789927134,0.176964285714,0.832276721166,0.389281828074,0.843953010872,0.858722005342,0.879233226837,0.444774671707,0.659336563548,0.645429678596,0.547639123103,0.741157792918,0.0,0.682596291013,0.314552087556,0.631143878463,0.685435254401,0.519020937776,0.114268798105,0.830752554971,0.808523231725
Compression,0.7358276643990931,0.829317269076,0.993650793651,0.728613569322,1.0,1.0,1.01379310345,1.00444444444,0.989520958084,0.997542997543,0.975945017182,0.965573770492,0.991031390135,0.980428704567,1.00468384075,0.97302504817,1.01136363636,0.759308510638,0.997028231798,0.80078125,0.993911719939,1.00406504065,0.99880239521,0.907216494845,0.99512195122,0.995744680851,0.907488986784,0.989424206816,0.962637362637,0.946257197697,0.991467576792,1.01805054152,0.995918367347,0.993730407524,0.815384615385,1.0,0.951890034364,0.969512195122,0.957627118644,1.00392156863,1.00746268657,0.765306122449,0.900414937759,0.983050847458,0.967521367521,0.722162162162,1.00222222222,0.856557377049,1.01086956522,0.983606557377,1.00303951368,0.86083499006,0.983451536643,0.765234765235,0.934640522876,0.919421487603,0.996723996724,0.722696245734,0.997849462366,1.00840336134,0.933423913043,0.865853658537,0.619863013699,1.00386597938,0.975232198142,1.02325581395,0.876175548589,1.00464396285,0.985239852399,0.918238993711,1.04158004158,0.769874476987,0.968316831683,0.989561586639,0.935,1.0025974026,0.951898734177,0.965384615385,1.00632911392,1.00609756098,0.772972972973,0.996292863763,1.00389105058,1.0,0.810344827586,0.927133269415,0.985759493671,0.747991967871,0.92380952381,0.751012145749,0.990196078431,1.0,0.730552423901,0.82092555332,0.976785714286,0.994699646643,0.820895522388,0.908860759494,0.858974358974,0.727649006623,0.904347826087,0.741081703107,0.90780141844,0.950166112957,0.904761904762,1.0055187638,0.982456140351,0.982264665757,0.898193760263,1.00879765396,1.01298701299,1.01923076923,0.766666666667,0.949883449883,0.999258710156,0.8,0.947030497592,0.953062848051,0.797909407666,0.890492359932,0.985365853659,0.91711517761,0.879284649776,0.817142857143,0.911944202267,0.712883435583,0.764645426516,0.991769547325,0.9375,0.918918918919,0.80534351145,0.923611111111,0.955704697987,0.848412698413,0.9375,0.983974358974,0.993527508091,1.02839116719,0.990367775832,1.00729394602,0.601001669449,0.990291262136,0.786643538595,0.932475884244,0.941605839416,0.809976247031,0.975942261427,0.935754189944,0.903114186851,0.996282527881,0.993288590604
Average Pairwise P-Distance,0.853021782051,0.735627030421,0.674682784697,0.831993300053,0.807977529445,0.552461343182,0.716498596953,0.70151154141,0.785061628364,0.566562243779,0.821734824551,0.684466642645,0.724917263619,0.721914061835,0.660012316456,0.705658855805,0.671531710872,0.740546030234,0.676770267379,0.689278053148,0.665855010626,0.590565566532,0.664134187059,0.745523816586,0.765751677934,0.617362222996,0.721015946648,0.671371700988,0.657272637157,0.541261526047,0.684379099349,0.661775606179,0.690271603426,0.757739570904,0.701734651863,0.779360144058,0.826041359618,0.517918493148,0.847655452572,0.6153007419,0.618083269622,0.745484685579,0.794913649186,0.574116531165,0.730976507371,0.695759551114,0.646827515092,0.736593606633,0.64470387456,0.588290481802,0.62497799306,0.841051217098,0.841680736682,0.638807851499,0.698109770991,0.803212860293,0.729457035339,0.823012086812,0.707822042007,0.651616192707,0.708041322586,0.78297158468,0.792477658127,0.748503222537,0.663548554942,0.66859924519,0.820002469425,0.641234301031,0.615269894028,0.786333432547,0.680374473462,0.719576875088,0.823631131892,0.708428696053,0.699292574257,0.540655297292,0.688244988534,0.751560261153,0.488681515557,0.721320223842,0.822369661918,0.640512796054,0.692828211776,0.722088616224,0.712676588546,0.595928803277,0.802049487474,0.821763688706,0.828566625404,0.818890324063,0.661885382857,0.83199538816,0.710176829331,0.790158464558,0.661576731866,0.690173477964,0.815614091252,0.724008950764,0.816576992119,0.764750826233,0.878555736449,0.680801550804,0.649220639132,0.761343660261,0.87703514947,0.636810152423,0.619232885797,0.687374392498,0.853693342438,0.801701630659,0.710929483035,0.544633384346,0.861938200341,0.703230928732,0.653648560445,0.847640747993,0.717835249643,0.848393805091,0.73716801135,0.670414484125,0.665269156829,0.769218391627,0.735588899311,0.767976230277,0.774184561346,0.732231718726,0.73886042923,0.735909108151,0.793396391576,0.742554828556,0.836502271743,0.848077046724,0.652445425379,0.710692479002,0.722159666018,0.665212052315,0.687680220195,0.681805681794,0.745675213516,0.71248350191,0.702741918491,0.745069921302,0.77027027027,0.783282243902,0.768101660982,0.699382354377,0.715694640609,0.768983414877,0.854158138045,0.657381070806,0.659924548846
Maximum Pairwise P-Distance,0.916666666667,0.87109375,0.713530655391,0.943396226415,0.907894736842,0.871794871795,0.922077922078,0.789297658863,0.820512820513,0.679723502304,0.8525,0.74693877551,0.870967741935,0.835294117647,0.738775510204,0.794303797468,0.764705882353,0.839869281046,0.770601336303,0.777777777778,0.738738738739,0.628686327078,0.748148148148,0.921787709497,0.787301587302,0.863636363636,0.886699507389,0.83595113438,0.834437086093,0.909348441926,0.75355450237,0.756338028169,0.733944954128,0.942307692308,0.789473684211,0.79822616408,0.89,0.892733564014,0.906976744186,0.706306306306,0.738853503185,0.871794871795,0.875912408759,0.876712328767,0.792253521127,0.901129943503,0.844621513944,0.873595505618,0.730158730159,0.85071942446,0.838565022422,0.897435897436,0.889632107023,0.877437325905,0.889447236181,0.870550161812,0.764705882353,0.879895561358,0.844884488449,0.734042553191,0.849557522124,0.85,0.827586206897,0.925925925926,0.816901408451,0.786458333333,0.929503916449,0.760180995475,0.727710843373,0.886075949367,0.782051282051,0.890410958904,0.864583333333,0.869387755102,0.944444444444,0.81983805668,0.864583333333,0.907894736842,0.92,0.76724137931,0.8779342723,0.763713080169,0.787878787879,0.794871794872,0.795698924731,0.920844327177,0.877604166667,0.873563218391,0.882352941176,0.857638888889,0.741379310345,0.904444444444,0.963414634146,0.949367088608,0.720956719818,0.795597484277,0.854838709677,0.795918367347,0.923076923077,0.887058823529,0.941176470588,0.922118380062,0.864788732394,0.892523364486,0.925373134328,0.906040268456,0.662037037037,0.783889980354,0.920972644377,0.880952380952,0.769230769231,0.924731182796,0.876923076923,0.865894039735,0.769230769231,0.875,0.787234042553,0.884615384615,0.787878787879,0.858407079646,0.834745762712,0.896,0.870317002882,0.79347826087,0.901907356948,0.877049180328,0.866995073892,0.794871794872,0.896907216495,0.89400921659,0.906103286385,0.935323383085,0.8961352657,0.829545454545,0.801724137931,0.759336099585,0.759689922481,0.940298507463,0.845758354756,0.775623268698,0.9,0.8828125,0.77027027027,0.823529411765,0.948453608247,0.933333333333,0.777914110429,0.851132686084,0.897058823529,0.758169934641,0.739316239316
Number of Sequences,11.0,23.0,8.0,10.0,4.0,13.0,18.0,7.0,6.0,8.0,4.0,14.0,23.0,6.0,18.0,8.0,6.0,10.0,7.0,5.0,13.0,4.0,8.0,11.0,4.0,18.0,22.0,12.0,8.0,19.0,7.0,5.0,4.0,18.0,11.0,4.0,9.0,23.0,4.0,9.0,21.0,22.0,8.0,18.0,4.0,15.0,13.0,16.0,8.0,14.0,8.0,7.0,7.0,24.0,24.0,10.0,3.0,14.0,9.0,7.0,21.0,4.0,4.0,11.0,11.0,9.0,24.0,20.0,5.0,5.0,5.0,20.0,9.0,19.0,9.0,20.0,24.0,15.0,10.0,5.0,8.0,12.0,9.0,4.0,12.0,22.0,14.0,8.0,8.0,8.0,9.0,4.0,14.0,21.0,10.0,12.0,4.0,7.0,8.0,11.0,5.0,21.0,10.0,12.0,4.0,17.0,4.0,11.0,14.0,4.0,7.0,12.0,4.0,25.0,7.0,4.0,11.0,5.0,4.0,15.0,16.0,15.0,6.0,4.0,20.0,25.0,17.0,6.0,15.0,19.0,14.0,11.0,14.0,7.0,13.0,15.0,4.0,24.0,5.0,12.0,23.0,23.0,2.0,4.0,7.0,16.0,6.0,5.0,5.0,5.0,6.0
Reference Length,882.0,996.0,1260.0,339.0,96.0,159.0,290.0,450.0,668.0,814.0,582.0,610.0,446.0,1073.0,427.0,519.0,88.0,752.0,673.0,256.0,657.0,984.0,835.0,485.0,410.0,235.0,908.0,851.0,1365.0,521.0,586.0,831.0,245.0,957.0,455.0,609.0,291.0,492.0,118.0,765.0,402.0,784.0,723.0,236.0,585.0,925.0,450.0,976.0,92.0,1342.0,658.0,503.0,423.0,1001.0,306.0,484.0,1221.0,1172.0,465.0,238.0,736.0,164.0,584.0,776.0,323.0,258.0,638.0,646.0,542.0,159.0,481.0,239.0,505.0,479.0,200.0,770.0,1185.0,780.0,158.0,164.0,555.0,1079.0,257.0,141.0,522.0,1043.0,632.0,996.0,525.0,988.0,102.0,559.0,887.0,497.0,1120.0,566.0,603.0,790.0,234.0,1208.0,115.0,869.0,564.0,301.0,609.0,906.0,285.0,733.0,609.0,341.0,154.0,156.0,270.0,858.0,1349.0,640.0,623.0,1257.0,287.0,1178.0,615.0,929.0,1342.0,175.0,1147.0,1630.0,973.0,243.0,416.0,666.0,524.0,288.0,745.0,1260.0,736.0,312.0,309.0,951.0,1142.0,1371.0,599.0,515.0,1153.0,311.0,274.0,421.0,1247.0,716.0,289.0,807.0,447.0
