Dataset,Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length
BIR,DefaultProbCons,0.321739130435,0.277673545966,0.299706338201,0.0857142857143,0.321739130435,1.12121212121,0.637616691285,0.704545454545,4.0,165.0,185.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,ProbCons,0.0,0.0,0.0,0.0,0.0,1.12727272727,0.637616691285,0.704545454545,4.0,165.0,186.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,DefaultContrAlign,0.932203389831,0.928705440901,0.930454415366,0.771428571429,0.932203389831,1.01212121212,0.637616691285,0.704545454545,4.0,165.0,167.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,ProbAlign,0.908571428571,0.894934333959,0.901752881265,0.742857142857,0.908571428571,1.01212121212,0.637616691285,0.704545454545,4.0,165.0,167.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,Prime,0.793436293436,0.771106941839,0.782271617637,0.561904761905,0.793436293436,1.01818181818,0.637616691285,0.704545454545,4.0,165.0,168.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,KAlign,0.862003780718,0.855534709193,0.858769244956,0.704761904762,0.862003780718,1.01212121212,0.637616691285,0.704545454545,4.0,165.0,167.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,DiAlign,0.838582677165,0.799249530957,0.818916104061,0.619047619048,0.838582677165,1.01818181818,0.637616691285,0.704545454545,4.0,165.0,168.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,ContrAlign,0.930320150659,0.926829268293,0.928574709476,0.771428571429,0.930320150659,1.01212121212,0.637616691285,0.704545454545,4.0,165.0,167.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,Clustal,0.922348484848,0.913696060038,0.918022272443,0.752380952381,0.922348484848,1.01212121212,0.637616691285,0.704545454545,4.0,165.0,167.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,Muscle,0.851503759398,0.84990619137,0.850704975384,0.695238095238,0.851503759398,1.0,0.637616691285,0.704545454545,4.0,165.0,165.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,Prank,0.836935166994,0.799249530957,0.818092348975,0.580952380952,0.836935166994,1.11515151515,0.637616691285,0.704545454545,4.0,165.0,184.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,EINSI,0.857418111753,0.834896810507,0.84615746113,0.638095238095,0.857418111753,1.02424242424,0.637616691285,0.704545454545,4.0,165.0,169.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,GINSI,0.817475728155,0.789868667917,0.803672198036,0.6,0.817475728155,1.0303030303,0.637616691285,0.704545454545,4.0,165.0,170.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,LINSI,0.828244274809,0.81425891182,0.821251593315,0.6,0.828244274809,1.02424242424,0.637616691285,0.704545454545,4.0,165.0,169.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,MAFFT,0.828244274809,0.81425891182,0.821251593315,0.6,0.828244274809,1.02424242424,0.637616691285,0.704545454545,4.0,165.0,169.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,BPPD,0.966063348416,0.801125703565,0.883594525991,0.6,0.966063348416,1.27878787879,0.637616691285,0.704545454545,4.0,165.0,211.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,BPMAP,0.887596899225,0.859287054409,0.873441976817,0.67619047619,0.887596899225,1.09090909091,0.637616691285,0.704545454545,4.0,165.0,180.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,SAWA,0.885553470919,0.885553470919,0.885553470919,0.7238095238095238,0.8855534709193246,1.0,0.637616691285,0.704545454545,4,165,165,136,0.18687617751,0.328787878788,13.5625,6.0
BIR,SparseSAWA,0.885553470919,0.885553470919,0.885553470919,0.7238095238095238,0.8855534709193246,1.0,0.637616691285,0.704545454545,4,165,165,136,0.18687617751,0.328787878788,13.5625,6.0
BIR,SparserSAWA,0.895635673624,0.885553470919,0.890594572272,0.7238095238095238,0.8956356736242884,1.0,0.637616691285,0.704545454545,4,165,165,136,0.18687617751,0.328787878788,13.5625,6.0
BIR,SparsestSAWA,0.88358778626,0.868667917448,0.876127851854,0.6952380952380952,0.8835877862595419,1.0,0.637616691285,0.704545454545,4,165,165,136,0.18687617751,0.328787878788,13.5625,6.0
BIR,BPWA,0.888679245283,0.883677298311,0.886178271797,0.714285714286,0.888679245283,1.0,0.637616691285,0.704545454545,4.0,165.0,165.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,SparseBPWA,0.891840607211,0.881801125704,0.886820866457,0.714285714286,0.891840607211,1.0,0.637616691285,0.704545454545,4.0,165.0,165.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,SparserBPWA,0.897142857143,0.883677298311,0.890410077727,0.714285714286,0.897142857143,1.0,0.637616691285,0.704545454545,4.0,165.0,165.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,SparsestBPWA,0.893129770992,0.878048780488,0.88558927574,0.695238095238,0.893129770992,1.01212121212,0.637616691285,0.704545454545,4.0,165.0,167.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,SAPD,0.966216216216,0.80487804878,0.885547132498,0.6,0.966216216216,1.27272727273,0.637616691285,0.704545454545,4.0,165.0,210.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,SAPDMul,0.968152866242,0.855534709193,0.911843787718,0.685714285714,0.968152866242,1.20606060606,0.637616691285,0.704545454545,4.0,165.0,199.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,SAPDSum,0.982630272953,0.74296435272,0.862797312837,0.552380952381,0.982630272953,1.37575757576,0.637616691285,0.704545454545,4.0,165.0,227.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,SparseSAPD,0.965986394558,0.799249530957,0.882617962757,0.590476190476,0.965986394558,1.27878787879,0.637616691285,0.704545454545,4.0,165.0,211.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,SparserSAPD,0.972789115646,0.80487804878,0.888833582213,0.6,0.972789115646,1.27878787879,0.637616691285,0.704545454545,4.0,165.0,211.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
BIR,SparsestSAPD,0.972789115646,0.80487804878,0.888833582213,0.6,0.972789115646,1.27878787879,0.637616691285,0.704545454545,4.0,165.0,211.0,136.0,0.18687617751,0.328787878788,13.5625,6.0
Bac_DNA_binding,DefaultProbCons,0.41469816273,0.31983805668,0.367268109705,0.189473684211,0.41469816273,1.34653465347,0.669831363203,0.757894736842,4.0,101.0,136.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,ProbCons,0.0,0.0,0.0,0.0,0.0,1.77227722772,0.669831363203,0.757894736842,4.0,101.0,179.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,DefaultContrAlign,0.993927125506,0.993927125506,0.993927125506,0.989473684211,0.993927125506,1.0,0.669831363203,0.757894736842,4.0,101.0,101.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,ProbAlign,0.975708502024,0.975708502024,0.975708502024,0.947368421053,0.975708502024,1.0,0.669831363203,0.757894736842,4.0,101.0,101.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,Prime,0.95951417004,0.95951417004,0.95951417004,0.894736842105,0.95951417004,1.0,0.669831363203,0.757894736842,4.0,101.0,101.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,KAlign,0.959183673469,0.951417004049,0.955300338759,0.884210526316,0.959183673469,1.0198019802,0.669831363203,0.757894736842,4.0,101.0,103.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,DiAlign,0.967479674797,0.963562753036,0.965521213917,0.936842105263,0.967479674797,1.0,0.669831363203,0.757894736842,4.0,101.0,101.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,ContrAlign,0.981781376518,0.981781376518,0.981781376518,0.968421052632,0.981781376518,1.0,0.669831363203,0.757894736842,4.0,101.0,101.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,Clustal,0.96963562753,0.96963562753,0.96963562753,0.915789473684,0.96963562753,1.0,0.669831363203,0.757894736842,4.0,101.0,101.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,Muscle,0.963562753036,0.963562753036,0.963562753036,0.915789473684,0.963562753036,1.0,0.669831363203,0.757894736842,4.0,101.0,101.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,Prank,0.931392931393,0.906882591093,0.919137761243,0.778947368421,0.931392931393,1.05940594059,0.669831363203,0.757894736842,4.0,101.0,107.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,EINSI,0.95951417004,0.95951417004,0.95951417004,0.894736842105,0.95951417004,1.0,0.669831363203,0.757894736842,4.0,101.0,101.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,GINSI,0.941056910569,0.937246963563,0.939151937066,0.852631578947,0.941056910569,1.0,0.669831363203,0.757894736842,4.0,101.0,101.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,LINSI,0.95951417004,0.95951417004,0.95951417004,0.894736842105,0.95951417004,1.0,0.669831363203,0.757894736842,4.0,101.0,101.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,MAFFT,0.95951417004,0.95951417004,0.95951417004,0.894736842105,0.95951417004,1.0,0.669831363203,0.757894736842,4.0,101.0,101.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,BPPD,0.962732919255,0.941295546559,0.952014232907,0.863157894737,0.962732919255,1.07920792079,0.669831363203,0.757894736842,4.0,101.0,109.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,BPMAP,0.952380952381,0.931174089069,0.941777520725,0.863157894737,0.952380952381,1.07920792079,0.669831363203,0.757894736842,4.0,101.0,109.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,SAWA,0.963562753036,0.963562753036,0.963562753036,0.9157894736842105,0.9635627530364372,1.0,0.669831363203,0.757894736842,4,101,101,99,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,SparseSAWA,0.963562753036,0.963562753036,0.963562753036,0.9157894736842105,0.9635627530364372,1.0,0.669831363203,0.757894736842,4,101,101,99,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,SparserSAWA,0.963562753036,0.963562753036,0.963562753036,0.9157894736842105,0.9635627530364372,1.0,0.669831363203,0.757894736842,4,101,101,99,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,SparsestSAWA,0.963562753036,0.963562753036,0.963562753036,0.9157894736842105,0.9635627530364372,1.0,0.669831363203,0.757894736842,4,101,101,99,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,BPWA,0.962962962963,0.947368421053,0.955165692008,0.863157894737,0.962962962963,1.0495049505,0.669831363203,0.757894736842,4.0,101.0,106.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,SparseBPWA,0.962962962963,0.947368421053,0.955165692008,0.863157894737,0.962962962963,1.0495049505,0.669831363203,0.757894736842,4.0,101.0,106.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,SparserBPWA,0.962962962963,0.947368421053,0.955165692008,0.863157894737,0.962962962963,1.0495049505,0.669831363203,0.757894736842,4.0,101.0,106.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,SparsestBPWA,0.951219512195,0.947368421053,0.949293966624,0.863157894737,0.951219512195,1.0198019802,0.669831363203,0.757894736842,4.0,101.0,103.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,SAPD,0.962732919255,0.941295546559,0.952014232907,0.863157894737,0.962732919255,1.07920792079,0.669831363203,0.757894736842,4.0,101.0,109.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,SAPDMul,0.962732919255,0.941295546559,0.952014232907,0.863157894737,0.962732919255,1.07920792079,0.669831363203,0.757894736842,4.0,101.0,109.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,SAPDSum,0.962264150943,0.929149797571,0.945706974257,0.852631578947,0.962264150943,1.10891089109,0.669831363203,0.757894736842,4.0,101.0,112.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,SparseSAPD,0.962732919255,0.941295546559,0.952014232907,0.863157894737,0.962732919255,1.07920792079,0.669831363203,0.757894736842,4.0,101.0,109.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,SparserSAPD,0.962732919255,0.941295546559,0.952014232907,0.863157894737,0.962732919255,1.07920792079,0.669831363203,0.757894736842,4.0,101.0,109.0,99.0,0.135076326701,0.108910891089,4.4,1.0
Bac_DNA_binding,SparsestSAPD,0.962732919255,0.941295546559,0.952014232907,0.863157894737,0.962732919255,1.07920792079,0.669831363203,0.757894736842,4.0,101.0,109.0,99.0,0.135076326701,0.108910891089,4.4,1.0
CBM_20,DefaultProbCons,0.589668206636,0.498402555911,0.544035381273,0.12962962963,0.589668206636,1.425,0.482047419162,0.712765957447,8.0,120.0,171.0,110.0,0.0313811227066,0.125,2.2641509434,1.0
CBM_20,ProbCons,0.209569732938,0.200567980121,0.205068856529,0.0,0.209569732938,1.09166666667,0.482047419162,0.712765957447,8.0,120.0,131.0,110.0,0.0313811227066,0.125,2.2641509434,1.0
CBM_20,DefaultContrAlign,0.850454227813,0.864039758608,0.857246993211,0.564814814815,0.850454227813,0.958333333333,0.482047419162,0.712765957447,8.0,120.0,115.0,110.0,0.0313811227066,0.125,2.2641509434,1.0
CBM_20,ProbAlign,0.916607773852,0.920837770678,0.918722772265,0.694444444444,0.916607773852,0.991666666667,0.482047419162,0.712765957447,8.0,120.0,119.0,110.0,0.0313811227066,0.125,2.2641509434,1.0
CBM_20,Prime,0.862190812721,0.866169684061,0.864180248391,0.574074074074,0.862190812721,1.0,0.482047419162,0.712765957447,8.0,120.0,120.0,110.0,0.0313811227066,0.125,2.2641509434,1.0
CBM_20,KAlign,0.900282885431,0.903798367057,0.902040626244,0.601851851852,0.900282885431,1.0,0.482047419162,0.712765957447,8.0,120.0,120.0,110.0,0.0313811227066,0.125,2.2641509434,1.0
CBM_20,DiAlign,0.889911634757,0.858004969826,0.873958302292,0.462962962963,0.889911634757,1.10833333333,0.482047419162,0.712765957447,8.0,120.0,133.0,110.0,0.0313811227066,0.125,2.2641509434,1.0
CBM_20,ContrAlign,0.871777003484,0.888178913738,0.879977958611,0.648148148148,0.871777003484,0.941666666667,0.482047419162,0.712765957447,8.0,120.0,113.0,110.0,0.0313811227066,0.125,2.2641509434,1.0
CBM_20,Clustal,0.873189685623,0.877529286475,0.875359486049,0.574074074074,0.873189685623,0.975,0.482047419162,0.712765957447,8.0,120.0,117.0,110.0,0.0313811227066,0.125,2.2641509434,1.0
CBM_20,Muscle,0.937522061419,0.942847000355,0.940184530887,0.75,0.937522061419,0.983333333333,0.482047419162,0.712765957447,8.0,120.0,118.0,110.0,0.0313811227066,0.125,2.2641509434,1.0
CBM_20,Prank,0.906294200849,0.90983315584,0.908063678344,0.62962962963,0.906294200849,0.991666666667,0.482047419162,0.712765957447,8.0,120.0,119.0,110.0,0.0313811227066,0.125,2.2641509434,1.0
CBM_20,EINSI,0.868668596237,0.852325168619,0.860496882428,0.574074074074,0.868668596237,1.075,0.482047419162,0.712765957447,8.0,120.0,129.0,110.0,0.0313811227066,0.125,2.2641509434,1.0
CBM_20,GINSI,0.823383963264,0.827476038339,0.825430000801,0.472222222222,0.823383963264,0.983333333333,0.482047419162,0.712765957447,8.0,120.0,118.0,110.0,0.0313811227066,0.125,2.2641509434,1.0
CBM_20,LINSI,0.864874425186,0.867944621938,0.866409523562,0.574074074074,0.864874425186,0.991666666667,0.482047419162,0.712765957447,8.0,120.0,119.0,110.0,0.0313811227066,0.125,2.2641509434,1.0
CBM_20,MAFFT,0.864874425186,0.867944621938,0.866409523562,0.574074074074,0.864874425186,0.991666666667,0.482047419162,0.712765957447,8.0,120.0,119.0,110.0,0.0313811227066,0.125,2.2641509434,1.0
CBM_20,BPPD,0.848745519713,0.84061057863,0.844678049172,0.481481481481,0.848745519713,1.05,0.482047419162,0.712765957447,8.0,120.0,126.0,110.0,0.0313811227066,0.125,2.2641509434,1.0
CBM_20,BPMAP,0.878669968164,0.88178913738,0.880229552772,0.527777777778,0.878669968164,1.0,0.482047419162,0.712765957447,8.0,120.0,120.0,110.0,0.0313811227066,0.125,2.2641509434,1.0
CBM_20,SAWA,0.851617440225,0.859779907703,0.855698673964,0.5740740740740741,0.8516174402250352,0.9833333333333333,0.482047419162,0.712765957447,8,120,118,110,0.0313811227066,0.125,2.2641509434,1.0
