Statistics,tRNA-synt_2b,MHC_II_N,oxidored_q6,kunitz,rep,cyt5,icd,ccH,sodcu,thiored,DEAD,dhfr,cytb,int,fer2,NTP_transferase,annexin,fbpase,DNA_PPF,cat3,HATPase_c,ferritin,TNF,RGS,BIR,Fapy_DNA_glyco,tms,Ribosomal_L6_D,bac_luciferase,ngf,LIM,TyrKc,gtp,MHC_II_beta_NC,hom,cytprime,cryst,glnasn,CPSase_L_chain,EFTU_2,Peptidase_M24,LDLa,sugbp,oat,WW,LuxS,msb,ghf7,plantltp,reductases,mmp,FAD-oxidase_C,squash,ppase,biotin_lipoyl,tgfb,ghf22,Sulfotransfer,scorptoxin,protg,cyt3,HGTP_anticodon,seatoxin,igV,hip,CH,adk,porin,ghf33,MoCF_biosynth,HTH_AraC,sh2,cpa,MM_CoA_mutase,pec_lyase,slectin,cbp,ins,hpr,ets,TIG,Phage_integrase,PDZ,DHOdehase,helicase_C,mycin,fkbp,KISc,histone,ghf5,pdc,adh,kazal,bowman,MHC_II_alpha_NC,laminin_G,HLH,cyclo,tbpc,GEL,CBM_20,igI,Levi_coat,myb_DNA-binding,MHC_II_C,Epimerase,hemopexin,profilin,peroxidase,bromodomain,GLA,TIL,Glyco_hydro_18,parv,cah,DEATH,sti,hla,fer4,ChtBD,ricin,pot,actin,hr,FAD_binding_4,flav,Bac_DNA_binding,Stap_Strp_toxin,kringle,rvp,ghf18,ndk,lipase,PK,HMG_box,zf-CCHH,igcon,sodfe,DMRL_synthase,CBS,RuBisCO_small,Sm,tln,aldedh,TPR,rub,cytc,hormone_rec,Propep_M14,S_100,serbact,pgk,cpn60_TCP1,egf,rnasemam,il8,RRF,Rhodanese,Pro_CA,Lum_binding
1-SPFP,0.0418118466899,0.176824313343,0.474028808381,0.267190569745,0.0,0.497114591921,0.0915934755332,0.187319884726,0.206918238994,0.0865312264861,0.0217216411907,0.0172872340426,0.0780370072405,0.020507285483,0.432716624518,0.148741418764,0.266849778153,0.747688243065,0.447598253275,0.131147540984,0.0510752688172,0.750889679715,0.167559296098,0.0762250453721,0.0,0.216250799744,0.239058477381,0.135593220339,0.0209854014599,0.497382198953,0.197058823529,0.0437031751695,0.0595664070722,0.655555555556,0.0732307692308,0.220607661823,0.21990104453,0.467996674979,0.0872894333844,0.171328671329,0.0,0.568181818182,0.0242424242424,0.0285580524345,0.221556886228,0.0293296089385,0.0688416641724,0.339869281046,0.217758985201,0.0497417256553,0.110091743119,0.00567107750473,0.0657894736842,0.0,0.0820850808868,0.371732026144,0.313656280428,0.0113452188006,0.178013392857,0.616236162362,0.334365325077,0.0952380952381,0.155813953488,0.105432164838,0.175182481752,0.0281690140845,0.0479988804926,0.118222891566,0.00151285930408,0.00432432432432,0.16265060241,0.103527336861,0.147377938517,0.015350877193,0.0604810996564,0.0855967078189,0.0956768249468,0.100795755968,0.100811123986,0.184154175589,0.0441767068273,0.0145348837209,0.134572490706,0.0672328379335,0.00454545454545,0.0462328767123,0.0375782881002,0.340017436792,0.00865800865801,0.0229398663697,0.0406654343808,0.617155385037,0.286995515695,0.0,0.508090614887,0.0216216216216,0.1581769437,0.0853950518755,0.56517311609,0.0708520179372,0.209569732938,0.0660377358491,0.695804195804,0.253333333333,0.144058500914,0.0178173719376,0.0204865556978,0.529880478088,0.0,0.305389221557,0.269565217391,0.0,0.0661654135338,0.429333333333,0.0919958419958,0.0233977619532,0.11542991755,0.86276849642,0.0681218095406,0.862745098039,0.070042685293,0.232456140351,0.401737967914,0.0331125827815,0.0573372206025,0.149585695595,0.0,0.107215104518,0.444444444444,0.359178263751,0.0171325518485,0.231343283582,0.796269023073,0.411332633788,0.00841750841751,0.242319641008,0.12584872888,0.195708472068,0.0673642903859,0.0852713178295,0.147070546034,0.0290456431535,0.321946169772,0.240717029449,0.000491400491401,0.601366742597,0.132654792197,0.0232461602325,0.199612403101,0.105863192182,0.334831460674,0.119308600337,0.0118577075099,0.0618298784846,0.273058252427,0.194908294552,0.328530259366,0.0275796481217,0.395945945946,0.132867132867
1-SPFN,0.04914004914,0.182397317687,0.420930232558,0.269306930693,0.0,0.521626297578,0.084515195369,0.189504373178,0.216732542819,0.0962343096234,0.0224252491694,0.0134158926729,0.0807660283097,0.0211581291759,0.452848586154,0.0889192886457,0.267188491644,0.615217391304,0.332792207792,0.116743471582,0.0582152432018,0.656639004149,0.157553956835,0.0549738219895,0.0,0.222661396574,0.248946763692,0.146118721461,0.0162659123055,0.1484375,0.108064516129,0.0452029520295,0.0618173875055,0.430656934307,0.0766258853831,0.225675675676,0.22605255722,0.291558777835,0.0922330097087,0.177536231884,0.0,0.109649122807,0.0169491525424,0.0255336961072,0.186868686869,0.0247058823529,0.073155216285,0.231935771632,0.123947051745,0.0535751081805,0.110970996217,0.00416666666667,0.0297619047619,0.0,0.085464753587,0.383966244726,0.314383310967,0.0116910229645,0.189429928741,0.486880466472,0.354563361786,0.0979986197378,0.155092592593,0.115070093458,0.181268882175,0.0128205128205,0.0538884524745,0.0918665886483,0.00103145951521,0.00468384074941,0.175324675325,0.110193354609,0.0902047592695,0.0088161209068,0.0472103004292,0.0804331013148,0.0988045864845,0.105409153953,0.101398601399,0.167641325536,0.0357432981316,0.0164835164835,0.139016897081,0.0543789353177,0.00507246376812,0.0411585365854,0.0276923076923,0.214168039539,0.00888888888889,0.0252636742703,0.0290524925718,0.604563758389,0.232727272727,0.0,0.291821561338,0.0206611570248,0.0953150242326,0.0894648829431,0.519176800748,0.0786069651741,0.200567980121,0.0708412397217,0.5520110957,0.190380761523,0.144746509919,0.0135900339751,0.0141969831411,0.537156704362,0.0,0.235023041475,0.149758454106,0.0,0.0414117647059,0.429333333333,0.0764248704663,0.0240208877285,0.121512709237,0.812359550562,0.0748694138131,0.743961352657,0.0705629397967,0.139473684211,0.297672114908,0.0285714285714,0.0470869912211,0.152647975078,0.0,0.105193516374,0.453285968028,0.366711772666,0.0157154673284,0.105681818182,0.732941708089,0.277522123894,0.0070821529745,0.250445950767,0.13014369693,0.19909672563,0.0703071672355,0.0428015564202,0.160086767896,0.0169082125604,0.178325688073,0.205689277899,0.000558347292016,0.538775510204,0.138358103326,0.0255824577433,0.191806331471,0.10970464135,0.246961325967,0.119966087325,0.0114795918367,0.066769587032,0.268656716418,0.201186775925,0.210915818686,0.031453362256,0.239967239967,0.066783831283
SP-Score,0.045475947915,0.179610815515,0.447479520469,0.268248750219,0.0,0.509370444749,0.0880543354511,0.188412128952,0.211825390907,0.0913827680548,0.0220734451801,0.0153515633577,0.0794015177751,0.0208327073295,0.442782605336,0.118830353705,0.267019134899,0.681452817185,0.390195230534,0.123945506283,0.0546452560095,0.703764341932,0.162556626466,0.0655994336808,0.0,0.219456098159,0.244002620537,0.1408559709,0.0186256568827,0.322909849476,0.152561669829,0.0444530635995,0.0606918972888,0.543106244931,0.0749283273069,0.223141668749,0.222976800875,0.379777726407,0.0897612215466,0.174432451606,0.0,0.338915470494,0.0205957883924,0.0270458742708,0.204212786548,0.0270177456457,0.0709984402287,0.285902526339,0.170853018473,0.0516584169179,0.110531369668,0.0049188720857,0.0477756892231,0.0,0.0837749172369,0.377849135435,0.314019795698,0.0115181208826,0.183721660799,0.551558314417,0.344464343432,0.0966183574879,0.15545327304,0.110251129148,0.178225681964,0.0204947634525,0.0509436664835,0.105044740107,0.00127215940965,0.00450408253687,0.168987638867,0.106860345735,0.118791348893,0.0120834990499,0.0538457000428,0.0830149045669,0.0972407057157,0.103102454961,0.101104862692,0.175897750562,0.0399600024795,0.0155092001022,0.136794693894,0.0608058866256,0.00480895915679,0.0436957066488,0.0326352978963,0.277092738165,0.00877344877345,0.02410177032,0.0348589634763,0.610859571713,0.259861394211,0.0,0.399956088113,0.0211413893232,0.126745983966,0.0874299674093,0.542174958419,0.0747294915557,0.205068856529,0.0684394877854,0.623907645752,0.221857047428,0.144402505417,0.0157037029564,0.0173417694195,0.533518591225,0.0,0.270206131516,0.209661835749,0.0,0.0537885891199,0.429333333333,0.0842103562311,0.0237093248408,0.118471313394,0.837564023491,0.0714956116768,0.803353225348,0.0703028125448,0.185964912281,0.349705041411,0.0308420056764,0.0522121059118,0.151116835337,0.0,0.106204310446,0.448865206236,0.362945018208,0.0164240095884,0.168512550882,0.764605365581,0.344427378841,0.00774983069601,0.246382795887,0.127996212905,0.197402598849,0.0688357288107,0.0640364371248,0.153578656965,0.022976927857,0.250135928923,0.223203153674,0.000524873891708,0.5700711264,0.135506447762,0.0244143089879,0.195709367286,0.107783916766,0.290896393321,0.119637343831,0.0116686496733,0.0642997327583,0.270857484423,0.198047535239,0.269723039026,0.0295165051888,0.317956592957,0.099825482075
TC,0.0,0.0210526315789,0.0977443609023,0.0,0.0,0.0,0.0,0.0,0.0,0.0173913043478,0.0,0.0,0.0,0.0,0.0,0.0263157894737,0.0,0.239130434783,0.0916030534351,0.0,0.0,0.337209302326,0.0,0.0,0.0,0.0,0.00350877192982,0.0,0.0,0.00925925925926,0.0,0.0,0.0,0.278947368421,0.0,0.0,0.0,0.176291793313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0798004987531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179487179487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0459770114943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0120481927711,0.0,0.0,0.0,0.309333333333,0.0862068965517,0.0,0.0,0.0102564102564,0.0,0.0,0.070652173913,0.0,0.0,0.0,0.361538461538,0.0,0.0,0.0,0.00507614213198,0.3359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.651685393258,0.0,0.581395348837,0.003663003663,0.0882352941176,0.012987012987,0.0,0.0189393939394,0.0,0.0,0.0,0.0674157303371,0.0,0.0,0.0,0.481152993348,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156739811912,0.0119521912351,0.0,0.259259259259,0.0,0.0,0.0106382978723,0.0,0.00523560209424,0.0,0.0,0.0,0.0,0.0,0.010752688172,0.0,0.0781893004115,0.0
Modeler,0.0418118466899,0.176824313343,0.474028808381,0.267190569745,0.0,0.497114591921,0.0915934755332,0.187319884726,0.206918238994,0.0865312264861,0.0217216411907,0.0172872340426,0.0780370072405,0.020507285483,0.432716624518,0.148741418764,0.266849778153,0.747688243065,0.447598253275,0.131147540984,0.0510752688172,0.750889679715,0.167559296098,0.0762250453721,0.0,0.216250799744,0.239058477381,0.135593220339,0.0209854014599,0.497382198953,0.197058823529,0.0437031751695,0.0595664070722,0.655555555556,0.0732307692308,0.220607661823,0.21990104453,0.467996674979,0.0872894333844,0.171328671329,0.0,0.568181818182,0.0242424242424,0.0285580524345,0.221556886228,0.0293296089385,0.0688416641724,0.339869281046,0.217758985201,0.0497417256553,0.110091743119,0.00567107750473,0.0657894736842,0.0,0.0820850808868,0.371732026144,0.313656280428,0.0113452188006,0.178013392857,0.616236162362,0.334365325077,0.0952380952381,0.155813953488,0.105432164838,0.175182481752,0.0281690140845,0.0479988804926,0.118222891566,0.00151285930408,0.00432432432432,0.16265060241,0.103527336861,0.147377938517,0.015350877193,0.0604810996564,0.0855967078189,0.0956768249468,0.100795755968,0.100811123986,0.184154175589,0.0441767068273,0.0145348837209,0.134572490706,0.0672328379335,0.00454545454545,0.0462328767123,0.0375782881002,0.340017436792,0.00865800865801,0.0229398663697,0.0406654343808,0.617155385037,0.286995515695,0.0,0.508090614887,0.0216216216216,0.1581769437,0.0853950518755,0.56517311609,0.0708520179372,0.209569732938,0.0660377358491,0.695804195804,0.253333333333,0.144058500914,0.0178173719376,0.0204865556978,0.529880478088,0.0,0.305389221557,0.269565217391,0.0,0.0661654135338,0.429333333333,0.0919958419958,0.0233977619532,0.11542991755,0.86276849642,0.0681218095406,0.862745098039,0.070042685293,0.232456140351,0.401737967914,0.0331125827815,0.0573372206025,0.149585695595,0.0,0.107215104518,0.444444444444,0.359178263751,0.0171325518485,0.231343283582,0.796269023073,0.411332633788,0.00841750841751,0.242319641008,0.12584872888,0.195708472068,0.0673642903859,0.0852713178295,0.147070546034,0.0290456431535,0.321946169772,0.240717029449,0.0004914004914,0.601366742597,0.132654792197,0.0232461602325,0.199612403101,0.105863192182,0.334831460674,0.119308600337,0.0118577075099,0.0618298784846,0.273058252427,0.194908294552,0.328530259366,0.0275796481217,0.395945945946,0.132867132867
Compression,0.743040685225,0.958333333333,1.21052631579,0.9375,1.63636363636,0.89247311828,1.09006928406,0.969230769231,0.917159763314,0.818181818182,1.00904977376,1.37566137566,0.92,0.949771689498,0.890756302521,1.68488745981,1.0,1.29295774648,1.35877862595,1.18823529412,0.832699619772,1.20809248555,1.125,1.42567567568,1.12727272727,0.953405017921,0.885154061625,0.902912621359,1.375,2.31034482759,1.53488372093,0.96463022508,0.904761904762,1.48387096774,0.785714285714,0.963235294118,0.942708333333,1.68562874251,0.888111888112,0.944,0.842975206612,2.5625,1.39513677812,1.15662650602,1.23529411765,1.19135802469,0.911392405063,1.52876106195,1.79166666667,0.860335195531,0.966666666667,1.33242506812,1.55555555556,1.20138888889,0.946428571429,0.949152542373,0.992366412214,0.97375328084,0.905405405405,1.34117647059,0.907692307692,0.905511811024,1.01851851852,0.861313868613,0.965909090909,1.81118881119,0.750830564784,1.30470914127,1.31239092496,0.901477832512,0.915492957746,0.875,1.6996996997,1.48704663212,1.31489361702,1.11267605634,0.925,0.945945945946,0.988764044944,1.13392857143,1.51136363636,0.875518672199,0.927272727273,1.28535353535,0.871559633028,1.18965517241,1.40476190476,1.5145631068,1.0,0.836170212766,1.47078464107,1.04,1.27868852459,1.08219178082,1.80213903743,1.07511737089,1.51086956522,0.896551724138,1.16062176166,0.846666666667,1.09166666667,0.780141843972,1.4,1.49180327869,0.980952380952,1.29584352078,1.49115044248,0.958333333333,1.04177545692,1.19310344828,1.6,1.57471264368,1.51123595506,1.0,1.26523297491,0.943396226415,0.914141414141,1.12359550562,0.59217877095,1.22222222222,1.01779359431,1.51428571429,1.41228070175,1.24390243902,1.18152866242,0.956284153005,1.77227722772,1.03937007874,0.98,0.939393939394,1.12320916905,2.17105263158,1.1814159292,1.50190839695,1.21348314607,0.871794871795,0.912280701754,0.963470319635,0.923076923077,1.70149253731,0.831325301205,1.56989247312,1.74631268437,1.25,0.784810126582,1.24074074074,0.898550724638,0.876623376623,1.07142857143,0.970873786408,1.47804878049,0.96091954023,0.995575221239,0.943661971831,1.05,0.913580246914,1.56770833333,0.819444444444,1.70149253731,2.0350877193
Average Pairwise P-Distance,0.813060615249,0.69157746224,0.432541212615,0.621300680491,0.696524216524,0.497570671228,0.583461582685,0.652770575865,0.577504625952,0.794302357561,0.703921305539,0.640414891982,0.644403962918,0.774687089415,0.546840027063,0.676688133147,0.428456546658,0.321474752932,0.674867493739,0.752409548259,0.754982275496,0.395941660193,0.68045391178,0.666708669355,0.637616691285,0.596884675783,0.540818317462,0.821860771164,0.698817114418,0.432814449081,0.472027358929,0.549611150813,0.665527900799,0.542842294496,0.647106699063,0.732550430418,0.555849520145,0.482811077208,0.769613204258,0.603161530548,0.778699499205,0.543583686876,0.762125149573,0.761455715607,0.710407900063,0.574859638103,0.733829693113,0.526189692191,0.511895604396,0.77855309792,0.449466071387,0.892280673019,0.522129477589,0.610618569508,0.71074070732,0.56180829161,0.485511040209,0.738017462322,0.536707070444,0.507921318448,0.596915099147,0.779268400873,0.574178324287,0.81766256597,0.666263277859,0.774494364128,0.673693334175,0.754471684433,0.77068656165,0.71772579895,0.727523894863,0.649837334514,0.538145283908,0.675947544238,0.704938332975,0.666731476643,0.616818569791,0.550970474549,0.555956413038,0.514941639368,0.446402349673,0.845144176372,0.693596967243,0.738523872717,0.724893232418,0.602234243589,0.527409429113,0.548908326168,0.826348980178,0.821664031898,0.795805989437,0.360924960618,0.592340974888,0.351111239414,0.552210959782,0.817367294175,0.718990786467,0.559455969637,0.393381802865,0.762799751747,0.482047419162,0.844681223369,0.531445063548,0.592582154704,0.611573779299,0.776182796718,0.679011511958,0.602567561363,0.62742241785,0.657440713035,0.472144413321,0.639874226527,0.724493600477,0.444054946113,0.612811388951,0.803647499156,0.635619647256,0.235393258427,0.667164418006,0.40665221619,0.625041880386,0.612652229351,0.602763160125,0.466850061025,0.821594228125,0.65038575879,0.669831363203,0.674801967022,0.566619523167,0.63385914695,0.801401791822,0.441311587603,0.262909945551,0.52468294926,0.75150051136,0.645335152946,0.670088729725,0.576749866252,0.667755917722,0.689152170795,0.538122283561,0.804998272552,0.564584649463,0.614808567767,0.829902923445,0.378913108719,0.555258866212,0.784890184516,0.505694618273,0.657035371119,0.475470216982,0.485784743044,0.628134386911,0.688783219691,0.578133444705,0.654539898619,0.598179098968,0.773244035327,0.608288055899,0.729374418295
Maximum Pairwise P-Distance,0.882352941176,0.935897435897,0.606299212598,0.839285714286,0.813333333333,0.760563380282,0.735465116279,0.741379310345,0.75,0.931506849315,0.848314606742,0.748427672956,0.733333333333,0.826315789474,0.862068965517,0.811158798283,0.536507936508,0.544554455446,0.917525773196,0.905,0.865168539326,0.482352941176,0.785714285714,0.75,0.704545454545,0.64,0.631782945736,0.898550724638,0.837104072398,0.471698113208,0.6,0.649606299213,0.845161290323,0.78021978022,0.839285714286,0.786885245902,0.811320754717,0.541538461538,0.868686868687,0.869565217391,0.857142857143,0.615384615385,0.807272727273,0.798507462687,0.810810810811,0.65306122449,0.857142857143,0.59585492228,0.763888888889,0.848888888889,0.527950310559,0.938775510204,0.714285714286,0.730994152047,0.835443037975,0.8,0.691056910569,0.872340425532,0.716666666667,0.875,0.747572815534,0.864583333333,0.783783783784,0.936170212766,0.80701754386,0.865384615385,0.837209302326,0.867857142857,0.784126984127,0.84328358209,0.833333333333,0.758241758242,0.692567567568,0.827067669173,0.807692307692,0.765151515152,0.854166666667,0.739130434783,0.682352941176,0.642857142857,0.6,0.903846153846,0.835294117647,0.780068728522,0.818181818182,0.63963963964,0.579439252336,0.666666666667,0.871428571429,0.87044534413,0.841085271318,0.47311827957,0.745454545455,0.491525423729,0.761111111111,0.850649350649,0.793103448276,0.713333333333,0.633333333333,0.85046728972,0.712765957447,0.963855421687,0.775862068966,0.765957446809,0.783505154639,0.808362369338,0.775956284153,0.72131147541,0.843065693431,0.736363636364,0.571428571429,0.733333333333,0.757925072046,0.551401869159,0.7004048583,0.895833333333,0.7875,0.325842696629,0.833333333333,0.487804878049,0.742738589212,0.650793650794,0.854785478548,0.535211267606,0.905263157895,0.794117647059,0.757894736842,0.824175824176,0.688311688312,0.764150943396,0.8875,0.559440559441,0.33180778032,0.564835164835,0.898550724638,0.851851851852,0.847826086957,0.677777777778,0.775362318841,0.766666666667,0.701923076923,0.867647058824,0.717948717949,0.726635514019,0.922413793103,0.545454545455,0.673267326733,0.848214285714,0.682352941176,0.816091954023,0.648351648352,0.530303030303,0.806451612903,0.830188679245,0.732673267327,0.885245901639,0.653409090909,0.888,0.765625,0.804347826087
Number of Sequences,5.0,13.0,5.0,10.0,4.0,6.0,5.0,4.0,7.0,6.0,4.0,4.0,6.0,5.0,13.0,4.0,6.0,4.0,4.0,4.0,6.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,7.0,8.0,4.0,8.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,4.0,5.0,7.0,6.0,4.0,4.0,4.0,7.0,8.0,12.0,5.0,8.0,4.0,6.0,6.0,5.0,9.0,5.0,4.0,9.0,4.0,4.0,4.0,4.0,11.0,4.0,4.0,4.0,5.0,8.0,6.0,5.0,4.0,6.0,4.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0,6.0,4.0,5.0,6.0,5.0,4.0,4.0,5.0,6.0,4.0,5.0,8.0,9.0,4.0,5.0,8.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,7.0,5.0,7.0,5.0,5.0,14.0,5.0,7.0,4.0,4.0,5.0,4.0,6.0,4.0,6.0,9.0,6.0,5.0,4.0,5.0,4.0,5.0,15.0,12.0,8.0,5.0,4.0,7.0,4.0,4.0,4.0,6.0,5.0,11.0,5.0,4.0,6.0,5.0,4.0,4.0,12.0,6.0,11.0,4.0,6.0,4.0,4.0
Reference Length,467.0,96.0,285.0,64.0,88.0,93.0,433.0,65.0,169.0,132.0,442.0,189.0,100.0,219.0,119.0,311.0,323.0,355.0,131.0,255.0,263.0,173.0,176.0,148.0,165.0,279.0,357.0,103.0,336.0,116.0,86.0,311.0,210.0,217.0,98.0,136.0,192.0,334.0,143.0,125.0,363.0,48.0,329.0,498.0,51.0,162.0,158.0,452.0,96.0,358.0,180.0,367.0,36.0,288.0,112.0,118.0,131.0,381.0,74.0,85.0,130.0,127.0,54.0,137.0,88.0,143.0,301.0,361.0,573.0,203.0,71.0,128.0,333.0,193.0,470.0,142.0,200.0,74.0,89.0,112.0,88.0,241.0,110.0,396.0,218.0,116.0,126.0,412.0,96.0,470.0,599.0,375.0,61.0,73.0,187.0,213.0,92.0,203.0,193.0,150.0,120.0,141.0,135.0,61.0,105.0,409.0,226.0,144.0,383.0,145.0,55.0,87.0,534.0,109.0,279.0,159.0,198.0,178.0,179.0,45.0,281.0,70.0,456.0,82.0,314.0,183.0,101.0,254.0,100.0,132.0,349.0,152.0,452.0,524.0,89.0,39.0,114.0,219.0,182.0,67.0,166.0,93.0,339.0,524.0,237.0,54.0,138.0,308.0,98.0,103.0,205.0,435.0,226.0,71.0,140.0,81.0,192.0,216.0,268.0,114.0
