Statistics,TL079,SF263,SF185,SF175,SF032,SF117,SF108,TL272,SF038,SF077,SF270,SF061,TL332,SF174,SF296,SF252,SF135,SF144,SF129,SF188,SF227,SF098,TL567,SF055,SF058,SF273,TL239,SF168,SF123,SF066,SF244,SF133,SF064,SF173,SF221,SF172,SF150,TL028,SF190,SF121,SF102,SF099,SF081,SF222,SF268,SF303,TL788,SF285,TL639,SF261,SF271,SF120,SF192,SF151,SF257,SF183,SF001,SF217,SF266,SF142,SF255,SF180,SF145,SF110,SF137,SF210,SF097,SF253,SF087,SF047,SF294,SF224,SF065,SF103,SF207,SF161,SF292,SF274,SF170,SF025,SF215,SF318,TL306,SF013,SF237,SF134,SF019,SF275,SF208,SF154,SF279,TL436,SF300,TL587,SF075,TL526,SF295,SF241,TL008,SF281,SF203,SF091,TL553,SF026,SF238,SF264,SF153,SF313,TL548,TL443,TL258,SF256,SF018,SF139,SF009,SF197,TL142,SF057,SF299,SF163,TL568,SF202,SF184,SF260,SF187,SF199,SF307,SF039,SF008,SF156,SF181,TL413,SF248,SF213,SF131,SF119,TL704,TL366,TL657,SF068,SF015,SF096,SF051,SF027,SF251,SF088,TL346,SF212,SF071,SF178,TL379,SF043,SF093,SF092,SF191,SF160,SF304,SF311,SF223,TL722,TL473,SF229,SF118,TL327,TL026,SF291,SF141,SF243,SF283,SF316,SF245,SF028,SF086,SF049,SF194,TL347,TL001,SF239,SF072,SF269,SF022,TL046,SF165,SF082,SF200,TL400,TL167
1-SPFP,0.0,0.652173913043,0.703917050691,0.724279835391,0.457711442786,0.751968503937,0.00716845878136,0.421428571429,0.805447470817,0.648739063304,0.839526117394,0.722044728435,0.322222222222,0.94387755102,0.337748344371,0.2405618964,0.370888157895,0.417159763314,0.589141316904,0.720413999728,0.740268456376,0.25017088175,0.172619047619,0.609551833409,0.359469906129,0.871473354232,0.137420718816,0.611553784861,0.092039800995,0.725202826485,0.443974630021,0.483026584867,0.505395683453,0.440660474716,0.698113207547,0.84553809665,0.252892561983,0.020979020979,0.52560455192,0.691910499139,0.741437827831,0.599749058971,0.836956521739,0.961190855928,0.923264311815,0.418131868132,0.00409836065574,0.321731234867,0.0220588235294,0.766081871345,0.670718232044,0.639027877055,0.835010060362,0.685909980431,0.807278742763,0.430952380952,0.557939914163,0.517345399698,0.261258041458,0.519343986543,0.705965909091,0.545631067961,0.422118380062,0.870163370593,0.969056603774,0.244380403458,0.17048770321,0.678343949045,0.554639611076,0.828475336323,0.232991612302,0.868656716418,0.550807453416,0.856445709638,0.830376940133,0.600805678112,0.354406842692,0.0239234449761,0.540772532189,0.929553264605,0.492998204668,0.612903225806,0.55625,0.594330400782,0.589622641509,0.717345653087,0.220061412487,0.339522546419,0.820420958352,0.902912621359,0.615724381625,0.262790697674,0.88488372093,0.545662100457,0.429378531073,0.121681415929,0.725,0.780415430267,0.0,0.659090909091,0.839862034984,0.326566637246,0.0,0.355909694555,0.452173913043,0.731535756155,0.311222885885,0.448207171315,0.454545454545,0.00520833333333,0.0,0.644520159001,0.816254416961,0.521856692204,0.489434053923,0.600979192166,0.0178571428571,0.607057890563,0.354977193453,0.55415896488,0.160899653979,0.236263736264,0.821167883212,0.491142191142,0.278195488722,0.481335952849,0.597927972373,0.821054103173,0.486494336335,0.119197707736,0.632727272727,0.00990099009901,0.0,0.531392694064,0.673233566963,0.28,0.0,0.0225563909774,0.0,0.760115606936,0.480769230769,0.313019390582,0.549881235154,0.405982905983,0.516728624535,0.338983050847,0.137457044674,0.436106983655,0.579918032787,0.496105919003,0.101265822785,0.192820512821,0.660694812276,0.317416829746,0.763866007688,0.134567901235,0.718462549277,0.507027589797,0.863636363636,0.821752265861,0.399548532731,0.500144383483,0.714720812183,0.0,0.0601503759398,0.348474801061,0.728450200983,0.673170731707,0.48293460925,0.626435246996,0.656114214773,0.238273921201,0.542401343409,0.467283316204,0.610208816705,0.0,0.0,0.736933797909,0.708955223881,0.77498467198,0.34738372093,0.333333333333,0.155172413793,0.222373806276,0.557454890788,0.00522193211488,0.0
1-SPFN,0.0,0.657831325301,0.710465116279,0.768558951965,0.436337103247,0.434090909091,0.00265604249668,0.510086455331,0.82579787234,0.658912702561,0.841792656587,0.732576985413,0.384105960265,0.984042553191,0.329032258065,0.277327935223,0.480810234542,0.393854748603,0.454545454545,0.704487947796,0.728533685601,0.298775510204,0.195945945946,0.638000473821,0.399631675875,0.923588039867,0.155502392344,0.668117519042,0.10632183908,0.756070941337,0.47191011236,0.536818181818,0.52133580705,0.370659722222,0.117088607595,0.875921375921,0.285181733458,0.0122950819672,0.537845705968,0.522077922078,0.767486426062,0.576598311218,0.831533477322,0.966844919786,0.921020656136,0.464024390244,0.00478468899522,0.358274351196,0.0283018867925,0.768328445748,0.69055745165,0.66124260355,0.801158301158,0.74127599577,0.81537176274,0.438560055382,0.560828300259,0.579391891892,0.305219206681,0.554806828392,0.699015471167,0.565961732125,0.521153846154,0.88384279476,0.944117647059,0.28532974428,0.21651667549,0.655384615385,0.571304158502,0.611754966887,0.239693192713,0.919915700738,0.601628222524,0.857142857143,0.828539823009,0.72399445215,0.412732784755,0.030637254902,0.239543726236,0.93598615917,0.486534372785,0.647473560517,0.654411764706,0.645778013808,0.349162011173,0.754416961131,0.232683982684,0.452296819788,0.832348932303,0.905844155844,0.632486388385,0.264018691589,0.932598039216,0.632275132275,0.458225667528,0.164179104478,0.75652173913,0.930973451327,0.0,0.799212598425,0.835744054915,0.382231404959,0.0,0.390101892285,0.475428571429,0.75271411339,0.345851528384,0.502232142857,0.588235294118,0.00632911392405,0.0,0.652298850575,0.87610619469,0.588414634146,0.515740977732,0.648612945839,0.00921658986175,0.695909090909,0.378974505872,0.527259936687,0.175471698113,0.0868686868687,0.865384615385,0.502025256135,0.299837925446,0.498981670061,0.606303151576,0.888367871729,0.513803680982,0.116919617763,0.885496183206,0.00396825396825,0.0,0.561181434599,0.725750459465,0.298365404511,0.0,0.0376569037657,0.0,0.589686098655,0.490196078431,0.33630952381,0.587563451777,0.427286356822,0.620535714286,0.359712230216,0.163265306122,0.507346585998,0.63595505618,0.549137931034,0.131147540984,0.253028263795,0.698797165925,0.312043093497,0.787655719139,0.181063122924,0.714005876592,0.521273748997,0.874476987448,0.906666666667,0.429611650485,0.549666772453,0.781643227239,0.0,0.0824742268041,0.379833754969,0.746794871795,0.72393442623,0.542069459363,0.641158786554,0.574144486692,0.255533199195,0.606857679662,0.477256822953,0.643031784841,0.0,0.0,0.801136363636,0.755968169761,0.779445015416,0.371118012422,0.00444444444444,0.183050847458,0.245112781955,0.241563786008,0.00869565217391,0.0
SP-Score,0.0,0.655002619172,0.707191083485,0.746419393678,0.447024273017,0.593029706514,0.00491225063902,0.46575751338,0.815622671579,0.653825882933,0.840659386991,0.727310856924,0.353164091244,0.963960052106,0.333390301218,0.258944915812,0.425849196218,0.405507255958,0.521843385725,0.712450973762,0.734401070988,0.274473195977,0.184282496782,0.623776153615,0.379550791002,0.89753069705,0.14646155558,0.639835651951,0.0991808200377,0.740636883911,0.45794237119,0.509922383343,0.513365745252,0.405660098469,0.407600907571,0.860729736286,0.269037147721,0.0166370514731,0.531725128944,0.606994210609,0.754462126946,0.588173685095,0.83424499953,0.964017887857,0.922142483975,0.441078129188,0.00444152482548,0.340002793032,0.0251803551609,0.767205158546,0.680637841847,0.650135240303,0.81808418076,0.7135929881,0.811325252751,0.434756218167,0.559384107211,0.548368645795,0.283238624069,0.537075407468,0.702490690129,0.555796400043,0.471636113108,0.877003082677,0.956587125416,0.264855073869,0.19350218935,0.666864282215,0.562971884789,0.720115151605,0.236342402508,0.894286208578,0.57621783797,0.85679428339,0.829458381571,0.662400065131,0.383569813724,0.027280349939,0.390158129212,0.932769711887,0.489766288727,0.630188393162,0.605330882353,0.620054207295,0.469392326341,0.735881307109,0.226372697586,0.395909683104,0.826384945328,0.904378388602,0.624105385005,0.263404694632,0.908740880073,0.588968616366,0.443802099301,0.142930260203,0.740760869565,0.855694440797,0.0,0.729151753758,0.83780304495,0.354399021102,0.0,0.37300579342,0.463801242236,0.742124934772,0.328537207135,0.475219657086,0.521390374332,0.00576872362869,0.0,0.648409504788,0.846180305826,0.555135663175,0.502587515828,0.624796069003,0.0135368663594,0.651483490736,0.366975849663,0.540709450783,0.168185676046,0.161566211566,0.843276249298,0.496583723639,0.289016707084,0.490158811455,0.602115561974,0.854710987451,0.500149008658,0.11805866275,0.759111727967,0.00693462203363,0.0,0.546287064332,0.699492013214,0.289182702255,0.0,0.0301066473716,0.0,0.674900852796,0.4854826546,0.324664457196,0.568722343466,0.416634631402,0.568632169411,0.349347640532,0.150361175398,0.471726784827,0.607936544483,0.522621925019,0.116206681884,0.222924388308,0.679745989101,0.314729961622,0.775760863414,0.157815512079,0.716234212934,0.514150669397,0.869056675542,0.864209466264,0.414580091608,0.524905577968,0.748182019711,0.0,0.071312301372,0.364154278015,0.737622536389,0.698552578968,0.512502034307,0.633797016775,0.615129350733,0.246903560198,0.574629511535,0.472270069579,0.626620300773,0.0,0.0,0.769035080773,0.732461696821,0.777214843698,0.359250866676,0.168888888889,0.169111630625,0.233743294115,0.399509338398,0.0069587921444,0.0
TC,0.0,0.271028037383,0.346153846154,0.597701149425,0.139072847682,0.418604651163,0.0,0.246376811594,0.705882352941,0.172413793103,0.637209302326,0.506666666667,0.169491525424,0.953125,0.0338983050847,0.0,0.223360655738,0.012,0.0272727272727,0.189349112426,0.514598540146,0.0833333333333,0.0,0.296428571429,0.0398550724638,0.831775700935,0.0,0.325581395349,0.0,0.225609756098,0.231343283582,0.0461538461538,0.0833333333333,0.14880952381,0.0322580645161,0.544303797468,0.015503875969,0.0,0.219512195122,0.395348837209,0.360248447205,0.271844660194,0.642857142857,0.929936305732,0.861111111111,0.155378486056,0.0,0.056,0.0,0.44,0.380434782609,0.293103448276,0.397058823529,0.454277286136,0.575757575758,0.176470588235,0.314606741573,0.377952755906,0.0267175572519,0.24537037037,0.407547169811,0.225,0.164835164835,0.804511278195,0.848684210526,0.0125,0.0,0.522123893805,0.0805369127517,0.0816326530612,0.0,0.816568047337,0.194092827004,0.628472222222,0.595238095238,0.20320855615,0.0921985815603,0.0,0.159292035398,0.84,0.0403587443946,0.313253012048,0.462962962963,0.2890625,0.1875,0.359281437126,0.0181818181818,0.048275862069,0.463414634146,0.820754716981,0.150627615063,0.0,0.741935483871,0.470588235294,0.182509505703,0.0,0.584,0.696035242291,0.0,0.733333333333,0.619589977221,0.134782608696,0.0,0.234782608696,0.0,0.494505494505,0.00606060606061,0.228915662651,0.455696202532,0.0,0.0,0.329113924051,0.680555555556,0.300578034682,0.131455399061,0.315436241611,0.0,0.0697674418605,0.0,0.363825363825,0.0,0.0,0.65306122449,0.075,0.0136054421769,0.130434782609,0.181818181818,0.4,0.0,0.0427807486631,0.645962732919,0.0,0.0,0.160377358491,0.172839506173,0.0,0.0,0.0,0.0,0.435643564356,0.204724409449,0.107142857143,0.351063829787,0.0764119601329,0.337078651685,0.0612244897959,0.0,0.197452229299,0.528301886792,0.0627802690583,0.0,0.0530973451327,0.166666666667,0.0371900826446,0.48309178744,0.14224137931,0.297872340426,0.0992647058824,0.697916666667,0.836538461538,0.038961038961,0.189349112426,0.14953271028,0.0,0.0,0.00574712643678,0.395833333333,0.353383458647,0.263929618768,0.421052631579,0.266949152542,0.0,0.127551020408,0.109523809524,0.496551724138,0.0,0.0,0.514563106796,0.475,0.44776119403,0.0,0.0,0.0,0.0,0.0971428571429,0.0,0.0
Modeler,0.0,0.652173913043,0.703917050691,0.724279835391,0.457711442786,0.751968503937,0.00716845878136,0.421428571429,0.805447470817,0.648739063304,0.839526117394,0.722044728435,0.322222222222,0.94387755102,0.337748344371,0.2405618964,0.370888157895,0.417159763314,0.589141316904,0.720413999728,0.740268456376,0.25017088175,0.172619047619,0.609551833409,0.359469906129,0.871473354232,0.137420718816,0.611553784861,0.092039800995,0.725202826485,0.443974630021,0.483026584867,0.505395683453,0.440660474716,0.698113207547,0.84553809665,0.252892561983,0.020979020979,0.52560455192,0.691910499139,0.741437827831,0.599749058971,0.836956521739,0.961190855928,0.923264311815,0.418131868132,0.00409836065574,0.321731234867,0.0220588235294,0.766081871345,0.670718232044,0.639027877055,0.835010060362,0.685909980431,0.807278742763,0.430952380952,0.557939914163,0.517345399698,0.261258041458,0.519343986543,0.705965909091,0.545631067961,0.422118380062,0.870163370593,0.969056603774,0.244380403458,0.17048770321,0.678343949045,0.554639611076,0.828475336323,0.232991612302,0.868656716418,0.550807453416,0.856445709638,0.830376940133,0.600805678112,0.354406842692,0.0239234449761,0.540772532189,0.929553264605,0.492998204668,0.612903225806,0.55625,0.594330400782,0.589622641509,0.717345653087,0.220061412487,0.339522546419,0.820420958352,0.902912621359,0.615724381625,0.262790697674,0.88488372093,0.545662100457,0.429378531073,0.121681415929,0.725,0.780415430267,0.0,0.659090909091,0.839862034984,0.326566637246,0.0,0.355909694555,0.452173913043,0.731535756155,0.311222885885,0.448207171315,0.454545454545,0.00520833333333,0.0,0.644520159001,0.816254416961,0.521856692204,0.489434053923,0.600979192166,0.0178571428571,0.607057890563,0.354977193453,0.55415896488,0.160899653979,0.236263736264,0.821167883212,0.491142191142,0.278195488722,0.481335952849,0.597927972373,0.821054103173,0.486494336335,0.119197707736,0.632727272727,0.00990099009901,0.0,0.531392694064,0.673233566963,0.28,0.0,0.0225563909774,0.0,0.760115606936,0.480769230769,0.313019390582,0.549881235154,0.405982905983,0.516728624535,0.338983050847,0.137457044674,0.436106983655,0.579918032787,0.496105919003,0.101265822785,0.192820512821,0.660694812276,0.317416829746,0.763866007688,0.134567901235,0.718462549277,0.507027589797,0.863636363636,0.821752265861,0.399548532731,0.500144383483,0.714720812183,0.0,0.0601503759398,0.348474801061,0.728450200983,0.673170731707,0.48293460925,0.626435246996,0.656114214773,0.238273921201,0.542401343409,0.467283316204,0.610208816705,0.0,0.0,0.736933797909,0.708955223881,0.77498467198,0.34738372093,0.333333333333,0.155172413793,0.222373806276,0.557454890788,0.00522193211488,0.0
Compression,1.83333333333,0.973821989529,0.931506849315,0.951612903226,1.06393861893,1.35689045936,1.48828828829,0.690265486726,0.984802431611,0.995614035088,0.983193277311,0.963963963964,0.897727272727,0.903614457831,1.01234567901,0.703703703704,0.817012858556,1.01117318436,1.38266384778,1.04460966543,1.01801801802,0.779625779626,0.87012987013,0.948571428571,0.92349726776,0.884892086331,0.7875,0.792592592593,0.835227272727,0.898148148148,0.929936305732,0.81589958159,0.930722891566,1.05925925926,1.7533632287,0.784615384615,0.957746478873,1.38255033557,0.974854932302,1.18235294118,0.8753894081,1.13005780347,1.0,0.986595174263,1.00606060606,0.902116402116,0.866666666667,0.832876712329,0.78672985782,0.91935483871,0.956363636364,0.924137931034,1.09929078014,0.84749034749,0.944444444444,0.957186544343,1.02272727273,0.868686868687,0.935185185185,0.926315789474,1.00617283951,0.96,0.74427480916,0.976868327402,1.05025125628,0.780303030303,0.695754716981,1.0376344086,0.812652068127,1.46853146853,0.796,0.85201793722,0.843450479233,0.987878787879,0.994565217391,0.646706586826,0.775119617225,0.736263736264,1.70512820513,0.990476190476,0.990881458967,0.844262295082,0.817073170732,0.808943089431,1.28915662651,0.857142857143,0.919463087248,0.701754385965,1.0,0.993939393939,1.0379403794,1.01818181818,0.90243902439,0.816143497758,0.888077858881,0.705179282869,0.926174496644,0.807432432432,0.508650519031,0.787878787879,1.02879078695,0.771014492754,0.542328042328,0.875,0.906976744186,0.960199004975,0.75,0.8125,0.733333333333,0.787234042553,1.77894736842,0.92899408284,0.855614973262,0.901098901099,0.816155988858,0.89406779661,1.37735849057,0.737991266376,0.89247311828,1.00231481481,0.847619047619,1.64186046512,0.888888888889,0.881422924901,0.94249201278,0.845161290323,0.852097130243,0.808823529412,0.872340425532,0.940074906367,0.673913043478,1.3654822335,1.71308016878,0.893129770992,0.827683615819,0.842105263158,1.63218390805,0.655052264808,0.814960629921,1.18699186992,0.966480446927,0.924901185771,0.901709401709,0.926174496644,0.704697986577,0.912698412698,0.812865497076,0.7875,0.86036036036,0.849529780564,0.660256410256,0.681222707424,0.950177935943,0.967346938776,0.932330827068,0.730834752981,1.0,0.938325991189,0.961165048544,0.868965517241,0.861111111111,0.881974248927,0.723926380368,0.598901098901,0.711764705882,0.857142857143,0.987654320988,0.872727272727,0.797872340426,0.924731182796,1.20273972603,0.875776397516,0.720634920635,0.948275862069,0.900552486188,1.03759398496,0.686390532544,0.8515625,0.864864864865,0.978319783198,0.849056603774,1.85555555556,0.721991701245,0.684523809524,1.57013574661,0.636042402827,0.66875
Average Pairwise P-Distance,0.869500484864,0.830240634165,0.778929961678,0.632431818956,0.815565714707,0.818241190334,0.819956140351,0.864721494374,0.686902947154,0.763470643488,0.748275757806,0.791706587947,0.869749045281,0.648857526882,0.716047482211,0.853372513515,0.781737597462,0.792134176935,0.755606038075,0.748222392735,0.725282838924,0.8393968564,0.826513213981,0.75917552022,0.830959258849,0.675496334456,0.854173943848,0.785510949381,0.854275898394,0.800020015902,0.798441233315,0.795348288758,0.810371511644,0.758717665415,0.848936272622,0.727399954706,0.84117680765,0.865119761969,0.808509889006,0.769726231989,0.762812643359,0.817934048516,0.722416042023,0.621102044874,0.579843410852,0.797863831305,0.892845926763,0.838317775627,0.91598119859,0.733789594889,0.771097840703,0.720190850616,0.732426502772,0.810364159278,0.701416138338,0.856992819553,0.845617184273,0.829384423346,0.872637504629,0.830256266678,0.722565440429,0.838046287507,0.815710778137,0.646084378966,0.562589394874,0.850158970031,0.81292432681,0.737379640452,0.765045442658,0.70970707186,0.872972710439,0.694992576035,0.812831963394,0.624301992431,0.750756748905,0.840998400283,0.838483570419,0.891191658565,0.838723820722,0.616068871707,0.813677097742,0.856286473107,0.831027667984,0.76715550631,0.814361001318,0.800924685342,0.837019396336,0.781586928582,0.817788023026,0.565559160958,0.804869235778,0.864719437303,0.690983337249,0.852134512764,0.774338051894,0.893607893608,0.753260869565,0.719224425297,0.967276422764,0.759040755992,0.723837880142,0.821377516887,0.890007205541,0.784176558601,0.795503621599,0.754258899249,0.884605842884,0.749480144348,0.8129395218,0.916013243626,0.922297080024,0.801795415885,0.615466523602,0.814422013592,0.825768273158,0.824250130972,0.902171555016,0.782015544893,0.841541017971,0.781245719678,0.913054893785,0.807183041015,0.858561252669,0.818052168694,0.880344535105,0.756645321615,0.74696985449,0.773549674471,0.871988444892,0.886282856643,0.624311081639,0.893263639076,0.869448525196,0.833903705436,0.73233924771,0.892102073805,0.880590534086,0.900158730159,0.9298325109,0.746382113821,0.718155882689,0.854911180773,0.736454024274,0.800245106672,0.740567708033,0.856922602529,0.852240392954,0.845692567758,0.795230788902,0.72413100465,0.884270334182,0.840079217461,0.828496524325,0.842436907897,0.751315502523,0.852583504875,0.728952254808,0.837572243464,0.750037012096,0.853421368547,0.872143572144,0.767366493491,0.751939896246,0.888970300223,0.938006930994,0.798769006994,0.716564943831,0.787105769092,0.812432058982,0.768021707351,0.796293459073,0.851608540268,0.808176326615,0.784334533193,0.702223149984,0.895096801347,0.90182946104,0.723936433557,0.783952404347,0.731683966597,0.818228614145,0.921415262001,0.835107088955,0.82981936609,0.820529962658,0.921671671672,0.875042735043
Maximum Pairwise P-Distance,0.90625,0.916666666667,0.928571428571,0.704225352113,0.937888198758,0.956043956044,0.850877192982,0.916666666667,0.7265625,0.895833333333,0.804469273743,0.879310344828,0.936170212766,0.677419354839,0.802083333333,0.947368421053,0.827433628319,0.914285714286,0.885057471264,0.898550724638,0.76862745098,0.896739130435,0.891304347826,0.885,0.891472868217,0.77,0.928571428571,0.881355932203,0.892857142857,0.911111111111,0.873303167421,0.880597014925,0.888888888889,0.836363636364,0.908163265306,0.885245901639,0.939393939394,0.907894736842,0.879396984925,0.88,0.857142857143,0.853107344633,0.815789473684,0.713826366559,0.639705882353,0.869318181818,0.934426229508,0.935779816514,0.942028985507,0.833333333333,0.883928571429,0.811764705882,0.88679245283,0.864768683274,0.822033898305,0.917948717949,0.907894736842,0.89,0.95652173913,0.931506849315,0.832618025751,0.893617021277,0.954022988506,0.676092544987,0.637795275591,0.897297297297,0.972222222222,0.787610619469,0.904761904762,0.941176470588,0.941747572816,0.792207792208,0.904761904762,0.688461538462,0.833333333333,0.931818181818,0.904109589041,0.899253731343,0.921348314607,0.6875,0.918699186992,0.950819672131,0.847826086957,0.866666666667,0.9,0.871794871795,0.90625,0.857142857143,0.913461538462,0.60396039604,0.891304347826,0.975609756098,0.820512820513,0.860655737705,0.836257309942,0.918918918919,0.834782608696,0.781065088757,1.0,0.785714285714,0.794117647059,0.879194630872,0.928571428571,0.859154929577,0.903225806452,0.867469879518,0.961165048544,0.810810810811,0.888888888889,0.959183673469,0.957746478873,0.913793103448,0.65671641791,0.913793103448,0.937984496124,0.865546218487,0.96875,0.952941176471,0.8984375,0.848275862069,0.962264150943,0.851851851852,0.931818181818,0.938596491228,0.925531914894,0.90243902439,0.890052356021,0.888888888889,0.96,0.954954954955,0.6625,0.913580246914,0.881578947368,0.924050632911,0.840579710145,0.965909090909,0.918367346939,0.95,0.945205479452,0.821138211382,0.826086956522,0.916666666667,0.833333333333,0.876923076923,0.794871794872,0.934782608696,0.894117647059,0.922330097087,0.833333333333,0.887573964497,0.953125,0.918032786885,0.926315789474,0.923076923077,0.801169590643,0.880208333333,0.895287958115,0.892655367232,0.837837837838,0.9,0.952380952381,0.915789473684,0.926470588235,0.941176470588,0.942028985507,0.917355371901,0.845528455285,0.918367346939,0.884353741497,0.824242424242,0.850241545894,0.919540229885,0.913043478261,0.90990990991,0.805970149254,0.931818181818,0.958333333333,0.823529411765,0.864406779661,0.834101382488,0.918918918919,0.95652173913,0.921348314607,0.939393939394,0.92700729927,0.959459459459,0.92
Number of Sequences,3.0,8.0,7.0,3.0,6.0,3.0,3.0,4.0,3.0,9.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,7.0,6.0,11.0,4.0,4.0,3.0,7.0,5.0,3.0,5.0,6.0,3.0,8.0,4.0,8.0,5.0,5.0,3.0,11.0,6.0,3.0,4.0,5.0,8.0,5.0,4.0,4.0,4.0,5.0,3.0,7.0,3.0,5.0,8.0,6.0,7.0,5.0,5.0,6.0,6.0,4.0,8.0,6.0,4.0,5.0,5.0,3.0,5.0,4.0,6.0,3.0,11.0,6.0,5.0,4.0,8.0,5.0,4.0,10.0,6.0,3.0,4.0,4.0,7.0,10.0,3.0,7.0,3.0,7.0,5.0,4.0,7.0,3.0,7.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,6.0,5.0,11.0,4.0,3.0,3.0,3.0,8.0,4.0,5.0,8.0,4.0,3.0,7.0,8.0,6.0,5.0,4.0,4.0,9.0,4.0,4.0,7.0,15.0,10.0,6.0,3.0,3.0,3.0,7.0,11.0,11.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,11.0,6.0,5.0,3.0,6.0,7.0,4.0,3.0,4.0,6.0,9.0,3.0,3.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,7.0,7.0,3.0,3.0,3.0,4.0,4.0,7.0,6.0,3.0,4.0,7.0,6.0,3.0,3.0
Reference Length,126.0,191.0,73.0,124.0,391.0,283.0,555.0,113.0,329.0,228.0,238.0,111.0,176.0,83.0,162.0,189.0,1011.0,537.0,473.0,269.0,333.0,481.0,77.0,350.0,549.0,139.0,80.0,135.0,176.0,216.0,471.0,239.0,332.0,270.0,223.0,130.0,213.0,149.0,517.0,170.0,321.0,346.0,98.0,373.0,165.0,378.0,255.0,365.0,211.0,124.0,275.0,145.0,141.0,518.0,144.0,327.0,132.0,198.0,324.0,285.0,324.0,125.0,262.0,562.0,199.0,660.0,424.0,186.0,411.0,143.0,250.0,223.0,313.0,330.0,184.0,334.0,418.0,546.0,156.0,105.0,329.0,122.0,82.0,246.0,249.0,280.0,149.0,285.0,136.0,165.0,369.0,165.0,123.0,223.0,411.0,251.0,149.0,296.0,289.0,165.0,521.0,345.0,378.0,160.0,86.0,201.0,236.0,144.0,135.0,188.0,190.0,169.0,187.0,455.0,359.0,236.0,159.0,229.0,372.0,864.0,105.0,215.0,72.0,253.0,313.0,155.0,453.0,136.0,141.0,267.0,276.0,197.0,711.0,131.0,354.0,209.0,87.0,287.0,254.0,246.0,179.0,253.0,234.0,447.0,149.0,126.0,171.0,240.0,222.0,319.0,156.0,458.0,281.0,490.0,266.0,587.0,265.0,454.0,103.0,145.0,108.0,466.0,163.0,364.0,170.0,287.0,243.0,165.0,470.0,651.0,365.0,161.0,315.0,348.0,181.0,266.0,169.0,128.0,111.0,369.0,159.0,180.0,241.0,168.0,442.0,283.0,160.0
