Statistics,TL079,SF263,SF185,SF175,SF032,SF117,SF108,TL272,SF038,SF077,SF270,SF061,TL332,SF174,SF296,SF252,SF135,SF144,SF129,SF188,SF227,SF098,TL567,SF055,SF058,SF273,TL239,SF168,SF123,SF066,SF244,SF133,SF064,SF173,SF221,SF172,SF150,TL028,SF190,SF121,SF102,SF099,SF081,SF222,SF268,SF303,TL788,SF285,TL639,SF261,SF271,SF120,SF192,SF151,SF257,SF183,SF001,SF217,SF266,SF142,SF255,SF180,SF145,SF110,SF137,SF210,SF097,SF253,SF087,SF047,SF294,SF224,SF065,SF103,SF207,SF161,SF292,SF274,SF170,SF025,SF215,SF318,TL306,SF013,SF237,SF134,SF019,SF275,SF208,SF154,SF279,TL436,SF300,TL587,SF075,TL526,SF295,SF241,TL008,SF281,SF203,SF091,TL553,SF026,SF238,SF264,SF153,SF313,TL548,TL443,TL258,SF256,SF018,SF139,SF009,SF197,TL142,SF057,SF299,SF163,TL568,SF202,SF184,SF260,SF187,SF199,SF307,SF039,SF008,SF156,SF181,TL413,SF248,SF213,SF131,SF119,TL704,TL366,TL657,SF068,SF015,SF096,SF051,SF027,SF251,SF088,TL346,SF212,SF071,SF178,TL379,SF043,SF093,SF092,SF191,SF160,SF304,SF311,SF223,TL722,TL473,SF229,SF118,TL327,TL026,SF291,SF141,SF243,SF283,SF316,SF245,SF028,SF086,SF049,SF194,TL347,TL001,SF239,SF072,SF269,SF022,TL046,SF165,SF082,SF200,TL400,TL167
1-SPFP,0.0670103092784,0.102062400846,0.216032608696,0.325688073394,0.108678655199,0.295238095238,0.00389105058366,0.0769230769231,0.262057877814,0.177567492346,0.279336734694,0.0994263862333,0.0,0.198795180723,0.231270358306,0.145089285714,0.0852649006623,0.155437352246,0.241027227723,0.281345565749,0.262825572218,0.0949720670391,0.1,0.178038379531,0.0421721548238,0.172284644195,0.074358974359,0.11976744186,0.0727272727273,0.0700572583361,0.0771123872026,0.130780706116,0.112729234088,0.150909090909,0.0193548387097,0.351694915254,0.041856232939,0.127049180328,0.0870588235294,0.199475065617,0.109775019395,0.0843547224225,0.446650124069,0.270435967302,0.449645390071,0.111451316595,0.00316455696203,0.0749034749035,0.00393700787402,0.125619834711,0.174244938599,0.258620689655,0.200617283951,0.05710712797,0.168650793651,0.058294042006,0.0951903807615,0.00910746812386,0.0724637681159,0.0913436006373,0.296385542169,0.144705882353,0.117911791179,0.0952868852459,0.522653721683,0.036170212766,0.0684448917967,0.158301158301,0.148476580264,0.32,0.050153531218,0.207776427704,0.104491292392,0.326840855107,0.237569060773,0.102311854402,0.0720245937637,0.0291508238276,0.0617529880478,0.503006012024,0.0800320128051,0.126787416587,0.0759493670886,0.112831858407,0.0797872340426,0.0672529746508,0.146226415094,0.108832807571,0.141676505313,0.132653061224,0.0890360559235,0.0112866817156,0.366984993179,0.0628571428571,0.116129032258,0.0316091954023,0.115015974441,0.253234750462,0.0,0.0,0.249390243902,0.0875273522976,0.00635593220339,0.0703012912482,0.256809338521,0.120356612184,0.0742132456552,0.161504424779,0.0222222222222,0.0526315789474,0.0663900414938,0.136554621849,0.355555555556,0.0766404199475,0.0954571592869,0.0583468395462,0.0,0.236670293798,0.066187948798,0.0951612903226,0.0557851239669,0.114851485149,0.125,0.0975384615385,0.0698835274542,0.248878923767,0.194284143996,0.244829513695,0.102066638549,0.0825062034739,0.241304347826,0.0222222222222,0.0162601626016,0.215406562054,0.170839796144,0.05975,0.17037037037,0.00276243093923,0.0451127819549,0.25,0.29696969697,0.0467032967033,0.125874125874,0.0817382307294,0.217002237136,0.042654028436,0.095785440613,0.140555058192,0.1825,0.226432532348,0.0515463917526,0.0677339901478,0.0769073430149,0.0587764894042,0.17328990228,0.0297542043984,0.251991614256,0.0415375077495,0.190821256039,0.139097744361,0.0891891891892,0.222839291913,0.139316239316,0.0,0.012987012987,0.110069302894,0.266380236305,0.186388244393,0.124774612333,0.115228900654,0.220886075949,0.0714285714286,0.0769230769231,0.07366638442,0.352777777778,0.040625,0.0,0.182203389831,0.238244514107,0.187819994611,0.167111111111,0.00854700854701,0.0712025316456,0.114726027397,0.116319444444,0.0206489675516,0.0478468899522
1-SPFN,0.0684210526316,0.0930120481928,0.18488372093,0.310043668122,0.10142283838,0.281818181818,0.00398406374502,0.0749279538905,0.216755319149,0.166753789859,0.236501079914,0.0842787682334,0.0,0.175531914894,0.229032258065,0.131578947368,0.109808102345,0.163252638113,0.231431966726,0.208283393261,0.219947159841,0.0971428571429,0.0945945945946,0.158256337361,0.0448127685697,0.152823920266,0.0693779904306,0.112078346028,0.0689655172414,0.0567530695771,0.0704119850187,0.119545454545,0.0969387755102,0.144097222222,0.0189873417722,0.305896805897,0.0428704566636,0.127049180328,0.0807860262009,0.197402597403,0.0903864580006,0.0705669481303,0.388768898488,0.212299465241,0.38517618469,0.110975609756,0.00478468899522,0.0653859116953,0.00471698113208,0.111436950147,0.149317406143,0.221893491124,0.188223938224,0.048290447656,0.142021720969,0.0470751124957,0.0819672131148,0.00844594594595,0.0730688935282,0.0772686433064,0.259493670886,0.123867069486,0.125961538462,0.0812227074236,0.475,0.0343203230148,0.071995764955,0.126153846154,0.142172871761,0.291390728477,0.0469798657718,0.18018967334,0.0928086838535,0.280016280016,0.190265486726,0.0961627369394,0.0710264183629,0.0281862745098,0.0589353612167,0.434256055363,0.0708717221828,0.104191147669,0.0882352941176,0.108337758895,0.0837988826816,0.0574204946996,0.134199134199,0.121908127208,0.109041344843,0.126623376623,0.0732002419843,0.0116822429907,0.329656862745,0.0582010582011,0.108527131783,0.0328358208955,0.104347826087,0.242477876106,0.0,0.0,0.200539347879,0.0826446280992,0.00920245398773,0.0713245997089,0.226285714286,0.0977080820265,0.0551965065502,0.162946428571,0.0213903743316,0.0506329113924,0.0733944954128,0.112068965517,0.323640960809,0.0741869918699,0.0849756846685,0.0475561426684,0.0,0.197727272727,0.0607275852191,0.103763629968,0.0509433962264,0.117171717172,0.103846153846,0.0755301405766,0.0680713128039,0.226069246436,0.17683841921,0.198759643019,0.0742331288344,0.0747611017426,0.282442748092,0.0238095238095,0.0188679245283,0.182037371911,0.157443332653,0.0494516863232,0.160839160839,0.00418410041841,0.0560747663551,0.2466367713,0.274509803922,0.0505952380952,0.11421319797,0.0789605197401,0.216517857143,0.0323741007194,0.102040816327,0.135695764909,0.16404494382,0.211206896552,0.0546448087432,0.0740242261104,0.0619541934421,0.0565602154675,0.150622876557,0.0382059800664,0.196212863206,0.035857639818,0.165271966527,0.123333333333,0.0800970873786,0.203744842907,0.120651369356,0.0,0.0154639175258,0.0975786049874,0.227106227106,0.158032786885,0.1238811314,0.101120524734,0.189570885388,0.0684104627767,0.0789102865195,0.0608817354794,0.310513447433,0.0474452554745,0.0,0.162878787879,0.201591511936,0.143268242549,0.145962732919,0.00888888888889,0.0762711864407,0.100751879699,0.110288065844,0.0304347826087,0.0666666666667
SP-Score,0.067715680955,0.0975372245194,0.200458164813,0.317865870758,0.10505074679,0.288528138528,0.00393755716434,0.0759255154068,0.239406598481,0.172160641103,0.257918907304,0.0918525772333,0.0,0.187163547808,0.230151308185,0.138334116541,0.0975365015038,0.159344995179,0.236229597224,0.244814479505,0.24138636603,0.096057462091,0.0972972972973,0.168147358446,0.0434924616967,0.16255428223,0.0718684823948,0.115922893944,0.0708463949843,0.0634051639566,0.0737621861107,0.125163080331,0.104834004799,0.147503156566,0.0191710902409,0.328795860576,0.0423633448013,0.127049180328,0.0839224248651,0.19843883151,0.100080738698,0.0774608352764,0.417709511279,0.241367716272,0.417410787381,0.111213463176,0.00397462297862,0.0701446932994,0.00432699450305,0.118528392429,0.161781172371,0.24025709039,0.194420611087,0.052698787813,0.15533625731,0.0526845772508,0.0885787969381,0.0087767070349,0.0727663308221,0.0843061219718,0.277939606527,0.13428647592,0.12193666482,0.0882547963347,0.498826860841,0.0352452678904,0.0702203283758,0.142227502228,0.145324726013,0.305695364238,0.0485666984949,0.193983050522,0.0986499881229,0.303428567562,0.21391727375,0.0992372956709,0.0715255060633,0.0286685491687,0.0603441746323,0.468631033694,0.075451867494,0.115489282128,0.0820923306031,0.110584808651,0.0817930583621,0.0623367346752,0.140212774647,0.11537046739,0.125358925078,0.129638218924,0.0811181489539,0.0114844623531,0.348320927962,0.0605291005291,0.112328082021,0.0322225081489,0.109681900264,0.247856313284,0.0,0.0,0.224964795891,0.0850859901984,0.00777919309556,0.0708129454785,0.241547526404,0.109032347105,0.0647048761027,0.162225426675,0.0218062982769,0.0516322451699,0.0698922684533,0.124311793683,0.339598258182,0.0754137059087,0.0902164219777,0.0529514911073,0.0,0.217198783262,0.0634577670086,0.0994624601455,0.0533642600967,0.11601160116,0.114423076923,0.0865343010575,0.0689774201291,0.237474085101,0.185561281603,0.221794578357,0.0881498836917,0.0786336526082,0.261873547959,0.0230158730159,0.017564043565,0.198721966982,0.164141564399,0.0546008431616,0.165604765605,0.00347326567882,0.050593774155,0.24831838565,0.285739750446,0.0486492673993,0.120043661922,0.0803493752348,0.21676004714,0.0375140645777,0.0989131284698,0.13812541155,0.17327247191,0.21881971445,0.0530956002479,0.0708791081291,0.0694307682285,0.0576683524359,0.161956389419,0.0339800922324,0.224102238731,0.0386975737838,0.178046611283,0.131215538847,0.0846431382839,0.21329206741,0.129983804336,0.0,0.0142254652564,0.103823953941,0.246743231706,0.172210515639,0.124327871867,0.108174712694,0.205228480669,0.0699195171026,0.0779166817213,0.0672740599497,0.331645612605,0.0440351277372,0.0,0.172541088855,0.219918013021,0.16554411858,0.156536922015,0.00871794871795,0.0737368590431,0.107738953548,0.113303755144,0.0255418750802,0.0572567783094
TC,0.0,0.0,0.0,0.137931034483,0.00662251655629,0.151162790698,0.0,0.0,0.106617647059,0.0,0.0232558139535,0.0,0.0,0.078125,0.0,0.0,0.00614754098361,0.008,0.0,0.0,0.0693430656934,0.0217391304348,0.0178571428571,0.00357142857143,0.0,0.0467289719626,0.0,0.0232558139535,0.0149253731343,0.0,0.0,0.0,0.0,0.0238095238095,0.0,0.0,0.015503875969,0.0744680851064,0.0,0.062015503876,0.0,0.0,0.166666666667,0.0031847133758,0.131944444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0258620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.00381679389313,0.0,0.0905660377358,0.0,0.0,0.0,0.184210526316,0.005,0.0046511627907,0.0,0.0,0.0102040816327,0.0,0.0414201183432,0.0084388185654,0.104166666667,0.0535714285714,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00689655172414,0.0,0.0,0.0,0.0,0.0752688172043,0.0,0.0114068441065,0.0,0.0,0.114537444934,0.0,0.0,0.0205011389522,0.00434782608696,0.0,0.0173913043478,0.038961038961,0.0,0.0,0.0,0.0,0.00833333333333,0.0243902439024,0.0,0.125,0.00578034682081,0.0,0.0,0.0,0.015503875969,0.0,0.014553014553,0.0,0.0,0.0,0.0,0.00680272108844,0.0,0.0,0.0,0.0,0.00534759358289,0.111801242236,0.0,0.0,0.0,0.0,0.0,0.0408163265306,0.0,0.0,0.0594059405941,0.165354330709,0.0416666666667,0.0265957446809,0.0,0.0337078651685,0.0,0.010989010989,0.0,0.0817610062893,0.0134529147982,0.0,0.0,0.0,0.0,0.00966183574879,0.0,0.0212765957447,0.0,0.0208333333333,0.0,0.0,0.0266272189349,0.0,0.0,0.0131578947368,0.0,0.0364583333333,0.0,0.0058651026393,0.015350877193,0.0254237288136,0.0,0.0,0.0,0.151724137931,0.0,0.0,0.0,0.075,0.0,0.0,0.0114942528736,0.0,0.0,0.00857142857143,0.0,0.0
Modeler,0.0670103092784,0.102062400846,0.216032608696,0.325688073394,0.108678655199,0.295238095238,0.00389105058366,0.0769230769231,0.262057877814,0.177567492346,0.279336734694,0.0994263862333,0.0,0.198795180723,0.231270358306,0.145089285714,0.0852649006623,0.155437352246,0.241027227723,0.281345565749,0.262825572218,0.0949720670391,0.1,0.178038379531,0.0421721548238,0.172284644195,0.074358974359,0.11976744186,0.0727272727273,0.0700572583361,0.0771123872026,0.130780706116,0.112729234088,0.150909090909,0.0193548387097,0.351694915254,0.041856232939,0.127049180328,0.0870588235294,0.199475065617,0.109775019395,0.0843547224225,0.446650124069,0.270435967302,0.449645390071,0.111451316595,0.00316455696203,0.0749034749035,0.00393700787402,0.125619834711,0.174244938599,0.258620689655,0.200617283951,0.05710712797,0.168650793651,0.058294042006,0.0951903807615,0.00910746812386,0.0724637681159,0.0913436006373,0.296385542169,0.144705882353,0.117911791179,0.0952868852459,0.522653721683,0.036170212766,0.0684448917967,0.158301158301,0.148476580264,0.32,0.050153531218,0.207776427704,0.104491292392,0.326840855107,0.237569060773,0.102311854402,0.0720245937637,0.0291508238276,0.0617529880478,0.503006012024,0.0800320128051,0.126787416587,0.0759493670886,0.112831858407,0.0797872340426,0.0672529746508,0.146226415094,0.108832807571,0.141676505313,0.132653061224,0.0890360559235,0.0112866817156,0.366984993179,0.0628571428571,0.116129032258,0.0316091954023,0.115015974441,0.253234750462,0.0,0.0,0.249390243902,0.0875273522976,0.00635593220339,0.0703012912482,0.256809338521,0.120356612184,0.0742132456552,0.161504424779,0.0222222222222,0.0526315789474,0.0663900414938,0.136554621849,0.355555555556,0.0766404199475,0.0954571592869,0.0583468395462,0.0,0.236670293798,0.066187948798,0.0951612903226,0.0557851239669,0.114851485149,0.125,0.0975384615385,0.0698835274542,0.248878923767,0.194284143996,0.244829513695,0.102066638549,0.0825062034739,0.241304347826,0.0222222222222,0.0162601626016,0.215406562054,0.170839796144,0.05975,0.17037037037,0.00276243093923,0.0451127819549,0.25,0.29696969697,0.0467032967033,0.125874125874,0.0817382307294,0.217002237136,0.042654028436,0.095785440613,0.140555058192,0.1825,0.226432532348,0.0515463917526,0.0677339901478,0.0769073430149,0.0587764894042,0.17328990228,0.0297542043984,0.251991614256,0.0415375077495,0.190821256039,0.139097744361,0.0891891891892,0.222839291913,0.139316239316,0.0,0.012987012987,0.110069302894,0.266380236305,0.186388244393,0.124774612333,0.115228900654,0.220886075949,0.0714285714286,0.0769230769231,0.07366638442,0.352777777778,0.040625,0.0,0.182203389831,0.238244514107,0.187819994611,0.167111111111,0.00854700854701,0.0712025316456,0.114726027397,0.116319444444,0.0206489675516,0.0478468899522
Compression,0.928571428571,1.00523560209,1.21917808219,1.02419354839,1.05115089514,1.05653710247,0.945945945946,0.946902654867,1.1641337386,1.06578947368,1.27731092437,1.08108108108,0.8125,1.0843373494,1.00617283951,0.994708994709,0.818991097923,0.821229050279,1.02114164905,1.45353159851,1.21921921922,0.93762993763,1.02597402597,1.19714285714,0.806921675774,1.11510791367,1.0125,1.06666666667,1.04545454545,1.26851851852,1.02123142251,0.987447698745,1.19879518072,0.914814814815,0.968609865471,1.07692307692,0.868544600939,0.946308724832,1.05996131528,0.970588235294,1.01557632399,1.09826589595,1.18367346939,1.35388739946,1.25454545455,0.944444444444,0.698039215686,1.09589041096,0.805687203791,0.991935483871,1.13454545455,1.19310344828,0.929078014184,1.1332046332,1.32638888889,1.25688073394,1.15151515152,0.979797979798,1.0,1.15087719298,1.16358024691,1.352,0.896946564885,1.09074733096,1.11557788945,0.987878787879,0.785377358491,1.10752688172,0.795620437956,1.06293706294,0.976,1.15246636771,1.13099041534,1.25151515152,1.3097826087,0.907185628743,0.94976076555,0.983516483516,1.02564102564,1.21904761905,1.07598784195,1.19672131148,0.853658536585,0.849593495935,0.915662650602,1.05,1.05369127517,0.828070175439,1.44852941176,1.00606060606,1.12737127371,0.8,1.13008130081,1.0,1.02919708029,0.896414342629,1.11409395973,1.01689189189,0.622837370242,0.909090909091,1.3358925144,0.96231884058,0.727513227513,0.91875,1.27906976744,1.05970149254,1.24152542373,0.916666666667,0.985185185185,1.0,0.863157894737,1.07100591716,1.05882352941,1.02637362637,1.03342618384,1.15677966102,0.968553459119,1.09170305677,0.94623655914,0.834490740741,1.00952380952,0.879069767442,1.125,1.16600790514,0.984025559105,0.98064516129,0.94701986755,1.27941176471,1.45390070922,1.0,0.847826086957,0.888324873096,0.864978902954,1.32061068702,0.898305084746,1.12918660287,1.0,0.689895470383,0.771653543307,1.0,1.06145251397,0.916996047431,1.08547008547,0.997762863535,0.885906040268,1.23015873016,0.906432748538,0.95,1.07657657658,1.02821316614,0.871794871795,0.890829694323,1.16725978648,0.887755102041,1.12030075188,0.771720613288,1.42641509434,1.02643171806,1.21359223301,1.11034482759,1.06481481481,1.02145922747,1.0736196319,0.769230769231,0.835294117647,1.06271777003,1.19341563786,1.27878787879,0.955319148936,1.07373271889,1.13424657534,0.968944099379,0.819047619048,1.11494252874,1.11602209945,0.834586466165,0.940828402367,1.1015625,1.09009009009,1.33875338753,1.17610062893,0.916666666667,0.854771784232,0.964285714286,1.00904977376,0.731448763251,0.73125
Average Pairwise P-Distance,0.869500484864,0.830240634165,0.778929961678,0.632431818956,0.815565714707,0.818241190334,0.819956140351,0.864721494374,0.686902947154,0.763470643488,0.748275757806,0.791706587947,0.869749045281,0.648857526882,0.716047482211,0.853372513515,0.781737597462,0.792134176935,0.755606038075,0.748222392735,0.725282838924,0.8393968564,0.826513213981,0.75917552022,0.830959258849,0.675496334456,0.854173943848,0.785510949381,0.854275898394,0.800020015902,0.798441233315,0.795348288758,0.810371511644,0.758717665415,0.848936272622,0.727399954706,0.84117680765,0.865119761969,0.808509889006,0.769726231989,0.762812643359,0.817934048516,0.722416042023,0.621102044874,0.579843410852,0.797863831305,0.892845926763,0.838317775627,0.91598119859,0.733789594889,0.771097840703,0.720190850616,0.732426502772,0.810364159278,0.701416138338,0.856992819553,0.845617184273,0.829384423346,0.872637504629,0.830256266678,0.722565440429,0.838046287507,0.815710778137,0.646084378966,0.562589394874,0.850158970031,0.81292432681,0.737379640452,0.765045442658,0.70970707186,0.872972710439,0.694992576035,0.812831963394,0.624301992431,0.750756748905,0.840998400283,0.838483570419,0.891191658565,0.838723820722,0.616068871707,0.813677097742,0.856286473107,0.831027667984,0.76715550631,0.814361001318,0.800924685342,0.837019396336,0.781586928582,0.817788023026,0.565559160958,0.804869235778,0.864719437303,0.690983337249,0.852134512764,0.774338051894,0.893607893608,0.753260869565,0.719224425297,0.967276422764,0.759040755992,0.723837880142,0.821377516887,0.890007205541,0.784176558601,0.795503621599,0.754258899249,0.884605842884,0.749480144348,0.8129395218,0.916013243626,0.922297080024,0.801795415885,0.615466523602,0.814422013592,0.825768273158,0.824250130972,0.902171555016,0.782015544893,0.841541017971,0.781245719678,0.913054893785,0.807183041015,0.858561252669,0.818052168694,0.880344535105,0.756645321615,0.74696985449,0.773549674471,0.871988444892,0.886282856643,0.624311081639,0.893263639076,0.869448525196,0.833903705436,0.73233924771,0.892102073805,0.880590534086,0.900158730159,0.9298325109,0.746382113821,0.718155882689,0.854911180773,0.736454024274,0.800245106672,0.740567708033,0.856922602529,0.852240392954,0.845692567758,0.795230788902,0.72413100465,0.884270334182,0.840079217461,0.828496524325,0.842436907897,0.751315502523,0.852583504875,0.728952254808,0.837572243464,0.750037012096,0.853421368547,0.872143572144,0.767366493491,0.751939896246,0.888970300223,0.938006930994,0.798769006994,0.716564943831,0.787105769092,0.812432058982,0.768021707351,0.796293459073,0.851608540268,0.808176326615,0.784334533193,0.702223149984,0.895096801347,0.90182946104,0.723936433557,0.783952404347,0.731683966597,0.818228614145,0.921415262001,0.835107088955,0.82981936609,0.820529962658,0.921671671672,0.875042735043
Maximum Pairwise P-Distance,0.90625,0.916666666667,0.928571428571,0.704225352113,0.937888198758,0.956043956044,0.850877192982,0.916666666667,0.7265625,0.895833333333,0.804469273743,0.879310344828,0.936170212766,0.677419354839,0.802083333333,0.947368421053,0.827433628319,0.914285714286,0.885057471264,0.898550724638,0.76862745098,0.896739130435,0.891304347826,0.885,0.891472868217,0.77,0.928571428571,0.881355932203,0.892857142857,0.911111111111,0.873303167421,0.880597014925,0.888888888889,0.836363636364,0.908163265306,0.885245901639,0.939393939394,0.907894736842,0.879396984925,0.88,0.857142857143,0.853107344633,0.815789473684,0.713826366559,0.639705882353,0.869318181818,0.934426229508,0.935779816514,0.942028985507,0.833333333333,0.883928571429,0.811764705882,0.88679245283,0.864768683274,0.822033898305,0.917948717949,0.907894736842,0.89,0.95652173913,0.931506849315,0.832618025751,0.893617021277,0.954022988506,0.676092544987,0.637795275591,0.897297297297,0.972222222222,0.787610619469,0.904761904762,0.941176470588,0.941747572816,0.792207792208,0.904761904762,0.688461538462,0.833333333333,0.931818181818,0.904109589041,0.899253731343,0.921348314607,0.6875,0.918699186992,0.950819672131,0.847826086957,0.866666666667,0.9,0.871794871795,0.90625,0.857142857143,0.913461538462,0.60396039604,0.891304347826,0.975609756098,0.820512820513,0.860655737705,0.836257309942,0.918918918919,0.834782608696,0.781065088757,1.0,0.785714285714,0.794117647059,0.879194630872,0.928571428571,0.859154929577,0.903225806452,0.867469879518,0.961165048544,0.810810810811,0.888888888889,0.959183673469,0.957746478873,0.913793103448,0.65671641791,0.913793103448,0.937984496124,0.865546218487,0.96875,0.952941176471,0.8984375,0.848275862069,0.962264150943,0.851851851852,0.931818181818,0.938596491228,0.925531914894,0.90243902439,0.890052356021,0.888888888889,0.96,0.954954954955,0.6625,0.913580246914,0.881578947368,0.924050632911,0.840579710145,0.965909090909,0.918367346939,0.95,0.945205479452,0.821138211382,0.826086956522,0.916666666667,0.833333333333,0.876923076923,0.794871794872,0.934782608696,0.894117647059,0.922330097087,0.833333333333,0.887573964497,0.953125,0.918032786885,0.926315789474,0.923076923077,0.801169590643,0.880208333333,0.895287958115,0.892655367232,0.837837837838,0.9,0.952380952381,0.915789473684,0.926470588235,0.941176470588,0.942028985507,0.917355371901,0.845528455285,0.918367346939,0.884353741497,0.824242424242,0.850241545894,0.919540229885,0.913043478261,0.90990990991,0.805970149254,0.931818181818,0.958333333333,0.823529411765,0.864406779661,0.834101382488,0.918918918919,0.95652173913,0.921348314607,0.939393939394,0.92700729927,0.959459459459,0.92
Number of Sequences,3.0,8.0,7.0,3.0,6.0,3.0,3.0,4.0,3.0,9.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,7.0,6.0,11.0,4.0,4.0,3.0,7.0,5.0,3.0,5.0,6.0,3.0,8.0,4.0,8.0,5.0,5.0,3.0,11.0,6.0,3.0,4.0,5.0,8.0,5.0,4.0,4.0,4.0,5.0,3.0,7.0,3.0,5.0,8.0,6.0,7.0,5.0,5.0,6.0,6.0,4.0,8.0,6.0,4.0,5.0,5.0,3.0,5.0,4.0,6.0,3.0,11.0,6.0,5.0,4.0,8.0,5.0,4.0,10.0,6.0,3.0,4.0,4.0,7.0,10.0,3.0,7.0,3.0,7.0,5.0,4.0,7.0,3.0,7.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,6.0,5.0,11.0,4.0,3.0,3.0,3.0,8.0,4.0,5.0,8.0,4.0,3.0,7.0,8.0,6.0,5.0,4.0,4.0,9.0,4.0,4.0,7.0,15.0,10.0,6.0,3.0,3.0,3.0,7.0,11.0,11.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,11.0,6.0,5.0,3.0,6.0,7.0,4.0,3.0,4.0,6.0,9.0,3.0,3.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,7.0,7.0,3.0,3.0,3.0,4.0,4.0,7.0,6.0,3.0,4.0,7.0,6.0,3.0,3.0
Reference Length,126.0,191.0,73.0,124.0,391.0,283.0,555.0,113.0,329.0,228.0,238.0,111.0,176.0,83.0,162.0,189.0,1011.0,537.0,473.0,269.0,333.0,481.0,77.0,350.0,549.0,139.0,80.0,135.0,176.0,216.0,471.0,239.0,332.0,270.0,223.0,130.0,213.0,149.0,517.0,170.0,321.0,346.0,98.0,373.0,165.0,378.0,255.0,365.0,211.0,124.0,275.0,145.0,141.0,518.0,144.0,327.0,132.0,198.0,324.0,285.0,324.0,125.0,262.0,562.0,199.0,660.0,424.0,186.0,411.0,143.0,250.0,223.0,313.0,330.0,184.0,334.0,418.0,546.0,156.0,105.0,329.0,122.0,82.0,246.0,249.0,280.0,149.0,285.0,136.0,165.0,369.0,165.0,123.0,223.0,411.0,251.0,149.0,296.0,289.0,165.0,521.0,345.0,378.0,160.0,86.0,201.0,236.0,144.0,135.0,188.0,190.0,169.0,187.0,455.0,359.0,236.0,159.0,229.0,372.0,864.0,105.0,215.0,72.0,253.0,313.0,155.0,453.0,136.0,141.0,267.0,276.0,197.0,711.0,131.0,354.0,209.0,87.0,287.0,254.0,246.0,179.0,253.0,234.0,447.0,149.0,126.0,171.0,240.0,222.0,319.0,156.0,458.0,281.0,490.0,266.0,587.0,265.0,454.0,103.0,145.0,108.0,466.0,163.0,364.0,170.0,287.0,243.0,165.0,470.0,651.0,365.0,161.0,315.0,348.0,181.0,266.0,169.0,128.0,111.0,369.0,159.0,180.0,241.0,168.0,442.0,283.0,160.0
