Statistics,TL079,SF263,SF185,SF175,SF032,SF117,SF108,TL272,SF038,SF077,SF270,SF061,TL332,SF174,SF296,SF252,SF135,SF144,SF129,SF188,SF227,SF098,TL567,SF055,SF058,SF273,TL239,SF168,SF123,SF066,SF244,SF133,SF064,SF173,SF221,SF172,SF150,TL028,SF190,SF121,SF102,SF099,SF081,SF222,SF268,SF303,TL788,SF285,TL639,SF261,SF271,SF120,SF192,SF151,SF257,SF183,SF001,SF217,SF266,SF142,SF255,SF180,SF145,SF110,SF137,SF210,SF097,SF253,SF087,SF047,SF294,SF224,SF065,SF103,SF207,SF161,SF292,SF274,SF170,SF025,SF215,SF318,TL306,SF013,SF237,SF134,SF019,SF275,SF208,SF154,SF279,TL436,SF300,TL587,SF075,TL526,SF295,SF241,TL008,SF281,SF203,SF091,TL553,SF026,SF238,SF264,SF153,SF313,TL548,TL443,TL258,SF256,SF018,SF139,SF009,SF197,TL142,SF057,SF299,SF163,TL568,SF202,SF184,SF260,SF187,SF199,SF307,SF039,SF008,SF156,SF181,TL413,SF248,SF213,SF131,SF119,TL704,TL366,TL657,SF068,SF015,SF096,SF051,SF027,SF251,SF088,TL346,SF212,SF071,SF178,TL379,SF043,SF093,SF092,SF191,SF160,SF304,SF311,SF223,TL722,TL473,SF229,SF118,TL327,TL026,SF291,SF141,SF243,SF283,SF316,SF245,SF028,SF086,SF049,SF194,TL347,TL001,SF239,SF072,SF269,SF022,TL046,SF165,SF082,SF200,TL400,TL167
1-SPFP,0.157360406091,0.299723756906,0.599759615385,0.737903225806,0.353522867738,0.437641723356,0.0040404040404,0.30701754386,0.782051282051,0.480870217554,0.771505376344,0.569331158238,0.355828220859,0.948979591837,0.371830985915,0.47,0.309847878303,0.432304038005,0.474992328935,0.710529919211,0.690897184021,0.399470899471,0.254545454545,0.619266055046,0.378145695364,0.873417721519,0.0513595166163,0.603,0.195918367347,0.674945414847,0.452,0.522644927536,0.473242392445,0.399484536082,0.17094017094,0.696345707657,0.474166666667,0.217741935484,0.391093901258,0.591784338896,0.703146374829,0.523174157303,0.739819004525,0.952329941082,0.954601226994,0.404973357016,0.269005847953,0.345059493016,0.0,0.840536512668,0.605118829982,0.68569415081,0.704419889503,0.655689718258,0.776429809359,0.582551076753,0.374129353234,0.442424242424,0.199250133905,0.452642073779,0.742339832869,0.607795371498,0.312123817713,0.816396242528,0.952837140752,0.278890600924,0.432710882164,0.735099337748,0.479411764706,0.701408450704,0.19083023544,0.845154845155,0.493136219641,0.863872255489,0.802209944751,0.51418517704,0.335748792271,0.0924855491329,0.344680851064,0.920962199313,0.433480176211,0.564640410959,0.253968253968,0.681196147998,0.353403141361,0.508640822046,0.295492487479,0.343347639485,0.751720972923,0.88424437299,0.56155143339,0.429611650485,0.862029646522,0.434343434343,0.559796437659,0.0,0.696629213483,0.821766561514,0.0,0.641935483871,0.862553298219,0.335526315789,0.125,0.406113537118,0.645333333333,0.69037037037,0.230467044959,0.630769230769,0.192488262911,0.0685920577617,0.0,0.655813953488,0.822966507177,0.570043103448,0.524216524217,0.66991643454,0.133333333333,0.612113402062,0.400669642857,0.494642857143,0.0,0.276995305164,0.837735849057,0.336252856055,0.227655986509,0.512922465209,0.626280737705,0.714693702699,0.506085192698,0.171270718232,0.609489051095,0.0,0.0914179104478,0.533793103448,0.666666666667,0.208389261745,0.0970149253731,0.0,0.0473684210526,0.541841004184,0.516853932584,0.355769230769,0.536159600998,0.443449959317,0.552486187845,0.465753424658,0.516806722689,0.573656845754,0.666666666667,0.676767676768,0.157276995305,0.326996197719,0.520954481652,0.28045035824,0.492412746586,0.130681818182,0.717211642113,0.487186870141,0.834710743802,0.302325581395,0.326153846154,0.588016249154,0.702820818435,0.0,0.139175257732,0.407407407407,0.753103448276,0.433923705722,0.527790751985,0.656887398715,0.615243902439,0.422764227642,0.46684073107,0.456545257843,0.563549160671,0.113475177305,0.0,0.778761061947,0.663291139241,0.752591990242,0.473022912047,0.0448717948718,0.31550802139,0.295081967213,0.322547508988,0.0,0.10650887574
1-SPFN,0.163157894737,0.209156626506,0.58023255814,0.799126637555,0.313024443634,0.438636363636,0.00265604249668,0.302593659942,0.811170212766,0.502613695766,0.774838012959,0.565640194489,0.384105960265,0.989361702128,0.425806451613,0.428137651822,0.412579957356,0.395406579764,0.459893048128,0.691037421761,0.696829590489,0.369795918367,0.189189189189,0.575692963753,0.350521792511,0.916943521595,0.0406698564593,0.656147986942,0.137931034483,0.674761255116,0.338576779026,0.524545454545,0.418367346939,0.403645833333,0.126582278481,0.737407862408,0.530288909599,0.110655737705,0.29403202329,0.598701298701,0.656659214309,0.44933655006,0.70626349892,0.950802139037,0.94532199271,0.278048780488,0.22009569378,0.22480620155,0.0,0.826979472141,0.564846416382,0.719674556213,0.738416988417,0.631653154741,0.748538011696,0.365178262375,0.324417601381,0.369932432432,0.155323590814,0.40790655885,0.74964838256,0.502517623364,0.349038461538,0.834934497817,0.950735294118,0.243606998654,0.355743779778,0.683076923077,0.461354234705,0.618377483444,0.147651006711,0.891464699684,0.506919945726,0.880748880749,0.803097345133,0.540453074434,0.300996102209,0.0588235294118,0.307984790875,0.927335640138,0.34868887314,0.516647081864,0.235294117647,0.71375464684,0.377094972067,0.481007067138,0.191558441558,0.424028268551,0.744207178555,0.892857142857,0.503629764065,0.413551401869,0.926470588235,0.455026455026,0.568475452196,0.0,0.71884057971,0.922123893805,0.0,0.783464566929,0.843098798725,0.368801652893,0.0950920245399,0.406113537118,0.553142857143,0.562123039807,0.184454148472,0.640625,0.219251336898,0.0601265822785,0.0,0.648275862069,0.869785082174,0.537601626016,0.423854619913,0.635402906209,0.129032258065,0.647727272727,0.308507590948,0.487161449173,0.0,0.119191919192,0.853846153846,0.210388372647,0.218800648298,0.525458248473,0.611555777889,0.757071547421,0.459202453988,0.10455311973,0.849872773537,0.0,0.0660377358491,0.466546112116,0.733510312436,0.128491620112,0.0909090909091,0.0,0.0420560747664,0.580717488789,0.515406162465,0.330357142857,0.545685279188,0.272363818091,0.669642857143,0.36690647482,0.502040816327,0.57216940363,0.629213483146,0.519827586207,0.18306010929,0.289367429341,0.428077113198,0.210850327049,0.367497168743,0.114617940199,0.651648710415,0.452769601284,0.845188284519,0.26,0.257281553398,0.551253570295,0.654700222058,0.0,0.139175257732,0.325984821106,0.75,0.417704918033,0.404582885786,0.642525280131,0.548071700163,0.313883299799,0.419915453264,0.442967109867,0.574572127139,0.116788321168,0.0,0.833333333333,0.694960212202,0.760945529291,0.496894409938,0.0311111111111,0.3,0.203007518797,0.258436213992,0.0,0.12
SP-Score,0.160259150414,0.254440191706,0.589996086762,0.768514931681,0.333273655686,0.438139043496,0.00334822326854,0.304805601901,0.796610747409,0.49174195666,0.773171694652,0.567485676364,0.369967090562,0.969170646982,0.398818718764,0.449068825911,0.361213917829,0.413855308884,0.467442688532,0.700783670486,0.693863387255,0.384633408919,0.221867321867,0.597479509399,0.364333743937,0.895180621557,0.0460146865378,0.629573993471,0.166924700915,0.674853334982,0.395288389513,0.523595191041,0.445804869692,0.401565184708,0.148761224711,0.716876785032,0.502227788133,0.164198836594,0.342562962274,0.595242818799,0.679902794569,0.486255353682,0.723041251722,0.95156604006,0.949961609852,0.341511068752,0.244550770867,0.284932847283,0.0,0.833757992404,0.584982623182,0.702684353512,0.72141843896,0.6436714365,0.762483910527,0.473864669564,0.349273477307,0.406178337428,0.177286862359,0.430274316314,0.745994107714,0.555156497431,0.330581139626,0.825665370172,0.951786217435,0.261248799789,0.394227330971,0.709088130413,0.470382999705,0.659892967074,0.169240621076,0.868309772419,0.500028082683,0.872310568119,0.802653644942,0.527319125737,0.31837244724,0.0756545392724,0.326332820969,0.924148919726,0.391084524676,0.540643746412,0.244631185808,0.697475397419,0.365249056714,0.494823944592,0.243525464519,0.383687954018,0.747964075739,0.888550757924,0.532590598727,0.421581526177,0.894250117379,0.444684944685,0.564135944928,0.0,0.707734896597,0.87194522766,0.0,0.7127000254,0.852826048472,0.352163984341,0.11004601227,0.406113537118,0.599238095238,0.626246705089,0.207460596715,0.635697115385,0.205869799905,0.0643593200201,0.0,0.652044907779,0.846375794676,0.553822364732,0.474035572065,0.652659670375,0.131182795699,0.629920337395,0.354588616903,0.490902153158,0.0,0.198093612178,0.845791001451,0.273320614351,0.223228317404,0.519190356841,0.618918257797,0.73588262506,0.482643823343,0.137911918981,0.729680912316,0.0,0.0787278231484,0.500169607782,0.700088489551,0.168440440928,0.0939620081411,0.0,0.0447122479095,0.561279246487,0.516130047525,0.343063186813,0.540922440093,0.357906888704,0.611064522494,0.416329949739,0.509423769508,0.572913124692,0.647940074906,0.598297631487,0.170168552297,0.30818181353,0.474515797425,0.245650342644,0.429954957664,0.122649879191,0.684430176264,0.469978235713,0.83994951416,0.281162790698,0.291717699776,0.569634909724,0.678760520246,0.0,0.139175257732,0.366696114257,0.751551724138,0.425814311877,0.466186818885,0.649706339423,0.581657801301,0.368323763721,0.443378092167,0.449756183855,0.569060643905,0.115131749236,0.0,0.80604719764,0.679125675721,0.756768759766,0.484958660993,0.0379914529915,0.307754010695,0.249044743005,0.29049186149,0.0,0.11325443787
TC,0.0138888888889,0.0,0.230769230769,0.597701149425,0.0331125827815,0.34496124031,0.00655737704918,0.0,0.698529411765,0.0574712643678,0.539534883721,0.333333333333,0.152542372881,0.96875,0.101694915254,0.224,0.147540983607,0.0,0.0212121212121,0.254437869822,0.467153284672,0.159420289855,0.0714285714286,0.185714285714,0.0434782608696,0.869158878505,0.0,0.255813953488,0.0,0.189024390244,0.108208955224,0.0538461538462,0.030303030303,0.107142857143,0.0564516129032,0.291139240506,0.124031007752,0.0,0.01393728223,0.348837209302,0.23602484472,0.228155339806,0.416666666667,0.910828025478,0.888888888889,0.00398406374502,0.14606741573,0.004,0.0,0.546666666667,0.211956521739,0.379310344828,0.352941176471,0.3598820059,0.537878787879,0.155462184874,0.0,0.204724409449,0.0381679389313,0.0509259259259,0.505660377358,0.258333333333,0.010989010989,0.741854636591,0.875,0.0,0.0558139534884,0.575221238938,0.0402684563758,0.030612244898,0.0,0.798816568047,0.0379746835443,0.670138888889,0.559523809524,0.0588235294118,0.0354609929078,0.0,0.0442477876106,0.84,0.0134529147982,0.0,0.0185185185185,0.390625,0.0833333333333,0.11377245509,0.00909090909091,0.0413793103448,0.235772357724,0.801886792453,0.0878661087866,0.0,0.720430107527,0.286764705882,0.273764258555,0.0,0.536,0.757709251101,0.0,0.688888888889,0.669703872437,0.117391304348,0.0151515151515,0.182608695652,0.116883116883,0.318681318681,0.0,0.361445783133,0.0,0.025,0.0,0.177215189873,0.694444444444,0.21387283237,0.0,0.389261744966,0.0,0.0,0.0176991150442,0.205821205821,0.0,0.00952380952381,0.673469387755,0.0,0.0,0.119565217391,0.225108225108,0.157894736842,0.125,0.048128342246,0.614906832298,0.0,0.00649350649351,0.0943396226415,0.166666666667,0.0,0.0,0.0,0.0,0.356435643564,0.244094488189,0.125,0.271276595745,0.116279069767,0.404494382022,0.122448979592,0.340659340659,0.28025477707,0.459119496855,0.134529147982,0.0123456790123,0.0825958702065,0.0,0.0,0.024154589372,0.0603448275862,0.217021276596,0.0808823529412,0.625,0.0,0.038961038961,0.292899408284,0.0,0.0,0.0526315789474,0.0,0.473958333333,0.00751879699248,0.134897360704,0.405701754386,0.182203389831,0.0808080808081,0.030612244898,0.00952380952381,0.420689655172,0.0,0.0,0.582524271845,0.425,0.485074626866,0.0,0.0,0.1015625,0.0,0.08,0.0,0.0
Modeler,0.157360406091,0.299723756906,0.599759615385,0.737903225806,0.353522867738,0.437641723356,0.0040404040404,0.30701754386,0.782051282051,0.480870217554,0.771505376344,0.569331158238,0.355828220859,0.948979591837,0.371830985915,0.47,0.309847878303,0.432304038005,0.474992328935,0.710529919211,0.690897184021,0.399470899471,0.254545454545,0.619266055046,0.378145695364,0.873417721519,0.0513595166163,0.603,0.195918367347,0.674945414847,0.452,0.522644927536,0.473242392445,0.399484536082,0.17094017094,0.696345707657,0.474166666667,0.217741935484,0.391093901258,0.591784338896,0.703146374829,0.523174157303,0.739819004525,0.952329941082,0.954601226994,0.404973357016,0.269005847953,0.345059493016,0.0,0.840536512668,0.605118829982,0.68569415081,0.704419889503,0.655689718258,0.776429809359,0.582551076753,0.374129353234,0.442424242424,0.199250133905,0.452642073779,0.742339832869,0.607795371498,0.312123817713,0.816396242528,0.952837140752,0.278890600924,0.432710882164,0.735099337748,0.479411764706,0.701408450704,0.19083023544,0.845154845155,0.493136219641,0.863872255489,0.802209944751,0.51418517704,0.335748792271,0.0924855491329,0.344680851064,0.920962199313,0.433480176211,0.564640410959,0.253968253968,0.681196147998,0.353403141361,0.508640822046,0.295492487479,0.343347639485,0.751720972923,0.88424437299,0.56155143339,0.429611650485,0.862029646522,0.434343434343,0.559796437659,0.0,0.696629213483,0.821766561514,0.0,0.641935483871,0.862553298219,0.335526315789,0.125,0.406113537118,0.645333333333,0.69037037037,0.230467044959,0.630769230769,0.192488262911,0.0685920577617,0.0,0.655813953488,0.822966507177,0.570043103448,0.524216524217,0.66991643454,0.133333333333,0.612113402062,0.400669642857,0.494642857143,0.0,0.276995305164,0.837735849057,0.336252856055,0.227655986509,0.512922465209,0.626280737705,0.714693702699,0.506085192698,0.171270718232,0.609489051095,0.0,0.0914179104478,0.533793103448,0.666666666667,0.208389261745,0.0970149253731,0.0,0.0473684210526,0.541841004184,0.516853932584,0.355769230769,0.536159600998,0.443449959317,0.552486187845,0.465753424658,0.516806722689,0.573656845754,0.666666666667,0.676767676768,0.157276995305,0.326996197719,0.520954481652,0.28045035824,0.492412746586,0.130681818182,0.717211642113,0.487186870141,0.834710743802,0.302325581395,0.326153846154,0.588016249154,0.702820818435,0.0,0.139175257732,0.407407407407,0.753103448276,0.433923705722,0.527790751985,0.656887398715,0.615243902439,0.422764227642,0.46684073107,0.456545257843,0.563549160671,0.113475177305,0.0,0.778761061947,0.663291139241,0.752591990242,0.473022912047,0.0448717948718,0.31550802139,0.295081967213,0.322547508988,0.0,0.10650887574
Compression,0.896825396825,1.13612565445,0.931506849315,0.903225806452,0.994884910486,0.989399293286,1.21441441441,0.929203539823,0.966565349544,0.837719298246,0.978991596639,0.855855855856,0.920454545455,0.903614457831,0.845679012346,0.962962962963,0.781404549951,0.927374301676,0.945031712474,0.992565055762,0.936936936937,0.970893970894,1.18181818182,1.05428571429,0.890710382514,0.892086330935,1.2,0.733333333333,1.30681818182,0.981481481481,1.14012738854,0.97489539749,1.06325301205,0.851851851852,1.17488789238,0.653846153846,0.793427230047,1.46308724832,1.09477756286,0.9,0.831775700935,1.0,1.0612244898,0.97855227882,1.0,1.2619047619,1.0,1.26575342466,0.75355450237,0.927419354839,0.945454545455,0.875862068966,0.794326241135,0.916988416988,0.993055555556,1.38837920489,1.11363636364,1.05555555556,1.0524691358,1.02807017544,0.938271604938,1.232,0.801526717557,0.962633451957,0.989949748744,1.02272727273,1.02358490566,1.02150537634,0.839416058394,1.13986013986,1.072,0.85201793722,0.805111821086,0.942424242424,0.972826086957,0.74251497006,0.961722488038,1.16666666667,1.07051282051,0.980952380952,1.17325227964,1.0,0.987804878049,0.727642276423,0.923694779116,0.867857142857,1.53691275168,0.722807017544,1.05147058824,0.981818181818,1.09214092141,0.842424242424,0.821138211382,0.914798206278,0.900243309002,1.40239043825,0.953020134228,0.875,0.896193771626,0.775757575758,1.01535508637,0.805797101449,1.01851851852,1.0,1.17441860465,0.980099502488,1.28813559322,0.930555555556,0.851851851852,1.03723404255,1.21578947368,0.846153846154,0.866310160428,0.956043956044,1.09749303621,0.957627118644,0.993710691824,0.816593886463,1.04301075269,0.828703703704,1.51428571429,1.3023255814,0.930555555556,1.38735177866,1.01597444089,0.838709677419,0.885209713024,0.705882352941,0.879432624113,1.26966292135,0.677536231884,1.1421319797,1.13924050633,1.23664122137,0.666666666667,1.19138755981,1.03448275862,0.951219512195,0.96062992126,0.926829268293,0.983240223464,1.01581027668,0.935897435897,1.30872483221,0.697986577181,1.21428571429,0.93567251462,0.891666666667,1.03153153153,1.2539184953,0.775641025641,0.938864628821,1.09964412811,0.979591836735,1.42481203008,0.996592844974,1.14716981132,0.88986784141,0.961165048544,1.11724137931,1.2037037037,0.965665236052,0.963190184049,0.793956043956,0.958823529412,1.06968641115,0.934156378601,1.03636363636,1.07872340426,0.927803379416,0.978082191781,1.21118012422,1.05714285714,0.867816091954,0.961325966851,0.924812030075,1.34319526627,0.859375,0.90990990991,0.905149051491,0.849056603774,1.1,0.9377593361,1.11904761905,1.11990950226,0.727915194346,0.81875
Average Pairwise P-Distance,0.869500484864,0.830240634165,0.778929961678,0.632431818956,0.815565714707,0.818241190334,0.819956140351,0.864721494374,0.686902947154,0.763470643488,0.748275757806,0.791706587947,0.869749045281,0.648857526882,0.716047482211,0.853372513515,0.781737597462,0.792134176935,0.755606038075,0.748222392735,0.725282838924,0.8393968564,0.826513213981,0.75917552022,0.830959258849,0.675496334456,0.854173943848,0.785510949381,0.854275898394,0.800020015902,0.798441233315,0.795348288758,0.810371511644,0.758717665415,0.848936272622,0.727399954706,0.84117680765,0.865119761969,0.808509889006,0.769726231989,0.762812643359,0.817934048516,0.722416042023,0.621102044874,0.579843410852,0.797863831305,0.892845926763,0.838317775627,0.91598119859,0.733789594889,0.771097840703,0.720190850616,0.732426502772,0.810364159278,0.701416138338,0.856992819553,0.845617184273,0.829384423346,0.872637504629,0.830256266678,0.722565440429,0.838046287507,0.815710778137,0.646084378966,0.562589394874,0.850158970031,0.81292432681,0.737379640452,0.765045442658,0.70970707186,0.872972710439,0.694992576035,0.812831963394,0.624301992431,0.750756748905,0.840998400283,0.838483570419,0.891191658565,0.838723820722,0.616068871707,0.813677097742,0.856286473107,0.831027667984,0.76715550631,0.814361001318,0.800924685342,0.837019396336,0.781586928582,0.817788023026,0.565559160958,0.804869235778,0.864719437303,0.690983337249,0.852134512764,0.774338051894,0.893607893608,0.753260869565,0.719224425297,0.967276422764,0.759040755992,0.723837880142,0.821377516887,0.890007205541,0.784176558601,0.795503621599,0.754258899249,0.884605842884,0.749480144348,0.8129395218,0.916013243626,0.922297080024,0.801795415885,0.615466523602,0.814422013592,0.825768273158,0.824250130972,0.902171555016,0.782015544893,0.841541017971,0.781245719678,0.913054893785,0.807183041015,0.858561252669,0.818052168694,0.880344535105,0.756645321615,0.74696985449,0.773549674471,0.871988444892,0.886282856643,0.624311081639,0.893263639076,0.869448525196,0.833903705436,0.73233924771,0.892102073805,0.880590534086,0.900158730159,0.9298325109,0.746382113821,0.718155882689,0.854911180773,0.736454024274,0.800245106672,0.740567708033,0.856922602529,0.852240392954,0.845692567758,0.795230788902,0.72413100465,0.884270334182,0.840079217461,0.828496524325,0.842436907897,0.751315502523,0.852583504875,0.728952254808,0.837572243464,0.750037012096,0.853421368547,0.872143572144,0.767366493491,0.751939896246,0.888970300223,0.938006930994,0.798769006994,0.716564943831,0.787105769092,0.812432058982,0.768021707351,0.796293459073,0.851608540268,0.808176326615,0.784334533193,0.702223149984,0.895096801347,0.90182946104,0.723936433557,0.783952404347,0.731683966597,0.818228614145,0.921415262001,0.835107088955,0.82981936609,0.820529962658,0.921671671672,0.875042735043
Maximum Pairwise P-Distance,0.90625,0.916666666667,0.928571428571,0.704225352113,0.937888198758,0.956043956044,0.850877192982,0.916666666667,0.7265625,0.895833333333,0.804469273743,0.879310344828,0.936170212766,0.677419354839,0.802083333333,0.947368421053,0.827433628319,0.914285714286,0.885057471264,0.898550724638,0.76862745098,0.896739130435,0.891304347826,0.885,0.891472868217,0.77,0.928571428571,0.881355932203,0.892857142857,0.911111111111,0.873303167421,0.880597014925,0.888888888889,0.836363636364,0.908163265306,0.885245901639,0.939393939394,0.907894736842,0.879396984925,0.88,0.857142857143,0.853107344633,0.815789473684,0.713826366559,0.639705882353,0.869318181818,0.934426229508,0.935779816514,0.942028985507,0.833333333333,0.883928571429,0.811764705882,0.88679245283,0.864768683274,0.822033898305,0.917948717949,0.907894736842,0.89,0.95652173913,0.931506849315,0.832618025751,0.893617021277,0.954022988506,0.676092544987,0.637795275591,0.897297297297,0.972222222222,0.787610619469,0.904761904762,0.941176470588,0.941747572816,0.792207792208,0.904761904762,0.688461538462,0.833333333333,0.931818181818,0.904109589041,0.899253731343,0.921348314607,0.6875,0.918699186992,0.950819672131,0.847826086957,0.866666666667,0.9,0.871794871795,0.90625,0.857142857143,0.913461538462,0.60396039604,0.891304347826,0.975609756098,0.820512820513,0.860655737705,0.836257309942,0.918918918919,0.834782608696,0.781065088757,1.0,0.785714285714,0.794117647059,0.879194630872,0.928571428571,0.859154929577,0.903225806452,0.867469879518,0.961165048544,0.810810810811,0.888888888889,0.959183673469,0.957746478873,0.913793103448,0.65671641791,0.913793103448,0.937984496124,0.865546218487,0.96875,0.952941176471,0.8984375,0.848275862069,0.962264150943,0.851851851852,0.931818181818,0.938596491228,0.925531914894,0.90243902439,0.890052356021,0.888888888889,0.96,0.954954954955,0.6625,0.913580246914,0.881578947368,0.924050632911,0.840579710145,0.965909090909,0.918367346939,0.95,0.945205479452,0.821138211382,0.826086956522,0.916666666667,0.833333333333,0.876923076923,0.794871794872,0.934782608696,0.894117647059,0.922330097087,0.833333333333,0.887573964497,0.953125,0.918032786885,0.926315789474,0.923076923077,0.801169590643,0.880208333333,0.895287958115,0.892655367232,0.837837837838,0.9,0.952380952381,0.915789473684,0.926470588235,0.941176470588,0.942028985507,0.917355371901,0.845528455285,0.918367346939,0.884353741497,0.824242424242,0.850241545894,0.919540229885,0.913043478261,0.90990990991,0.805970149254,0.931818181818,0.958333333333,0.823529411765,0.864406779661,0.834101382488,0.918918918919,0.95652173913,0.921348314607,0.939393939394,0.92700729927,0.959459459459,0.92
Number of Sequences,3.0,8.0,7.0,3.0,6.0,3.0,3.0,4.0,3.0,9.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,7.0,6.0,11.0,4.0,4.0,3.0,7.0,5.0,3.0,5.0,6.0,3.0,8.0,4.0,8.0,5.0,5.0,3.0,11.0,6.0,3.0,4.0,5.0,8.0,5.0,4.0,4.0,4.0,5.0,3.0,7.0,3.0,5.0,8.0,6.0,7.0,5.0,5.0,6.0,6.0,4.0,8.0,6.0,4.0,5.0,5.0,3.0,5.0,4.0,6.0,3.0,11.0,6.0,5.0,4.0,8.0,5.0,4.0,10.0,6.0,3.0,4.0,4.0,7.0,10.0,3.0,7.0,3.0,7.0,5.0,4.0,7.0,3.0,7.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,6.0,5.0,11.0,4.0,3.0,3.0,3.0,8.0,4.0,5.0,8.0,4.0,3.0,7.0,8.0,6.0,5.0,4.0,4.0,9.0,4.0,4.0,7.0,15.0,10.0,6.0,3.0,3.0,3.0,7.0,11.0,11.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,11.0,6.0,5.0,3.0,6.0,7.0,4.0,3.0,4.0,6.0,9.0,3.0,3.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,7.0,7.0,3.0,3.0,3.0,4.0,4.0,7.0,6.0,3.0,4.0,7.0,6.0,3.0,3.0
Reference Length,126.0,191.0,73.0,124.0,391.0,283.0,555.0,113.0,329.0,228.0,238.0,111.0,176.0,83.0,162.0,189.0,1011.0,537.0,473.0,269.0,333.0,481.0,77.0,350.0,549.0,139.0,80.0,135.0,176.0,216.0,471.0,239.0,332.0,270.0,223.0,130.0,213.0,149.0,517.0,170.0,321.0,346.0,98.0,373.0,165.0,378.0,255.0,365.0,211.0,124.0,275.0,145.0,141.0,518.0,144.0,327.0,132.0,198.0,324.0,285.0,324.0,125.0,262.0,562.0,199.0,660.0,424.0,186.0,411.0,143.0,250.0,223.0,313.0,330.0,184.0,334.0,418.0,546.0,156.0,105.0,329.0,122.0,82.0,246.0,249.0,280.0,149.0,285.0,136.0,165.0,369.0,165.0,123.0,223.0,411.0,251.0,149.0,296.0,289.0,165.0,521.0,345.0,378.0,160.0,86.0,201.0,236.0,144.0,135.0,188.0,190.0,169.0,187.0,455.0,359.0,236.0,159.0,229.0,372.0,864.0,105.0,215.0,72.0,253.0,313.0,155.0,453.0,136.0,141.0,267.0,276.0,197.0,711.0,131.0,354.0,209.0,87.0,287.0,254.0,246.0,179.0,253.0,234.0,447.0,149.0,126.0,171.0,240.0,222.0,319.0,156.0,458.0,281.0,490.0,266.0,587.0,265.0,454.0,103.0,145.0,108.0,466.0,163.0,364.0,170.0,287.0,243.0,165.0,470.0,651.0,365.0,161.0,315.0,348.0,181.0,266.0,169.0,128.0,111.0,369.0,159.0,180.0,241.0,168.0,442.0,283.0,160.0
