Statistics,TL079,SF263,SF185,SF175,SF032,SF117,SF108,TL272,SF038,SF077,SF270,SF061,TL332,SF174,SF296,SF252,SF135,SF144,SF129,SF188,SF227,SF098,TL567,SF055,SF058,SF273,TL239,SF168,SF123,SF066,SF244,SF133,SF064,SF173,SF221,SF172,SF150,TL028,SF190,SF121,SF102,SF099,SF081,SF222,SF268,SF303,TL788,SF285,TL639,SF261,SF271,SF120,SF192,SF151,SF257,SF183,SF001,SF217,SF266,SF142,SF255,SF180,SF145,SF110,SF137,SF210,SF097,SF253,SF087,SF047,SF294,SF224,SF065,SF103,SF207,SF161,SF292,SF274,SF170,SF025,SF215,SF318,TL306,SF013,SF237,SF134,SF019,SF275,SF208,SF154,SF279,TL436,SF300,TL587,SF075,TL526,SF295,SF241,TL008,SF281,SF203,SF091,TL553,SF026,SF238,SF264,SF153,SF313,TL548,TL443,TL258,SF256,SF018,SF139,SF009,SF197,TL142,SF057,SF299,SF163,TL568,SF202,SF184,SF260,SF187,SF199,SF307,SF039,SF008,SF156,SF181,TL413,SF248,SF213,SF131,SF119,TL704,TL366,TL657,SF068,SF015,SF096,SF051,SF027,SF251,SF088,TL346,SF212,SF071,SF178,TL379,SF043,SF093,SF092,SF191,SF160,SF304,SF311,SF223,TL722,TL473,SF229,SF118,TL327,TL026,SF291,SF141,SF243,SF283,SF316,SF245,SF028,SF086,SF049,SF194,TL347,TL001,SF239,SF072,SF269,SF022,TL046,SF165,SF082,SF200,TL400,TL167
1-SPFP,0.149253731343,0.709582309582,0.746575342466,0.732793522267,0.437052932761,0.476635514019,0.135980746089,0.49591280654,0.759526938239,0.630828702585,0.816187989556,0.634796238245,0.0,0.94387755102,0.465909090909,0.483516483516,0.313697657913,0.444179262795,0.470295580919,0.748890629079,0.753238341969,0.382795698925,0.228070175439,0.676885209219,0.407006697579,0.870662460568,0.429577464789,0.688193743693,0.300275482094,0.738095238095,0.374066530889,0.454993834772,0.455684454756,0.54501216545,0.257062146893,0.828505878979,0.443108974359,0.172566371681,0.587155963303,0.562143671608,0.706416464891,0.57373988799,0.82505399568,0.950880939669,0.959902794654,0.376451077944,0.0460122699387,0.441405035748,0.146718146718,0.774100719424,0.673485444532,0.750882145378,0.782062780269,0.728448275862,0.811305070657,0.436042402827,0.50214961307,0.457286432161,0.276830491474,0.550087873462,0.725327812284,0.625502008032,0.365535248042,0.858843537415,0.962609970674,0.206788511749,0.326066790353,0.665584415584,0.549864183159,0.605697151424,0.251668255481,0.874376869392,0.599156118143,0.857882165605,0.826419213974,0.543445971036,0.408682049276,0.147826086957,0.327102803738,0.939965694683,0.454725710509,0.645936665395,0.56875,0.702779086199,0.374707259953,0.646555238483,0.280927835052,0.325581395349,0.817813765182,0.922829581994,0.627737226277,0.120553359684,0.860730593607,0.41564792176,0.531177829099,0.125,0.645251396648,0.781954887218,0.0,0.693548387097,0.876661742984,0.361545538178,0.0673076923077,0.380132450331,0.51843575419,0.405917159763,0.327957901884,0.5477582846,0.387931034483,0.0542372881356,0.0,0.704646017699,0.856132075472,0.51076500229,0.464667596467,0.609725685786,0.122270742358,0.616311771796,0.396493941738,0.415405777166,0.0852272727273,0.245250431779,0.815217391304,0.561355932203,0.207633587786,0.515711645102,0.696050096339,0.830858887193,0.418959330144,0.132241076653,0.658181818182,0.0631970260223,0.069873997709,0.602305475504,0.7101423167,0.3033632287,0.286624203822,0.00294985250737,0.0,0.593360995851,0.708661417323,0.296103896104,0.615189873418,0.458796296296,0.55,0.392996108949,0.29963898917,0.514903129657,0.578389830508,0.580165289256,0.105011933174,0.25208466966,0.578156782976,0.268175074184,0.763706140351,0.201871657754,0.682942923128,0.539102721255,0.724066390041,0.703363914373,0.369411764706,0.516405135521,0.770979605483,0.0376569037657,0.165991902834,0.39787889155,0.749669457911,0.563719115735,0.432607989607,0.628387442984,0.650743099788,0.49898989899,0.531110207401,0.545606975184,0.660421545667,0.0287539936102,0.0,0.774475524476,0.691931540342,0.806522609044,0.503649635036,0.0340909090909,0.313531353135,0.346744696416,0.407733537519,0.0,0.118279569892
1-SPFN,0.157894736842,0.695903614458,0.760465116279,0.7903930131,0.445822692448,0.463636363636,0.150066401062,0.524495677233,0.768617021277,0.682435964454,0.843952483801,0.656401944895,0.0,0.984042553191,0.529032258065,0.534412955466,0.471215351812,0.519863438858,0.477421271539,0.764149687042,0.768163804491,0.435918367347,0.175675675676,0.716654821132,0.48496009822,0.916943521595,0.437799043062,0.742110990207,0.313218390805,0.778171896317,0.412734082397,0.503181818182,0.45547309833,0.583333333333,0.287974683544,0.887285012285,0.515377446412,0.159836065574,0.65211062591,0.64025974026,0.745448738422,0.556091676719,0.82505399568,0.952406417112,0.959902794654,0.415243902439,0.0717703349282,0.478597910347,0.179245283019,0.788856304985,0.730375426621,0.786982248521,0.841698841699,0.774409587593,0.81537176274,0.427137417792,0.503882657463,0.461148648649,0.345720250522,0.562443845463,0.739099859353,0.627391742195,0.403846153846,0.882096069869,0.965441176471,0.266487213997,0.372154579142,0.630769230769,0.617025908992,0.668874172185,0.253116011505,0.924130663857,0.655088195387,0.877085877086,0.837389380531,0.676606564956,0.452576873105,0.145833333333,0.332699619772,0.948096885813,0.487597448618,0.663141402272,0.669117647059,0.792352628784,0.446927374302,0.700530035336,0.235930735931,0.420494699647,0.825988187188,0.931818181818,0.650332728373,0.142523364486,0.924019607843,0.449735449735,0.594315245478,0.137313432836,0.669565217391,0.920353982301,0.0,0.846456692913,0.873008090218,0.405991735537,0.0858895705521,0.417758369723,0.530285714286,0.413751507841,0.337467248908,0.627232142857,0.48128342246,0.0506329113924,0.0,0.732183908046,0.917825537295,0.56656504065,0.511645764013,0.645970937913,0.129032258065,0.697272727273,0.440561443712,0.531129088991,0.0849056603774,0.286868686869,0.865384615385,0.591851322373,0.220421393841,0.568228105906,0.722861430715,0.905763122069,0.429754601227,0.127037661608,0.921119592875,0.0674603174603,0.0822102425876,0.629897528632,0.804982642434,0.279950341403,0.314685314685,0.00418410041841,0.0,0.641255605381,0.756302521008,0.339285714286,0.616751269036,0.495252373813,0.662946428571,0.363309352518,0.338775510204,0.597234226448,0.613483146067,0.605172413793,0.120218579235,0.264468371467,0.608831768001,0.278183916891,0.788788221971,0.250830564784,0.675808031342,0.588439925074,0.730125523013,0.766666666667,0.381067961165,0.574420818788,0.853441894893,0.0521739130435,0.211340206186,0.420310805927,0.778846153846,0.568524590164,0.476906552095,0.640065591692,0.665942422596,0.496981891348,0.613433536872,0.569279216235,0.689486552567,0.0328467153285,0.0,0.839015151515,0.750663129973,0.828571428571,0.535714285714,0.04,0.322033898305,0.356390977444,0.438271604938,0.0,0.146666666667
SP-Score,0.153574234093,0.70274296202,0.753520229372,0.761593267684,0.441437812605,0.470135938828,0.143023573576,0.510204241886,0.764071979758,0.656632333519,0.830070236679,0.64559909157,0.0,0.963960052106,0.497470674487,0.508964719491,0.392456504863,0.482021350826,0.473858426229,0.75652015806,0.76070107323,0.409357033136,0.201872925557,0.696770015176,0.445983397899,0.893802991081,0.433688253925,0.71515236695,0.306746936449,0.758133567206,0.393400306643,0.479087826477,0.455578776543,0.564172749392,0.272518415218,0.857895445632,0.479243210385,0.166201218628,0.619633294606,0.601201705934,0.725932601657,0.564915782354,0.82505399568,0.951643678391,0.959902794654,0.395847490191,0.0588913024334,0.460001473047,0.162981714869,0.781478512205,0.701930435577,0.768932196949,0.811880810984,0.751428931727,0.813338416698,0.431589910309,0.503016135266,0.459217540405,0.311275370998,0.556265859462,0.732213835819,0.626446875114,0.384690700944,0.870469803642,0.964025573573,0.236637862873,0.349110684747,0.648176823177,0.583445046075,0.637285661805,0.252392133493,0.899253766624,0.627122156765,0.867484021345,0.831904297252,0.610026267996,0.430629461191,0.146829710145,0.329901211755,0.944031290248,0.471161579563,0.654539033833,0.618933823529,0.747565857491,0.410817317127,0.67354263691,0.258429285491,0.373038047498,0.821900976185,0.927323881906,0.639034977325,0.131538362085,0.892375100725,0.432691685748,0.562746537289,0.131156716418,0.65740830702,0.851154434759,0.0,0.770002540005,0.874834916601,0.383768636858,0.0765986314299,0.398945410027,0.524360734238,0.409834333802,0.332712575396,0.587495213729,0.434607228471,0.052435099764,0.0,0.718414962873,0.886978806383,0.53866502147,0.48815668024,0.627848311849,0.125651500211,0.656792249534,0.418527692725,0.473267433078,0.0850664665523,0.266059559324,0.840301003344,0.576603627288,0.214027490814,0.541969875504,0.709455763527,0.868311004631,0.424356965685,0.12963936913,0.789650705529,0.0653286717413,0.0760421201483,0.616101502068,0.757562479567,0.291656785051,0.300654759253,0.00356697646289,0.0,0.617308300616,0.732481969166,0.317694805195,0.615970571227,0.477024335055,0.606473214286,0.378152730734,0.319207249687,0.556068678052,0.595936488288,0.592668851525,0.112615256205,0.258276520564,0.593494275489,0.273179495538,0.776247181161,0.226351111269,0.679375477235,0.563771323164,0.727095956527,0.73501529052,0.375239862935,0.545412977154,0.812210750188,0.0449154084046,0.18866605451,0.409094848738,0.764257805879,0.566121852949,0.454757270851,0.634226517338,0.658342761192,0.497985895169,0.572271872137,0.55744309571,0.674954049117,0.0308003544693,0.0,0.806745337995,0.721297335158,0.817547018808,0.519681960375,0.0370454545455,0.31778262572,0.35156783693,0.423002571229,0.0,0.13247311828
TC,0.0138888888889,0.327102803738,0.461538461538,0.609195402299,0.12582781457,0.352713178295,0.00655737704918,0.333333333333,0.628676470588,0.172413793103,0.627906976744,0.426666666667,0.0,0.953125,0.237288135593,0.2,0.196721311475,0.06,0.0454545454545,0.331360946746,0.591240875912,0.202898550725,0.0535714285714,0.346428571429,0.108695652174,0.831775700935,0.0,0.348837209302,0.179104477612,0.286585365854,0.123134328358,0.0,0.0492424242424,0.291666666667,0.153225806452,0.443037974684,0.186046511628,0.0,0.379790940767,0.37984496124,0.304347826087,0.28640776699,0.666666666667,0.907643312102,0.930555555556,0.119521912351,0.0,0.124,0.0,0.466666666667,0.358695652174,0.525862068966,0.5,0.52802359882,0.560606060606,0.121848739496,0.157303370787,0.283464566929,0.0190839694656,0.263888888889,0.449056603774,0.35,0.021978021978,0.804511278195,0.881578947368,0.0125,0.0232558139535,0.469026548673,0.114093959732,0.0,0.0,0.822485207101,0.194092827004,0.666666666667,0.630952380952,0.117647058824,0.148936170213,0.0436241610738,0.0,0.88,0.0269058295964,0.361445783133,0.462962962963,0.453125,0.111111111111,0.305389221557,0.0454545454545,0.0689655172414,0.455284552846,0.858490566038,0.154811715481,0.0,0.720430107527,0.294117647059,0.338403041825,0.008,0.456,0.700440528634,0.0,0.788888888889,0.694760820046,0.14347826087,0.0,0.208695652174,0.038961038961,0.0,0.0,0.409638554217,0.329113924051,0.0,0.0,0.316455696203,0.763888888889,0.268786127168,0.0,0.375838926174,0.0,0.062015503876,0.0309734513274,0.243243243243,0.0,0.0,0.673469387755,0.1,0.0272108843537,0.119565217391,0.341991341991,0.4,0.0,0.0267379679144,0.689440993789,0.0,0.00324675324675,0.245283018868,0.240740740741,0.0,0.244897959184,0.0,0.0,0.405940594059,0.59842519685,0.14880952381,0.372340425532,0.166112956811,0.415730337079,0.102040816327,0.0989010989011,0.31847133758,0.459119496855,0.210762331839,0.0123456790123,0.0412979351032,0.0402298850575,0.0123966942149,0.507246376812,0.14224137931,0.170212765957,0.1875,0.53125,0.663461538462,0.0649350649351,0.245562130178,0.308411214953,0.0,0.0,0.0,0.442708333333,0.157894736842,0.105571847507,0.410087719298,0.347457627119,0.262626262626,0.117346938776,0.0571428571429,0.551724137931,0.0,0.0,0.572815533981,0.4875,0.55223880597,0.161290322581,0.0,0.1015625,0.0,0.08,0.0,0.0
Modeler,0.149253731343,0.709582309582,0.746575342466,0.732793522267,0.437052932761,0.476635514019,0.135980746089,0.49591280654,0.759526938239,0.630828702585,0.816187989556,0.634796238245,0.0,0.94387755102,0.465909090909,0.483516483516,0.313697657913,0.444179262795,0.470295580919,0.748890629079,0.753238341969,0.382795698925,0.228070175439,0.676885209219,0.407006697579,0.870662460568,0.429577464789,0.688193743693,0.300275482094,0.738095238095,0.374066530889,0.454993834772,0.455684454756,0.54501216545,0.257062146893,0.828505878979,0.443108974359,0.172566371681,0.587155963303,0.562143671608,0.706416464891,0.57373988799,0.82505399568,0.950880939669,0.959902794654,0.376451077944,0.0460122699387,0.441405035748,0.146718146718,0.774100719424,0.673485444532,0.750882145378,0.782062780269,0.728448275862,0.811305070657,0.436042402827,0.50214961307,0.457286432161,0.276830491474,0.550087873462,0.725327812284,0.625502008032,0.365535248042,0.858843537415,0.962609970674,0.206788511749,0.326066790353,0.665584415584,0.549864183159,0.605697151424,0.251668255481,0.874376869392,0.599156118143,0.857882165605,0.826419213974,0.543445971036,0.408682049276,0.147826086957,0.327102803738,0.939965694683,0.454725710509,0.645936665395,0.56875,0.702779086199,0.374707259953,0.646555238483,0.280927835052,0.325581395349,0.817813765182,0.922829581994,0.627737226277,0.120553359684,0.860730593607,0.41564792176,0.531177829099,0.125,0.645251396648,0.781954887218,0.0,0.693548387097,0.876661742984,0.361545538178,0.0673076923077,0.380132450331,0.51843575419,0.405917159763,0.327957901884,0.5477582846,0.387931034483,0.0542372881356,0.0,0.704646017699,0.856132075472,0.51076500229,0.464667596467,0.609725685786,0.122270742358,0.616311771796,0.396493941738,0.415405777166,0.0852272727273,0.245250431779,0.815217391304,0.561355932203,0.207633587786,0.515711645102,0.696050096339,0.830858887193,0.418959330144,0.132241076653,0.658181818182,0.0631970260223,0.069873997709,0.602305475504,0.7101423167,0.3033632287,0.286624203822,0.00294985250737,0.0,0.593360995851,0.708661417323,0.296103896104,0.615189873418,0.458796296296,0.55,0.392996108949,0.29963898917,0.514903129657,0.578389830508,0.580165289256,0.105011933174,0.25208466966,0.578156782976,0.268175074184,0.763706140351,0.201871657754,0.682942923128,0.539102721255,0.724066390041,0.703363914373,0.369411764706,0.516405135521,0.770979605483,0.0376569037657,0.165991902834,0.39787889155,0.749669457911,0.563719115735,0.432607989607,0.628387442984,0.650743099788,0.49898989899,0.531110207401,0.545606975184,0.660421545667,0.0287539936102,0.0,0.774475524476,0.691931540342,0.806522609044,0.503649635036,0.0340909090909,0.313531353135,0.346744696416,0.407733537519,0.0,0.118279569892
Compression,0.888888888889,0.853403141361,0.86301369863,0.887096774194,0.882352941176,1.01413427562,0.891891891892,0.796460176991,0.990881458967,0.824561403509,0.928571428571,0.846846846847,0.738636363636,0.903614457831,0.858024691358,0.761904761905,0.704253214639,0.687150837989,0.879492600423,0.840148698885,0.945945945946,0.827442827443,1.20779220779,0.828571428571,0.719489981785,0.892086330935,0.8625,0.8,0.909090909091,0.824074074074,0.796178343949,0.765690376569,0.954819277108,0.788888888889,0.892376681614,0.623076923077,0.741784037559,1.02013422819,0.860735009671,0.776470588235,0.694704049844,0.968208092486,0.989795918367,0.983914209115,1.0,0.825396825397,0.698039215686,0.772602739726,0.791469194313,0.887096774194,0.767272727273,0.848275862069,0.780141843972,0.818532818533,0.944444444444,0.929663608563,0.916666666667,0.883838383838,0.765432098765,0.873684210526,0.922839506173,0.992,0.74427480916,0.951957295374,0.989949748744,0.677272727273,0.707547169811,1.02150537634,0.60097323601,0.776223776224,0.84,0.85201793722,0.753993610224,0.945454545455,0.945652173913,0.550898203593,0.760765550239,0.967032967033,0.878205128205,0.980952380952,0.784194528875,0.729508196721,0.817073170732,0.682926829268,0.847389558233,0.739285714286,1.20134228188,0.698245614035,0.970588235294,0.981818181818,0.869918699187,0.654545454545,0.821138211382,0.883408071749,0.793187347932,0.840637450199,0.953020134228,0.820945945946,0.59169550173,0.775757575758,0.967370441459,0.820289855072,0.798941798942,0.83125,0.906976744186,0.940298507463,0.745762711864,0.770833333333,0.785185185185,0.968085106383,0.889473684211,0.810650887574,0.855614973262,0.841758241758,0.729805013928,0.911016949153,0.930817610063,0.742358078603,0.733870967742,0.66087962963,0.857142857143,0.790697674419,0.875,0.762845849802,0.948881789137,0.774193548387,0.812362030905,0.669117647059,0.765957446809,0.846441947566,0.673913043478,0.862944162437,0.803094233474,0.832061068702,0.686440677966,0.794258373206,0.827586206897,0.724738675958,0.779527559055,0.910569105691,0.905027932961,0.845849802372,0.952991452991,0.814317673378,0.704697986577,1.06349206349,0.877192982456,0.733333333333,0.900900900901,0.924764890282,0.737179487179,0.801310043668,0.683274021352,0.820408163265,0.913533834586,0.776831345826,0.992452830189,0.75550660793,0.980582524272,0.868965517241,0.87037037037,0.802575107296,0.656441717791,0.728021978022,0.794117647059,0.797909407666,0.893004115226,0.927272727273,0.751063829787,0.870967741935,0.906849315068,0.937888198758,0.711111111111,0.790229885057,0.922651933702,0.898496240602,0.769230769231,0.859375,0.873873873874,0.886178861789,0.842767295597,0.833333333333,0.867219917012,0.72619047619,0.866515837104,0.816254416961,0.8375
Average Pairwise P-Distance,0.869500484864,0.830240634165,0.778929961678,0.632431818956,0.815565714707,0.818241190334,0.819956140351,0.864721494374,0.686902947154,0.763470643488,0.748275757806,0.791706587947,0.869749045281,0.648857526882,0.716047482211,0.853372513515,0.781737597462,0.792134176935,0.755606038075,0.748222392735,0.725282838924,0.8393968564,0.826513213981,0.75917552022,0.830959258849,0.675496334456,0.854173943848,0.785510949381,0.854275898394,0.800020015902,0.798441233315,0.795348288758,0.810371511644,0.758717665415,0.848936272622,0.727399954706,0.84117680765,0.865119761969,0.808509889006,0.769726231989,0.762812643359,0.817934048516,0.722416042023,0.621102044874,0.579843410852,0.797863831305,0.892845926763,0.838317775627,0.91598119859,0.733789594889,0.771097840703,0.720190850616,0.732426502772,0.810364159278,0.701416138338,0.856992819553,0.845617184273,0.829384423346,0.872637504629,0.830256266678,0.722565440429,0.838046287507,0.815710778137,0.646084378966,0.562589394874,0.850158970031,0.81292432681,0.737379640452,0.765045442658,0.70970707186,0.872972710439,0.694992576035,0.812831963394,0.624301992431,0.750756748905,0.840998400283,0.838483570419,0.891191658565,0.838723820722,0.616068871707,0.813677097742,0.856286473107,0.831027667984,0.76715550631,0.814361001318,0.800924685342,0.837019396336,0.781586928582,0.817788023026,0.565559160958,0.804869235778,0.864719437303,0.690983337249,0.852134512764,0.774338051894,0.893607893608,0.753260869565,0.719224425297,0.967276422764,0.759040755992,0.723837880142,0.821377516887,0.890007205541,0.784176558601,0.795503621599,0.754258899249,0.884605842884,0.749480144348,0.8129395218,0.916013243626,0.922297080024,0.801795415885,0.615466523602,0.814422013592,0.825768273158,0.824250130972,0.902171555016,0.782015544893,0.841541017971,0.781245719678,0.913054893785,0.807183041015,0.858561252669,0.818052168694,0.880344535105,0.756645321615,0.74696985449,0.773549674471,0.871988444892,0.886282856643,0.624311081639,0.893263639076,0.869448525196,0.833903705436,0.73233924771,0.892102073805,0.880590534086,0.900158730159,0.9298325109,0.746382113821,0.718155882689,0.854911180773,0.736454024274,0.800245106672,0.740567708033,0.856922602529,0.852240392954,0.845692567758,0.795230788902,0.72413100465,0.884270334182,0.840079217461,0.828496524325,0.842436907897,0.751315502523,0.852583504875,0.728952254808,0.837572243464,0.750037012096,0.853421368547,0.872143572144,0.767366493491,0.751939896246,0.888970300223,0.938006930994,0.798769006994,0.716564943831,0.787105769092,0.812432058982,0.768021707351,0.796293459073,0.851608540268,0.808176326615,0.784334533193,0.702223149984,0.895096801347,0.90182946104,0.723936433557,0.783952404347,0.731683966597,0.818228614145,0.921415262001,0.835107088955,0.82981936609,0.820529962658,0.921671671672,0.875042735043
Maximum Pairwise P-Distance,0.90625,0.916666666667,0.928571428571,0.704225352113,0.937888198758,0.956043956044,0.850877192982,0.916666666667,0.7265625,0.895833333333,0.804469273743,0.879310344828,0.936170212766,0.677419354839,0.802083333333,0.947368421053,0.827433628319,0.914285714286,0.885057471264,0.898550724638,0.76862745098,0.896739130435,0.891304347826,0.885,0.891472868217,0.77,0.928571428571,0.881355932203,0.892857142857,0.911111111111,0.873303167421,0.880597014925,0.888888888889,0.836363636364,0.908163265306,0.885245901639,0.939393939394,0.907894736842,0.879396984925,0.88,0.857142857143,0.853107344633,0.815789473684,0.713826366559,0.639705882353,0.869318181818,0.934426229508,0.935779816514,0.942028985507,0.833333333333,0.883928571429,0.811764705882,0.88679245283,0.864768683274,0.822033898305,0.917948717949,0.907894736842,0.89,0.95652173913,0.931506849315,0.832618025751,0.893617021277,0.954022988506,0.676092544987,0.637795275591,0.897297297297,0.972222222222,0.787610619469,0.904761904762,0.941176470588,0.941747572816,0.792207792208,0.904761904762,0.688461538462,0.833333333333,0.931818181818,0.904109589041,0.899253731343,0.921348314607,0.6875,0.918699186992,0.950819672131,0.847826086957,0.866666666667,0.9,0.871794871795,0.90625,0.857142857143,0.913461538462,0.60396039604,0.891304347826,0.975609756098,0.820512820513,0.860655737705,0.836257309942,0.918918918919,0.834782608696,0.781065088757,1.0,0.785714285714,0.794117647059,0.879194630872,0.928571428571,0.859154929577,0.903225806452,0.867469879518,0.961165048544,0.810810810811,0.888888888889,0.959183673469,0.957746478873,0.913793103448,0.65671641791,0.913793103448,0.937984496124,0.865546218487,0.96875,0.952941176471,0.8984375,0.848275862069,0.962264150943,0.851851851852,0.931818181818,0.938596491228,0.925531914894,0.90243902439,0.890052356021,0.888888888889,0.96,0.954954954955,0.6625,0.913580246914,0.881578947368,0.924050632911,0.840579710145,0.965909090909,0.918367346939,0.95,0.945205479452,0.821138211382,0.826086956522,0.916666666667,0.833333333333,0.876923076923,0.794871794872,0.934782608696,0.894117647059,0.922330097087,0.833333333333,0.887573964497,0.953125,0.918032786885,0.926315789474,0.923076923077,0.801169590643,0.880208333333,0.895287958115,0.892655367232,0.837837837838,0.9,0.952380952381,0.915789473684,0.926470588235,0.941176470588,0.942028985507,0.917355371901,0.845528455285,0.918367346939,0.884353741497,0.824242424242,0.850241545894,0.919540229885,0.913043478261,0.90990990991,0.805970149254,0.931818181818,0.958333333333,0.823529411765,0.864406779661,0.834101382488,0.918918918919,0.95652173913,0.921348314607,0.939393939394,0.92700729927,0.959459459459,0.92
Number of Sequences,3.0,8.0,7.0,3.0,6.0,3.0,3.0,4.0,3.0,9.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,7.0,6.0,11.0,4.0,4.0,3.0,7.0,5.0,3.0,5.0,6.0,3.0,8.0,4.0,8.0,5.0,5.0,3.0,11.0,6.0,3.0,4.0,5.0,8.0,5.0,4.0,4.0,4.0,5.0,3.0,7.0,3.0,5.0,8.0,6.0,7.0,5.0,5.0,6.0,6.0,4.0,8.0,6.0,4.0,5.0,5.0,3.0,5.0,4.0,6.0,3.0,11.0,6.0,5.0,4.0,8.0,5.0,4.0,10.0,6.0,3.0,4.0,4.0,7.0,10.0,3.0,7.0,3.0,7.0,5.0,4.0,7.0,3.0,7.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,6.0,5.0,11.0,4.0,3.0,3.0,3.0,8.0,4.0,5.0,8.0,4.0,3.0,7.0,8.0,6.0,5.0,4.0,4.0,9.0,4.0,4.0,7.0,15.0,10.0,6.0,3.0,3.0,3.0,7.0,11.0,11.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,11.0,6.0,5.0,3.0,6.0,7.0,4.0,3.0,4.0,6.0,9.0,3.0,3.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,7.0,7.0,3.0,3.0,3.0,4.0,4.0,7.0,6.0,3.0,4.0,7.0,6.0,3.0,3.0
Reference Length,126.0,191.0,73.0,124.0,391.0,283.0,555.0,113.0,329.0,228.0,238.0,111.0,176.0,83.0,162.0,189.0,1011.0,537.0,473.0,269.0,333.0,481.0,77.0,350.0,549.0,139.0,80.0,135.0,176.0,216.0,471.0,239.0,332.0,270.0,223.0,130.0,213.0,149.0,517.0,170.0,321.0,346.0,98.0,373.0,165.0,378.0,255.0,365.0,211.0,124.0,275.0,145.0,141.0,518.0,144.0,327.0,132.0,198.0,324.0,285.0,324.0,125.0,262.0,562.0,199.0,660.0,424.0,186.0,411.0,143.0,250.0,223.0,313.0,330.0,184.0,334.0,418.0,546.0,156.0,105.0,329.0,122.0,82.0,246.0,249.0,280.0,149.0,285.0,136.0,165.0,369.0,165.0,123.0,223.0,411.0,251.0,149.0,296.0,289.0,165.0,521.0,345.0,378.0,160.0,86.0,201.0,236.0,144.0,135.0,188.0,190.0,169.0,187.0,455.0,359.0,236.0,159.0,229.0,372.0,864.0,105.0,215.0,72.0,253.0,313.0,155.0,453.0,136.0,141.0,267.0,276.0,197.0,711.0,131.0,354.0,209.0,87.0,287.0,254.0,246.0,179.0,253.0,234.0,447.0,149.0,126.0,171.0,240.0,222.0,319.0,156.0,458.0,281.0,490.0,266.0,587.0,265.0,454.0,103.0,145.0,108.0,466.0,163.0,364.0,170.0,287.0,243.0,165.0,470.0,651.0,365.0,161.0,315.0,348.0,181.0,266.0,169.0,128.0,111.0,369.0,159.0,180.0,241.0,168.0,442.0,283.0,160.0
