Statistics,TL079,SF263,SF185,SF175,SF032,SF117,SF108,TL272,SF038,SF077,SF270,SF061,TL332,SF174,SF296,SF252,SF135,SF144,SF129,SF188,SF227,SF098,TL567,SF055,SF058,SF273,TL239,SF168,SF123,SF066,SF244,SF133,SF064,SF173,SF221,SF172,SF150,TL028,SF190,SF121,SF102,SF099,SF081,SF222,SF268,SF303,TL788,SF285,TL639,SF261,SF271,SF120,SF192,SF151,SF257,SF183,SF001,SF217,SF266,SF142,SF255,SF180,SF145,SF110,SF137,SF210,SF097,SF253,SF087,SF047,SF294,SF224,SF065,SF103,SF207,SF161,SF292,SF274,SF170,SF025,SF215,SF318,TL306,SF013,SF237,SF134,SF019,SF275,SF208,SF154,SF279,TL436,SF300,TL587,SF075,TL526,SF295,SF241,TL008,SF281,SF203,SF091,TL553,SF026,SF238,SF264,SF153,SF313,TL548,TL443,TL258,SF256,SF018,SF139,SF009,SF197,TL142,SF057,SF299,SF163,TL568,SF202,SF184,SF260,SF187,SF199,SF307,SF039,SF008,SF156,SF181,TL413,SF248,SF213,SF131,SF119,TL704,TL366,TL657,SF068,SF015,SF096,SF051,SF027,SF251,SF088,TL346,SF212,SF071,SF178,TL379,SF043,SF093,SF092,SF191,SF160,SF304,SF311,SF223,TL722,TL473,SF229,SF118,TL327,TL026,SF291,SF141,SF243,SF283,SF316,SF245,SF028,SF086,SF049,SF194,TL347,TL001,SF239,SF072,SF269,SF022,TL046,SF165,SF082,SF200,TL400,TL167
1-SPFP,0.191011235955,0.65560821485,0.920224719101,0.756972111554,0.48599726776,0.562790697674,0.280940594059,0.30407523511,0.768725361367,0.588306063523,0.820606694561,0.657770800628,0.139175257732,0.948979591837,0.463276836158,0.455165692008,0.298196948682,0.401418439716,0.57624675699,0.762947423627,0.757792207792,0.376967095851,0.236363636364,0.637789904502,0.412449392713,0.871382636656,0.268408551069,0.686294416244,0.189440993789,0.750129332644,0.372961956522,0.555272108844,0.455081669691,0.525020508614,0.201892744479,0.788914417002,0.434645669291,0.127853881279,0.559459459459,0.606498194946,0.671700392631,0.672074159907,0.913232104121,0.95966029724,0.980463980464,0.392491467577,0.0923076923077,0.517908082409,0.0,0.775539568345,0.66964990787,0.764250527797,0.805755395683,0.664768921634,0.819087136929,0.45622602023,0.499100719424,0.530201342282,0.270103092784,0.523872679045,0.73121984838,0.560079443893,0.372515125324,0.862978723404,0.964783565664,0.205835543767,0.28651928912,0.682274247492,0.504693429199,0.612585291888,0.225929456625,0.867924528302,0.597218833862,0.869288835916,0.787746170678,0.61316872428,0.403094777563,0.133333333333,0.345794392523,0.939965694683,0.514091680815,0.668833652008,0.4625,0.654631828979,0.334905660377,0.668019480519,0.420289855072,0.337448559671,0.827260458839,0.922829581994,0.6412437665,0.387527839644,0.861714285714,0.394088669951,0.490881458967,0.0,0.72676056338,0.781954887218,0.0,0.693548387097,0.871046825202,0.368968779565,0.130158730159,0.436997319035,0.524076147816,0.744552058111,0.331138790036,0.616766467066,0.529680365297,0.0332225913621,0.0,0.810383747178,0.845518867925,0.524707996406,0.53661971831,0.629911280101,0.17277486911,0.64671163575,0.421705835754,0.453212085656,0.00972762645914,0.337690631808,0.815217391304,0.424370860927,0.324451410658,0.526011560694,0.694915254237,0.840337296102,0.472618368511,0.136363636364,0.658181818182,0.0594795539033,0.0655172413793,0.625870069606,0.686876021056,0.365889830508,0.401459854015,0.0,0.109965635739,0.592975206612,0.476584022039,0.309782608696,0.600775193798,0.412796208531,0.55,0.330612244898,0.36690647482,0.547473200613,0.592274678112,0.588188347965,0.19806763285,0.308349769888,0.584791698931,0.298730395818,0.793103448276,0.153432032301,0.725496688742,0.565935420261,0.776150627615,0.761329305136,0.503512880562,0.495208568207,0.745429925525,0.0549199084668,0.206477732794,0.396682791983,0.731382978723,0.553455019557,0.404699738903,0.625738850081,0.68763326226,0.471861471861,0.575152749491,0.586842105263,0.660421545667,0.149717514124,0.0245901639344,0.826548672566,0.691931540342,0.807700020052,0.538848920863,0.0326530612245,0.276816608997,0.433615819209,0.415438324282,0.0,0.112676056338
1-SPFN,0.178947368421,0.6,0.952325581395,0.829694323144,0.519153593579,0.55,0.301460823373,0.279538904899,0.777925531915,0.639048614741,0.847192224622,0.679092382496,0.17880794702,0.989361702128,0.529032258065,0.472672064777,0.45842217484,0.439168218498,0.593879976233,0.774936742576,0.770805812417,0.430204081633,0.175675675676,0.664534470505,0.500306936771,0.900332225914,0.27033492823,0.735582154516,0.175287356322,0.791268758527,0.411235955056,0.593636363636,0.465213358071,0.555555555556,0.20253164557,0.843673218673,0.514445479963,0.114754098361,0.602620087336,0.654545454545,0.71031619291,0.699638118215,0.909287257019,0.966844919786,0.975698663426,0.420731707317,0.143540669856,0.550724637681,0.0,0.790322580645,0.723549488055,0.80325443787,0.864864864865,0.699682763483,0.824561403509,0.452751817238,0.478861087144,0.533783783784,0.328183716075,0.532345013477,0.746132208158,0.567975830816,0.414423076923,0.885589519651,0.966911764706,0.261103633917,0.349920592906,0.627692307692,0.550185064228,0.668874172185,0.227229146692,0.920969441517,0.664314789688,0.890516890517,0.796460176991,0.757743874249,0.451277609355,0.132352941176,0.351711026616,0.948096885813,0.536498936924,0.685076380729,0.544117647059,0.731810939989,0.396648044693,0.72703180212,0.408008658009,0.434628975265,0.835529304861,0.931818181818,0.661222020569,0.406542056075,0.924019607843,0.42328042328,0.556416881998,0.0,0.747826086957,0.920353982301,0.0,0.846456692913,0.871046825202,0.402892561983,0.125766871166,0.474526928675,0.534857142857,0.741857659831,0.325065502183,0.689732142857,0.620320855615,0.0316455696203,0.0,0.825287356322,0.906447534766,0.593495934959,0.585103660097,0.656538969617,0.152073732719,0.697272727273,0.457462045259,0.543440028139,0.00943396226415,0.313131313131,0.865384615385,0.381701215154,0.335494327391,0.55600814664,0.717858929465,0.919528059295,0.508282208589,0.116357504216,0.921119592875,0.0634920634921,0.0768194070081,0.650391802291,0.772717990606,0.35733498862,0.384615384615,0.0,0.14953271028,0.643497757848,0.484593837535,0.339285714286,0.590101522843,0.435282358821,0.662946428571,0.291366906475,0.416326530612,0.61797752809,0.620224719101,0.635344827586,0.224043715847,0.315612382234,0.622178283078,0.307810696422,0.820498301246,0.189368770764,0.715311785831,0.614396574793,0.776150627615,0.84,0.521844660194,0.557600761663,0.814951887491,0.0695652173913,0.262886597938,0.414889772317,0.755494505495,0.556721311475,0.443967060508,0.63651270839,0.700706137968,0.438631790744,0.663222170033,0.624212736179,0.689486552567,0.193430656934,0.027027027027,0.88446969697,0.750663129973,0.827954779034,0.58152173913,0.0355555555556,0.271186440678,0.461654135338,0.440740740741,0.0,0.106666666667
SP-Score,0.184979302188,0.627804107425,0.936275150248,0.793333217349,0.502575430669,0.556395348837,0.291200708716,0.291807070004,0.773325446641,0.613677339132,0.833899459591,0.668431591562,0.158991602376,0.969170646982,0.496154547111,0.463918878393,0.378309561761,0.420293329107,0.585063366612,0.768942083101,0.764299010105,0.403585588742,0.20601965602,0.651162187503,0.456378164742,0.885857431285,0.269371739649,0.71093828538,0.182364175055,0.770699045585,0.392098955789,0.57445423624,0.460147513881,0.540288032085,0.202212195025,0.816293817837,0.474545574627,0.12130398982,0.581039773398,0.630521824746,0.69100829277,0.685856139061,0.91125968057,0.963252608513,0.978081321945,0.406611587447,0.117924181082,0.534316360045,0.0,0.782931074495,0.696599697963,0.783752482834,0.835310130274,0.682225842558,0.821824270219,0.454488918734,0.488980903284,0.531992563033,0.299143404429,0.528108846261,0.738676028269,0.564027637354,0.393469101124,0.874284121527,0.965847665185,0.233469588842,0.318219941013,0.654983277592,0.527439246714,0.640729732037,0.226579301659,0.89444698491,0.630766811775,0.879902863216,0.792103173835,0.685456299264,0.427186193459,0.132843137255,0.34875270957,0.944031290248,0.52529530887,0.676955016368,0.503308823529,0.693221384484,0.365776852535,0.69752564132,0.414149256541,0.386038767468,0.83139488185,0.927323881906,0.651232893535,0.397034947859,0.892866946779,0.408684546616,0.523649170482,0.0,0.737293325168,0.851154434759,0.0,0.770002540005,0.871046825202,0.385930670774,0.127962800662,0.455762123855,0.529466645337,0.743204858971,0.328102146109,0.653249304962,0.575000610456,0.0324340804912,0.0,0.81783555175,0.875983201345,0.559101965683,0.560861689204,0.643225124859,0.162424300914,0.671992181512,0.439583940507,0.498326056897,0.00958079436165,0.32541097247,0.840301003344,0.40303603804,0.329972869024,0.541009853667,0.706387091851,0.879932677698,0.49045028855,0.12636057029,0.789650705529,0.0614858086977,0.0711683241937,0.638130935948,0.729797005831,0.361612409564,0.393037619315,0.0,0.12974917301,0.61823648223,0.480588929787,0.324534161491,0.595438358321,0.424039283676,0.606473214286,0.310989575686,0.391616502716,0.582725364351,0.606249698606,0.611766587776,0.211055674349,0.311981076061,0.603484991005,0.30327054612,0.806800874761,0.171400401533,0.720404237286,0.590165997527,0.776150627615,0.800664652568,0.512678770378,0.526404664935,0.780190906508,0.0622425629291,0.234682165366,0.40578628215,0.743438742109,0.555088165516,0.424333399706,0.631125779235,0.694169700114,0.455246631303,0.619187459762,0.605527420721,0.674954049117,0.171574085529,0.0258085954807,0.855509184768,0.721297335158,0.817827399543,0.560185329997,0.03410430839,0.274001524837,0.447634977274,0.428089532512,0.0,0.109671361502
TC,0.0555555555556,0.196261682243,0.711538461538,0.666666666667,0.185430463576,0.445736434109,0.160655737705,0.0,0.643382352941,0.172413793103,0.623255813953,0.453333333333,0.0,0.96875,0.237288135593,0.208,0.172131147541,0.02,0.20303030303,0.343195266272,0.605839416058,0.199275362319,0.0535714285714,0.267857142857,0.0905797101449,0.81308411215,0.0,0.348837209302,0.0,0.292682926829,0.126865671642,0.115384615385,0.0833333333333,0.25,0.0564516129032,0.417721518987,0.193798449612,0.0,0.313588850174,0.348837209302,0.260869565217,0.417475728155,0.797619047619,0.929936305732,0.944444444444,0.131474103586,0.101123595506,0.188,0.0,0.466666666667,0.353260869565,0.525862068966,0.558823529412,0.480825958702,0.606060606061,0.134453781513,0.123595505618,0.362204724409,0.0267175572519,0.203703703704,0.475471698113,0.266666666667,0.00549450549451,0.80701754386,0.861842105263,0.02,0.0093023255814,0.486725663717,0.107382550336,0.0,0.0,0.816568047337,0.248945147679,0.6875,0.577380952381,0.24064171123,0.117021276596,0.0436241610738,0.0,0.88,0.125560538117,0.361445783133,0.296296296296,0.390625,0.0625,0.305389221557,0.0181818181818,0.0965517241379,0.463414634146,0.858490566038,0.171548117155,0.0,0.720430107527,0.264705882353,0.334600760456,0.0,0.568,0.700440528634,0.0,0.788888888889,0.69020501139,0.15652173913,0.0378787878788,0.260869565217,0.038961038961,0.494505494505,0.0,0.421686746988,0.405063291139,0.0,0.0,0.443037974684,0.743055555556,0.28323699422,0.131455399061,0.389261744966,0.0,0.0697674418605,0.0353982300885,0.268191268191,0.0,0.0380952380952,0.673469387755,0.00625,0.0340136054422,0.163043478261,0.324675324675,0.442105263158,0.0104166666667,0.0267379679144,0.689440993789,0.0,0.00324675324675,0.235849056604,0.234567901235,0.0,0.265306122449,0.0,0.0,0.405940594059,0.204724409449,0.136904761905,0.324468085106,0.169435215947,0.415730337079,0.0,0.164835164835,0.286624203822,0.496855345912,0.219730941704,0.0,0.0589970501475,0.0804597701149,0.0537190082645,0.56038647343,0.120689655172,0.242553191489,0.180147058824,0.59375,0.740384615385,0.142857142857,0.174556213018,0.308411214953,0.0,0.0,0.0,0.427083333333,0.165413533835,0.108504398827,0.421052631579,0.372881355932,0.282828282828,0.168367346939,0.185714285714,0.551724137931,0.0283018867925,0.0,0.68932038835,0.4875,0.555970149254,0.217741935484,0.0,0.0546875,0.063829787234,0.0742857142857,0.0,0.0
Modeler,0.191011235955,0.65560821485,0.920224719101,0.756972111554,0.48599726776,0.562790697674,0.280940594059,0.30407523511,0.768725361367,0.588306063523,0.820606694561,0.657770800628,0.139175257732,0.948979591837,0.463276836158,0.455165692008,0.298196948682,0.401418439716,0.57624675699,0.762947423627,0.757792207792,0.376967095851,0.236363636364,0.637789904502,0.412449392713,0.871382636656,0.268408551069,0.686294416244,0.189440993789,0.750129332644,0.372961956522,0.555272108844,0.455081669691,0.525020508614,0.201892744479,0.788914417002,0.434645669291,0.127853881279,0.559459459459,0.606498194946,0.671700392631,0.672074159907,0.913232104121,0.95966029724,0.980463980464,0.392491467577,0.0923076923077,0.517908082409,0.0,0.775539568345,0.66964990787,0.764250527797,0.805755395683,0.664768921634,0.819087136929,0.45622602023,0.499100719424,0.530201342282,0.270103092784,0.523872679045,0.73121984838,0.560079443893,0.372515125324,0.862978723404,0.964783565664,0.205835543767,0.28651928912,0.682274247492,0.504693429199,0.612585291888,0.225929456625,0.867924528302,0.597218833862,0.869288835916,0.787746170678,0.61316872428,0.403094777563,0.133333333333,0.345794392523,0.939965694683,0.514091680815,0.668833652008,0.4625,0.654631828979,0.334905660377,0.668019480519,0.420289855072,0.337448559671,0.827260458839,0.922829581994,0.6412437665,0.387527839644,0.861714285714,0.394088669951,0.490881458967,0.0,0.72676056338,0.781954887218,0.0,0.693548387097,0.871046825202,0.368968779565,0.130158730159,0.436997319035,0.524076147816,0.744552058111,0.331138790036,0.616766467066,0.529680365297,0.0332225913621,0.0,0.810383747178,0.845518867925,0.524707996406,0.53661971831,0.629911280101,0.17277486911,0.64671163575,0.421705835754,0.453212085656,0.00972762645914,0.337690631808,0.815217391304,0.424370860927,0.324451410658,0.526011560694,0.694915254237,0.840337296102,0.472618368511,0.136363636364,0.658181818182,0.0594795539033,0.0655172413793,0.625870069606,0.686876021056,0.365889830508,0.401459854015,0.0,0.109965635739,0.592975206612,0.476584022039,0.309782608696,0.600775193798,0.412796208531,0.55,0.330612244898,0.36690647482,0.547473200613,0.592274678112,0.588188347965,0.19806763285,0.308349769888,0.584791698931,0.298730395818,0.793103448276,0.153432032301,0.725496688742,0.565935420261,0.776150627615,0.761329305136,0.503512880562,0.495208568207,0.745429925525,0.0549199084668,0.206477732794,0.396682791983,0.731382978723,0.553455019557,0.404699738903,0.625738850081,0.68763326226,0.471861471861,0.575152749491,0.586842105263,0.660421545667,0.149717514124,0.0245901639344,0.826548672566,0.691931540342,0.807700020052,0.538848920863,0.0326530612245,0.276816608997,0.433615819209,0.415438324282,0.0,0.112676056338
Compression,0.984126984127,0.905759162304,0.808219178082,0.887096774194,0.856777493606,1.01060070671,0.877477477477,0.946902654867,0.990881458967,0.780701754386,0.928571428571,0.855855855856,0.801136363636,0.903614457831,0.851851851852,0.820105820106,0.696340257171,0.759776536313,0.902748414376,0.836431226766,0.945945945946,0.825363825364,1.18181818182,0.865714285714,0.706739526412,0.920863309353,0.9625,0.807407407407,1.03977272727,0.814814814815,0.796178343949,0.870292887029,0.927710843373,0.8,1.0,0.630769230769,0.727699530516,1.04697986577,0.889748549323,0.829411764706,0.688473520249,0.835260115607,0.989795918367,0.97855227882,1.0,0.849206349206,0.701960784314,0.827397260274,0.919431279621,0.887096774194,0.778181818182,0.855172413793,0.737588652482,0.835907335907,0.944444444444,0.868501529052,0.969696969697,0.90404040404,0.808641975309,0.919298245614,0.932098765432,0.976,0.790076335878,0.951957295374,0.994974874372,0.690909090909,0.64858490566,1.05376344086,0.664233576642,0.755244755245,0.856,0.85201793722,0.76357827476,0.936363636364,0.951086956522,0.547904191617,0.717703349282,0.956043956044,0.878205128205,0.980952380952,0.87537993921,0.754098360656,0.817073170732,0.670731707317,0.855421686747,0.728571428571,0.979865771812,0.698245614035,0.970588235294,0.981818181818,0.894308943089,0.842424242424,0.821138211382,0.896860986547,0.798053527981,1.07171314741,0.953020134228,0.820945945946,0.63321799308,0.775757575758,0.967370441459,0.840579710145,0.928571428571,0.83125,0.906976744186,0.975124378109,0.822033898305,0.798611111111,0.822222222222,0.973404255319,0.884210526316,0.89349112426,0.855614973262,0.821978021978,0.777158774373,0.911016949153,1.01886792453,0.829694323144,0.782258064516,0.725694444444,0.866666666667,0.995348837209,0.875,0.96442687747,0.939297124601,0.812903225806,0.858719646799,0.669117647059,0.723404255319,1.05992509363,0.673913043478,0.862944162437,0.803094233474,0.824427480916,0.700564971751,0.775119617225,0.931034482759,0.871080139373,0.759842519685,0.906504065041,0.944134078212,0.869565217391,0.965811965812,0.841163310962,0.704697986577,1.10317460317,0.859649122807,0.729166666667,0.905405405405,0.890282131661,0.782051282051,0.818777292576,0.70462633452,0.781632653061,0.90977443609,0.790459965928,0.992452830189,0.737885462555,0.980582524272,0.855172413793,0.916666666667,0.74678111588,0.674846625767,0.763736263736,0.788235294118,0.81881533101,0.934156378601,0.927272727273,0.789361702128,0.900153609831,0.879452054795,0.987577639752,0.720634920635,0.781609195402,0.922651933702,0.781954887218,0.834319526627,0.8828125,0.873873873874,0.888888888889,0.836477987421,0.844444444444,0.941908713693,0.666666666667,0.861990950226,0.780918727915,0.9125
Average Pairwise P-Distance,0.869500484864,0.830240634165,0.778929961678,0.632431818956,0.815565714707,0.818241190334,0.819956140351,0.864721494374,0.686902947154,0.763470643488,0.748275757806,0.791706587947,0.869749045281,0.648857526882,0.716047482211,0.853372513515,0.781737597462,0.792134176935,0.755606038075,0.748222392735,0.725282838924,0.8393968564,0.826513213981,0.75917552022,0.830959258849,0.675496334456,0.854173943848,0.785510949381,0.854275898394,0.800020015902,0.798441233315,0.795348288758,0.810371511644,0.758717665415,0.848936272622,0.727399954706,0.84117680765,0.865119761969,0.808509889006,0.769726231989,0.762812643359,0.817934048516,0.722416042023,0.621102044874,0.579843410852,0.797863831305,0.892845926763,0.838317775627,0.91598119859,0.733789594889,0.771097840703,0.720190850616,0.732426502772,0.810364159278,0.701416138338,0.856992819553,0.845617184273,0.829384423346,0.872637504629,0.830256266678,0.722565440429,0.838046287507,0.815710778137,0.646084378966,0.562589394874,0.850158970031,0.81292432681,0.737379640452,0.765045442658,0.70970707186,0.872972710439,0.694992576035,0.812831963394,0.624301992431,0.750756748905,0.840998400283,0.838483570419,0.891191658565,0.838723820722,0.616068871707,0.813677097742,0.856286473107,0.831027667984,0.76715550631,0.814361001318,0.800924685342,0.837019396336,0.781586928582,0.817788023026,0.565559160958,0.804869235778,0.864719437303,0.690983337249,0.852134512764,0.774338051894,0.893607893608,0.753260869565,0.719224425297,0.967276422764,0.759040755992,0.723837880142,0.821377516887,0.890007205541,0.784176558601,0.795503621599,0.754258899249,0.884605842884,0.749480144348,0.8129395218,0.916013243626,0.922297080024,0.801795415885,0.615466523602,0.814422013592,0.825768273158,0.824250130972,0.902171555016,0.782015544893,0.841541017971,0.781245719678,0.913054893785,0.807183041015,0.858561252669,0.818052168694,0.880344535105,0.756645321615,0.74696985449,0.773549674471,0.871988444892,0.886282856643,0.624311081639,0.893263639076,0.869448525196,0.833903705436,0.73233924771,0.892102073805,0.880590534086,0.900158730159,0.9298325109,0.746382113821,0.718155882689,0.854911180773,0.736454024274,0.800245106672,0.740567708033,0.856922602529,0.852240392954,0.845692567758,0.795230788902,0.72413100465,0.884270334182,0.840079217461,0.828496524325,0.842436907897,0.751315502523,0.852583504875,0.728952254808,0.837572243464,0.750037012096,0.853421368547,0.872143572144,0.767366493491,0.751939896246,0.888970300223,0.938006930994,0.798769006994,0.716564943831,0.787105769092,0.812432058982,0.768021707351,0.796293459073,0.851608540268,0.808176326615,0.784334533193,0.702223149984,0.895096801347,0.90182946104,0.723936433557,0.783952404347,0.731683966597,0.818228614145,0.921415262001,0.835107088955,0.82981936609,0.820529962658,0.921671671672,0.875042735043
Maximum Pairwise P-Distance,0.90625,0.916666666667,0.928571428571,0.704225352113,0.937888198758,0.956043956044,0.850877192982,0.916666666667,0.7265625,0.895833333333,0.804469273743,0.879310344828,0.936170212766,0.677419354839,0.802083333333,0.947368421053,0.827433628319,0.914285714286,0.885057471264,0.898550724638,0.76862745098,0.896739130435,0.891304347826,0.885,0.891472868217,0.77,0.928571428571,0.881355932203,0.892857142857,0.911111111111,0.873303167421,0.880597014925,0.888888888889,0.836363636364,0.908163265306,0.885245901639,0.939393939394,0.907894736842,0.879396984925,0.88,0.857142857143,0.853107344633,0.815789473684,0.713826366559,0.639705882353,0.869318181818,0.934426229508,0.935779816514,0.942028985507,0.833333333333,0.883928571429,0.811764705882,0.88679245283,0.864768683274,0.822033898305,0.917948717949,0.907894736842,0.89,0.95652173913,0.931506849315,0.832618025751,0.893617021277,0.954022988506,0.676092544987,0.637795275591,0.897297297297,0.972222222222,0.787610619469,0.904761904762,0.941176470588,0.941747572816,0.792207792208,0.904761904762,0.688461538462,0.833333333333,0.931818181818,0.904109589041,0.899253731343,0.921348314607,0.6875,0.918699186992,0.950819672131,0.847826086957,0.866666666667,0.9,0.871794871795,0.90625,0.857142857143,0.913461538462,0.60396039604,0.891304347826,0.975609756098,0.820512820513,0.860655737705,0.836257309942,0.918918918919,0.834782608696,0.781065088757,1.0,0.785714285714,0.794117647059,0.879194630872,0.928571428571,0.859154929577,0.903225806452,0.867469879518,0.961165048544,0.810810810811,0.888888888889,0.959183673469,0.957746478873,0.913793103448,0.65671641791,0.913793103448,0.937984496124,0.865546218487,0.96875,0.952941176471,0.8984375,0.848275862069,0.962264150943,0.851851851852,0.931818181818,0.938596491228,0.925531914894,0.90243902439,0.890052356021,0.888888888889,0.96,0.954954954955,0.6625,0.913580246914,0.881578947368,0.924050632911,0.840579710145,0.965909090909,0.918367346939,0.95,0.945205479452,0.821138211382,0.826086956522,0.916666666667,0.833333333333,0.876923076923,0.794871794872,0.934782608696,0.894117647059,0.922330097087,0.833333333333,0.887573964497,0.953125,0.918032786885,0.926315789474,0.923076923077,0.801169590643,0.880208333333,0.895287958115,0.892655367232,0.837837837838,0.9,0.952380952381,0.915789473684,0.926470588235,0.941176470588,0.942028985507,0.917355371901,0.845528455285,0.918367346939,0.884353741497,0.824242424242,0.850241545894,0.919540229885,0.913043478261,0.90990990991,0.805970149254,0.931818181818,0.958333333333,0.823529411765,0.864406779661,0.834101382488,0.918918918919,0.95652173913,0.921348314607,0.939393939394,0.92700729927,0.959459459459,0.92
Number of Sequences,3.0,8.0,7.0,3.0,6.0,3.0,3.0,4.0,3.0,9.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,7.0,6.0,11.0,4.0,4.0,3.0,7.0,5.0,3.0,5.0,6.0,3.0,8.0,4.0,8.0,5.0,5.0,3.0,11.0,6.0,3.0,4.0,5.0,8.0,5.0,4.0,4.0,4.0,5.0,3.0,7.0,3.0,5.0,8.0,6.0,7.0,5.0,5.0,6.0,6.0,4.0,8.0,6.0,4.0,5.0,5.0,3.0,5.0,4.0,6.0,3.0,11.0,6.0,5.0,4.0,8.0,5.0,4.0,10.0,6.0,3.0,4.0,4.0,7.0,10.0,3.0,7.0,3.0,7.0,5.0,4.0,7.0,3.0,7.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,6.0,5.0,11.0,4.0,3.0,3.0,3.0,8.0,4.0,5.0,8.0,4.0,3.0,7.0,8.0,6.0,5.0,4.0,4.0,9.0,4.0,4.0,7.0,15.0,10.0,6.0,3.0,3.0,3.0,7.0,11.0,11.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,11.0,6.0,5.0,3.0,6.0,7.0,4.0,3.0,4.0,6.0,9.0,3.0,3.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,7.0,7.0,3.0,3.0,3.0,4.0,4.0,7.0,6.0,3.0,4.0,7.0,6.0,3.0,3.0
Reference Length,126.0,191.0,73.0,124.0,391.0,283.0,555.0,113.0,329.0,228.0,238.0,111.0,176.0,83.0,162.0,189.0,1011.0,537.0,473.0,269.0,333.0,481.0,77.0,350.0,549.0,139.0,80.0,135.0,176.0,216.0,471.0,239.0,332.0,270.0,223.0,130.0,213.0,149.0,517.0,170.0,321.0,346.0,98.0,373.0,165.0,378.0,255.0,365.0,211.0,124.0,275.0,145.0,141.0,518.0,144.0,327.0,132.0,198.0,324.0,285.0,324.0,125.0,262.0,562.0,199.0,660.0,424.0,186.0,411.0,143.0,250.0,223.0,313.0,330.0,184.0,334.0,418.0,546.0,156.0,105.0,329.0,122.0,82.0,246.0,249.0,280.0,149.0,285.0,136.0,165.0,369.0,165.0,123.0,223.0,411.0,251.0,149.0,296.0,289.0,165.0,521.0,345.0,378.0,160.0,86.0,201.0,236.0,144.0,135.0,188.0,190.0,169.0,187.0,455.0,359.0,236.0,159.0,229.0,372.0,864.0,105.0,215.0,72.0,253.0,313.0,155.0,453.0,136.0,141.0,267.0,276.0,197.0,711.0,131.0,354.0,209.0,87.0,287.0,254.0,246.0,179.0,253.0,234.0,447.0,149.0,126.0,171.0,240.0,222.0,319.0,156.0,458.0,281.0,490.0,266.0,587.0,265.0,454.0,103.0,145.0,108.0,466.0,163.0,364.0,170.0,287.0,243.0,165.0,470.0,651.0,365.0,161.0,315.0,348.0,181.0,266.0,169.0,128.0,111.0,369.0,159.0,180.0,241.0,168.0,442.0,283.0,160.0
