Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length
DefaultProbCons,0.13389460940272463,0.12128168821765396,0.12758814881022104,0.0180577629473361,0.13389460940272463,1.0314510910881387,0.7993262686144168,0.8790528318599405,5.128342245989304,266.47058823529414,269.52941176470586,189.67379679144386,0.13163750360881057,0.36310944876285506,6.668895628723689,2.786096256684492
ProbCons,0.04439887014181468,0.0413782521465031,0.0428885611441535,0.0026290815250480746,0.04439887014181468,0.9458132317576842,0.7993262686144168,0.8790528318599405,5.128342245989304,266.47058823529414,235.77540106951872,189.67379679144386,0.13163750360881057,0.36310944876285506,6.668895628723689,2.786096256684492
DefaultContrAlign,0.5193152792297824,0.5694839425058102,0.544399610867796,0.29602828134701176,0.5193152792297824,0.8154539985437375,0.7993262686144168,0.8790528318599405,5.128342245989304,266.47058823529414,214.3048128342246,189.67379679144386,0.13163750360881057,0.36310944876285506,6.668895628723689,2.786096256684492
ProbAlign,0.5273283053600156,0.5539617743494659,0.5406450398547671,0.28502673183971683,0.5273283053600156,0.8855738261394661,0.7993262686144168,0.8790528318599405,5.128342245989304,266.47058823529414,231.7807486631016,189.67379679144386,0.13163750360881057,0.36310944876285506,6.668895628723689,2.786096256684492
Prime,0.4869798284987989,0.5323308341294994,0.5096553313141767,0.2673817793912384,0.4869798284987989,0.8147469198827699,0.7993262686144168,0.8790528318599405,5.128342245989304,266.47058823529414,213.50802139037432,189.67379679144386,0.13163750360881057,0.36310944876285506,6.668895628723689,2.786096256684492
KAlign,0.45280207153248825,0.48716160157216953,0.469981836552284,0.23486621819404002,0.45280207153248825,0.8304738903248824,0.7993262686144168,0.8790528318599405,5.128342245989304,266.47058823529414,216.59893048128342,189.67379679144386,0.13163750360881057,0.36310944876285506,6.668895628723689,2.786096256684492
DiAlign,0.47066196299148466,0.45122493958583376,0.4609434512886811,0.2057723656382396,0.47066196299148466,0.9946645879732883,0.7993262686144168,0.8790528318599405,5.128342245989304,266.47058823529414,264.02139037433153,189.67379679144386,0.13163750360881057,0.36310944876285506,6.668895628723689,2.786096256684492
ContrAlign,0.514296565171296,0.5653640734913122,0.5398303193312698,0.29096012930162535,0.514296565171296,0.810755216307123,0.7993262686144168,0.8790528318599405,5.128342245989304,266.47058823529414,213.07486631016042,189.67379679144386,0.13163750360881057,0.36310944876285506,6.668895628723689,2.786096256684492
Clustal,0.4995186566199212,0.5204413050060712,0.5099799808129832,0.26529647839263487,0.4995186566199212,0.867475571645642,0.7993262686144168,0.8790528318599405,5.128342245989304,266.47058823529414,226.2139037433155,189.67379679144386,0.13163750360881057,0.36310944876285506,6.668895628723689,2.786096256684492
Muscle,0.4784905805814262,0.524835101965123,0.5016628412732612,0.2596716316517517,0.4784905805814262,0.7961475398844435,0.7993262686144168,0.8790528318599405,5.128342245989304,266.47058823529414,208.1657754010695,189.67379679144386,0.13163750360881057,0.36310944876285506,6.668895628723689,2.786096256684492
Prank,0.46934230589966913,0.4813759023814154,0.47535910414049226,0.23579269956096313,0.46934230589966913,0.9247933244806309,0.7993262686144168,0.8790528318599405,5.128342245989304,266.47058823529414,242.57219251336898,189.67379679144386,0.13163750360881057,0.36310944876285506,6.668895628723689,2.786096256684492
EINSI,0.504430735339197,0.5313688554575525,0.5178997953983202,0.26673148747474673,0.504430735339197,0.8562446477474115,0.7993262686144168,0.8790528318599405,5.128342245989304,266.47058823529414,224.6524064171123,189.67379679144386,0.13163750360881057,0.36310944876285506,6.668895628723689,2.786096256684492
GINSI,0.49471570460363495,0.5282411597669596,0.5114784321852863,0.2623543561242182,0.49471570460363495,0.8377691832261661,0.7993262686144168,0.8790528318599405,5.128342245989304,266.47058823529414,219.50802139037432,189.67379679144386,0.13163750360881057,0.36310944876285506,6.668895628723689,2.786096256684492
LINSI,0.5075600946012471,0.5374162391872223,0.5224881668942408,0.2716031383193842,0.5075600946012471,0.8561226007345081,0.7993262686144168,0.8790528318599405,5.128342245989304,266.47058823529414,223.87700534759358,189.67379679144386,0.13163750360881057,0.36310944876285506,6.668895628723689,2.786096256684492
MAFFT,0.5068965329122685,0.5370520850135753,0.5219743089628988,0.2712422526700399,0.5068965329122685,0.854630666148321,0.7993262686144168,0.8790528318599405,5.128342245989304,266.47058823529414,223.62566844919786,189.67379679144386,0.13163750360881057,0.36310944876285506,6.668895628723689,2.786096256684492
BPPD,0.6181398107818407,0.4822068969654785,0.5501733538736622,0.2738052219157081,0.6181398107818407,1.3720083719430851,0.7993262686144168,0.8790528318599405,5.128342245989304,266.47058823529414,363.67914438502675,189.67379679144386,0.13163750360881057,0.36310944876285506,6.668895628723689,2.786096256684492
BPMAP,0.48387854741199554,0.49481104838270334,0.4893447978974007,0.2473287664279346,0.48387854741199554,0.9403951831882029,0.7993262686144168,0.8790528318599405,5.128342245989304,266.47058823529414,250.3903743315508,189.67379679144386,0.13163750360881057,0.36310944876285506,6.668895628723689,2.786096256684492
SAWA,0.47464358937814,0.49521816898132626,0.4849308791797536,0.2530578524621961,0.47464358937811746,0.835428074861432,0.7993262686144168,0.8790528318599405,5.128342245989304,266.47058823529414,215.23529411764707,189.67379679144386,0.13163750360881057,0.36310944876285506,6.668895628723689,2.786096256684492
SparseSAWA,0.47429670466716733,0.49457859427444756,0.4844376494708209,0.2537032059872331,0.47429670466716445,0.8369778564650443,0.7993262686144168,0.8790528318599405,5.128342245989304,266.47058823529414,215.83957219251337,189.67379679144386,0.13163750360881057,0.36310944876285506,6.668895628723689,2.786096256684492
SparserSAWA,0.4810816023955332,0.5002299640110693,0.4906557832033186,0.2558184181740995,0.48108160239552367,0.8495801118766314,0.7993262686144168,0.8790528318599405,5.128342245989304,266.47058823529414,219.75935828877004,189.67379679144386,0.13163750360881057,0.36310944876285506,6.668895628723689,2.786096256684492
SparsestSAWA,0.48523954312315093,0.4994750074943247,0.49235727530871715,0.2577891971956613,0.4852395431231151,0.8899801378634947,0.7993262686144168,0.8790528318599405,5.128342245989304,266.47058823529414,230.05347593582889,189.67379679144386,0.13163750360881057,0.36310944876285506,6.668895628723689,2.786096256684492
BPWA,0.4794688145536905,0.5273591934831945,0.5034140040184468,0.26855971578872456,0.4794688145536905,0.7747353099950535,0.7993262686144168,0.8790528318599405,5.128342245989304,266.47058823529414,201.6149732620321,189.67379679144386,0.13163750360881057,0.36310944876285506,6.668895628723689,2.786096256684492
