Dataset,Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length
SF001,DefaultProbCons,0.0951903807615,0.0819672131148,0.0885787969381,0.0,0.0951903807615,1.15151515152,0.845617184273,0.907894736842,6.0,132.0,152.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,ProbCons,0.0543390105434,0.0578084555651,0.0560737330543,0.0,0.0543390105434,0.787878787879,0.845617184273,0.907894736842,6.0,132.0,104.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,DefaultContrAlign,0.623953098827,0.642795513374,0.633374306101,0.337078651685,0.623953098827,0.878787878788,0.845617184273,0.907894736842,6.0,132.0,116.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,ProbAlign,0.625108979948,0.618636755824,0.621872867886,0.303370786517,0.625108979948,0.977272727273,0.845617184273,0.907894736842,6.0,132.0,129.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,Prime,0.472268907563,0.484900776531,0.478584842047,0.168539325843,0.472268907563,0.909090909091,0.845617184273,0.907894736842,6.0,132.0,120.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,KAlign,0.523266022827,0.514236410699,0.518751216763,0.179775280899,0.523266022827,0.939393939394,0.845617184273,0.907894736842,6.0,132.0,124.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,DiAlign,0.374129353234,0.324417601381,0.349273477307,0.0,0.374129353234,1.11363636364,0.845617184273,0.907894736842,6.0,132.0,147.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,ContrAlign,0.63986599665,0.659188955997,0.649527476323,0.348314606742,0.63986599665,0.878787878788,0.845617184273,0.907894736842,6.0,132.0,116.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,Clustal,0.646902654867,0.630716134599,0.638809394733,0.303370786517,0.646902654867,0.969696969697,0.845617184273,0.907894736842,6.0,132.0,128.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,Muscle,0.515771526002,0.522001725626,0.518886625814,0.269662921348,0.515771526002,0.924242424242,0.845617184273,0.907894736842,6.0,132.0,122.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,Prank,0.309566787004,0.295944779983,0.302755783493,0.0,0.309566787004,1.00757575758,0.845617184273,0.907894736842,6.0,132.0,133.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,EINSI,0.482384823848,0.460742018982,0.471563421415,0.112359550562,0.482384823848,0.94696969697,0.845617184273,0.907894736842,6.0,132.0,125.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,GINSI,0.50214961307,0.503882657463,0.503016135266,0.157303370787,0.50214961307,0.916666666667,0.845617184273,0.907894736842,6.0,132.0,121.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,LINSI,0.499100719424,0.478861087144,0.488980903284,0.123595505618,0.499100719424,0.969696969697,0.845617184273,0.907894736842,6.0,132.0,128.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,MAFFT,0.533507397737,0.528904227783,0.53120581276,0.191011235955,0.533507397737,0.924242424242,0.845617184273,0.907894736842,6.0,132.0,122.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,BPPD,0.602628918099,0.514236410699,0.558432664399,0.157303370787,0.602628918099,1.38636363636,0.845617184273,0.907894736842,6.0,132.0,183.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,BPMAP,0.557939914163,0.560828300259,0.559384107211,0.314606741573,0.557939914163,1.02272727273,0.845617184273,0.907894736842,6.0,132.0,135.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,SAWA,0.349411764706,0.25625539258,0.302833578643,0.056179775280898875,0.34941176470588237,1.371212121212121,0.845617184273,0.907894736842,6,132,181,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,SparseSAWA,0.358262967431,0.25625539258,0.307259180005,0.06741573033707865,0.35826296743063935,1.4393939393939394,0.845617184273,0.907894736842,6,132,190,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,SparserSAWA,0.401451027811,0.286453839517,0.343952433664,0.1348314606741573,0.4014510278113664,1.5757575757575757,0.845617184273,0.907894736842,6,132,208,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,SparsestSAWA,0.27332457293,0.179465056083,0.226394814507,0.0,0.2733245729303548,1.6666666666666667,0.845617184273,0.907894736842,6,132,220,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,BPWA,0.530161427358,0.538395168248,0.534278297803,0.112359550562,0.530161427358,0.886363636364,0.845617184273,0.907894736842,6.0,132.0,117.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,SparseBPWA,0.547700170358,0.554788610871,0.551244390615,0.112359550562,0.547700170358,0.886363636364,0.845617184273,0.907894736842,6.0,132.0,117.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,SparserBPWA,0.492627927147,0.490077653149,0.491352790148,0.112359550562,0.492627927147,0.901515151515,0.845617184273,0.907894736842,6.0,132.0,119.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,SparsestBPWA,0.534210526316,0.525452976704,0.52983175151,0.123595505618,0.534210526316,0.909090909091,0.845617184273,0.907894736842,6.0,132.0,120.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,SAPD,1.0,0.108714408973,0.554357204487,0.0,1.0,3.55303030303,0.845617184273,0.907894736842,6.0,132.0,469.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,SAPDMul,1.0,0.119068162209,0.559534081104,0.0,1.0,3.50757575758,0.845617184273,0.907894736842,6.0,132.0,463.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,SAPDSum,1.0,0.0802415875755,0.540120793788,0.0,1.0,3.66666666667,0.845617184273,0.907894736842,6.0,132.0,484.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,SparseSAPD,1.0,0.104400345125,0.552200172563,0.0,1.0,3.56818181818,0.845617184273,0.907894736842,6.0,132.0,471.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,SparserSAPD,1.0,0.104400345125,0.552200172563,0.0,1.0,3.56818181818,0.845617184273,0.907894736842,6.0,132.0,471.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,SparsestSAPD,1.0,0.104400345125,0.552200172563,0.0,1.0,3.56818181818,0.845617184273,0.907894736842,6.0,132.0,471.0,104.0,0.131851172427,0.328282828283,4.12698412698,2.0
SF008,DefaultProbCons,0.102066638549,0.0742331288344,0.0881498836917,0.0,0.102066638549,1.45390070922,0.871988444892,0.96,10.0,141.0,205.0,97.0,0.0681020858156,0.409219858156,4.27407407407,2.0
SF008,ProbCons,0.0835870467755,0.0926380368098,0.0881125417927,0.0,0.0835870467755,0.687943262411,0.871988444892,0.96,10.0,141.0,97.0,97.0,0.0681020858156,0.409219858156,4.27407407407,2.0
SF008,DefaultContrAlign,0.537711499857,0.575153374233,0.556432437045,0.0,0.537711499857,0.780141843972,0.871988444892,0.96,10.0,141.0,110.0,97.0,0.0681020858156,0.409219858156,4.27407407407,2.0
SF008,ProbAlign,0.513431934802,0.521779141104,0.517605537953,0.0520833333333,0.513431934802,0.815602836879,0.871988444892,0.96,10.0,141.0,115.0,97.0,0.0681020858156,0.409219858156,4.27407407407,2.0
SF008,Prime,0.491317961856,0.529447852761,0.510382907308,0.0,0.491317961856,0.730496453901,0.871988444892,0.96,10.0,141.0,103.0,97.0,0.0681020858156,0.409219858156,4.27407407407,2.0
SF008,KAlign,0.439067055394,0.461963190184,0.450515122789,0.0,0.439067055394,0.765957446809,0.871988444892,0.96,10.0,141.0,108.0,97.0,0.0681020858156,0.409219858156,4.27407407407,2.0
SF008,DiAlign,0.506085192698,0.459202453988,0.482643823343,0.125,0.506085192698,0.879432624113,0.871988444892,0.96,10.0,141.0,124.0,97.0,0.0681020858156,0.409219858156,4.27407407407,2.0
SF008,ContrAlign,0.529579879966,0.568404907975,0.548992393971,0.0,0.529579879966,0.751773049645,0.871988444892,0.96,10.0,141.0,106.0,97.0,0.0681020858156,0.409219858156,4.27407407407,2.0
SF008,Clustal,0.488233227959,0.426380368098,0.457306798029,0.0,0.488233227959,0.978723404255,0.871988444892,0.96,10.0,141.0,138.0,97.0,0.0681020858156,0.409219858156,4.27407407407,2.0
SF008,Muscle,0.47829787234,0.51717791411,0.497737893225,0.0,0.47829787234,0.716312056738,0.871988444892,0.96,10.0,141.0,101.0,97.0,0.0681020858156,0.409219858156,4.27407407407,2.0
SF008,Prank,0.377495462795,0.319018404908,0.348256933851,0.0,0.377495462795,1.08510638298,0.871988444892,0.96,10.0,141.0,153.0,97.0,0.0681020858156,0.409219858156,4.27407407407,2.0
SF008,EINSI,0.481753972925,0.502147239264,0.491950606095,0.0,0.481753972925,0.780141843972,0.871988444892,0.96,10.0,141.0,110.0,97.0,0.0681020858156,0.409219858156,4.27407407407,2.0
SF008,GINSI,0.418959330144,0.429754601227,0.424356965685,0.0,0.418959330144,0.765957446809,0.871988444892,0.96,10.0,141.0,108.0,97.0,0.0681020858156,0.409219858156,4.27407407407,2.0
