,TL079,SF263,SF185,SF175,SF032,SF117,SF108,TL272,SF038,SF077,SF270,SF061,TL332,SF174,SF296,SF252,SF135,SF144,SF129,SF188,SF227,SF098,TL567,SF055,SF058,SF273,TL239,SF168,SF123,SF066,SF244,SF133,SF064,SF173,SF221,SF172,SF150,TL028,SF190,SF121,SF102,SF099,SF081,SF222,SF268,SF303,TL788,SF285,TL639,SF261,SF271,SF120,SF192,SF151,SF257,SF183,SF001,SF217,SF266,SF142,SF255,SF180,SF145,SF110,SF137,SF210,SF097,SF253,SF087,SF047,SF294,SF224,SF065,SF103,SF207,SF161,SF292,SF274,SF170,SF025,SF215,SF318,TL306,SF013,SF237,SF134,SF019,SF275,SF208,SF154,SF279,TL436,SF300,TL587,SF075,TL526,SF295,SF241,TL008,SF281,SF203,SF091,TL553,SF026,SF238,SF264,SF153,SF313,TL548,TL443,TL258,SF256,SF018,SF139,SF009,SF197,TL142,SF057,SF299,SF163,TL568,SF202,SF184,SF260,SF187,SF199,SF307,SF039,SF008,SF156,SF181,TL413,SF248,SF213,SF131,SF119,TL704,TL366,TL657,SF068,SF015,SF096,SF051,SF027,SF251,SF088,TL346,SF212,SF071,SF178,TL379,SF043,SF093,SF092,SF191,SF160,SF304,SF311,SF223,TL722,TL473,SF229,SF118,TL327,TL026,SF291,SF141,SF243,SF283,SF316,SF245,SF028,SF086,SF049,SF194,TL347,TL001,SF239,SF072,SF269,SF022,TL046,SF165,SF082,SF200,TL400,TL167
1-SPFP,0.223684210526,0.404411764706,0.523240371846,0.704641350211,0.327978056426,0.478571428571,0.0363901018923,0.380281690141,0.698457223001,0.526181715256,0.631734754292,0.522058823529,0.117647058824,0.94387755102,0.473154362416,0.422070534699,0.258089368259,0.379032258065,0.463445645264,0.63787268332,0.692589875275,0.253913043478,0.0733944954128,0.51971508522,0.27398989899,0.8,0.103857566766,0.4327176781,0.139442231076,0.523395320936,0.36356466877,0.407039711191,0.459978655283,0.409865470852,0.162698412698,0.701820464532,0.197183098592,0.177215189873,0.323505976096,0.633461047254,0.464532557294,0.423269093505,0.729577464789,0.905158069884,0.842447916667,0.253333333333,0.160305343511,0.216206525636,0.0,0.58253968254,0.506893235011,0.683003952569,0.755681818182,0.380634390651,0.694995278565,0.323949761802,0.379679144385,0.225888324873,0.127551020408,0.315203145478,0.659125188537,0.341493268054,0.341176470588,0.835326586937,0.882308276386,0.187454412837,0.393824485374,0.510416666667,0.454589255601,0.63249516441,0.120283018868,0.771017699115,0.360805284681,0.808610400682,0.656662665066,0.216917654598,0.236760124611,0.0690647482014,0.373737373737,0.856596558317,0.332711674748,0.281270252754,0.224637681159,0.568146214099,0.35752688172,0.319402985075,0.229074889868,0.310136157337,0.456034953577,0.883720930233,0.445733788396,0.150470219436,0.781433607521,0.299418604651,0.422698838248,0.166153846154,0.592261904762,0.703588143526,0.0,0.553113553114,0.725571153317,0.371212121212,0.0,0.381615598886,0.381596752368,0.643902439024,0.189356984479,0.52466367713,0.485436893204,0.0299625468165,0.0,0.416153319644,0.774456521739,0.431730769231,0.342453662842,0.276712328767,0.0,0.564475664827,0.213012198937,0.31065830721,0.00455580865604,0.365384615385,0.6171875,0.242754858507,0.173611111111,0.541152263374,0.609997326918,0.580628629997,0.346027096302,0.163208852006,0.608856088561,0.0714285714286,0.0420918367347,0.283817427386,0.52923144296,0.107429718876,0.227272727273,0.00340136054422,0.00833333333333,0.624728850325,0.495548961424,0.296052631579,0.536745406824,0.390159045726,0.5,0.260869565217,0.15350877193,0.233560090703,0.430693069307,0.52602739726,0.181578947368,0.243412797992,0.350025290845,0.193704600484,0.609830097087,0.148629148629,0.65041833394,0.307410795974,0.679245283019,0.510714285714,0.322857142857,0.413888888889,0.547861507128,0.00702576112412,0.112745098039,0.341319717203,0.630223517979,0.502617801047,0.33681462141,0.477873477873,0.405529953917,0.245945945946,0.301423662248,0.426458504519,0.551898734177,0.0891472868217,0.0,0.794174757282,0.485175202156,0.703864524533,0.35358649789,0.0632183908046,0.215619694397,0.264646464646,0.349550286182,0.00347222222222,0.21568627451
1-SPFN,0.178947368421,0.371084337349,0.458139534884,0.729257641921,0.305363006202,0.456818181818,0.0332005312085,0.233429394813,0.662234042553,0.485886042865,0.576133909287,0.460291734198,0.145695364238,0.984042553191,0.454838709677,0.375506072874,0.357142857143,0.379267535692,0.433155080214,0.527100812359,0.623513870542,0.238367346939,0.0540540540541,0.484008528785,0.26642111725,0.823920265781,0.0837320574163,0.35690968444,0.100574712644,0.476125511596,0.34531835206,0.41,0.399814471243,0.396701388889,0.129746835443,0.686732186732,0.195712954334,0.114754098361,0.295487627365,0.644155844156,0.407856914724,0.357659831122,0.55939524838,0.872727272727,0.786148238153,0.231707317073,0.200956937799,0.203235591507,0.0,0.538123167155,0.449658703072,0.639053254438,0.77027027027,0.321466337681,0.614870509607,0.258913118726,0.306298533218,0.150337837838,0.125260960334,0.216082659479,0.614627285513,0.280966767372,0.306730769231,0.793013100437,0.854411764706,0.172947510094,0.384859714134,0.452307692308,0.410842586545,0.541390728477,0.097794822627,0.734457323498,0.311261872456,0.77207977208,0.605088495575,0.156495607952,0.197488090082,0.0588235294118,0.351711026616,0.77508650519,0.316087880936,0.16999608304,0.227941176471,0.577801380775,0.371508379888,0.283568904594,0.168831168831,0.362190812721,0.379373012267,0.863636363636,0.395039322444,0.11214953271,0.814950980392,0.272486772487,0.407407407407,0.161194029851,0.576811594203,0.798230088496,0.0,0.594488188976,0.646236822751,0.354338842975,0.0,0.398835516739,0.322285714286,0.636911942099,0.149170305677,0.522321428571,0.534759358289,0.0253164556962,0.0,0.349425287356,0.720606826802,0.456300813008,0.297926798055,0.266842800528,0.0,0.511363636364,0.195073044973,0.34857544847,0.00377358490566,0.345454545455,0.607692307692,0.169644984513,0.162074554295,0.535641547862,0.570785392696,0.514143094842,0.289877300613,0.132658797077,0.839694656489,0.0634920634921,0.044474393531,0.206148282098,0.4935674903,0.0664183736809,0.104895104895,0.00418410041841,0.00934579439252,0.645739910314,0.467787114846,0.267857142857,0.519035532995,0.392303848076,0.560267857143,0.215827338129,0.142857142857,0.178046672429,0.391011235955,0.496551724138,0.188524590164,0.261103633917,0.22804415884,0.153905348211,0.569082672707,0.171096345515,0.583741429971,0.269735081616,0.602510460251,0.476666666667,0.27427184466,0.425579181212,0.49777942265,0.00869565217391,0.118556701031,0.314058547163,0.593864468864,0.440655737705,0.323308270677,0.439737633233,0.334600760456,0.183098591549,0.288398309065,0.363191042687,0.533007334963,0.0839416058394,0.0,0.774621212121,0.477453580902,0.666392600206,0.325310559006,0.0488888888889,0.215254237288,0.196992481203,0.351851851852,0.00434782608696,0.22
SP-Score,0.201315789474,0.387748051028,0.490689953365,0.716949496066,0.316670531314,0.467694805195,0.0347953165504,0.306855542477,0.680345632777,0.50603387906,0.60393433179,0.491175278864,0.131671211531,0.963960052106,0.463996536047,0.398788303787,0.307616112701,0.379149896878,0.448300362739,0.582486747839,0.658051872908,0.246140195209,0.0637242747334,0.501861807002,0.27020550812,0.81196013289,0.0937948120909,0.39481368127,0.12000847186,0.499760416266,0.354441510415,0.408519855596,0.429896563263,0.40328342987,0.146222624071,0.694276325632,0.196448026463,0.145984644117,0.30949680173,0.638808445705,0.436194736009,0.390464462313,0.644486356584,0.888942671305,0.81429807741,0.242520325203,0.180631140655,0.209721058572,0.0,0.560331424848,0.478275969041,0.661028603504,0.762976044226,0.351050364166,0.654932894086,0.291431440264,0.342988838802,0.188113081355,0.126405990371,0.265642902479,0.636876237025,0.311230017713,0.32395361991,0.814169843687,0.868360020546,0.180200961466,0.389342099754,0.481362179487,0.432715921073,0.586942946443,0.109038920747,0.752737511307,0.336033578568,0.790345086381,0.630875580321,0.186706631275,0.217124107346,0.0639441388066,0.362724200177,0.815841531754,0.324399777842,0.225633167897,0.226289428815,0.572973797437,0.364517630804,0.301485944834,0.19895302935,0.336163485029,0.417703982922,0.873678646934,0.42038655542,0.131309876073,0.798192293956,0.285952688569,0.415053122828,0.163673938002,0.584536749482,0.750909116011,0.0,0.573800871045,0.685903988034,0.362775482094,0.0,0.390225557813,0.351941233327,0.640407190562,0.169263645078,0.523492552851,0.510098125746,0.0276395012563,0.0,0.3827893035,0.74753167427,0.444015791119,0.320190230448,0.271777564648,0.0,0.537919650595,0.204042621955,0.32961687784,0.00416469678085,0.35541958042,0.612439903846,0.20619992151,0.167842832703,0.538396905618,0.590391359807,0.547385862419,0.317952198458,0.147933824541,0.724275372525,0.0674603174603,0.0432831151328,0.244982854742,0.51139946663,0.0869240462782,0.166083916084,0.00379273048131,0.00883956386293,0.63523438032,0.481668038135,0.281954887218,0.52789046991,0.391231446901,0.530133928571,0.238348451673,0.148182957393,0.205803381566,0.410852152631,0.511289560699,0.185051768766,0.252258215955,0.289034724842,0.173804974348,0.589456384897,0.159862747072,0.617079881955,0.288572938795,0.640877871635,0.49369047619,0.298564493759,0.419734035051,0.522820464889,0.00786070664902,0.115650899535,0.327689132183,0.612043993422,0.471636769376,0.330061446043,0.458805555553,0.370065357187,0.214522268748,0.294910985657,0.394824773603,0.54245303457,0.0865444463306,0.0,0.784397984701,0.481314391529,0.685128562369,0.339448528448,0.0560536398467,0.215436965843,0.230819472925,0.350701069017,0.00391002415459,0.217843137255
TC,0.1111111111111111,0.009345794392523364,0.057692307692307696,0.5862068965517241,0.04304635761589404,0.4069767441860465,0.0,0.0,0.5147058823529411,0.05747126436781609,0.33488372093023255,0.28,0.0,0.953125,0.211864406779661,0.152,0.125,0.032,0.02727272727272727,0.04142011834319527,0.4051094890510949,0.06521739130434782,0.03571428571428571,0.1,0.018115942028985508,0.719626168224299,0.0,0.12790697674418605,0.0,0.042682926829268296,0.1044776119402985,0.06153846153846154,0.06818181818181818,0.10714285714285714,0.008064516129032258,0.26582278481012656,0.0,0.0,0.0313588850174216,0.3643410852713178,0.037267080745341616,0.16019417475728157,0.32142857142857145,0.7707006369426752,0.6805555555555556,0.0199203187250996,0.10112359550561797,0.016,0.0,0.30666666666666664,0.14130434782608695,0.3017241379310345,0.36764705882352944,0.0943952802359882,0.3712121212121212,0.07983193277310924,0.06741573033707865,0.09448818897637795,0.05343511450381679,0.0,0.3169811320754717,0.08333333333333333,0.038461538461538464,0.7117794486215538,0.625,0.0025,0.023255813953488372,0.2831858407079646,0.03355704697986577,0.01020408163265306,0.0,0.5443786982248521,0.046413502109704644,0.5416666666666666,0.35119047619047616,0.0,0.024822695035460994,0.0,0.11504424778761062,0.64,0.008968609865470852,0.0,0.09259259259259259,0.203125,0.1111111111111111,0.017964071856287425,0.00909090909090909,0.0896551724137931,0.0,0.7735849056603774,0.06276150627615062,0.0,0.5591397849462365,0.13970588235294118,0.20532319391634982,0.032,0.36,0.5638766519823789,0.0,0.4888888888888889,0.38496583143507973,0.1,0.0,0.19130434782608696,0.012987012987012988,0.2857142857142857,0.0,0.24096385542168675,0.34177215189873417,0.0,0.0,0.0379746835443038,0.5208333333333334,0.17630057803468208,0.004694835680751174,0.06040268456375839,0.0,0.05426356589147287,0.0,0.1392931392931393,0.0,0.11428571428571428,0.3877551020408163,0.0,0.027210884353741496,0.20652173913043478,0.09956709956709957,0.09473684210526316,0.0,0.0053475935828877,0.5900621118012422,0.0,0.0,0.0,0.043209876543209874,0.0,0.0,0.0,0.0,0.40594059405940597,0.1889763779527559,0.011904761904761904,0.28191489361702127,0.12624584717607973,0.2696629213483146,0.0,0.054945054945054944,0.006369426751592357,0.25157232704402516,0.09865470852017937,0.012345679012345678,0.017699115044247787,0.0,0.0,0.25120772946859904,0.09051724137931035,0.1702127659574468,0.04779411764705882,0.40625,0.3173076923076923,0.07792207792207792,0.14497041420118342,0.0,0.0,0.013157894736842105,0.011494252873563218,0.234375,0.007518796992481203,0.026392961876832845,0.21052631578947367,0.1016949152542373,0.0,0.01020408163265306,0.03333333333333333,0.36551724137931035,0.03773584905660377,0.0,0.5533980582524272,0.1875,0.35447761194029853,0.0,0.011494252873563218,0.03125,0.0,0.054285714285714284,0.0,0.10714285714285714
Modeler,0.2236842105263158,0.40441176470588236,0.5232403718459495,0.7046413502109705,0.32797805642633227,0.4785714285714286,0.036390101892285295,0.38028169014084506,0.6984572230014026,0.5261817152561562,0.6317347542924807,0.5220588235294118,0.11764705882352941,0.9438775510204082,0.47315436241610737,0.42207053469852107,0.2580893682588598,0.3790322580645161,0.4634456452638271,0.6378726833199033,0.6925898752751284,0.2539130434782609,0.07339449541284404,0.5197150852200458,0.273989898989899,0.8,0.10385756676557864,0.43271767810026385,0.1394422310756972,0.5233953209358129,0.3635646687697161,0.40703971119133575,0.4599786552828175,0.4098654708520179,0.1626984126984127,0.7018204645323289,0.19718309859154928,0.17721518987341772,0.32350597609561754,0.6334610472541508,0.4645325572935613,0.42326909350463954,0.7295774647887324,0.9051580698835274,0.8424479166666666,0.25333333333333335,0.16030534351145037,0.21620652563642884,0.0,0.5825396825396826,0.5068932350112215,0.68300395256917,0.7556818181818182,0.3806343906510851,0.6949952785646837,0.32394976180164575,0.37967914438502676,0.22588832487309646,0.12755102040816327,0.31520314547837486,0.6591251885369532,0.34149326805385555,0.3411764705882353,0.8353265869365225,0.8823082763857252,0.187454412837345,0.3938244853737812,0.5104166666666666,0.45458925560106,0.632495164410058,0.12028301886792453,0.7710176991150443,0.3608052846807172,0.808610400682012,0.6566626650660264,0.21691765459788528,0.2367601246105919,0.06906474820143885,0.37373737373737376,0.8565965583173997,0.33271167474822827,0.2812702527543746,0.2246376811594203,0.5681462140992167,0.3575268817204301,0.3194029850746269,0.2290748898678414,0.3101361573373676,0.4560349535772802,0.8837209302325582,0.44573378839590444,0.15047021943573669,0.781433607520564,0.29941860465116277,0.4226988382484361,0.16615384615384615,0.5922619047619048,0.7035881435257411,0.0,0.5531135531135531,0.7255711533168181,0.3712121212121212,0.0,0.3816155988857939,0.38159675236806495,0.6439024390243903,0.1893569844789357,0.5246636771300448,0.4854368932038835,0.0299625468164794,0.0,0.4161533196440794,0.7744565217391305,0.43173076923076925,0.34245366284201234,0.27671232876712326,0.0,0.5644756648268942,0.21301219893650297,0.31065830721003135,0.004555808656036446,0.36538461538461536,0.6171875,0.2427548585066485,0.1736111111111111,0.5411522633744856,0.6099973269179364,0.5806286299965835,0.34602709630172096,0.1632088520055325,0.6088560885608856,0.07142857142857142,0.042091836734693876,0.2838174273858921,0.5292314429603678,0.10742971887550201,0.22727272727272727,0.003401360544217687,0.008333333333333333,0.6247288503253796,0.49554896142433236,0.29605263157894735,0.536745406824147,0.39015904572564614,0.5,0.2608695652173913,0.15350877192982457,0.23356009070294784,0.4306930693069307,0.5260273972602739,0.18157894736842106,0.24341279799247176,0.35002529084471423,0.1937046004842615,0.6098300970873787,0.14862914862914864,0.6504183339396145,0.3074107959743824,0.6792452830188679,0.5107142857142857,0.32285714285714284,0.41388888888888886,0.5478615071283096,0.00702576112412178,0.11274509803921569,0.3413197172034564,0.63022351797862,0.5026178010471204,0.3368146214099217,0.4778734778734779,0.4055299539170507,0.24594594594594596,0.3014236622484045,0.4264585045193098,0.5518987341772152,0.08914728682170543,0.0,0.7941747572815534,0.48517520215633425,0.7038645245332176,0.35358649789029534,0.06321839080459771,0.21561969439728354,0.26464646464646463,0.34955028618152084,0.003472222222222222,0.21568627450980393
Compression,1.1031746031746033,1.094240837696335,1.1506849315068493,0.967741935483871,1.145780051150895,1.0424028268551238,1.0468468468468468,1.424778761061947,1.0851063829787233,1.105263157894737,1.1470588235294117,1.054054054054054,0.8465909090909091,0.9036144578313253,1.0308641975308641,1.0634920634920635,0.8041543026706232,0.8696461824953445,1.0169133192389006,1.308550185873606,1.177177177177177,1.054054054054054,1.2727272727272727,1.1085714285714285,0.9271402550091075,0.9424460431654677,1.275,1.0740740740740742,1.3352272727272727,1.1388888888888888,1.0360934182590233,0.9037656903765691,1.2409638554216869,0.9333333333333333,1.1614349775784754,0.8384615384615385,0.9953051643192489,1.308724832214765,1.0773694390715667,0.8941176470588236,0.9844236760124611,1.1618497109826589,1.3979591836734695,1.0402144772117963,1.1272727272727272,1.0793650793650793,0.8627450980392157,1.0082191780821919,0.8625592417061612,1.032258064516129,1.0654545454545454,1.089655172413793,0.9219858156028369,1.1602316602316602,1.2638888888888888,1.2966360856269112,1.3409090909090908,1.3686868686868687,0.9814814814814815,1.4280701754385965,1.0895061728395061,1.448,1.0610687022900764,1.0604982206405693,1.1105527638190955,1.0136363636363637,0.9363207547169812,1.0913978494623655,1.0194647201946472,1.2727272727272727,1.152,1.053811659192825,1.1501597444089458,1.103030303030303,1.108695652173913,1.2005988023952097,1.1722488038277512,1.0824175824175823,1.0705128205128205,1.1714285714285715,1.0212765957446808,1.7459016393442623,1.0121951219512195,0.8739837398373984,0.9558232931726908,1.025,1.3691275167785235,0.7964912280701755,1.3529411764705883,1.0121212121212122,1.1571815718157181,0.9030303030303031,0.8861788617886179,1.053811659192825,0.9878345498783455,0.9960159362549801,1.0335570469798658,0.8614864864864865,0.8650519031141869,0.9151515151515152,1.199616122840691,1.0115942028985507,0.8571428571428571,0.93125,1.244186046511628,1.0049751243781095,1.3983050847457628,0.9027777777777778,0.9185185185185185,1.1170212765957446,0.9947368421052631,1.1005917159763314,1.0962566844919786,0.9626373626373627,1.1420612813370474,0.9830508474576272,1.5471698113207548,1.1048034934497817,1.1612903225806452,0.8425925925925926,1.2190476190476192,1.0325581395348837,1.0138888888888888,1.5256916996047432,1.0798722044728435,0.9741935483870968,1.0596026490066226,1.1029411764705883,1.1560283687943262,1.1647940074906367,0.6884057971014492,1.0101522842639594,0.9648382559774965,1.5954198473282444,1.0084745762711864,1.6698564593301435,1.4827586206896552,0.8432055749128919,0.889763779527559,0.967479674796748,1.0167597765363128,1.0790513833992095,1.0341880341880343,0.9463087248322147,0.7919463087248322,1.2063492063492063,1.0175438596491229,1.3333333333333333,1.1216216216216217,1.0689655172413792,0.8653846153846154,0.8973799126637555,1.5409252669039146,1.1673469387755102,1.112781954887218,0.8654173764906303,1.1735849056603773,1.024229074889868,1.1262135922330097,1.0689655172413792,1.1759259259259258,0.9399141630901288,1.0858895705521472,0.8021978021978022,0.9647058823529412,1.0592334494773519,1.0987654320987654,1.2363636363636363,1.0127659574468084,1.1167434715821813,1.3013698630136987,1.329192546583851,0.9682539682539683,1.1264367816091954,1.0386740331491713,1.0225563909774436,1.0236686390532543,1.0078125,1.009009009009009,1.056910569105691,1.1132075471698113,1.1055555555555556,0.9253112033195021,1.2321428571428572,0.9457013574660633,0.8480565371024735,0.9375
Average Pairwise P-Distance,0.791005291005,0.524869109948,0.619047619048,0.674731182796,0.667519181586,0.822143698469,0.767567567568,0.719764011799,0.704154002026,0.586013645224,0.711344537815,0.661261261261,0.74053030303,0.658634538153,0.722222222222,0.682010582011,0.754368611935,0.491531435666,0.621141649049,0.508685366678,0.694694694695,0.691268191268,0.796536796537,0.632925170068,0.600182149362,0.68824940048,0.68625,0.599012345679,0.823863636364,0.647817460317,0.674097664544,0.507322175732,0.723192771084,0.608888888889,0.780269058296,0.469090909091,0.60406885759,0.803131991051,0.676660219213,0.654117647059,0.477970627503,0.639306358382,0.697278911565,0.603663985702,0.579797979798,0.640211640212,0.754248366013,0.61252446184,0.764612954186,0.603225806452,0.565714285714,0.635402298851,0.478892266126,0.661196911197,0.686111111111,0.689296636086,0.667676767677,0.712121212121,0.566798941799,0.661286549708,0.695473251029,0.8152,0.657251908397,0.663107947805,0.542211055276,0.712626262626,0.538050314465,0.716845878136,0.352090245521,0.591608391608,0.644,0.653961136024,0.594819717024,0.616666666667,0.741847826087,0.479574184963,0.614992025518,0.794261294261,0.740384615385,0.620634920635,0.588507743523,0.567941712204,0.792682926829,0.507162214479,0.764390896921,0.547448979592,0.714093959732,0.645614035088,0.749299719888,0.610101010101,0.574912891986,0.529696969697,0.630081300813,0.78624813154,0.680859691809,0.784860557769,0.753914988814,0.737612612613,0.741637831603,0.725252525253,0.673512476008,0.707729468599,0.751322751323,0.648125,0.731007751938,0.562189054726,0.569645608629,0.652777777778,0.772839506173,0.831560283688,0.780701754386,0.495139475909,0.604278074866,0.675164835165,0.556307202547,0.705508474576,0.8071278826,0.558744021626,0.543106758833,0.523688271605,0.689523809524,0.653488372093,0.743055555556,0.557312252964,0.666134185304,0.658064516129,0.509197939662,0.49880952381,0.601733648542,0.656429463171,0.684782608696,0.776649746193,0.76511954993,0.685932388222,0.398921417565,0.549369290996,0.789272030651,0.749128919861,0.751968503937,0.772357723577,0.711359404097,0.812911725955,0.700854700855,0.64384787472,0.651006711409,0.820105820106,0.7738791423,0.672916666667,0.767267267267,0.667189132706,0.692307692308,0.655021834061,0.505338078292,0.559863945578,0.675187969925,0.747870528109,0.676981132075,0.568701489406,0.741100323625,0.804597701149,0.766975308642,0.604577968526,0.531867757328,0.746336996337,0.792156862745,0.575410652066,0.643072702332,0.677171717172,0.639716312057,0.663440860215,0.651506849315,0.71635610766,0.528798185941,0.558565955118,0.707182320442,0.763157894737,0.781065088757,0.6953125,0.705705705706,0.603045554265,0.682180293501,0.794444444444,0.678423236515,0.551303854875,0.652488687783,0.751472320377,0.74375
Maximum Pairwise P-Distance,0.880952380952,0.696335078534,0.794520547945,0.709677419355,0.79283887468,0.964664310954,0.823423423423,0.778761061947,0.747720364742,0.771929824561,0.823529411765,0.846846846847,0.835227272727,0.734939759036,0.851851851852,0.772486772487,0.894164193867,0.655493482309,0.841437632135,0.747211895911,0.777777777778,0.802494802495,0.935064935065,0.754285714286,0.765027322404,0.762589928058,0.8,0.718518518519,0.829545454545,0.787037037037,0.806794055202,0.71129707113,0.807228915663,0.811111111111,0.910313901345,0.561538461538,0.746478873239,0.865771812081,0.901353965184,0.847058823529,0.647975077882,0.78323699422,0.826530612245,0.678284182306,0.672727272727,0.724867724868,0.850980392157,0.764383561644,0.824644549763,0.733870967742,0.749090909091,0.744827586207,0.758865248227,0.779922779923,0.784722222222,0.862385321101,0.833333333333,0.808080808081,0.793209876543,0.80701754386,0.833333333333,0.896,0.820610687023,0.733096085409,0.683417085427,0.80303030303,0.691037735849,0.860215053763,0.608272506083,0.86013986014,0.824,0.77130044843,0.696485623003,0.69696969697,0.820652173913,0.592814371257,0.741626794258,0.836996336996,0.858974358974,0.67619047619,0.890577507599,0.688524590164,0.841463414634,0.707317073171,0.899598393574,0.714285714286,0.845637583893,0.761403508772,0.875,0.739393939394,0.777777777778,0.812121212121,0.845528455285,0.874439461883,0.8199513382,0.844621513944,0.872483221477,0.85472972973,0.844290657439,0.775757575758,0.786948176583,0.8,0.767195767196,0.85625,0.872093023256,0.885572139303,0.673728813559,0.784722222222,0.925925925926,0.914893617021,0.905263157895,0.816568047337,0.641711229947,0.912087912088,0.846796657382,0.826271186441,0.849056603774,0.777292576419,0.728494623656,0.740740740741,0.857142857143,0.804651162791,0.875,0.719367588933,0.948881789137,0.8,0.76821192053,0.661764705882,0.751773049645,0.827715355805,0.753623188406,0.918781725888,0.887482419128,0.778625954198,0.632768361582,0.650717703349,0.931034482759,0.825783972125,0.88188976378,0.869918699187,0.860335195531,0.889328063241,0.850427350427,0.753914988814,0.704697986577,0.896825396825,0.865497076023,0.770833333333,0.869369369369,0.8934169279,0.788461538462,0.851528384279,0.669039145907,0.689795918367,0.751879699248,0.851788756388,0.837735849057,0.722466960352,0.844660194175,0.868965517241,0.907407407407,0.834763948498,0.687116564417,0.815934065934,0.917647058824,0.745644599303,0.798353909465,0.854545454545,0.778723404255,0.769585253456,0.8,0.801242236025,0.755555555556,0.692528735632,0.845303867403,0.917293233083,0.87573964497,0.78125,0.846846846847,0.772357723577,0.836477987421,0.888888888889,0.863070539419,0.678571428571,0.884615384615,0.780918727915,0.79375
Number of Sequences,3,8,7,3,6,3,3,4,3,9,5,5,3,3,3,5,3,7,6,11,4,4,3,7,5,3,5,6,3,8,4,8,5,5,3,11,6,3,4,5,8,5,4,4,4,5,3,7,3,5,8,6,7,5,5,6,6,4,8,6,4,5,5,3,5,4,6,3,11,6,5,4,8,5,4,10,6,3,4,4,7,10,3,7,3,7,5,4,7,3,7,5,5,3,4,3,3,3,3,3,5,4,3,5,6,5,11,4,3,3,3,8,4,5,8,4,3,7,8,6,5,4,4,9,4,4,7,15,10,6,3,3,3,7,11,11,3,3,3,3,3,3,4,5,4,3,3,5,3,4,4,5,11,6,5,3,6,7,4,3,4,6,9,3,3,7,6,6,6,5,5,4,7,7,3,3,3,4,4,7,6,3,4,7,6,3,3
Reference Length,126,191,73,124,391,283,555,113,329,228,238,111,176,83,162,189,1011,537,473,269,333,481,77,350,549,139,80,135,176,216,471,239,332,270,223,130,213,149,517,170,321,346,98,373,165,378,255,365,211,124,275,145,141,518,144,327,132,198,324,285,324,125,262,562,199,660,424,186,411,143,250,223,313,330,184,334,418,546,156,105,329,122,82,246,249,280,149,285,136,165,369,165,123,223,411,251,149,296,289,165,521,345,378,160,86,201,236,144,135,188,190,169,187,455,359,236,159,229,372,864,105,215,72,253,313,155,453,136,141,267,276,197,711,131,354,209,87,287,254,246,179,253,234,447,149,126,171,240,222,319,156,458,281,490,266,587,265,454,103,145,108,466,163,364,170,287,243,165,470,651,365,161,315,348,181,266,169,128,111,369,159,180,241,168,442,283,160
