Statistics,TL079,SF263,SF185,SF175,SF032,SF117,SF108,TL272,SF038,SF077,SF270,SF061,TL332,SF174,SF296,SF252,SF135,SF144,SF129,SF188,SF227,SF098,TL567,SF055,SF058,SF273,TL239,SF168,SF123,SF066,SF244,SF133,SF064,SF173,SF221,SF172,SF150,TL028,SF190,SF121,SF102,SF099,SF081,SF222,SF268,SF303,TL788,SF285,TL639,SF261,SF271,SF120,SF192,SF151,SF257,SF183,SF001,SF217,SF266,SF142,SF255,SF180,SF145,SF110,SF137,SF210,SF097,SF253,SF087,SF047,SF294,SF224,SF065,SF103,SF207,SF161,SF292,SF274,SF170,SF025,SF215,SF318,TL306,SF013,SF237,SF134,SF019,SF275,SF208,SF154,SF279,TL436,SF300,TL587,SF075,TL526,SF295,SF241,TL008,SF281,SF203,SF091,TL553,SF026,SF238,SF264,SF153,SF313,TL548,TL443,TL258,SF256,SF018,SF139,SF009,SF197,TL142,SF057,SF299,SF163,TL568,SF202,SF184,SF260,SF187,SF199,SF307,SF039,SF008,SF156,SF181,TL413,SF248,SF213,SF131,SF119,TL704,TL366,TL657,SF068,SF015,SF096,SF051,SF027,SF251,SF088,TL346,SF212,SF071,SF178,TL379,SF043,SF093,SF092,SF191,SF160,SF304,SF311,SF223,TL722,TL473,SF229,SF118,TL327,TL026,SF291,SF141,SF243,SF283,SF316,SF245,SF028,SF086,SF049,SF194,TL347,TL001,SF239,SF072,SF269,SF022,TL046,SF165,SF082,SF200,TL400,TL167
1-SPFP,0.180327868852,0.633782483157,0.71298405467,0.771084337349,0.322225924692,0.543981481481,0.16,0.55773955774,0.808974358974,0.610495907559,0.862196409715,0.675,0.299465240642,0.959183673469,0.66966966967,0.467161016949,0.323699421965,0.474174653887,0.604684788895,0.772548505506,0.818122977346,0.414580265096,0.227272727273,0.638598088302,0.461250668092,0.87619047619,0.343209876543,0.686939182453,0.304985337243,0.7708113804,0.494326241135,0.514202172097,0.489616982003,0.571984435798,0.164429530201,0.801951779564,0.488095238095,0.245283018868,0.61488904796,0.619447779112,0.744080145719,0.669740634006,0.904347826087,0.958554729012,0.962332928311,0.393611261505,0.154088050314,0.366339979723,0.0591397849462,0.770629370629,0.712277910369,0.805811481219,0.818428184282,0.701290109163,0.84991708126,0.459153902261,0.625108979948,0.514331210191,0.292075471698,0.565063961182,0.763686763687,0.656852791878,0.382695507488,0.878813559322,0.968451944241,0.273127753304,0.378561081603,0.731391585761,0.516233766234,0.7136485281,0.198497854077,0.871641791045,0.605327468231,0.890699523052,0.832594235033,0.628083491461,0.444705882353,0.0945595854922,0.305605786618,0.951972555746,0.486120996441,0.665222528555,0.571428571429,0.740599714422,0.426858513189,0.687025948104,0.522147651007,0.372857142857,0.829806393516,0.942122186495,0.683421516755,0.487640449438,0.866590649943,0.540476190476,0.502279635258,0.227665706052,0.793696275072,0.772036474164,0.0,0.698051948052,0.88610976202,0.407407407407,0.105263157895,0.464140730717,0.601941747573,0.782762691854,0.45274329195,0.67,0.490990990991,0.016835016835,0.0,0.720852017937,0.848591549296,0.536315323295,0.54399808704,0.574385510996,0.106060606061,0.681583476764,0.421921037124,0.460893854749,0.0627376425856,0.388475836431,0.768382352941,0.492586912065,0.284511784512,0.541501976285,0.676960193004,0.821004055377,0.513431934802,0.154794520548,0.656363636364,0.0615384615385,0.101677148847,0.686921296296,0.678329364352,0.347315436242,0.115107913669,0.0,0.0524344569288,0.667368421053,0.520215633423,0.329577464789,0.564009661836,0.420979667283,0.564338235294,0.400778210117,0.356890459364,0.583398590446,0.609808102345,0.592137592138,0.171581769437,0.348739495798,0.58154296875,0.42687011537,0.801530891197,0.166223404255,0.761470985155,0.577716985824,0.792372881356,0.675,0.528708133971,0.513575967649,0.708273894437,0.0,0.189300411523,0.370782208589,0.771467514766,0.56699669967,0.526224383466,0.623443983402,0.669777086573,0.576233183857,0.539378458919,0.564337034618,0.652680652681,0.164179104478,0.0434782608696,0.798951048951,0.677184466019,0.832395498392,0.530280649926,0.045643153527,0.405975395431,0.32651391162,0.43737250102,0.0,0.272727272727
1-SPFN,0.173684210526,0.634698795181,0.727906976744,0.838427947598,0.352790952207,0.534090909091,0.154050464807,0.654178674352,0.839095744681,0.66283324621,0.881749460043,0.700162074554,0.370860927152,1.0,0.71935483871,0.446356275304,0.477611940299,0.552762259466,0.621212121212,0.784791583433,0.834874504624,0.459591836735,0.168918918919,0.664771381189,0.529772866789,0.916943521595,0.332535885167,0.74972796518,0.298850574713,0.798362892224,0.522097378277,0.559545454545,0.492115027829,0.638020833333,0.155063291139,0.858108108108,0.573159366263,0.213114754098,0.625181950509,0.67012987013,0.782816991377,0.700844390832,0.89848812095,0.964705882353,0.962332928311,0.443292682927,0.234449760766,0.365352207617,0.0518867924528,0.807917888563,0.76393629124,0.840976331361,0.874517374517,0.7472682411,0.856307435255,0.435790931118,0.618636755824,0.545608108108,0.323173277662,0.575471698113,0.774964838256,0.651560926485,0.442307692308,0.905676855895,0.970588235294,0.333781965007,0.415034409741,0.695384615385,0.553886348792,0.662251655629,0.177372962608,0.923076923077,0.672184531886,0.912087912088,0.830752212389,0.765141007859,0.491121697705,0.0894607843137,0.321292775665,0.960207612457,0.484053862509,0.661574618096,0.647058823529,0.8263409453,0.497206703911,0.760159010601,0.420995670996,0.461130742049,0.837346660609,0.951298701299,0.703266787659,0.507009345794,0.93137254902,0.600529100529,0.569336778639,0.235820895522,0.802898550725,0.899115044248,0.0,0.846456692913,0.894582005393,0.431818181818,0.128834355828,0.499272197962,0.566857142857,0.799758745476,0.394934497817,0.747767857143,0.582887700535,0.0158227848101,0.0,0.73908045977,0.914032869785,0.615345528455,0.582288200665,0.586525759577,0.0967741935484,0.72,0.410197651103,0.580372845586,0.0622641509434,0.422222222222,0.803846153846,0.459137479152,0.273905996759,0.558044806517,0.701850925463,0.888065345636,0.521779141104,0.127037661608,0.918575063613,0.0634920634921,0.130727762803,0.715491259795,0.756177251378,0.299813780261,0.111888111888,0.0,0.0654205607477,0.710762331839,0.540616246499,0.348214285714,0.592639593909,0.455272363818,0.685267857143,0.370503597122,0.412244897959,0.643906655143,0.642696629213,0.623275862069,0.174863387978,0.335127860027,0.588729609491,0.441323585995,0.830124575311,0.207641196013,0.736859288279,0.621621621622,0.782426778243,0.72,0.53640776699,0.564265312599,0.735011102887,0.0,0.237113402062,0.349475966751,0.777472527473,0.563278688525,0.542427497315,0.657010112052,0.701792504074,0.517102615694,0.595115077501,0.604618614416,0.684596577017,0.200729927007,0.045045045045,0.86553030303,0.740053050398,0.851387461459,0.557453416149,0.0488888888889,0.391525423729,0.3,0.441152263374,0.0,0.26
SP-Score,0.177006039689,0.634240639169,0.720445515707,0.804756142474,0.337508438449,0.539036195286,0.157025232404,0.605959116046,0.824035051828,0.636664576885,0.871972934879,0.687581037277,0.335163083897,0.979591836735,0.69451225419,0.456758646126,0.400655681132,0.513468456677,0.612948455054,0.77867004447,0.826498740985,0.437086050915,0.198095823096,0.651684734746,0.495511767441,0.896566998893,0.337872880855,0.718333573816,0.301917955978,0.784587136312,0.508211809706,0.536873813321,0.490866004916,0.605002634565,0.15974641067,0.830029943836,0.530627302179,0.229198886483,0.620035499235,0.644788824621,0.763448568548,0.685292512419,0.901417973519,0.961630305682,0.962332928311,0.418451972216,0.19426890554,0.36584609367,0.0555132886995,0.789273629596,0.738107100804,0.82339390629,0.8464727794,0.724279175131,0.853112258258,0.44747241669,0.621872867886,0.52996965915,0.30762437468,0.570267829648,0.769325800971,0.654206859182,0.412501599898,0.892245207609,0.969520089767,0.303454859155,0.396797745672,0.713388100573,0.535060057513,0.687950091865,0.187935408343,0.897359357061,0.638756000058,0.90139371757,0.831673223711,0.69661224966,0.467913790029,0.092010184903,0.313449281142,0.956090084101,0.485087429475,0.663398573325,0.609243697479,0.783470329861,0.46203260855,0.723592479352,0.471571661001,0.416993942453,0.833576527063,0.946710443897,0.693344152207,0.497324897616,0.898981599481,0.570502645503,0.535808206949,0.231743300787,0.798297412898,0.835575759206,0.0,0.772254320483,0.890345883707,0.419612794613,0.117048756861,0.48170646434,0.584399445215,0.791260718665,0.423838894883,0.708883928571,0.536939345763,0.0163289008226,0.0,0.729966238854,0.88131220954,0.575830425875,0.563143143853,0.580455635287,0.101417399804,0.700791738382,0.416059344114,0.520633350167,0.0625008967645,0.405349029327,0.786114253394,0.475862195609,0.279208890635,0.549773391401,0.689405559233,0.854534700506,0.517605537953,0.140916091078,0.787469349988,0.0625152625153,0.116202455825,0.701206278046,0.717253307865,0.323564608251,0.113498012779,0.0,0.0589275088383,0.689065376446,0.530415939961,0.338895875252,0.578324627872,0.43812601555,0.624803046218,0.38564090362,0.384567678662,0.613652622794,0.626252365779,0.607706727103,0.173222578708,0.341933677913,0.58513628912,0.434096850682,0.815827733254,0.186932300134,0.749165136717,0.599669303723,0.787399829799,0.6975,0.532557950481,0.538920640124,0.721642498662,0.0,0.213206906792,0.36012908767,0.774470021119,0.565137694097,0.534325940391,0.640227047727,0.685784795324,0.546667899775,0.56724676821,0.584477824517,0.668638614849,0.182454515742,0.0442616529573,0.832240675991,0.708618758209,0.841891479926,0.543867033038,0.0472660212079,0.39875040958,0.31325695581,0.439262382197,0.0,0.266363636364
TC,0.0277777777778,0.205607476636,0.423076923077,0.632183908046,0.0198675496689,0.406976744186,0.0,0.391304347826,0.713235294118,0.17816091954,0.697674418605,0.4,0.152542372881,1.0,0.491525423729,0.216,0.202868852459,0.088,0.230303030303,0.343195266272,0.693430656934,0.184782608696,0.0535714285714,0.260714285714,0.119565217391,0.841121495327,0.0,0.406976744186,0.149253731343,0.329268292683,0.30223880597,0.0,0.0833333333333,0.321428571429,0.0,0.430379746835,0.193798449612,0.0,0.320557491289,0.364341085271,0.434782608696,0.364077669903,0.77380952381,0.923566878981,0.902777777778,0.143426294821,0.179775280899,0.028,0.0,0.506666666667,0.375,0.586206896552,0.573529411765,0.486725663717,0.651515151515,0.197478991597,0.303370786517,0.385826771654,0.00763358778626,0.240740740741,0.535849056604,0.391666666667,0.0164835164835,0.834586466165,0.881578947368,0.0625,0.0325581395349,0.548672566372,0.120805369128,0.0510204081633,0.00699300699301,0.822485207101,0.236286919831,0.739583333333,0.619047619048,0.267379679144,0.124113475177,0.00671140939597,0.0,0.9,0.0,0.313253012048,0.425925925926,0.4921875,0.201388888889,0.341317365269,0.118181818182,0.0620689655172,0.463414634146,0.924528301887,0.234309623431,0.0,0.731182795699,0.448529411765,0.326996197719,0.016,0.664,0.678414096916,0.0,0.777777777778,0.742596810934,0.147826086957,0.0,0.269565217391,0.0519480519481,0.527472527473,0.00606060606061,0.518072289157,0.405063291139,0.0,0.0,0.278481012658,0.756944444444,0.277456647399,0.136150234742,0.255033557047,0.0,0.15503875969,0.0309734513274,0.222453222453,0.0,0.161904761905,0.632653061224,0.0,0.0408163265306,0.130434782609,0.268398268398,0.4,0.0520833333333,0.0,0.683229813665,0.0,0.0519480519481,0.311320754717,0.197530864198,0.0,0.0,0.0,0.0125,0.509900990099,0.291338582677,0.172619047619,0.308510638298,0.142857142857,0.404494382022,0.0918367346939,0.164835164835,0.305732484076,0.540880503145,0.210762331839,0.0246913580247,0.094395280236,0.0747126436782,0.0826446280992,0.589371980676,0.146551724138,0.31914893617,0.165441176471,0.510416666667,0.567307692308,0.168831168831,0.213017751479,0.168224299065,0.0,0.0,0.0,0.453125,0.165413533835,0.193548387097,0.423245614035,0.381355932203,0.323232323232,0.0969387755102,0.17619047619,0.537931034483,0.0471698113208,0.0,0.611650485437,0.4625,0.59328358209,0.153225806452,0.0,0.0859375,0.0,0.0485714285714,0.0,0.196428571429
Modeler,0.180327868852,0.633782483157,0.71298405467,0.771084337349,0.322225924692,0.543981481481,0.16,0.55773955774,0.808974358974,0.610495907559,0.862196409715,0.675,0.299465240642,0.959183673469,0.66966966967,0.467161016949,0.323699421965,0.474174653887,0.604684788895,0.772548505506,0.818122977346,0.414580265096,0.227272727273,0.638598088302,0.461250668092,0.87619047619,0.343209876543,0.686939182453,0.304985337243,0.7708113804,0.494326241135,0.514202172097,0.489616982003,0.571984435798,0.164429530201,0.801951779564,0.488095238095,0.245283018868,0.61488904796,0.619447779112,0.744080145719,0.669740634006,0.904347826087,0.958554729012,0.962332928311,0.393611261505,0.154088050314,0.366339979723,0.0591397849462,0.770629370629,0.712277910369,0.805811481219,0.818428184282,0.701290109163,0.84991708126,0.459153902261,0.625108979948,0.514331210191,0.292075471698,0.565063961182,0.763686763687,0.656852791878,0.382695507488,0.878813559322,0.968451944241,0.273127753304,0.378561081603,0.731391585761,0.516233766234,0.7136485281,0.198497854077,0.871641791045,0.605327468231,0.890699523052,0.832594235033,0.628083491461,0.444705882353,0.0945595854922,0.305605786618,0.951972555746,0.486120996441,0.665222528555,0.571428571429,0.740599714422,0.426858513189,0.687025948104,0.522147651007,0.372857142857,0.829806393516,0.942122186495,0.683421516755,0.487640449438,0.866590649943,0.540476190476,0.502279635258,0.227665706052,0.793696275072,0.772036474164,0.0,0.698051948052,0.88610976202,0.407407407407,0.105263157895,0.464140730717,0.601941747573,0.782762691854,0.45274329195,0.67,0.490990990991,0.016835016835,0.0,0.720852017937,0.848591549296,0.536315323295,0.54399808704,0.574385510996,0.106060606061,0.681583476764,0.421921037124,0.460893854749,0.0627376425856,0.388475836431,0.768382352941,0.492586912065,0.284511784512,0.541501976285,0.676960193004,0.821004055377,0.513431934802,0.154794520548,0.656363636364,0.0615384615385,0.101677148847,0.686921296296,0.678329364352,0.347315436242,0.115107913669,0.0,0.0524344569288,0.667368421053,0.520215633423,0.329577464789,0.564009661836,0.420979667283,0.564338235294,0.400778210117,0.356890459364,0.583398590446,0.609808102345,0.592137592138,0.171581769437,0.348739495798,0.58154296875,0.42687011537,0.801530891197,0.166223404255,0.761470985155,0.577716985824,0.792372881356,0.675,0.528708133971,0.513575967649,0.708273894437,0.0,0.189300411523,0.370782208589,0.771467514766,0.56699669967,0.526224383466,0.623443983402,0.669777086573,0.576233183857,0.539378458919,0.564337034618,0.652680652681,0.164179104478,0.0434782608696,0.798951048951,0.677184466019,0.832395498392,0.530280649926,0.045643153527,0.405975395431,0.32651391162,0.43737250102,0.0,0.272727272727
Compression,0.936507936508,0.837696335079,0.890410958904,0.895161290323,0.805626598465,1.00706713781,0.987387387387,0.743362831858,0.963525835866,0.828947368421,0.945378151261,0.882882882883,0.823863636364,0.903614457831,0.91975308642,0.899470899471,0.742828882295,0.729981378026,0.966173361522,0.869888475836,0.942942942943,0.848232848233,1.18181818182,0.888571428571,0.785063752277,0.913669064748,1.025,0.785185185185,0.994318181818,0.856481481481,0.887473460722,0.824267782427,0.96686746988,0.8,1.00448430493,0.646153846154,0.732394366197,1.07382550336,0.941972920696,0.870588235294,0.741433021807,0.852601156069,1.0,0.981233243968,1.0,0.830687830688,0.725490196078,0.819178082192,0.962085308057,0.846774193548,0.810909090909,0.889655172414,0.801418439716,0.833976833977,0.958333333333,0.978593272171,0.977272727273,0.89898989899,0.882716049383,0.950877192982,0.953703703704,1.016,0.770992366412,0.950177935943,0.994974874372,0.730303030303,0.808962264151,1.02150537634,0.69099756691,1.07692307692,0.98,0.860986547085,0.750798722045,0.930303030303,0.983695652174,0.604790419162,0.777511961722,1.0,0.884615384615,0.980952380952,0.9726443769,0.918032786885,0.841463414634,0.739837398374,0.863453815261,0.725,1.21476510067,0.726315789474,1.00735294118,0.981818181818,0.937669376694,0.848484848485,0.821138211382,0.85201793722,0.788321167883,0.868525896414,0.979865771812,0.834459459459,0.685121107266,0.781818181818,0.965451055662,0.834782608696,0.814814814815,0.875,1.04651162791,0.970149253731,1.0593220339,0.805555555556,0.82962962963,0.978723404255,0.947368421053,0.899408284024,0.855614973262,0.850549450549,0.796657381616,0.915254237288,0.987421383648,0.868995633188,0.967741935484,0.675925925926,0.904761904762,0.874418604651,0.902777777778,1.07509881423,0.977635782748,0.851612903226,0.843267108168,0.683823529412,0.815602836879,1.08988764045,0.673913043478,0.878172588832,0.803094233474,0.870229007634,0.762711864407,1.02870813397,0.954022988506,0.937282229965,0.826771653543,0.926829268293,0.938547486034,0.932806324111,0.918803418803,0.845637583893,0.697986577181,1.06349206349,0.842105263158,0.779166666667,0.914414414414,0.915360501567,0.852564102564,0.88864628821,0.82206405694,0.879591836735,0.913533834586,0.780238500852,1.04905660377,0.775330396476,0.990291262136,0.896551724138,0.935185185185,0.830472103004,0.791411042945,0.793956043956,0.811764705882,1.08710801394,0.958847736626,1.00606060606,0.859574468085,0.844854070661,0.884931506849,1.06832298137,0.806349206349,0.824712643678,0.92817679558,0.84962406015,0.852071005917,0.859375,0.846846846847,0.907859078591,0.874213836478,0.894444444444,0.946058091286,0.77380952381,0.909502262443,0.812720848057,0.875
Average Pairwise P-Distance,0.869500484864,0.830240634165,0.778929961678,0.632431818956,0.815565714707,0.818241190334,0.819956140351,0.864721494374,0.686902947154,0.763470643488,0.748275757806,0.791706587947,0.869749045281,0.648857526882,0.716047482211,0.853372513515,0.781737597462,0.792134176935,0.755606038075,0.748222392735,0.725282838924,0.8393968564,0.826513213981,0.75917552022,0.830959258849,0.675496334456,0.854173943848,0.785510949381,0.854275898394,0.800020015902,0.798441233315,0.795348288758,0.810371511644,0.758717665415,0.848936272622,0.727399954706,0.84117680765,0.865119761969,0.808509889006,0.769726231989,0.762812643359,0.817934048516,0.722416042023,0.621102044874,0.579843410852,0.797863831305,0.892845926763,0.838317775627,0.91598119859,0.733789594889,0.771097840703,0.720190850616,0.732426502772,0.810364159278,0.701416138338,0.856992819553,0.845617184273,0.829384423346,0.872637504629,0.830256266678,0.722565440429,0.838046287507,0.815710778137,0.646084378966,0.562589394874,0.850158970031,0.81292432681,0.737379640452,0.765045442658,0.70970707186,0.872972710439,0.694992576035,0.812831963394,0.624301992431,0.750756748905,0.840998400283,0.838483570419,0.891191658565,0.838723820722,0.616068871707,0.813677097742,0.856286473107,0.831027667984,0.76715550631,0.814361001318,0.800924685342,0.837019396336,0.781586928582,0.817788023026,0.565559160958,0.804869235778,0.864719437303,0.690983337249,0.852134512764,0.774338051894,0.893607893608,0.753260869565,0.719224425297,0.967276422764,0.759040755992,0.723837880142,0.821377516887,0.890007205541,0.784176558601,0.795503621599,0.754258899249,0.884605842884,0.749480144348,0.8129395218,0.916013243626,0.922297080024,0.801795415885,0.615466523602,0.814422013592,0.825768273158,0.824250130972,0.902171555016,0.782015544893,0.841541017971,0.781245719678,0.913054893785,0.807183041015,0.858561252669,0.818052168694,0.880344535105,0.756645321615,0.74696985449,0.773549674471,0.871988444892,0.886282856643,0.624311081639,0.893263639076,0.869448525196,0.833903705436,0.73233924771,0.892102073805,0.880590534086,0.900158730159,0.9298325109,0.746382113821,0.718155882689,0.854911180773,0.736454024274,0.800245106672,0.740567708033,0.856922602529,0.852240392954,0.845692567758,0.795230788902,0.72413100465,0.884270334182,0.840079217461,0.828496524325,0.842436907897,0.751315502523,0.852583504875,0.728952254808,0.837572243464,0.750037012096,0.853421368547,0.872143572144,0.767366493491,0.751939896246,0.888970300223,0.938006930994,0.798769006994,0.716564943831,0.787105769092,0.812432058982,0.768021707351,0.796293459073,0.851608540268,0.808176326615,0.784334533193,0.702223149984,0.895096801347,0.90182946104,0.723936433557,0.783952404347,0.731683966597,0.818228614145,0.921415262001,0.835107088955,0.82981936609,0.820529962658,0.921671671672,0.875042735043
Maximum Pairwise P-Distance,0.90625,0.916666666667,0.928571428571,0.704225352113,0.937888198758,0.956043956044,0.850877192982,0.916666666667,0.7265625,0.895833333333,0.804469273743,0.879310344828,0.936170212766,0.677419354839,0.802083333333,0.947368421053,0.827433628319,0.914285714286,0.885057471264,0.898550724638,0.76862745098,0.896739130435,0.891304347826,0.885,0.891472868217,0.77,0.928571428571,0.881355932203,0.892857142857,0.911111111111,0.873303167421,0.880597014925,0.888888888889,0.836363636364,0.908163265306,0.885245901639,0.939393939394,0.907894736842,0.879396984925,0.88,0.857142857143,0.853107344633,0.815789473684,0.713826366559,0.639705882353,0.869318181818,0.934426229508,0.935779816514,0.942028985507,0.833333333333,0.883928571429,0.811764705882,0.88679245283,0.864768683274,0.822033898305,0.917948717949,0.907894736842,0.89,0.95652173913,0.931506849315,0.832618025751,0.893617021277,0.954022988506,0.676092544987,0.637795275591,0.897297297297,0.972222222222,0.787610619469,0.904761904762,0.941176470588,0.941747572816,0.792207792208,0.904761904762,0.688461538462,0.833333333333,0.931818181818,0.904109589041,0.899253731343,0.921348314607,0.6875,0.918699186992,0.950819672131,0.847826086957,0.866666666667,0.9,0.871794871795,0.90625,0.857142857143,0.913461538462,0.60396039604,0.891304347826,0.975609756098,0.820512820513,0.860655737705,0.836257309942,0.918918918919,0.834782608696,0.781065088757,1.0,0.785714285714,0.794117647059,0.879194630872,0.928571428571,0.859154929577,0.903225806452,0.867469879518,0.961165048544,0.810810810811,0.888888888889,0.959183673469,0.957746478873,0.913793103448,0.65671641791,0.913793103448,0.937984496124,0.865546218487,0.96875,0.952941176471,0.8984375,0.848275862069,0.962264150943,0.851851851852,0.931818181818,0.938596491228,0.925531914894,0.90243902439,0.890052356021,0.888888888889,0.96,0.954954954955,0.6625,0.913580246914,0.881578947368,0.924050632911,0.840579710145,0.965909090909,0.918367346939,0.95,0.945205479452,0.821138211382,0.826086956522,0.916666666667,0.833333333333,0.876923076923,0.794871794872,0.934782608696,0.894117647059,0.922330097087,0.833333333333,0.887573964497,0.953125,0.918032786885,0.926315789474,0.923076923077,0.801169590643,0.880208333333,0.895287958115,0.892655367232,0.837837837838,0.9,0.952380952381,0.915789473684,0.926470588235,0.941176470588,0.942028985507,0.917355371901,0.845528455285,0.918367346939,0.884353741497,0.824242424242,0.850241545894,0.919540229885,0.913043478261,0.90990990991,0.805970149254,0.931818181818,0.958333333333,0.823529411765,0.864406779661,0.834101382488,0.918918918919,0.95652173913,0.921348314607,0.939393939394,0.92700729927,0.959459459459,0.92
Number of Sequences,3.0,8.0,7.0,3.0,6.0,3.0,3.0,4.0,3.0,9.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,7.0,6.0,11.0,4.0,4.0,3.0,7.0,5.0,3.0,5.0,6.0,3.0,8.0,4.0,8.0,5.0,5.0,3.0,11.0,6.0,3.0,4.0,5.0,8.0,5.0,4.0,4.0,4.0,5.0,3.0,7.0,3.0,5.0,8.0,6.0,7.0,5.0,5.0,6.0,6.0,4.0,8.0,6.0,4.0,5.0,5.0,3.0,5.0,4.0,6.0,3.0,11.0,6.0,5.0,4.0,8.0,5.0,4.0,10.0,6.0,3.0,4.0,4.0,7.0,10.0,3.0,7.0,3.0,7.0,5.0,4.0,7.0,3.0,7.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,6.0,5.0,11.0,4.0,3.0,3.0,3.0,8.0,4.0,5.0,8.0,4.0,3.0,7.0,8.0,6.0,5.0,4.0,4.0,9.0,4.0,4.0,7.0,15.0,10.0,6.0,3.0,3.0,3.0,7.0,11.0,11.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,11.0,6.0,5.0,3.0,6.0,7.0,4.0,3.0,4.0,6.0,9.0,3.0,3.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,7.0,7.0,3.0,3.0,3.0,4.0,4.0,7.0,6.0,3.0,4.0,7.0,6.0,3.0,3.0
Reference Length,126.0,191.0,73.0,124.0,391.0,283.0,555.0,113.0,329.0,228.0,238.0,111.0,176.0,83.0,162.0,189.0,1011.0,537.0,473.0,269.0,333.0,481.0,77.0,350.0,549.0,139.0,80.0,135.0,176.0,216.0,471.0,239.0,332.0,270.0,223.0,130.0,213.0,149.0,517.0,170.0,321.0,346.0,98.0,373.0,165.0,378.0,255.0,365.0,211.0,124.0,275.0,145.0,141.0,518.0,144.0,327.0,132.0,198.0,324.0,285.0,324.0,125.0,262.0,562.0,199.0,660.0,424.0,186.0,411.0,143.0,250.0,223.0,313.0,330.0,184.0,334.0,418.0,546.0,156.0,105.0,329.0,122.0,82.0,246.0,249.0,280.0,149.0,285.0,136.0,165.0,369.0,165.0,123.0,223.0,411.0,251.0,149.0,296.0,289.0,165.0,521.0,345.0,378.0,160.0,86.0,201.0,236.0,144.0,135.0,188.0,190.0,169.0,187.0,455.0,359.0,236.0,159.0,229.0,372.0,864.0,105.0,215.0,72.0,253.0,313.0,155.0,453.0,136.0,141.0,267.0,276.0,197.0,711.0,131.0,354.0,209.0,87.0,287.0,254.0,246.0,179.0,253.0,234.0,447.0,149.0,126.0,171.0,240.0,222.0,319.0,156.0,458.0,281.0,490.0,266.0,587.0,265.0,454.0,103.0,145.0,108.0,466.0,163.0,364.0,170.0,287.0,243.0,165.0,470.0,651.0,365.0,161.0,315.0,348.0,181.0,266.0,169.0,128.0,111.0,369.0,159.0,180.0,241.0,168.0,442.0,283.0,160.0
