Statistics,TL079,SF263,SF185,SF175,SF032,SF117,SF108,TL272,SF038,SF077,SF270,SF061,TL332,SF174,SF296,SF252,SF135,SF144,SF129,SF188,SF227,SF098,TL567,SF055,SF058,SF273,TL239,SF168,SF123,SF066,SF244,SF133,SF064,SF173,SF221,SF172,SF150,TL028,SF190,SF121,SF102,SF099,SF081,SF222,SF268,SF303,TL788,SF285,TL639,SF261,SF271,SF120,SF192,SF151,SF257,SF183,SF001,SF217,SF266,SF142,SF255,SF180,SF145,SF110,SF137,SF210,SF097,SF253,SF087,SF047,SF294,SF224,SF065,SF103,SF207,SF161,SF292,SF274,SF170,SF025,SF215,SF318,TL306,SF013,SF237,SF134,SF019,SF275,SF208,SF154,SF279,TL436,SF300,TL587,SF075,TL526,SF295,SF241,TL008,SF281,SF203,SF091,TL553,SF026,SF238,SF264,SF153,SF313,TL548,TL443,TL258,SF256,SF018,SF139,SF009,SF197,TL142,SF057,SF299,SF163,TL568,SF202,SF184,SF260,SF187,SF199,SF307,SF039,SF008,SF156,SF181,TL413,SF248,SF213,SF131,SF119,TL704,TL366,TL657,SF068,SF015,SF096,SF051,SF027,SF251,SF088,TL346,SF212,SF071,SF178,TL379,SF043,SF093,SF092,SF191,SF160,SF304,SF311,SF223,TL722,TL473,SF229,SF118,TL327,TL026,SF291,SF141,SF243,SF283,SF316,SF245,SF028,SF086,SF049,SF194,TL347,TL001,SF239,SF072,SF269,SF022,TL046,SF165,SF082,SF200,TL400,TL167
1-SPFP,0.0,0.794982078853,0.655483870968,0.834123222749,0.78896882494,0.878923766816,0.0,0.0,0.812162162162,0.677640996278,0.872797356828,0.710037174721,0.0,0.948979591837,0.882882882883,0.87786259542,0.593558282209,0.622851365015,0.799583550234,0.76492434663,0.816171389081,0.929515418502,0.0,0.708322394329,0.763765541741,0.882943143813,0.0,0.732410611303,0.0,0.797324803722,0.73390036452,0.581699346405,0.55578619616,0.82340862423,0.888888888889,0.809192621712,0.863636363636,0.0,0.800675675676,0.899598393574,0.909865470852,0.936011904762,0.898936170213,0.966702470462,0.949320148331,0.902542372881,0.0,0.514538558786,0.0,0.871544715447,0.8102581294,0.777777777778,0.903783783784,0.782192788815,0.847882454624,0.889982110912,1.0,0.847826086957,0.552013422819,0.752304855562,0.766312594841,0.748110831234,0.828282828283,0.929953917051,0.969088098918,0.3725,0.723076923077,0.877659574468,0.728925619835,0.890345649583,0.9375,0.905016008538,0.696298543689,0.90308561495,0.891358024691,0.655584788328,0.714401294498,0.0,0.847222222222,0.945017182131,0.837423312883,0.805500982318,0.0,0.824868651489,0.951219512195,0.75086306099,0.928571428571,0.558441558442,0.879868606288,0.955479452055,0.828825347759,0.891472868217,0.874117647059,0.883333333333,0.766793409379,0.0,0.787878787879,0.769461077844,0.0,0.792,0.883691845923,0.796296296296,0.0,0.523012552301,0.915224913495,0.862654320988,0.657142857143,0.870629370629,1.0,0.0,0.0,0.790275761974,0.853541416567,0.748592870544,0.832614322692,0.745125348189,0.0,0.837929093979,0.529435483871,0.908802537669,0.0,0.507853403141,0.945054945055,0.530581039755,0.993150684932,0.727848101266,0.80283049212,0.833139534884,0.698138297872,0.988095238095,0.658181818182,0.0,0.0,0.585244885307,0.791155360037,0.535420098847,0.0,0.0,0.0,0.940476190476,0.966292134831,0.901960784314,0.874239350913,0.560993975904,0.568862275449,0.847058823529,0.0,0.834862385321,1.0,0.855791962175,0.928571428571,0.727467811159,0.821468609865,0.52144772118,0.818127608825,1.0,0.76524822695,0.616989567809,0.89512195122,0.901639344262,0.833333333333,0.783213429257,0.847991865785,0.0,0.0,0.906358381503,0.804971319312,0.651985559567,0.915673693859,0.858392336526,0.75374732334,0.0,0.613244296049,0.672224659939,0.724683544304,0.0,0.0,0.835106382979,0.7578125,0.820222270647,0.732348111658,0.0,0.9,0.859728506787,0.64674493063,0.0,0.0
1-SPFN,0.0,0.534457831325,0.590697674419,0.768558951965,0.360087559285,0.445454545455,0.0,0.0,0.79920212766,0.618661787768,0.855831533477,0.619124797407,0.0,0.989361702128,0.316129032258,0.349190283401,0.412579957356,0.382371198014,0.45632798574,0.740577973099,0.780052840159,0.172244897959,0.0,0.639185027245,0.263965623082,0.87707641196,0.0,0.690968443961,0.0,0.748158253752,0.452434456929,0.485454545455,0.496753246753,0.348090277778,0.0759493670886,0.821867321867,0.212488350419,0.0,0.344978165939,0.581818181818,0.648035771319,0.379372738239,0.730021598272,0.96256684492,0.933171324423,0.259756097561,0.0,0.274351196495,0.0,0.785923753666,0.687428896473,0.652366863905,0.80694980695,0.749383151216,0.81954887218,0.344409830391,0.104400345125,0.197635135135,0.137369519833,0.549865229111,0.710267229255,0.598187311178,0.315384615385,0.881222707424,0.922058823529,0.300807537012,0.174166225516,0.507692307692,0.480078380144,0.618377483444,0.0862895493768,0.893572181243,0.622795115332,0.845746845747,0.798672566372,0.633610725844,0.382416630576,0.0,0.231939163498,0.951557093426,0.290219702339,0.321190755973,0.0,0.750398300584,0.326815642458,0.576413427562,0.0984848484848,0.379858657244,0.851885506588,0.905844155844,0.648820326679,0.268691588785,0.910539215686,0.420634920635,0.521102497847,0.0,0.753623188406,0.909734513274,0.0,0.779527559055,0.866143662662,0.26652892562,0.0,0.363901018923,0.604571428571,0.674306393245,0.0803493449782,0.555803571429,0.502673796791,0.0,0.0,0.625862068966,0.898862199747,0.608231707317,0.246992577425,0.706737120211,0.0,0.676818181818,0.376109997135,0.403095321843,0.0,0.19595959596,0.661538461538,0.248034310222,0.235008103728,0.468431771894,0.624312156078,0.867039782181,0.322085889571,0.0933108487915,0.921119592875,0.0,0.0,0.56901748041,0.697774147437,0.0672460169667,0.0,0.0,0.0,0.531390134529,0.481792717087,0.27380952381,0.546954314721,0.372313843078,0.636160714286,0.258992805755,0.0,0.0786516853933,0.0898876404494,0.624137931034,0.0710382513661,0.228129205922,0.482946119624,0.149672951135,0.776896942242,0.0647840531561,0.704538034607,0.553920256891,0.767782426778,0.733333333333,0.133495145631,0.518248175182,0.617320503331,0.0,0.0,0.283339356704,0.771062271062,0.592131147541,0.357679914071,0.563268652637,0.573601303639,0.0,0.517613903241,0.536039188244,0.559902200489,0.0,0.0,0.892045454545,0.771883289125,0.773689619733,0.346273291925,0.0,0.167796610169,0.142857142857,0.249382716049,0.0,0.0
SP-Score,0.0,0.664719955089,0.623090772693,0.801341087357,0.574528192112,0.662189156135,0.0,0.0,0.805682144911,0.648151392023,0.864314445153,0.664580986064,0.0,0.969170646982,0.59950595757,0.61352643941,0.503069119782,0.502611281514,0.627955767987,0.752751159864,0.79811211462,0.550880158231,0.0,0.673753710787,0.513865582411,0.880009777886,0.0,0.711689527632,0.0,0.772741528737,0.593167410724,0.53357694593,0.526269721457,0.585749451004,0.482419127989,0.815529971789,0.538062357028,0.0,0.572826920807,0.740708287696,0.778950621086,0.6576923215,0.814478884242,0.964634657691,0.941245736377,0.581149235221,0.0,0.394444877641,0.0,0.828734234556,0.748843512937,0.715072320842,0.855366795367,0.765787970016,0.833715663402,0.617195970652,0.552200172563,0.522730611046,0.344691471326,0.651085042336,0.738289912048,0.673149071206,0.571833721834,0.905588312237,0.945573461224,0.336653768506,0.448621574297,0.69267594108,0.604501999989,0.754361566513,0.511894774688,0.899294094891,0.659546829511,0.874416230348,0.845015295532,0.644597757086,0.548408962537,0.0,0.53958069286,0.948287137778,0.563821507611,0.563345869146,0.0,0.787633476036,0.639017577327,0.663638244276,0.513528138528,0.469150107843,0.865877056438,0.930661803949,0.738822837219,0.580082228501,0.892328431373,0.651984126984,0.643947953613,0.0,0.770750988142,0.839597795559,0.0,0.785763779528,0.874917754293,0.531412610958,0.0,0.443456785612,0.759898171033,0.768480357116,0.368746101061,0.713216471029,0.751336898396,0.0,0.0,0.70806891547,0.876201808157,0.678412288931,0.539803450059,0.7259312342,0.0,0.757373637898,0.452772740503,0.655948929756,0.0,0.35190649955,0.803296703297,0.389307674988,0.61407939433,0.59813993658,0.713571324099,0.850089658532,0.510112093721,0.540703043443,0.789650705529,0.0,0.0,0.577131182858,0.744464753737,0.301333057907,0.0,0.0,0.0,0.735933162503,0.724042425959,0.587885154062,0.710596832817,0.466653909491,0.602511494867,0.553025814642,0.0,0.456757035357,0.544943820225,0.739964946605,0.499804839969,0.47779850854,0.652207364745,0.335560336157,0.797512275534,0.532392026578,0.734893130778,0.58545491235,0.831452188999,0.817486338798,0.483414239482,0.65073080222,0.732656184558,0.0,0.0,0.594848869103,0.788016795187,0.622058353554,0.636676803965,0.710830494582,0.66367431349,0.0,0.565429099645,0.604131924091,0.642292872396,0.0,0.0,0.863575918762,0.764847894562,0.79695594519,0.539310701792,0.0,0.533898305085,0.501292824822,0.44806382334,0.0,0.0
TC,0.0,0.224299065421,0.230769230769,0.609195402299,0.132450331126,0.441860465116,0.0,0.0,0.676470588235,0.172413793103,0.693023255814,0.426666666667,0.0,0.96875,0.110169491525,0.192,0.237704918033,0.072,0.069696969697,0.295857988166,0.609489051095,0.130434782609,0.0,0.317857142857,0.0615942028986,0.785046728972,0.0,0.372093023256,0.0,0.219512195122,0.25,0.0615384615385,0.0492424242424,0.178571428571,0.0,0.392405063291,0.062015503876,0.0,0.0871080139373,0.480620155039,0.341614906832,0.208737864078,0.547619047619,0.926751592357,0.875,0.167330677291,0.0,0.088,0.0,0.466666666667,0.440217391304,0.396551724138,0.485294117647,0.53982300885,0.598484848485,0.197478991597,0.0,0.125984251969,0.0648854961832,0.328703703704,0.441509433962,0.433333333333,0.0824175824176,0.809523809524,0.763157894737,0.0175,0.106976744186,0.407079646018,0.0872483221477,0.112244897959,0.034965034965,0.792899408284,0.274261603376,0.631944444444,0.577380952381,0.106951871658,0.248226950355,0.0,0.159292035398,0.88,0.0448430493274,0.0,0.0,0.453125,0.180555555556,0.221556886228,0.00909090909091,0.255172413793,0.50406504065,0.830188679245,0.225941422594,0.0,0.709677419355,0.352941176471,0.372623574144,0.0,0.608,0.68281938326,0.0,0.711111111111,0.69020501139,0.160869565217,0.0,0.35652173913,0.194805194805,0.450549450549,0.0606060606061,0.397590361446,0.405063291139,0.0,0.0,0.316455696203,0.729166666667,0.450867052023,0.0657276995305,0.436241610738,0.0,0.139534883721,0.0663716814159,0.411642411642,0.0,0.0380952380952,0.551020408163,0.05625,0.0952380952381,0.054347826087,0.233766233766,0.378947368421,0.0208333333333,0.187165775401,0.689440993789,0.0,0.0,0.216981132075,0.172839506173,0.0,0.0,0.0,0.0,0.425742574257,0.228346456693,0.166666666667,0.409574468085,0.159468438538,0.370786516854,0.030612244898,0.0,0.0191082802548,0.0188679245283,0.304932735426,0.037037037037,0.268436578171,0.00574712643678,0.0,0.531400966184,0.0560344827586,0.323404255319,0.128676470588,0.635416666667,0.586538461538,0.012987012987,0.340236686391,0.00934579439252,0.0,0.0,0.0402298850575,0.458333333333,0.218045112782,0.263929618768,0.353070175439,0.300847457627,0.0,0.0816326530612,0.180952380952,0.406896551724,0.0,0.0,0.68932038835,0.5125,0.477611940299,0.00806451612903,0.0,0.046875,0.0106382978723,0.102857142857,0.0,0.0
Modeler,0.0,0.794982078853,0.655483870968,0.834123222749,0.78896882494,0.878923766816,0.0,0.0,0.812162162162,0.677640996278,0.872797356828,0.710037174721,0.0,0.948979591837,0.882882882883,0.87786259542,0.593558282209,0.622851365015,0.799583550234,0.76492434663,0.816171389081,0.929515418502,0.0,0.708322394329,0.763765541741,0.882943143813,0.0,0.732410611303,0.0,0.797324803722,0.73390036452,0.581699346405,0.55578619616,0.82340862423,0.888888888889,0.809192621712,0.863636363636,0.0,0.800675675676,0.899598393574,0.909865470852,0.936011904762,0.898936170213,0.966702470462,0.949320148331,0.902542372881,0.0,0.514538558786,0.0,0.871544715447,0.8102581294,0.777777777778,0.903783783784,0.782192788815,0.847882454624,0.889982110912,1.0,0.847826086957,0.552013422819,0.752304855562,0.766312594841,0.748110831234,0.828282828283,0.929953917051,0.969088098918,0.3725,0.723076923077,0.877659574468,0.728925619835,0.890345649583,0.9375,0.905016008538,0.696298543689,0.90308561495,0.891358024691,0.655584788328,0.714401294498,0.0,0.847222222222,0.945017182131,0.837423312883,0.805500982318,0.0,0.824868651489,0.951219512195,0.75086306099,0.928571428571,0.558441558442,0.879868606288,0.955479452055,0.828825347759,0.891472868217,0.874117647059,0.883333333333,0.766793409379,0.0,0.787878787879,0.769461077844,0.0,0.792,0.883691845923,0.796296296296,0.0,0.523012552301,0.915224913495,0.862654320988,0.657142857143,0.870629370629,1.0,0.0,0.0,0.790275761974,0.853541416567,0.748592870544,0.832614322692,0.745125348189,0.0,0.837929093979,0.529435483871,0.908802537669,0.0,0.507853403141,0.945054945055,0.530581039755,0.993150684932,0.727848101266,0.80283049212,0.833139534884,0.698138297872,0.988095238095,0.658181818182,0.0,0.0,0.585244885307,0.791155360037,0.535420098847,0.0,0.0,0.0,0.940476190476,0.966292134831,0.901960784314,0.874239350913,0.560993975904,0.568862275449,0.847058823529,0.0,0.834862385321,1.0,0.855791962175,0.928571428571,0.727467811159,0.821468609865,0.52144772118,0.818127608825,1.0,0.76524822695,0.616989567809,0.89512195122,0.901639344262,0.833333333333,0.783213429257,0.847991865785,0.0,0.0,0.906358381503,0.804971319312,0.651985559567,0.915673693859,0.858392336526,0.75374732334,0.0,0.613244296049,0.672224659939,0.724683544304,0.0,0.0,0.835106382979,0.7578125,0.820222270647,0.732348111658,0.0,0.9,0.859728506787,0.64674493063,0.0,0.0
Compression,2.03968253968,1.53403141361,1.41095890411,1.09677419355,1.51406649616,1.44522968198,1.95315315315,2.6017699115,1.04255319149,1.28070175439,1.02941176471,1.16216216216,1.59659090909,0.903614457831,1.63580246914,2.01058201058,1.17606330366,1.48417132216,1.75898520085,1.11895910781,1.0960960961,2.04573804574,1.92207792208,1.28285714286,1.66666666667,0.985611510791,3.2125,1.14074074074,2.36931818182,1.22685185185,1.45647558386,1.35564853556,1.17771084337,1.60740740741,1.86547085202,0.892307692308,2.05633802817,2.13422818792,1.61315280464,1.42941176471,1.43302180685,2.07225433526,1.41836734694,1.01072386059,1.04848484848,2.14814814815,1.58431372549,1.48493150685,1.69194312796,1.08064516129,1.28727272727,1.38620689655,1.27659574468,1.08687258687,1.09027777778,2.22018348624,3.56818181818,2.24242424242,2.27160493827,1.55087719298,1.12037037037,1.424,1.79007633588,1.06939501779,1.13567839196,1.0696969697,1.8608490566,1.46774193548,1.40875912409,1.56643356643,2.404,1.02242152466,1.19488817891,1.18484848485,1.15760869565,1.08982035928,1.45693779904,2.02014652015,1.98717948718,0.990476190476,2.24924012158,3.02459016393,2.15853658537,1.17886178862,1.5140562249,1.53571428571,2.93288590604,1.22105263158,1.13235294118,1.05454545455,1.50677506775,1.53939393939,0.934959349593,1.59641255605,1.36496350365,1.91633466135,1.06040268456,0.817567567568,1.37370242215,1.0,1.07101727447,1.75942028986,1.60582010582,1.43125,1.72093023256,1.2039800995,3.81779661017,1.50694444444,1.45925925926,2.15957446809,1.78947368421,1.34319526627,0.893048128342,1.24835164835,2.26183844011,1.13983050847,1.96226415094,1.38864628821,1.56720430108,1.53703703704,3.09523809524,1.67441860465,1.5,2.42292490119,1.60383386581,1.41935483871,1.4348785872,0.992647058824,2.02836879433,2.83895131086,0.673913043478,1.83248730964,1.73839662447,1.17557251908,1.28813559322,3.46889952153,2.10344827586,1.5818815331,1.57874015748,1.43089430894,1.51396648045,1.59288537549,1.50427350427,1.41834451902,0.838926174497,1.81746031746,1.98245614035,2.625,2.18018018018,1.35109717868,2.08333333333,1.57423580786,2.25622775801,2.17551020408,1.11654135338,1.6660988075,1.18113207547,1.14757709251,1.2427184466,1.1724137931,2.36111111111,1.31759656652,1.62576687117,1.6456043956,1.79411764706,2.42160278746,1.14403292181,1.24848484848,1.99361702128,1.72350230415,1.44383561644,2.6149068323,1.19682539683,1.33620689655,1.30939226519,1.71428571429,1.89349112426,0.890625,0.990990990991,1.20325203252,2.06289308176,1.86666666667,1.85477178423,2.57142857143,1.73076923077,1.56537102473,1.64375
Average Pairwise P-Distance,0.869500484864,0.830240634165,0.778929961678,0.632431818956,0.815565714707,0.818241190334,0.819956140351,0.864721494374,0.686902947154,0.763470643488,0.748275757806,0.791706587947,0.869749045281,0.648857526882,0.716047482211,0.853372513515,0.781737597462,0.792134176935,0.755606038075,0.748222392735,0.725282838924,0.8393968564,0.826513213981,0.75917552022,0.830959258849,0.675496334456,0.854173943848,0.785510949381,0.854275898394,0.800020015902,0.798441233315,0.795348288758,0.810371511644,0.758717665415,0.848936272622,0.727399954706,0.84117680765,0.865119761969,0.808509889006,0.769726231989,0.762812643359,0.817934048516,0.722416042023,0.621102044874,0.579843410852,0.797863831305,0.892845926763,0.838317775627,0.91598119859,0.733789594889,0.771097840703,0.720190850616,0.732426502772,0.810364159278,0.701416138338,0.856992819553,0.845617184273,0.829384423346,0.872637504629,0.830256266678,0.722565440429,0.838046287507,0.815710778137,0.646084378966,0.562589394874,0.850158970031,0.81292432681,0.737379640452,0.765045442658,0.70970707186,0.872972710439,0.694992576035,0.812831963394,0.624301992431,0.750756748905,0.840998400283,0.838483570419,0.891191658565,0.838723820722,0.616068871707,0.813677097742,0.856286473107,0.831027667984,0.76715550631,0.814361001318,0.800924685342,0.837019396336,0.781586928582,0.817788023026,0.565559160958,0.804869235778,0.864719437303,0.690983337249,0.852134512764,0.774338051894,0.893607893608,0.753260869565,0.719224425297,0.967276422764,0.759040755992,0.723837880142,0.821377516887,0.890007205541,0.784176558601,0.795503621599,0.754258899249,0.884605842884,0.749480144348,0.8129395218,0.916013243626,0.922297080024,0.801795415885,0.615466523602,0.814422013592,0.825768273158,0.824250130972,0.902171555016,0.782015544893,0.841541017971,0.781245719678,0.913054893785,0.807183041015,0.858561252669,0.818052168694,0.880344535105,0.756645321615,0.74696985449,0.773549674471,0.871988444892,0.886282856643,0.624311081639,0.893263639076,0.869448525196,0.833903705436,0.73233924771,0.892102073805,0.880590534086,0.900158730159,0.9298325109,0.746382113821,0.718155882689,0.854911180773,0.736454024274,0.800245106672,0.740567708033,0.856922602529,0.852240392954,0.845692567758,0.795230788902,0.72413100465,0.884270334182,0.840079217461,0.828496524325,0.842436907897,0.751315502523,0.852583504875,0.728952254808,0.837572243464,0.750037012096,0.853421368547,0.872143572144,0.767366493491,0.751939896246,0.888970300223,0.938006930994,0.798769006994,0.716564943831,0.787105769092,0.812432058982,0.768021707351,0.796293459073,0.851608540268,0.808176326615,0.784334533193,0.702223149984,0.895096801347,0.90182946104,0.723936433557,0.783952404347,0.731683966597,0.818228614145,0.921415262001,0.835107088955,0.82981936609,0.820529962658,0.921671671672,0.875042735043
Maximum Pairwise P-Distance,0.90625,0.916666666667,0.928571428571,0.704225352113,0.937888198758,0.956043956044,0.850877192982,0.916666666667,0.7265625,0.895833333333,0.804469273743,0.879310344828,0.936170212766,0.677419354839,0.802083333333,0.947368421053,0.827433628319,0.914285714286,0.885057471264,0.898550724638,0.76862745098,0.896739130435,0.891304347826,0.885,0.891472868217,0.77,0.928571428571,0.881355932203,0.892857142857,0.911111111111,0.873303167421,0.880597014925,0.888888888889,0.836363636364,0.908163265306,0.885245901639,0.939393939394,0.907894736842,0.879396984925,0.88,0.857142857143,0.853107344633,0.815789473684,0.713826366559,0.639705882353,0.869318181818,0.934426229508,0.935779816514,0.942028985507,0.833333333333,0.883928571429,0.811764705882,0.88679245283,0.864768683274,0.822033898305,0.917948717949,0.907894736842,0.89,0.95652173913,0.931506849315,0.832618025751,0.893617021277,0.954022988506,0.676092544987,0.637795275591,0.897297297297,0.972222222222,0.787610619469,0.904761904762,0.941176470588,0.941747572816,0.792207792208,0.904761904762,0.688461538462,0.833333333333,0.931818181818,0.904109589041,0.899253731343,0.921348314607,0.6875,0.918699186992,0.950819672131,0.847826086957,0.866666666667,0.9,0.871794871795,0.90625,0.857142857143,0.913461538462,0.60396039604,0.891304347826,0.975609756098,0.820512820513,0.860655737705,0.836257309942,0.918918918919,0.834782608696,0.781065088757,1.0,0.785714285714,0.794117647059,0.879194630872,0.928571428571,0.859154929577,0.903225806452,0.867469879518,0.961165048544,0.810810810811,0.888888888889,0.959183673469,0.957746478873,0.913793103448,0.65671641791,0.913793103448,0.937984496124,0.865546218487,0.96875,0.952941176471,0.8984375,0.848275862069,0.962264150943,0.851851851852,0.931818181818,0.938596491228,0.925531914894,0.90243902439,0.890052356021,0.888888888889,0.96,0.954954954955,0.6625,0.913580246914,0.881578947368,0.924050632911,0.840579710145,0.965909090909,0.918367346939,0.95,0.945205479452,0.821138211382,0.826086956522,0.916666666667,0.833333333333,0.876923076923,0.794871794872,0.934782608696,0.894117647059,0.922330097087,0.833333333333,0.887573964497,0.953125,0.918032786885,0.926315789474,0.923076923077,0.801169590643,0.880208333333,0.895287958115,0.892655367232,0.837837837838,0.9,0.952380952381,0.915789473684,0.926470588235,0.941176470588,0.942028985507,0.917355371901,0.845528455285,0.918367346939,0.884353741497,0.824242424242,0.850241545894,0.919540229885,0.913043478261,0.90990990991,0.805970149254,0.931818181818,0.958333333333,0.823529411765,0.864406779661,0.834101382488,0.918918918919,0.95652173913,0.921348314607,0.939393939394,0.92700729927,0.959459459459,0.92
Number of Sequences,3.0,8.0,7.0,3.0,6.0,3.0,3.0,4.0,3.0,9.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,7.0,6.0,11.0,4.0,4.0,3.0,7.0,5.0,3.0,5.0,6.0,3.0,8.0,4.0,8.0,5.0,5.0,3.0,11.0,6.0,3.0,4.0,5.0,8.0,5.0,4.0,4.0,4.0,5.0,3.0,7.0,3.0,5.0,8.0,6.0,7.0,5.0,5.0,6.0,6.0,4.0,8.0,6.0,4.0,5.0,5.0,3.0,5.0,4.0,6.0,3.0,11.0,6.0,5.0,4.0,8.0,5.0,4.0,10.0,6.0,3.0,4.0,4.0,7.0,10.0,3.0,7.0,3.0,7.0,5.0,4.0,7.0,3.0,7.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,6.0,5.0,11.0,4.0,3.0,3.0,3.0,8.0,4.0,5.0,8.0,4.0,3.0,7.0,8.0,6.0,5.0,4.0,4.0,9.0,4.0,4.0,7.0,15.0,10.0,6.0,3.0,3.0,3.0,7.0,11.0,11.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,11.0,6.0,5.0,3.0,6.0,7.0,4.0,3.0,4.0,6.0,9.0,3.0,3.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,7.0,7.0,3.0,3.0,3.0,4.0,4.0,7.0,6.0,3.0,4.0,7.0,6.0,3.0,3.0
Reference Length,126.0,191.0,73.0,124.0,391.0,283.0,555.0,113.0,329.0,228.0,238.0,111.0,176.0,83.0,162.0,189.0,1011.0,537.0,473.0,269.0,333.0,481.0,77.0,350.0,549.0,139.0,80.0,135.0,176.0,216.0,471.0,239.0,332.0,270.0,223.0,130.0,213.0,149.0,517.0,170.0,321.0,346.0,98.0,373.0,165.0,378.0,255.0,365.0,211.0,124.0,275.0,145.0,141.0,518.0,144.0,327.0,132.0,198.0,324.0,285.0,324.0,125.0,262.0,562.0,199.0,660.0,424.0,186.0,411.0,143.0,250.0,223.0,313.0,330.0,184.0,334.0,418.0,546.0,156.0,105.0,329.0,122.0,82.0,246.0,249.0,280.0,149.0,285.0,136.0,165.0,369.0,165.0,123.0,223.0,411.0,251.0,149.0,296.0,289.0,165.0,521.0,345.0,378.0,160.0,86.0,201.0,236.0,144.0,135.0,188.0,190.0,169.0,187.0,455.0,359.0,236.0,159.0,229.0,372.0,864.0,105.0,215.0,72.0,253.0,313.0,155.0,453.0,136.0,141.0,267.0,276.0,197.0,711.0,131.0,354.0,209.0,87.0,287.0,254.0,246.0,179.0,253.0,234.0,447.0,149.0,126.0,171.0,240.0,222.0,319.0,156.0,458.0,281.0,490.0,266.0,587.0,265.0,454.0,103.0,145.0,108.0,466.0,163.0,364.0,170.0,287.0,243.0,165.0,470.0,651.0,365.0,161.0,315.0,348.0,181.0,266.0,169.0,128.0,111.0,369.0,159.0,180.0,241.0,168.0,442.0,283.0,160.0
