Statistics,TL079,SF263,SF185,SF175,SF032,SF117,SF108,TL272,SF038,SF077,SF270,SF061,TL332,SF174,SF296,SF252,SF135,SF144,SF129,SF188,SF227,SF098,TL567,SF055,SF058,SF273,TL239,SF168,SF123,SF066,SF244,SF133,SF064,SF173,SF221,SF172,SF150,TL028,SF190,SF121,SF102,SF099,SF081,SF222,SF268,SF303,TL788,SF285,TL639,SF261,SF271,SF120,SF192,SF151,SF257,SF183,SF001,SF217,SF266,SF142,SF255,SF180,SF145,SF110,SF137,SF210,SF097,SF253,SF087,SF047,SF294,SF224,SF065,SF103,SF207,SF161,SF292,SF274,SF170,SF025,SF215,SF318,TL306,SF013,SF237,SF134,SF019,SF275,SF208,SF154,SF279,TL436,SF300,TL587,SF075,TL526,SF295,SF241,TL008,SF281,SF203,SF091,TL553,SF026,SF238,SF264,SF153,SF313,TL548,TL443,TL258,SF256,SF018,SF139,SF009,SF197,TL142,SF057,SF299,SF163,TL568,SF202,SF184,SF260,SF187,SF199,SF307,SF039,SF008,SF156,SF181,TL413,SF248,SF213,SF131,SF119,TL704,TL366,TL657,SF068,SF015,SF096,SF051,SF027,SF251,SF088,TL346,SF212,SF071,SF178,TL379,SF043,SF093,SF092,SF191,SF160,SF304,SF311,SF223,TL722,TL473,SF229,SF118,TL327,TL026,SF291,SF141,SF243,SF283,SF316,SF245,SF028,SF086,SF049,SF194,TL347,TL001,SF239,SF072,SF269,SF022,TL046,SF165,SF082,SF200,TL400,TL167
1-SPFP,0.1875,0.0320247933884,0.829931972789,0.73828125,0.026443980515,0.46017699115,0.0544488711819,0.552380952381,0.793854033291,0.0333508403361,0.876762402089,0.661466458658,0.258064516129,0.94387755102,0.46218487395,0.481238273921,0.0198881292728,0.0136351240796,0.0126622348845,0.058814448904,0.813065976714,0.219718309859,0.269461077844,0.06110693714,0.00510464522716,0.852664576803,0.0406320541761,0.683316683317,0.0922693266833,0.0356424259845,0.43535988819,0.0345125107852,0.494633273703,0.510690789474,0.110236220472,0.0825900231252,0.0237892948173,0.0787671232877,0.501328021248,0.550405561993,0.028314028314,0.662471395881,0.818574514039,0.962785752259,0.930572472594,0.0347779561263,0.00263157894737,0.0441852244609,0.00609756097561,0.797080291971,0.0476891374742,0.727077363897,0.789772727273,0.0172802404207,0.826666666667,0.036005939124,0.534210526316,0.493939393939,0.0341442594964,0.546009594418,0.737092391304,0.642507345739,0.0450928381963,0.878710771841,0.956011730205,0.0564692982456,0.0155239327296,0.713826366559,0.0334990840094,0.0424646128226,0.049953746531,0.864945382324,0.0511559272012,0.0432456531431,0.771986970684,0.034336583298,0.0135396518375,0.0193236714976,0.304777594728,0.929674099485,0.0224550898204,0.0655806182122,0.490566037736,0.643695014663,0.287610619469,0.612876935615,0.303733602422,0.303112313938,0.814387211368,0.928802588997,0.0354430379747,0.223427331887,0.855835240275,0.573059360731,0.488653555219,0.0698198198198,0.733333333333,0.768545994065,0.0,0.686084142395,0.0278072033898,0.277044854881,0.0,0.403416557162,0.757442116869,0.740849194729,0.0673216885007,0.56,0.460905349794,0.140957446809,0.0138408304498,0.602329450915,0.827058823529,0.0413824465666,0.0254165489975,0.502917152859,0.110687022901,0.602137767221,0.0381526104418,0.0183802412407,0.056862745098,0.00920810313076,0.815217391304,0.0497318381277,0.431578947368,0.479923518164,0.0271506144613,0.0819759206799,0.0762564991334,0.0500844119302,0.634545454545,0.0431893687708,0.00513347022587,0.582474226804,0.0188550658791,0.0702895509862,0.23125,0.00512820512821,0.0,0.653361344538,0.682170542636,0.297157622739,0.560606060606,0.0389791183295,0.555555555556,0.427609427609,0.374558303887,0.0252964426877,0.513513513514,0.501557632399,0.0622317596567,0.0217889908257,0.039258058707,0.0306006800151,0.76354679803,0.167067307692,0.128625042648,0.0222341280471,0.863636363636,0.808383233533,0.443438914027,0.019312009656,0.0619565217391,0.0,0.0540540540541,0.061555075594,0.0427995971803,0.605021432945,0.0529706513958,0.0414719626168,0.631246712257,0.166969147005,0.0379473911169,0.0194850382742,0.632794457275,0.113157894737,0.0538720538721,0.739130434783,0.742788461538,0.0438264738598,0.368233618234,0.0467625899281,0.218055555556,0.0328358208955,0.0146986771191,0.0,0.0468085106383
1-SPFN,0.221052631579,0.0298795180723,0.851162790698,0.825327510917,0.0277271068953,0.472727272727,0.0544488711819,0.668587896254,0.824468085106,0.0331939362258,0.906587473002,0.687196110211,0.370860927152,0.984042553191,0.532258064516,0.519230769231,0.0341151385928,0.0155183116077,0.0118835412953,0.0507391130643,0.830250990753,0.254693877551,0.304054054054,0.0578062070599,0.0061387354205,0.90365448505,0.0430622009569,0.74428726877,0.10632183908,0.0338335607094,0.466666666667,0.0363636363636,0.512987012987,0.5390625,0.132911392405,0.0767813267813,0.0260950605778,0.094262295082,0.549490538574,0.616883116883,0.0281060364101,0.698431845597,0.818574514039,0.968449197861,0.928311057108,0.0396341463415,0.00478468899522,0.0421300977418,0.00943396226415,0.800586510264,0.0460750853242,0.75073964497,0.805019305019,0.0162143108918,0.828738512949,0.0335756317065,0.525452976704,0.550675675676,0.0334029227557,0.562443845463,0.763009845288,0.660624370594,0.0490384615385,0.90480349345,0.958823529412,0.0693135935397,0.0190577024881,0.683076923077,0.0278684955367,0.0422185430464,0.0517737296261,0.917808219178,0.0564450474898,0.039479039479,0.786504424779,0.0374479889043,0.0151580770896,0.0245098039216,0.351711026616,0.937716262976,0.0212615166549,0.0614962788876,0.573529411765,0.69941582581,0.36312849162,0.664310954064,0.325757575758,0.395759717314,0.833257610177,0.931818181818,0.0296430732002,0.240654205607,0.916666666667,0.664021164021,0.556416881998,0.0925373134328,0.765217391304,0.916814159292,0.0,0.834645669291,0.0257416033342,0.32541322314,0.0,0.446870451237,0.785142857143,0.610373944511,0.0646288209607,0.625,0.598930481283,0.167721518987,0.0183486238532,0.624137931034,0.888748419722,0.0462398373984,0.0230355771692,0.569352708058,0.133640552995,0.691363636364,0.0380979661988,0.0225114315864,0.0547169811321,0.010101010101,0.865384615385,0.048606147248,0.465153970827,0.511201629328,0.0237618809405,0.0700347905007,0.0674846625767,0.0500281056773,0.888040712468,0.0515873015873,0.00673854447439,0.613019891501,0.0169491525424,0.069315125181,0.258741258741,0.00836820083682,0.0,0.69730941704,0.739495798319,0.342261904762,0.610406091371,0.0419790104948,0.669642857143,0.456834532374,0.432653061224,0.0276577355229,0.555056179775,0.555172413793,0.0792349726776,0.0255720053836,0.0359202504531,0.0311658330127,0.789920724802,0.230897009967,0.123081945805,0.022210329141,0.874476987448,0.9,0.47572815534,0.020311012377,0.0632864544782,0.0,0.0721649484536,0.0617997831587,0.0389194139194,0.647868852459,0.0529896168994,0.0388084176004,0.651819663227,0.185110663984,0.0413339596054,0.0195941217635,0.669926650367,0.156934306569,0.0720720720721,0.804924242424,0.819628647215,0.04049331963,0.401397515528,0.0577777777778,0.266101694915,0.0330827067669,0.0123456790123,0.0,0.0733333333333
SP-Score,0.204276315789,0.0309521557304,0.840547381743,0.781804380459,0.0270855437051,0.466452131939,0.0544488711819,0.610484424317,0.809161059199,0.033272388281,0.891674937545,0.674331284435,0.314462721641,0.963960052106,0.497221469233,0.500234521576,0.0270016339328,0.0145767178437,0.0122728880899,0.0547767809842,0.821658483734,0.237206093705,0.286757565949,0.0594565721,0.00562169032383,0.878159530926,0.0418471275665,0.713801976044,0.0992955828819,0.0347379933469,0.451013277428,0.0354380735744,0.503810143345,0.524876644737,0.121573806439,0.0796856749533,0.0249421776976,0.0865147091848,0.525409279911,0.583644339438,0.0282100323621,0.680451620739,0.818574514039,0.96561747506,0.929441764851,0.0372060512339,0.00370813397129,0.0431576611014,0.00776576161988,0.798833401117,0.0468821113992,0.738908504434,0.797396016146,0.0167472756563,0.827702589808,0.0347907854152,0.52983175151,0.522307534808,0.0337735911261,0.55422671994,0.750051118296,0.651565858167,0.0470656498674,0.891757132645,0.957417629809,0.0628914458927,0.0172908176089,0.698451644818,0.0306837897731,0.0423415779345,0.0508637380785,0.891376800751,0.0538004873455,0.0413623463111,0.779245697731,0.0358922861012,0.0143488644636,0.0219167377096,0.328244310672,0.933695181231,0.0218583032376,0.0635384485499,0.53204772475,0.671555420236,0.325369555545,0.638593944839,0.31474558909,0.349436015626,0.823822410772,0.930310385407,0.0325430555875,0.232040768747,0.886250953471,0.618540262376,0.522535218609,0.0811785666263,0.749275362319,0.842680076679,0.0,0.760364905843,0.026774403362,0.301229039011,0.0,0.425143504199,0.771292487006,0.67561156962,0.0659752547307,0.5925,0.529917915539,0.154339482898,0.0160947271515,0.613233690975,0.857903621626,0.0438111419825,0.0242260630833,0.536134930458,0.122163787948,0.646750701792,0.0381252883203,0.0204458364135,0.0557898631151,0.00965455661588,0.840301003344,0.0491689926879,0.448366459098,0.495562573746,0.0254562477009,0.0760053555903,0.0718705808551,0.0500562588038,0.761293083507,0.047388335179,0.00593600735013,0.597747059153,0.0179021092108,0.0698023380836,0.244995629371,0.00674820298251,0.0,0.675335380789,0.710833170477,0.31970976375,0.585506075988,0.0404790644121,0.612599206349,0.442221979992,0.403605682556,0.0264770891053,0.534284846644,0.528365023096,0.0707333661671,0.0236804981046,0.0375891545801,0.0308832565139,0.776733761416,0.19898215883,0.125853494226,0.0222222285941,0.869056675542,0.854191616766,0.459583534683,0.0198115110165,0.0626214881086,0.0,0.0631095012538,0.0616774293763,0.0408595055498,0.626445142702,0.0529801341476,0.0401401901086,0.641533187742,0.176039905495,0.0396406753612,0.0195395800188,0.651360553821,0.135046100653,0.0629720629721,0.772027338603,0.781208554377,0.0421598967449,0.384815566881,0.0522701838529,0.242078625235,0.0329592638312,0.0135221780657,0.0,0.0600709219858
TC,0.125,0.0,0.480769230769,0.609195402299,0.0,0.341085271318,0.0,0.405797101449,0.702205882353,0.0,0.725581395349,0.44,0.169491525424,0.953125,0.254237288136,0.216,0.00614754098361,0.0,0.0,0.0,0.671532846715,0.0905797101449,0.0,0.0,0.0,0.803738317757,0.0,0.383720930233,0.0,0.0,0.279850746269,0.0,0.0643939393939,0.196428571429,0.0241935483871,0.0,0.0,0.031914893617,0.320557491289,0.333333333333,0.0,0.383495145631,0.607142857143,0.929936305732,0.868055555556,0.0,0.0,0.0,0.0,0.493333333333,0.0,0.413793103448,0.455882352941,0.0,0.560606060606,0.0,0.123595505618,0.409448818898,0.0,0.300925925926,0.490566037736,0.366666666667,0.0,0.829573934837,0.881578947368,0.0,0.0,0.530973451327,0.0,0.0,0.0,0.816568047337,0.0,0.0,0.488095238095,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.388888888889,0.296875,0.0,0.269461077844,0.0,0.165517241379,0.455284552846,0.858490566038,0.0,0.0,0.709677419355,0.5,0.262357414449,0.008,0.608,0.674008810573,0.0,0.777777777778,0.0,0.0521739130435,0.0,0.234782608696,0.506493506494,0.318681318681,0.0,0.349397590361,0.46835443038,0.0,0.0,0.291139240506,0.701388888889,0.0,0.0,0.208053691275,0.0,0.0697674418605,0.0,0.004158004158,0.0,0.0,0.673469387755,0.0,0.21768707483,0.054347826087,0.0,0.0,0.0,0.00534759358289,0.645962732919,0.0108695652174,0.0,0.245283018868,0.0,0.0,0.142857142857,0.0,0.0,0.460396039604,0.55905511811,0.154761904762,0.340425531915,0.0,0.415730337079,0.285714285714,0.186813186813,0.0,0.40251572327,0.0627802690583,0.0,0.0,0.0,0.0,0.531400966184,0.176724137931,0.0,0.0,0.697916666667,0.826923076923,0.0779220779221,0.0,0.0,0.0,0.0,0.0,0.0,0.218045112782,0.0,0.0,0.313559322034,0.0909090909091,0.0,0.0,0.51724137931,0.0377358490566,0.0,0.514563106796,0.5375,0.0,0.0,0.0114942528736,0.046875,0.0,0.0,0.0,0.0
Modeler,0.1875,0.0320247933884,0.829931972789,0.73828125,0.026443980515,0.46017699115,0.0544488711819,0.552380952381,0.793854033291,0.0333508403361,0.876762402089,0.661466458658,0.258064516129,0.94387755102,0.46218487395,0.481238273921,0.0198881292728,0.0136351240796,0.0126622348845,0.058814448904,0.813065976714,0.219718309859,0.269461077844,0.06110693714,0.00510464522716,0.852664576803,0.0406320541761,0.683316683317,0.0922693266833,0.0356424259845,0.43535988819,0.0345125107852,0.494633273703,0.510690789474,0.110236220472,0.0825900231252,0.0237892948173,0.0787671232877,0.501328021248,0.550405561993,0.028314028314,0.662471395881,0.818574514039,0.962785752259,0.930572472594,0.0347779561263,0.00263157894737,0.0441852244609,0.00609756097561,0.797080291971,0.0476891374742,0.727077363897,0.789772727273,0.0172802404207,0.826666666667,0.036005939124,0.534210526316,0.493939393939,0.0341442594964,0.546009594418,0.737092391304,0.642507345739,0.0450928381963,0.878710771841,0.956011730205,0.0564692982456,0.0155239327296,0.713826366559,0.0334990840094,0.0424646128226,0.049953746531,0.864945382324,0.0511559272012,0.0432456531431,0.771986970684,0.034336583298,0.0135396518375,0.0193236714976,0.304777594728,0.929674099485,0.0224550898204,0.0655806182122,0.490566037736,0.643695014663,0.287610619469,0.612876935615,0.303733602422,0.303112313938,0.814387211368,0.928802588997,0.0354430379747,0.223427331887,0.855835240275,0.573059360731,0.488653555219,0.0698198198198,0.733333333333,0.768545994065,0.0,0.686084142395,0.0278072033898,0.277044854881,0.0,0.403416557162,0.757442116869,0.740849194729,0.0673216885007,0.56,0.460905349794,0.140957446809,0.0138408304498,0.602329450915,0.827058823529,0.0413824465666,0.0254165489975,0.502917152859,0.110687022901,0.602137767221,0.0381526104418,0.0183802412407,0.056862745098,0.00920810313076,0.815217391304,0.0497318381277,0.431578947368,0.479923518164,0.0271506144613,0.0819759206799,0.0762564991334,0.0500844119302,0.634545454545,0.0431893687708,0.00513347022587,0.582474226804,0.0188550658791,0.0702895509862,0.23125,0.00512820512821,0.0,0.653361344538,0.682170542636,0.297157622739,0.560606060606,0.0389791183295,0.555555555556,0.427609427609,0.374558303887,0.0252964426877,0.513513513514,0.501557632399,0.0622317596567,0.0217889908257,0.039258058707,0.0306006800151,0.76354679803,0.167067307692,0.128625042648,0.0222341280471,0.863636363636,0.808383233533,0.443438914027,0.019312009656,0.0619565217391,0.0,0.0540540540541,0.061555075594,0.0427995971803,0.605021432945,0.0529706513958,0.0414719626168,0.631246712257,0.166969147005,0.0379473911169,0.0194850382742,0.632794457275,0.113157894737,0.0538720538721,0.739130434783,0.742788461538,0.0438264738598,0.368233618234,0.0467625899281,0.218055555556,0.0328358208955,0.0146986771191,0.0,0.0468085106383
Compression,0.785714285714,0.659685863874,0.835616438356,0.862903225806,0.762148337596,0.971731448763,0.981981981982,0.690265486726,0.957446808511,0.732456140351,0.928571428571,0.873873873874,0.710227272727,0.903614457831,0.83950617284,0.756613756614,0.608308605341,0.540037243948,0.835095137421,0.75092936803,0.942942942943,0.756756756757,0.844155844156,0.837142857143,0.626593806922,0.884892086331,0.7625,0.785185185185,0.835227272727,0.824074074074,0.851380042463,0.594142259414,0.89156626506,0.833333333333,0.807174887892,0.653846153846,0.671361502347,0.778523489933,0.860735009671,0.817647058824,0.595015576324,0.797687861272,0.989795918367,0.986595174263,1.00606060606,0.685185185185,0.564705882353,0.761643835616,0.625592417062,0.903225806452,0.727272727273,0.910344827586,0.886524822695,0.833976833977,0.965277777778,0.844036697248,0.909090909091,0.863636363636,0.725308641975,0.891228070175,0.913580246914,0.96,0.75572519084,0.950177935943,0.989949748744,0.7,0.549528301887,1.02150537634,0.535279805353,0.783216783217,0.712,0.85201793722,0.648562300319,0.990909090909,0.945652173913,0.532934131737,0.662679425837,0.725274725275,0.782051282051,0.980952380952,0.744680851064,0.696721311475,0.817073170732,0.731707317073,0.787148594378,0.767857142857,0.825503355705,0.659649122807,0.941176470588,0.993939393939,0.826558265583,0.830303030303,0.821138211382,0.816143497758,0.783454987835,0.701195219124,0.926174496644,0.807432432432,0.508650519031,0.781818181818,0.965451055662,0.750724637681,0.547619047619,0.83125,0.883720930233,0.970149253731,0.665254237288,0.791666666667,0.733333333333,0.787234042553,0.715789473684,0.822485207101,0.855614973262,0.738461538462,0.732590529248,0.805084745763,0.805031446541,0.733624454148,0.650537634409,0.578703703704,0.809523809524,0.716279069767,0.875,0.675889328063,0.94249201278,0.793548387097,0.726269315673,0.720588235294,0.765957446809,0.749063670412,0.673913043478,0.746192893401,0.728551336146,0.854961832061,0.567796610169,0.622009569378,0.827586206897,0.623693379791,0.708661417323,0.922764227642,0.899441340782,0.833992094862,0.884615384615,0.729306487696,0.704697986577,0.880952380952,0.842105263158,0.720833333333,0.873873873874,0.846394984326,0.647435897436,0.694323144105,0.651245551601,0.64693877551,0.902255639098,0.700170357751,0.932075471698,0.669603524229,0.961165048544,0.848275862069,0.861111111111,0.721030042918,0.656441717791,0.601648351648,0.711764705882,0.696864111498,0.917695473251,0.854545454545,0.778723404255,0.867895545315,0.901369863014,0.757763975155,0.590476190476,0.683908045977,0.906077348066,0.725563909774,0.686390532544,0.8515625,0.864864864865,0.845528455285,0.792452830189,0.783333333333,0.717842323651,0.64880952381,0.929864253394,0.526501766784,0.64375
Average Pairwise P-Distance,0.869500484864,0.830240634165,0.778929961678,0.632431818956,0.815565714707,0.818241190334,0.819956140351,0.864721494374,0.686902947154,0.763470643488,0.748275757806,0.791706587947,0.869749045281,0.648857526882,0.716047482211,0.853372513515,0.781737597462,0.792134176935,0.755606038075,0.748222392735,0.725282838924,0.8393968564,0.826513213981,0.75917552022,0.830959258849,0.675496334456,0.854173943848,0.785510949381,0.854275898394,0.800020015902,0.798441233315,0.795348288758,0.810371511644,0.758717665415,0.848936272622,0.727399954706,0.84117680765,0.865119761969,0.808509889006,0.769726231989,0.762812643359,0.817934048516,0.722416042023,0.621102044874,0.579843410852,0.797863831305,0.892845926763,0.838317775627,0.91598119859,0.733789594889,0.771097840703,0.720190850616,0.732426502772,0.810364159278,0.701416138338,0.856992819553,0.845617184273,0.829384423346,0.872637504629,0.830256266678,0.722565440429,0.838046287507,0.815710778137,0.646084378966,0.562589394874,0.850158970031,0.81292432681,0.737379640452,0.765045442658,0.70970707186,0.872972710439,0.694992576035,0.812831963394,0.624301992431,0.750756748905,0.840998400283,0.838483570419,0.891191658565,0.838723820722,0.616068871707,0.813677097742,0.856286473107,0.831027667984,0.76715550631,0.814361001318,0.800924685342,0.837019396336,0.781586928582,0.817788023026,0.565559160958,0.804869235778,0.864719437303,0.690983337249,0.852134512764,0.774338051894,0.893607893608,0.753260869565,0.719224425297,0.967276422764,0.759040755992,0.723837880142,0.821377516887,0.890007205541,0.784176558601,0.795503621599,0.754258899249,0.884605842884,0.749480144348,0.8129395218,0.916013243626,0.922297080024,0.801795415885,0.615466523602,0.814422013592,0.825768273158,0.824250130972,0.902171555016,0.782015544893,0.841541017971,0.781245719678,0.913054893785,0.807183041015,0.858561252669,0.818052168694,0.880344535105,0.756645321615,0.74696985449,0.773549674471,0.871988444892,0.886282856643,0.624311081639,0.893263639076,0.869448525196,0.833903705436,0.73233924771,0.892102073805,0.880590534086,0.900158730159,0.9298325109,0.746382113821,0.718155882689,0.854911180773,0.736454024274,0.800245106672,0.740567708033,0.856922602529,0.852240392954,0.845692567758,0.795230788902,0.72413100465,0.884270334182,0.840079217461,0.828496524325,0.842436907897,0.751315502523,0.852583504875,0.728952254808,0.837572243464,0.750037012096,0.853421368547,0.872143572144,0.767366493491,0.751939896246,0.888970300223,0.938006930994,0.798769006994,0.716564943831,0.787105769092,0.812432058982,0.768021707351,0.796293459073,0.851608540268,0.808176326615,0.784334533193,0.702223149984,0.895096801347,0.90182946104,0.723936433557,0.783952404347,0.731683966597,0.818228614145,0.921415262001,0.835107088955,0.82981936609,0.820529962658,0.921671671672,0.875042735043
Maximum Pairwise P-Distance,0.90625,0.916666666667,0.928571428571,0.704225352113,0.937888198758,0.956043956044,0.850877192982,0.916666666667,0.7265625,0.895833333333,0.804469273743,0.879310344828,0.936170212766,0.677419354839,0.802083333333,0.947368421053,0.827433628319,0.914285714286,0.885057471264,0.898550724638,0.76862745098,0.896739130435,0.891304347826,0.885,0.891472868217,0.77,0.928571428571,0.881355932203,0.892857142857,0.911111111111,0.873303167421,0.880597014925,0.888888888889,0.836363636364,0.908163265306,0.885245901639,0.939393939394,0.907894736842,0.879396984925,0.88,0.857142857143,0.853107344633,0.815789473684,0.713826366559,0.639705882353,0.869318181818,0.934426229508,0.935779816514,0.942028985507,0.833333333333,0.883928571429,0.811764705882,0.88679245283,0.864768683274,0.822033898305,0.917948717949,0.907894736842,0.89,0.95652173913,0.931506849315,0.832618025751,0.893617021277,0.954022988506,0.676092544987,0.637795275591,0.897297297297,0.972222222222,0.787610619469,0.904761904762,0.941176470588,0.941747572816,0.792207792208,0.904761904762,0.688461538462,0.833333333333,0.931818181818,0.904109589041,0.899253731343,0.921348314607,0.6875,0.918699186992,0.950819672131,0.847826086957,0.866666666667,0.9,0.871794871795,0.90625,0.857142857143,0.913461538462,0.60396039604,0.891304347826,0.975609756098,0.820512820513,0.860655737705,0.836257309942,0.918918918919,0.834782608696,0.781065088757,1.0,0.785714285714,0.794117647059,0.879194630872,0.928571428571,0.859154929577,0.903225806452,0.867469879518,0.961165048544,0.810810810811,0.888888888889,0.959183673469,0.957746478873,0.913793103448,0.65671641791,0.913793103448,0.937984496124,0.865546218487,0.96875,0.952941176471,0.8984375,0.848275862069,0.962264150943,0.851851851852,0.931818181818,0.938596491228,0.925531914894,0.90243902439,0.890052356021,0.888888888889,0.96,0.954954954955,0.6625,0.913580246914,0.881578947368,0.924050632911,0.840579710145,0.965909090909,0.918367346939,0.95,0.945205479452,0.821138211382,0.826086956522,0.916666666667,0.833333333333,0.876923076923,0.794871794872,0.934782608696,0.894117647059,0.922330097087,0.833333333333,0.887573964497,0.953125,0.918032786885,0.926315789474,0.923076923077,0.801169590643,0.880208333333,0.895287958115,0.892655367232,0.837837837838,0.9,0.952380952381,0.915789473684,0.926470588235,0.941176470588,0.942028985507,0.917355371901,0.845528455285,0.918367346939,0.884353741497,0.824242424242,0.850241545894,0.919540229885,0.913043478261,0.90990990991,0.805970149254,0.931818181818,0.958333333333,0.823529411765,0.864406779661,0.834101382488,0.918918918919,0.95652173913,0.921348314607,0.939393939394,0.92700729927,0.959459459459,0.92
Number of Sequences,3.0,8.0,7.0,3.0,6.0,3.0,3.0,4.0,3.0,9.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,7.0,6.0,11.0,4.0,4.0,3.0,7.0,5.0,3.0,5.0,6.0,3.0,8.0,4.0,8.0,5.0,5.0,3.0,11.0,6.0,3.0,4.0,5.0,8.0,5.0,4.0,4.0,4.0,5.0,3.0,7.0,3.0,5.0,8.0,6.0,7.0,5.0,5.0,6.0,6.0,4.0,8.0,6.0,4.0,5.0,5.0,3.0,5.0,4.0,6.0,3.0,11.0,6.0,5.0,4.0,8.0,5.0,4.0,10.0,6.0,3.0,4.0,4.0,7.0,10.0,3.0,7.0,3.0,7.0,5.0,4.0,7.0,3.0,7.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,6.0,5.0,11.0,4.0,3.0,3.0,3.0,8.0,4.0,5.0,8.0,4.0,3.0,7.0,8.0,6.0,5.0,4.0,4.0,9.0,4.0,4.0,7.0,15.0,10.0,6.0,3.0,3.0,3.0,7.0,11.0,11.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,11.0,6.0,5.0,3.0,6.0,7.0,4.0,3.0,4.0,6.0,9.0,3.0,3.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,7.0,7.0,3.0,3.0,3.0,4.0,4.0,7.0,6.0,3.0,4.0,7.0,6.0,3.0,3.0
Reference Length,126.0,191.0,73.0,124.0,391.0,283.0,555.0,113.0,329.0,228.0,238.0,111.0,176.0,83.0,162.0,189.0,1011.0,537.0,473.0,269.0,333.0,481.0,77.0,350.0,549.0,139.0,80.0,135.0,176.0,216.0,471.0,239.0,332.0,270.0,223.0,130.0,213.0,149.0,517.0,170.0,321.0,346.0,98.0,373.0,165.0,378.0,255.0,365.0,211.0,124.0,275.0,145.0,141.0,518.0,144.0,327.0,132.0,198.0,324.0,285.0,324.0,125.0,262.0,562.0,199.0,660.0,424.0,186.0,411.0,143.0,250.0,223.0,313.0,330.0,184.0,334.0,418.0,546.0,156.0,105.0,329.0,122.0,82.0,246.0,249.0,280.0,149.0,285.0,136.0,165.0,369.0,165.0,123.0,223.0,411.0,251.0,149.0,296.0,289.0,165.0,521.0,345.0,378.0,160.0,86.0,201.0,236.0,144.0,135.0,188.0,190.0,169.0,187.0,455.0,359.0,236.0,159.0,229.0,372.0,864.0,105.0,215.0,72.0,253.0,313.0,155.0,453.0,136.0,141.0,267.0,276.0,197.0,711.0,131.0,354.0,209.0,87.0,287.0,254.0,246.0,179.0,253.0,234.0,447.0,149.0,126.0,171.0,240.0,222.0,319.0,156.0,458.0,281.0,490.0,266.0,587.0,265.0,454.0,103.0,145.0,108.0,466.0,163.0,364.0,170.0,287.0,243.0,165.0,470.0,651.0,365.0,161.0,315.0,348.0,181.0,266.0,169.0,128.0,111.0,369.0,159.0,180.0,241.0,168.0,442.0,283.0,160.0
