Statistics,TL079,SF263,SF185,SF175,SF032,SF117,SF108,TL272,SF038,SF077,SF270,SF061,TL332,SF174,SF296,SF252,SF135,SF144,SF129,SF188,SF227,SF098,TL567,SF055,SF058,SF273,TL239,SF168,SF123,SF066,SF244,SF133,SF064,SF173,SF221,SF172,SF150,TL028,SF190,SF121,SF102,SF099,SF081,SF222,SF268,SF303,TL788,SF285,TL639,SF261,SF271,SF120,SF192,SF151,SF257,SF183,SF001,SF217,SF266,SF142,SF255,SF180,SF145,SF110,SF137,SF210,SF097,SF253,SF087,SF047,SF294,SF224,SF065,SF103,SF207,SF161,SF292,SF274,SF170,SF025,SF215,SF318,TL306,SF013,SF237,SF134,SF019,SF275,SF208,SF154,SF279,TL436,SF300,TL587,SF075,TL526,SF295,SF241,TL008,SF281,SF203,SF091,TL553,SF026,SF238,SF264,SF153,SF313,TL548,TL443,TL258,SF256,SF018,SF139,SF009,SF197,TL142,SF057,SF299,SF163,TL568,SF202,SF184,SF260,SF187,SF199,SF307,SF039,SF008,SF156,SF181,TL413,SF248,SF213,SF131,SF119,TL704,TL366,TL657,SF068,SF015,SF096,SF051,SF027,SF251,SF088,TL346,SF212,SF071,SF178,TL379,SF043,SF093,SF092,SF191,SF160,SF304,SF311,SF223,TL722,TL473,SF229,SF118,TL327,TL026,SF291,SF141,SF243,SF283,SF316,SF245,SF028,SF086,SF049,SF194,TL347,TL001,SF239,SF072,SF269,SF022,TL046,SF165,SF082,SF200,TL400,TL167
1-SPFP,0.0,0.836567164179,0.660598179454,0.819444444444,0.789262820513,0.878923766816,0.0,0.0,0.818306010929,0.686925585532,0.872797356828,0.709125475285,0.0,0.948979591837,0.883928571429,0.87786259542,0.59938366718,0.618401937046,0.796802475503,0.765755716676,0.803301237964,0.910638297872,0.0,0.700982928091,0.788990825688,0.88,0.0,0.76690821256,0.0,0.785815602837,0.719806763285,0.568232662192,0.565817409766,0.810483870968,0.888888888889,0.796145739235,0.854838709677,0.0,0.799325463744,0.89939637827,0.911111111111,0.785973397823,0.903743315508,0.966702470462,0.949320148331,0.881742738589,0.0,0.543952412426,0.0,0.871544715447,0.809444629199,0.785778577858,0.909684439608,0.764898255814,0.849220103986,0.799355358582,1.0,0.847826086957,0.530888030888,0.721274175199,0.761295180723,0.757841907152,0.82,0.929953917051,0.969088098918,0.373745819398,0.716775599129,0.875675675676,0.715919923737,0.890345649583,0.9375,0.90127388535,0.69594997022,0.90308561495,0.895392278954,0.637721755369,0.730934018852,0.0,0.847222222222,0.945017182131,0.84375,0.852631578947,0.0,0.834208990076,0.950819672131,0.767772511848,0.938144329897,0.546134663342,0.892873997168,0.975524475524,0.835316698656,0.891472868217,0.870930232558,0.885245901639,0.763454317897,0.0,0.78313253012,0.770491803279,0.0,0.792,0.890317700454,0.795731707317,0.0,0.52479338843,0.915224913495,0.878640776699,0.642559109875,0.87676056338,1.0,0.0,0.0,0.786982248521,0.852870813397,0.742628992629,0.828326180258,0.7171145686,0.0,0.81524122807,0.511138613861,0.883435582822,0.0,0.502617801047,0.939890710383,0.494925084582,0.993150684932,0.73125,0.807942708333,0.82439793578,0.568095238095,0.976608187135,0.658181818182,0.0,0.0,0.596246973366,0.803033894288,0.470505617978,0.0,0.0,0.0,0.952941176471,0.977272727273,0.902912621359,0.872164948454,0.542669584245,0.572289156627,0.847058823529,0.0,0.836363636364,1.0,0.856972586412,1.0,0.698544698545,0.86821015138,0.510688836105,0.826164874552,1.0,0.762640449438,0.635807860262,0.916256157635,0.901639344262,0.873015873016,0.780162136385,0.848640328374,0.0,0.0,0.911392405063,0.806899856253,0.660087719298,0.915863277826,0.860148514851,0.763543191801,0.0,0.609188882587,0.676393728223,0.720125786164,0.0,0.0,0.82776801406,0.755263157895,0.816892186818,0.738916256158,0.0,0.9,0.859728506787,0.641430073607,0.0,0.0
1-SPFN,0.0,0.540240963855,0.590697674419,0.772925764192,0.359357898577,0.445454545455,0.0,0.0,0.796542553191,0.605593308939,0.855831533477,0.60453808752,0.0,0.989361702128,0.31935483871,0.349190283401,0.414712153518,0.396337678461,0.459001782531,0.731388999867,0.771466314399,0.174693877551,0.0,0.642027955461,0.263965623082,0.87707641196,0.0,0.690968443961,0.0,0.755798090041,0.446441947566,0.461818181818,0.494434137291,0.348958333333,0.0759493670886,0.812039312039,0.197576887232,0.0,0.344978165939,0.580519480519,0.667837751517,0.392038600724,0.730021598272,0.96256684492,0.933171324423,0.259146341463,0.0,0.277384563532,0.0,0.785923753666,0.692263936291,0.645710059172,0.80694980695,0.741980965809,0.818713450292,0.343371408792,0.104400345125,0.197635135135,0.114822546973,0.569631626235,0.710970464135,0.608257804632,0.315384615385,0.881222707424,0.922058823529,0.300807537012,0.174166225516,0.498461538462,0.49052906597,0.618377483444,0.0862895493768,0.894625922023,0.634192672999,0.845746845747,0.795353982301,0.631530282016,0.369423993071,0.0,0.231939163498,0.951557093426,0.315733522325,0.126909518214,0.0,0.758895379713,0.324022346369,0.572438162544,0.0984848484848,0.386925795053,0.859609268514,0.905844155844,0.658197217181,0.268691588785,0.917892156863,0.428571428571,0.52540913006,0.0,0.753623188406,0.915044247788,0.0,0.779527559055,0.865653346408,0.269628099174,0.0,0.369723435226,0.604571428571,0.655006031363,0.0806986899563,0.555803571429,0.502673796791,0.0,0.0,0.611494252874,0.901390644753,0.614329268293,0.246992577425,0.669749009247,0.0,0.675909090909,0.354912632484,0.405205768554,0.0,0.193939393939,0.661538461538,0.243983797951,0.235008103728,0.476578411405,0.620810405203,0.869913780064,0.365950920245,0.0938729623384,0.921119592875,0.0,0.0,0.593731163351,0.69185215438,0.069315125181,0.0,0.0,0.0,0.544843049327,0.481792717087,0.276785714286,0.536802030457,0.371814092954,0.636160714286,0.258992805755,0.0,0.0795159896283,0.0898876404494,0.619827586207,0.068306010929,0.226110363392,0.481957488878,0.165448249327,0.783125707814,0.0647840531561,0.709108716944,0.584426010169,0.778242677824,0.733333333333,0.133495145631,0.519200253888,0.612139156181,0.0,0.0,0.28623057463,0.771062271062,0.592131147541,0.374149659864,0.569827821809,0.566539923954,0.0,0.504462188821,0.543386983905,0.559902200489,0.0,0.0,0.892045454545,0.761273209549,0.76937307297,0.349378881988,0.0,0.167796610169,0.142857142857,0.251028806584,0.0,0.0
SP-Score,0.0,0.688404064017,0.625647926936,0.796185104318,0.574310359545,0.662189156135,0.0,0.0,0.80742428206,0.646259447236,0.864314445153,0.656831781403,0.0,0.969170646982,0.601641705069,0.61352643941,0.507047910349,0.507369807753,0.627902129017,0.748572358271,0.787383776182,0.542666087712,0.0,0.671505441776,0.526478224385,0.87853820598,0.0,0.728938328261,0.0,0.770806846439,0.583124355425,0.515025422005,0.530125773529,0.579721102151,0.482419127989,0.804092525637,0.526207798455,0.0,0.572151814841,0.739957929395,0.789474431314,0.589005999274,0.81688245689,0.964634657691,0.941245736377,0.570444540026,0.0,0.410668487979,0.0,0.828734234556,0.750854282745,0.715744318515,0.858317123279,0.753439610811,0.833966777139,0.571363383687,0.552200172563,0.522730611046,0.32285528893,0.645452900717,0.736132822429,0.683049855892,0.567692307692,0.905588312237,0.945573461224,0.337276678205,0.445470912322,0.687068607069,0.603224494853,0.754361566513,0.511894774688,0.897949903687,0.66507132161,0.874416230348,0.845373130627,0.634626018692,0.550179005961,0.0,0.53958069286,0.948287137778,0.579741761162,0.489770548581,0.0,0.796552184895,0.63742100925,0.670105337196,0.518314589191,0.466530229197,0.876241632841,0.940684315684,0.746756957919,0.580082228501,0.89441119471,0.656908665105,0.644431723979,0.0,0.768377859263,0.842768025533,0.0,0.785763779528,0.877985523431,0.532679903245,0.0,0.447258411828,0.759898171033,0.766823404031,0.361628899916,0.716282067404,0.751336898396,0.0,0.0,0.699238250697,0.877130729075,0.678479130461,0.537659378841,0.693431788923,0.0,0.74557515949,0.433025623172,0.644320675688,0.0,0.348278597493,0.80071458596,0.369454441266,0.61407939433,0.603914205703,0.714376556768,0.847155857922,0.46702307917,0.535240574736,0.789650705529,0.0,0.0,0.594989068359,0.747443024334,0.269910371579,0.0,0.0,0.0,0.748892112899,0.72953272218,0.589849167822,0.704483489455,0.457241838599,0.604224935456,0.553025814642,0.0,0.457939812996,0.544943820225,0.73840008631,0.534153005464,0.462327530968,0.675083820129,0.338068542716,0.804645291183,0.532392026578,0.735874583191,0.610116935215,0.84724941773,0.817486338798,0.503255509323,0.649681195136,0.730389742277,0.0,0.0,0.598811489846,0.788981063658,0.62610943342,0.645006468845,0.71498816833,0.665041557878,0.0,0.556825535704,0.609890356064,0.640013993326,0.0,0.0,0.859906734303,0.758268183722,0.793132629894,0.544147569073,0.0,0.533898305085,0.501292824822,0.446229440096,0.0,0.0
TC,0.0,0.233644859813,0.230769230769,0.586206896552,0.135761589404,0.441860465116,0.0,0.0,0.676470588235,0.17816091954,0.693023255814,0.413333333333,0.0,0.96875,0.110169491525,0.192,0.241803278689,0.076,0.069696969697,0.289940828402,0.591240875912,0.130434782609,0.0,0.314285714286,0.0724637681159,0.785046728972,0.0,0.372093023256,0.0,0.231707317073,0.25,0.0692307692308,0.0606060606061,0.184523809524,0.0,0.405063291139,0.0542635658915,0.0,0.0905923344948,0.480620155039,0.354037267081,0.203883495146,0.547619047619,0.926751592357,0.875,0.167330677291,0.0,0.088,0.0,0.466666666667,0.434782608696,0.396551724138,0.485294117647,0.52802359882,0.598484848485,0.18487394958,0.0,0.125984251969,0.0763358778626,0.310185185185,0.441509433962,0.425,0.0824175824176,0.809523809524,0.763157894737,0.0175,0.106976744186,0.398230088496,0.0939597315436,0.112244897959,0.034965034965,0.792899408284,0.291139240506,0.631944444444,0.577380952381,0.112299465241,0.255319148936,0.0,0.159292035398,0.88,0.0493273542601,0.0,0.0,0.4765625,0.173611111111,0.221556886228,0.00909090909091,0.248275862069,0.528455284553,0.839622641509,0.234309623431,0.0,0.709677419355,0.367647058824,0.372623574144,0.0,0.608,0.678414096916,0.0,0.711111111111,0.692482915718,0.165217391304,0.0,0.35652173913,0.194805194805,0.428571428571,0.0484848484848,0.397590361446,0.405063291139,0.0,0.0,0.291139240506,0.729166666667,0.442196531792,0.0657276995305,0.38255033557,0.0,0.100775193798,0.0663716814159,0.401247401247,0.0,0.0380952380952,0.551020408163,0.0625,0.0952380952381,0.054347826087,0.242424242424,0.368421052632,0.03125,0.192513368984,0.689440993789,0.0,0.0,0.235849056604,0.166666666667,0.0,0.0,0.0,0.0,0.440594059406,0.236220472441,0.166666666667,0.398936170213,0.159468438538,0.370786516854,0.030612244898,0.0,0.0191082802548,0.0188679245283,0.286995515695,0.037037037037,0.265486725664,0.00574712643678,0.0,0.545893719807,0.0560344827586,0.314893617021,0.128676470588,0.645833333333,0.586538461538,0.012987012987,0.337278106509,0.00934579439252,0.0,0.0,0.0402298850575,0.458333333333,0.218045112782,0.272727272727,0.359649122807,0.305084745763,0.0,0.0765306122449,0.171428571429,0.406896551724,0.0,0.0,0.679611650485,0.5,0.477611940299,0.00806451612903,0.0,0.046875,0.0106382978723,0.1,0.0,0.0
Modeler,0.0,0.836567164179,0.660598179454,0.819444444444,0.789262820513,0.878923766816,0.0,0.0,0.818306010929,0.686925585532,0.872797356828,0.709125475285,0.0,0.948979591837,0.883928571429,0.87786259542,0.59938366718,0.618401937046,0.796802475503,0.765755716676,0.803301237964,0.910638297872,0.0,0.700982928091,0.788990825688,0.88,0.0,0.76690821256,0.0,0.785815602837,0.719806763285,0.568232662192,0.565817409766,0.810483870968,0.888888888889,0.796145739235,0.854838709677,0.0,0.799325463744,0.89939637827,0.911111111111,0.785973397823,0.903743315508,0.966702470462,0.949320148331,0.881742738589,0.0,0.543952412426,0.0,0.871544715447,0.809444629199,0.785778577858,0.909684439608,0.764898255814,0.849220103986,0.799355358582,1.0,0.847826086957,0.530888030888,0.721274175199,0.761295180723,0.757841907152,0.82,0.929953917051,0.969088098918,0.373745819398,0.716775599129,0.875675675676,0.715919923737,0.890345649583,0.9375,0.90127388535,0.69594997022,0.90308561495,0.895392278954,0.637721755369,0.730934018852,0.0,0.847222222222,0.945017182131,0.84375,0.852631578947,0.0,0.834208990076,0.950819672131,0.767772511848,0.938144329897,0.546134663342,0.892873997168,0.975524475524,0.835316698656,0.891472868217,0.870930232558,0.885245901639,0.763454317897,0.0,0.78313253012,0.770491803279,0.0,0.792,0.890317700454,0.795731707317,0.0,0.52479338843,0.915224913495,0.878640776699,0.642559109875,0.87676056338,1.0,0.0,0.0,0.786982248521,0.852870813397,0.742628992629,0.828326180258,0.7171145686,0.0,0.81524122807,0.511138613861,0.883435582822,0.0,0.502617801047,0.939890710383,0.494925084582,0.993150684932,0.73125,0.807942708333,0.82439793578,0.568095238095,0.976608187135,0.658181818182,0.0,0.0,0.596246973366,0.803033894288,0.470505617978,0.0,0.0,0.0,0.952941176471,0.977272727273,0.902912621359,0.872164948454,0.542669584245,0.572289156627,0.847058823529,0.0,0.836363636364,1.0,0.856972586412,1.0,0.698544698545,0.86821015138,0.510688836105,0.826164874552,1.0,0.762640449438,0.635807860262,0.916256157635,0.901639344262,0.873015873016,0.780162136385,0.848640328374,0.0,0.0,0.911392405063,0.806899856253,0.660087719298,0.915863277826,0.860148514851,0.763543191801,0.0,0.609188882587,0.676393728223,0.720125786164,0.0,0.0,0.82776801406,0.755263157895,0.816892186818,0.738916256158,0.0,0.9,0.859728506787,0.641430073607,0.0,0.0
Compression,2.03968253968,1.55497382199,1.42465753425,1.07258064516,1.51662404092,1.44522968198,1.95315315315,2.6017699115,1.05775075988,1.38157894737,1.02941176471,1.24324324324,1.59659090909,0.903614457831,1.62962962963,2.01058201058,1.17804154303,1.47113594041,1.74418604651,1.156133829,1.08408408408,2.02702702703,1.92207792208,1.25142857143,1.68852459016,0.978417266187,3.2125,1.20740740741,2.36931818182,1.16203703704,1.45222929936,1.410041841,1.22590361446,1.59259259259,1.86547085202,0.876923076923,2.0985915493,2.13422818792,1.61121856867,1.42941176471,1.39252336449,1.82369942197,1.42857142857,1.01072386059,1.04848484848,2.13756613757,1.58431372549,1.58630136986,1.69194312796,1.08064516129,1.29090909091,1.44137931034,1.28368794326,1.07142857143,1.10416666667,2.05810397554,3.56818181818,2.24242424242,2.33024691358,1.43157894737,1.10802469136,1.384,1.78244274809,1.06939501779,1.13567839196,1.07272727273,1.85849056604,1.47849462366,1.4598540146,1.56643356643,2.404,1.0134529148,1.18530351438,1.18484848485,1.17391304348,1.04191616766,1.5023923445,2.02014652015,1.98717948718,0.990476190476,2.19756838906,4.04918032787,2.15853658537,1.17479674797,1.51807228916,1.56428571429,2.93959731544,1.2,1.14705882353,1.07878787879,1.50135501355,1.53939393939,0.90243902439,1.58744394619,1.35523114355,1.91633466135,1.05369127517,0.814189189189,1.37370242215,1.0,1.09021113244,1.74782608696,1.60582010582,1.41875,1.72093023256,1.25373134328,3.77118644068,1.50694444444,1.45925925926,2.15957446809,1.78947368421,1.3550295858,0.882352941176,1.23076923077,2.25626740947,1.15677966102,1.96226415094,1.34497816594,1.66935483871,1.49768518519,3.09523809524,1.67441860465,1.48611111111,2.34782608696,1.60383386581,1.4064516129,1.44591611479,0.911764705882,1.68794326241,2.82771535581,0.673913043478,1.83248730964,1.73839662447,1.14503816794,1.31638418079,3.26315789474,2.10344827586,1.5818815331,1.57874015748,1.43089430894,1.51955307263,1.58893280632,1.51709401709,1.3870246085,0.852348993289,1.81746031746,1.98245614035,2.62083333333,2.18018018018,1.3605015674,2.10256410256,1.56768558952,2.33807829181,2.1,1.12030075188,1.6660988075,1.15849056604,1.12555066079,1.2427184466,1.1724137931,2.38888888889,1.31330472103,1.63803680982,1.6456043956,1.79411764706,2.4181184669,1.13991769547,1.27272727273,1.95531914894,1.71428571429,1.47945205479,2.6149068323,1.21587301587,1.31896551724,1.30386740331,1.71428571429,1.89349112426,0.8828125,1.0,1.20325203252,2.06289308176,1.86666666667,1.85477178423,2.57142857143,1.69683257919,1.56537102473,1.64375
Average Pairwise P-Distance,0.869500484864,0.830240634165,0.778929961678,0.632431818956,0.815565714707,0.818241190334,0.819956140351,0.864721494374,0.686902947154,0.763470643488,0.748275757806,0.791706587947,0.869749045281,0.648857526882,0.716047482211,0.853372513515,0.781737597462,0.792134176935,0.755606038075,0.748222392735,0.725282838924,0.8393968564,0.826513213981,0.75917552022,0.830959258849,0.675496334456,0.854173943848,0.785510949381,0.854275898394,0.800020015902,0.798441233315,0.795348288758,0.810371511644,0.758717665415,0.848936272622,0.727399954706,0.84117680765,0.865119761969,0.808509889006,0.769726231989,0.762812643359,0.817934048516,0.722416042023,0.621102044874,0.579843410852,0.797863831305,0.892845926763,0.838317775627,0.91598119859,0.733789594889,0.771097840703,0.720190850616,0.732426502772,0.810364159278,0.701416138338,0.856992819553,0.845617184273,0.829384423346,0.872637504629,0.830256266678,0.722565440429,0.838046287507,0.815710778137,0.646084378966,0.562589394874,0.850158970031,0.81292432681,0.737379640452,0.765045442658,0.70970707186,0.872972710439,0.694992576035,0.812831963394,0.624301992431,0.750756748905,0.840998400283,0.838483570419,0.891191658565,0.838723820722,0.616068871707,0.813677097742,0.856286473107,0.831027667984,0.76715550631,0.814361001318,0.800924685342,0.837019396336,0.781586928582,0.817788023026,0.565559160958,0.804869235778,0.864719437303,0.690983337249,0.852134512764,0.774338051894,0.893607893608,0.753260869565,0.719224425297,0.967276422764,0.759040755992,0.723837880142,0.821377516887,0.890007205541,0.784176558601,0.795503621599,0.754258899249,0.884605842884,0.749480144348,0.8129395218,0.916013243626,0.922297080024,0.801795415885,0.615466523602,0.814422013592,0.825768273158,0.824250130972,0.902171555016,0.782015544893,0.841541017971,0.781245719678,0.913054893785,0.807183041015,0.858561252669,0.818052168694,0.880344535105,0.756645321615,0.74696985449,0.773549674471,0.871988444892,0.886282856643,0.624311081639,0.893263639076,0.869448525196,0.833903705436,0.73233924771,0.892102073805,0.880590534086,0.900158730159,0.9298325109,0.746382113821,0.718155882689,0.854911180773,0.736454024274,0.800245106672,0.740567708033,0.856922602529,0.852240392954,0.845692567758,0.795230788902,0.72413100465,0.884270334182,0.840079217461,0.828496524325,0.842436907897,0.751315502523,0.852583504875,0.728952254808,0.837572243464,0.750037012096,0.853421368547,0.872143572144,0.767366493491,0.751939896246,0.888970300223,0.938006930994,0.798769006994,0.716564943831,0.787105769092,0.812432058982,0.768021707351,0.796293459073,0.851608540268,0.808176326615,0.784334533193,0.702223149984,0.895096801347,0.90182946104,0.723936433557,0.783952404347,0.731683966597,0.818228614145,0.921415262001,0.835107088955,0.82981936609,0.820529962658,0.921671671672,0.875042735043
Maximum Pairwise P-Distance,0.90625,0.916666666667,0.928571428571,0.704225352113,0.937888198758,0.956043956044,0.850877192982,0.916666666667,0.7265625,0.895833333333,0.804469273743,0.879310344828,0.936170212766,0.677419354839,0.802083333333,0.947368421053,0.827433628319,0.914285714286,0.885057471264,0.898550724638,0.76862745098,0.896739130435,0.891304347826,0.885,0.891472868217,0.77,0.928571428571,0.881355932203,0.892857142857,0.911111111111,0.873303167421,0.880597014925,0.888888888889,0.836363636364,0.908163265306,0.885245901639,0.939393939394,0.907894736842,0.879396984925,0.88,0.857142857143,0.853107344633,0.815789473684,0.713826366559,0.639705882353,0.869318181818,0.934426229508,0.935779816514,0.942028985507,0.833333333333,0.883928571429,0.811764705882,0.88679245283,0.864768683274,0.822033898305,0.917948717949,0.907894736842,0.89,0.95652173913,0.931506849315,0.832618025751,0.893617021277,0.954022988506,0.676092544987,0.637795275591,0.897297297297,0.972222222222,0.787610619469,0.904761904762,0.941176470588,0.941747572816,0.792207792208,0.904761904762,0.688461538462,0.833333333333,0.931818181818,0.904109589041,0.899253731343,0.921348314607,0.6875,0.918699186992,0.950819672131,0.847826086957,0.866666666667,0.9,0.871794871795,0.90625,0.857142857143,0.913461538462,0.60396039604,0.891304347826,0.975609756098,0.820512820513,0.860655737705,0.836257309942,0.918918918919,0.834782608696,0.781065088757,1.0,0.785714285714,0.794117647059,0.879194630872,0.928571428571,0.859154929577,0.903225806452,0.867469879518,0.961165048544,0.810810810811,0.888888888889,0.959183673469,0.957746478873,0.913793103448,0.65671641791,0.913793103448,0.937984496124,0.865546218487,0.96875,0.952941176471,0.8984375,0.848275862069,0.962264150943,0.851851851852,0.931818181818,0.938596491228,0.925531914894,0.90243902439,0.890052356021,0.888888888889,0.96,0.954954954955,0.6625,0.913580246914,0.881578947368,0.924050632911,0.840579710145,0.965909090909,0.918367346939,0.95,0.945205479452,0.821138211382,0.826086956522,0.916666666667,0.833333333333,0.876923076923,0.794871794872,0.934782608696,0.894117647059,0.922330097087,0.833333333333,0.887573964497,0.953125,0.918032786885,0.926315789474,0.923076923077,0.801169590643,0.880208333333,0.895287958115,0.892655367232,0.837837837838,0.9,0.952380952381,0.915789473684,0.926470588235,0.941176470588,0.942028985507,0.917355371901,0.845528455285,0.918367346939,0.884353741497,0.824242424242,0.850241545894,0.919540229885,0.913043478261,0.90990990991,0.805970149254,0.931818181818,0.958333333333,0.823529411765,0.864406779661,0.834101382488,0.918918918919,0.95652173913,0.921348314607,0.939393939394,0.92700729927,0.959459459459,0.92
Number of Sequences,3.0,8.0,7.0,3.0,6.0,3.0,3.0,4.0,3.0,9.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,7.0,6.0,11.0,4.0,4.0,3.0,7.0,5.0,3.0,5.0,6.0,3.0,8.0,4.0,8.0,5.0,5.0,3.0,11.0,6.0,3.0,4.0,5.0,8.0,5.0,4.0,4.0,4.0,5.0,3.0,7.0,3.0,5.0,8.0,6.0,7.0,5.0,5.0,6.0,6.0,4.0,8.0,6.0,4.0,5.0,5.0,3.0,5.0,4.0,6.0,3.0,11.0,6.0,5.0,4.0,8.0,5.0,4.0,10.0,6.0,3.0,4.0,4.0,7.0,10.0,3.0,7.0,3.0,7.0,5.0,4.0,7.0,3.0,7.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,6.0,5.0,11.0,4.0,3.0,3.0,3.0,8.0,4.0,5.0,8.0,4.0,3.0,7.0,8.0,6.0,5.0,4.0,4.0,9.0,4.0,4.0,7.0,15.0,10.0,6.0,3.0,3.0,3.0,7.0,11.0,11.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,11.0,6.0,5.0,3.0,6.0,7.0,4.0,3.0,4.0,6.0,9.0,3.0,3.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,7.0,7.0,3.0,3.0,3.0,4.0,4.0,7.0,6.0,3.0,4.0,7.0,6.0,3.0,3.0
Reference Length,126.0,191.0,73.0,124.0,391.0,283.0,555.0,113.0,329.0,228.0,238.0,111.0,176.0,83.0,162.0,189.0,1011.0,537.0,473.0,269.0,333.0,481.0,77.0,350.0,549.0,139.0,80.0,135.0,176.0,216.0,471.0,239.0,332.0,270.0,223.0,130.0,213.0,149.0,517.0,170.0,321.0,346.0,98.0,373.0,165.0,378.0,255.0,365.0,211.0,124.0,275.0,145.0,141.0,518.0,144.0,327.0,132.0,198.0,324.0,285.0,324.0,125.0,262.0,562.0,199.0,660.0,424.0,186.0,411.0,143.0,250.0,223.0,313.0,330.0,184.0,334.0,418.0,546.0,156.0,105.0,329.0,122.0,82.0,246.0,249.0,280.0,149.0,285.0,136.0,165.0,369.0,165.0,123.0,223.0,411.0,251.0,149.0,296.0,289.0,165.0,521.0,345.0,378.0,160.0,86.0,201.0,236.0,144.0,135.0,188.0,190.0,169.0,187.0,455.0,359.0,236.0,159.0,229.0,372.0,864.0,105.0,215.0,72.0,253.0,313.0,155.0,453.0,136.0,141.0,267.0,276.0,197.0,711.0,131.0,354.0,209.0,87.0,287.0,254.0,246.0,179.0,253.0,234.0,447.0,149.0,126.0,171.0,240.0,222.0,319.0,156.0,458.0,281.0,490.0,266.0,587.0,265.0,454.0,103.0,145.0,108.0,466.0,163.0,364.0,170.0,287.0,243.0,165.0,470.0,651.0,365.0,161.0,315.0,348.0,181.0,266.0,169.0,128.0,111.0,369.0,159.0,180.0,241.0,168.0,442.0,283.0,160.0
