,AL10051306,AL10063562,AL00050685,AL10050875,AL00056276,AL00052787,AL00052441,AL00057282,AL00055186,AL00054403,AL00050715,AL00102031,AL00053377,AL00089447,AL10048599,AL10063763,AL00055594,AL00052150,AL00052086,AL20089447,AL00101215,AL00088995,AL00089048,AL00054407,AL10047861,AL00100897,AL00053614,AL00051934,AL00069394,AL00050465,AL00050799,AL10063410,AL00054097,AL00051931,AL00069572,AL00063763,AL00057468,AL00082614,AL00055593,AL00063492,AL00074653,AL10050021,AL00064294,AL00050876,AL00047861,AL00051984,AL00052141,AL00088696,AL00069381,AL00089800,AL00109622,AL00068994,AL10109622,AL00103575,AL10056276,AL10050712,AL10050335,AL10054446,AL00089623,AL10054814,AL00049599,AL00057413,AL10074933,AL00051713,AL00054253,AL00069117,AL00054814,AL00050464,AL00053354,AL00047305,AL10051367,AL00056022,AL00055637,AL10101215,AL10057491,AL00055723,AL10069117,AL00051392,AL00054790,AL00051906,AL00050331,AL00052113,AL00051306,AL00052821,AL00057492
1-SPFP,0.527638190955,0.834482758621,0.520231213873,0.169326241135,0.438080495356,0.62600619195,0.464223988939,0.957219251337,0.748717948718,0.374519846351,0.237142857143,0.7,0.673566878981,0.722772277228,0.160714285714,0.391803278689,1.0,0.177321156773,0.47508001829,0.425925925926,0.861445783133,0.859007832898,1.0,0.557210965435,0.706362153344,0.97341211226,0.536995285919,0.714482758621,0.807417974322,0.709540636042,0.564896755162,0.3469665985,0.8432,0.838604143948,0.791050583658,0.71676300578,0.818829516539,0.636363636364,0.757142857143,0.620931716656,0.428571428571,0.677506775068,0.92144638404,0.856711915535,0.771812080537,0.668049792531,0.418691054587,0.254533465216,0.425631981188,0.680592991914,0.423684210526,1.0,0.517857142857,0.406504065041,0.303157894737,0.65641025641,0.402757619739,0.0,0.883211678832,0.934054054054,0.547277936963,0.223880597015,0.655396618986,0.82869379015,0.868226600985,0.599499374218,0.492840095465,0.457448738886,0.828962371722,0.406432748538,0.673883626522,1.0,0.972027972028,0.768907563025,0.554520037279,0.0380952380952,0.399649430324,0.706422018349,0.725658297612,0.338409475465,0.910087719298,0.300988875155,0.497890295359,0.423985239852,0.977777777778
1-SPFN,0.403846153846,0.834482758621,0.491132332879,0.134223471539,0.413742690058,0.557947019868,0.388712011577,0.957219251337,0.650334075724,0.294019098676,0.184035476718,0.639784946237,0.576294277929,0.634782608696,0.118942731278,0.243628950051,1.0,0.188511326861,0.439137785292,0.373983739837,0.831395348837,0.80243902439,1.0,0.507600434311,0.662079510703,0.967694566814,0.455256298871,0.668140777594,0.728442728443,0.663801652893,0.438215102975,0.303156640858,0.780740740741,0.804393305439,0.708856345886,0.708571428571,0.734367868553,0.533333333333,0.749116607774,0.577105575326,0.301675977654,0.582750582751,0.887154861945,0.831625183016,0.718108831401,0.626459143969,0.367444193629,0.197948717949,0.432497013142,0.60119047619,0.37182448037,1.0,0.255131964809,0.359712230216,0.241610738255,0.425956738769,0.322112594312,0.0,0.846153846154,0.863136863137,0.476309226933,0.143540669856,0.607961399276,0.764067127345,0.84229390681,0.475670307845,0.430208333333,0.423555107527,0.772172065852,0.326386850602,0.58064516129,1.0,0.972027972028,0.717647058824,0.472972972973,0.0189125295508,0.307484828051,0.651438240271,0.664610207515,0.279329608939,0.89247311828,0.186090943829,0.456479690522,0.349771689498,0.977777777778
SP-Score,0.4657421724,0.834482758621,0.505681773376,0.151774856337,0.425911592707,0.591976605909,0.426468000258,0.957219251337,0.699526012221,0.334269472514,0.210589166931,0.669892473118,0.624930578455,0.678777442962,0.139828508496,0.31771611437,1.0,0.182916241817,0.457108901791,0.399954832882,0.846420565985,0.830723428644,1.0,0.532405699873,0.684220832024,0.970553339537,0.496125792395,0.691311768107,0.767930351383,0.686671144467,0.501555929069,0.325061619679,0.81197037037,0.821498724693,0.749953464772,0.712667217176,0.776598692546,0.584848484848,0.753129732458,0.599018645991,0.365123703113,0.630128678909,0.904300622992,0.844168549276,0.744960455969,0.64725446825,0.393067624108,0.226241091582,0.429064497165,0.640891734052,0.397754345448,1.0,0.386494553833,0.383108147628,0.272384316496,0.541183497589,0.362435107025,0.0,0.864682762493,0.898595458595,0.511793581948,0.183710633436,0.631679009131,0.796380458747,0.855260253898,0.537584841031,0.461524214399,0.440501923206,0.800567218787,0.36640979957,0.627264393906,1.0,0.972027972028,0.743277310924,0.513746505126,0.028503883823,0.353567129188,0.67893012931,0.695134252564,0.308869542202,0.901280418789,0.243539909492,0.47718499294,0.386878464675,0.977777777778
TC,0.0,0.6666666666666666,0.3105263157894737,0.0,0.13768115942028986,0.125,0.09923664122137404,0.90625,0.48427672955974843,0.0,0.026785714285714284,0.4596774193548387,0.45,0.3902439024390244,0.0,0.05333333333333334,1.0,0.0113314447592068,0.10666666666666667,0.24468085106382978,0.651685393258427,0.6341463414634146,1.0,0.11926605504587157,0.22535211267605634,0.8333333333333334,0.09523809523809523,0.24522292993630573,0.4330357142857143,0.3504273504273504,0.0,0.024096385542168676,0.5151515151515151,0.7129629629629629,0.4948453608247423,0.6065573770491803,0.06666666666666667,0.4444444444444444,0.023809523809523808,0.32653061224489793,0.2,0.40625,0.7972027972027972,0.6470588235294118,0.45454545454545453,0.45977011494252873,0.05202312138728324,0.03597122302158273,0.20993227990970656,0.3333333333333333,0.15483870967741936,1.0,0.03278688524590164,0.20754716981132076,0.0,0.0,0.10294117647058823,0.0,0.7692307692307693,0.7272727272727273,0.11564625850340136,0.0,0.3191489361702128,0.6565096952908587,0.5747126436781609,0.0,0.10588235294117647,0.0743801652892562,0.526829268292683,0.00684931506849315,0.17293233082706766,1.0,0.9240506329113924,0.5730337078651685,0.1388888888888889,0.0,0.049079754601226995,0.5373134328358209,0.30434782608695654,0.03636363636363636,0.7142857142857143,0.0,0.0,0.025974025974025976,0.9555555555555556
Modeler,0.5276381909547738,0.8344827586206897,0.5202312138728323,0.16932624113475178,0.43808049535603716,0.6260061919504644,0.46422398893881783,0.9572192513368984,0.7487179487179487,0.37451984635083224,0.23714285714285716,0.7,0.6735668789808917,0.7227722772277227,0.16071428571428573,0.3918032786885246,1.0,0.17732115677321156,0.4750800182898948,0.42592592592592593,0.8614457831325302,0.8590078328981723,1.0,0.5572109654350417,0.7063621533442088,0.9734121122599705,0.5369952859192457,0.7144827586206897,0.8074179743223966,0.7095406360424028,0.5648967551622419,0.34696659850034084,0.8432,0.8386041439476554,0.7910505836575875,0.7167630057803468,0.8188295165394402,0.6363636363636364,0.7571428571428571,0.6209317166560306,0.42857142857142855,0.6775067750677507,0.9214463840399002,0.8567119155354449,0.7718120805369127,0.6680497925311203,0.4186910545870249,0.2545334652159578,0.42563198118753676,0.6805929919137467,0.4236842105263158,1.0,0.5178571428571429,0.4065040650406504,0.3031578947368421,0.6564102564102564,0.4027576197387518,0.0,0.8832116788321168,0.9340540540540541,0.5472779369627507,0.22388059701492538,0.6553966189856957,0.828693790149893,0.8682266009852216,0.5994993742177722,0.4928400954653938,0.4574487388858646,0.8289623717217788,0.4064327485380117,0.6738836265223275,1.0,0.972027972027972,0.7689075630252101,0.554520037278658,0.0380952380952381,0.39964943032427697,0.7064220183486238,0.7256582976117575,0.338409475465313,0.9100877192982456,0.3009888751545117,0.4978902953586498,0.4239852398523985,0.9777777777777777
Compression,1.125748502994012,1.0,1.0631067961165048,1.281437125748503,1.0629139072847682,1.2530864197530864,1.3986013986013985,1.0,1.191358024691358,1.6759259259259258,1.4285714285714286,1.125984251968504,1.2562277580071175,1.2222222222222223,1.3197278911564625,1.625,1.0,0.9711711711711711,1.2516556291390728,1.1311475409836065,1.0666666666666667,1.1219512195121952,1.0,1.1875,1.1466666666666667,1.0208333333333333,1.3210526315789475,1.196629213483146,1.2285714285714286,1.1538461538461537,1.5351351351351352,1.3693181818181819,1.1616161616161615,1.0375782881002087,1.2654028436018958,1.0133333333333334,1.3454545454545455,1.1975308641975309,1.0277777777777777,1.0961538461538463,1.5072463768115942,1.3555555555555556,1.0890410958904109,1.064,1.1538461538461537,1.0898876404494382,1.2976744186046512,1.5138888888888888,1.0085287846481876,1.2171052631578947,1.197452229299363,1.0,2.0327868852459017,1.1515151515151516,1.3543307086614174,1.7674418604651163,1.457142857142857,1.2941176470588236,1.0620689655172413,1.2272727272727273,1.2236842105263157,1.5903614457831325,1.1504424778761062,1.102981029810298,1.0795454545454546,1.6285714285714286,1.309278350515464,1.2314049586776858,1.1488372093023256,1.469387755102041,1.277456647398844,1.0,1.0,1.0944444444444446,1.4,1.626865671641791,1.4823529411764707,1.1268292682926828,1.247191011235955,1.2226415094339622,1.046875,2.0303030303030303,1.0524017467248907,1.4135802469135803,1.0
Average Pairwise P-Distance,0.584830339321,0.563888888889,0.705501618123,0.73373253493,0.78587196468,0.709053497942,0.690753690754,0.411458333333,0.716049382716,0.723053181387,0.847338935574,0.51968503937,0.758007117438,0.766666666667,0.795918367347,0.674603174603,0.524376417234,0.710810810811,0.769473352255,0.784153005464,0.624074074074,0.770731707317,0.236842105263,0.727465986395,0.818666666667,0.344444444444,0.705513784461,0.658105939005,0.62231292517,0.656695156695,0.559845559846,0.740868506494,0.447811447811,0.64509394572,0.700157977883,0.737777777778,0.527272727273,0.814814814815,0.54012345679,0.69184981685,0.859903381643,0.648888888889,0.577625570776,0.482666666667,0.784615384615,0.786516853933,0.637541528239,0.71047979798,0.735252309879,0.689692982456,0.855626326964,0.0346666666667,0.887978142077,0.757575757576,0.816272965879,0.796899224806,0.788095238095,0.847058823529,0.622988505747,0.706793206793,0.74451754386,0.875502008032,0.727433628319,0.682926829268,0.594318181818,0.808571428571,0.681786941581,0.687751642297,0.653488372093,0.806555349412,0.572382787412,0.0036036036036,0.383966244726,0.696296296296,0.641818181818,0.870646766169,0.805882352941,0.70243902439,0.621990369181,0.719622641509,0.680208333333,0.76936026936,0.598253275109,0.677983539095,0.5
Maximum Pairwise P-Distance,0.988023952096,0.8,0.922330097087,0.874251497006,0.870860927152,0.882716049383,0.867132867133,0.59375,0.83950617284,0.916666666667,0.924369747899,0.779527559055,0.811387900356,0.888888888889,0.925170068027,0.864583333333,0.690476190476,0.886486486486,0.94701986755,0.885245901639,0.866666666667,0.878048780488,0.302631578947,0.883928571429,0.973333333333,0.541666666667,0.836842105263,0.814606741573,0.751020408163,0.888888888889,0.924324324324,0.931818181818,0.838383838384,0.816283924843,0.767772511848,0.853333333333,0.854545454545,0.901234567901,0.935185185185,0.913461538462,0.884057971014,0.933333333333,0.657534246575,0.752,0.858974358974,0.887640449438,0.860465116279,0.951388888889,0.942430703625,0.815789473684,0.936305732484,0.048,0.967213114754,0.833333333333,0.905511811024,0.906976744186,0.885714285714,0.929411764706,0.68275862069,0.909090909091,0.921052631579,0.903614457831,0.87610619469,0.772357723577,0.818181818182,0.885714285714,0.876288659794,0.892561983471,0.758139534884,0.945578231293,0.878612716763,0.00540540540541,0.506329113924,0.866666666667,0.925,0.935323383085,0.882352941176,0.741463414634,0.876404494382,0.852830188679,0.8125,0.888888888889,0.921397379913,0.827160493827,0.586956521739
Number of Sequences,4,4,4,6,3,6,9,4,3,13,4,3,3,4,3,7,7,4,7,3,4,5,3,7,5,6,7,7,6,9,8,8,7,3,6,3,15,3,7,7,3,6,4,4,6,3,8,11,4,4,3,3,4,3,4,6,6,3,3,14,4,3,5,3,5,6,6,13,5,11,10,3,4,3,11,3,5,3,8,5,6,9,4,12,4
Reference Length,167,60,206,167,302,162,143,32,162,108,119,127,281,45,147,96,84,555,151,122,90,41,76,112,75,48,380,356,245,117,185,176,99,479,211,75,55,81,108,104,69,45,146,125,78,89,215,144,469,152,157,125,61,66,127,43,140,85,145,22,152,83,113,369,88,70,97,121,215,147,173,185,79,180,40,201,170,205,89,265,64,99,229,162,46
