Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length
DefaultProbCons,0.34570254581176474,0.29794140288235293,0.32182197429411774,0.11487713405882352,0.34570254581176474,1.3196769699764705,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,188.47058823529412,137.12941176470588,0.11196577257647057,0.14766312202352935,6.2080811954588215,4.017647058823529
ProbCons,0.3428400804440121,0.31459358399793125,0.32871683222087,0.15828109507604457,0.3428400804440121,1.1717479032172353,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,163.56470588235294,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
DefaultContrAlign,0.7714041242759296,0.7783600526171881,0.7748820884464944,0.5726923554032235,0.7714041242759296,0.9906775485476942,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,144.9294117647059,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
ProbAlign,0.715264559587475,0.6984287517690849,0.7068466556782801,0.47170077365309626,0.715264559587475,1.062061530855294,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,154.90588235294118,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
Prime,0.7310676515726822,0.7332146001501527,0.7321411258614119,0.521773019475947,0.7310676515726822,0.9978021599801173,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,145.72941176470587,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
KAlign,0.6847869601775294,0.6804218208392824,0.6826043905084355,0.44953063215580596,0.6847869601775294,1.0193293501644234,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,147.91764705882352,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
DiAlign,0.690817438422153,0.6437712122403154,0.6672943253312504,0.42227412801330566,0.690817438422153,1.1505489728003055,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,170.34117647058824,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
ContrAlign,0.7714041242759296,0.7783600526171881,0.7748820884464944,0.5726923554032235,0.7714041242759296,0.9906775485476942,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,144.9294117647059,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
Clustal,0.6885761637128871,0.6667638455841365,0.6776700046485236,0.4336799053691667,0.6885761637128871,1.0479529916053996,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,152.57647058823528,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
Muscle,0.7058612825238826,0.7085624285094354,0.7072118555166236,0.48522711624649795,0.7058612825238826,0.9864549550034117,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,143.64705882352942,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
Prank,0.6854993061922364,0.6674447523357951,0.6764720292640862,0.4408620315717321,0.6854993061922364,1.0765083025969764,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,156.57647058823528,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
EINSI,0.7177863710070473,0.7047243003358001,0.7112553356714473,0.48113600698733766,0.7177863710070473,1.0324423183749647,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,150.65882352941176,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
GINSI,0.7475743570470587,0.740874270682353,0.7442243138470588,0.5219953319176472,0.7475743570470587,1.0150803783294118,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,148.27058823529413,137.12941176470588,0.11196577257647057,0.14766312202352935,6.2080811954588215,4.017647058823529
LINSI,0.7212571004106116,0.7113295721505648,0.7162933362805414,0.48766974886966075,0.7212571004106116,1.0250790604633648,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,149.61176470588236,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
MAFFT,0.7227654938012353,0.7122709573259953,0.7175182255635473,0.4891335483729208,0.7227654938012353,1.026185656992459,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,149.91764705882352,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
BPPD,0.8458245953339177,0.7246540513837139,0.785239323358859,0.5388369052645177,0.8458245953339177,1.265634013675329,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,194.1764705882353,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
BPMAP,0.7430026031182121,0.7191466954630462,0.7310746492906355,0.49686565512624004,0.7430026031182121,1.0464077470654707,0.7056129430258857,0.8229874467822164,5.647058823529412,146.98823529411766,158.42352941176472,137.12941176470588,0.11196577256406005,0.14766312202044768,6.208081195361059,4.017647058823529
