Dataset,Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length
BALBS001,SAWA1,0.675413022352,0.628959276018,0.652186149185,0.31211498973305957,0.6754130223517979,1.0907821229050279,0.647067039106,0.895251396648,5,716,781,638,0.304773276861,0.390502793296,25.8888888889,4.0
BALBS001,SAWA0_9,0.675413022352,0.628959276018,0.652186149185,0.31211498973305957,0.6754130223517979,1.0907821229050279,0.647067039106,0.895251396648,5,716,781,638,0.304773276861,0.390502793296,25.8888888889,4.0
BALBS001,SAWA0_8,0.68310087577,0.635294117647,0.659197496709,0.31211498973305957,0.6831008757703535,1.0963687150837989,0.647067039106,0.895251396648,5,716,785,638,0.304773276861,0.390502793296,25.8888888889,4.0
BALBS001,SAWA0_7,0.68310087577,0.635294117647,0.659197496709,0.31211498973305957,0.6831008757703535,1.0963687150837989,0.647067039106,0.895251396648,5,716,785,638,0.304773276861,0.390502793296,25.8888888889,4.0
BALBS001,SAWA0_6,0.680429128739,0.63137254902,0.655900838879,0.31211498973305957,0.6804291287386216,1.100558659217877,0.647067039106,0.895251396648,5,716,788,638,0.304773276861,0.390502793296,25.8888888889,4.0
BALBS001,SAWA0_5,0.680429128739,0.63137254902,0.655900838879,0.31211498973305957,0.6804291287386216,1.100558659217877,0.647067039106,0.895251396648,5,716,788,638,0.304773276861,0.390502793296,25.8888888889,4.0
BALBS001,SAWA0_4,0.680429128739,0.63137254902,0.655900838879,0.31211498973305957,0.6804291287386216,1.100558659217877,0.647067039106,0.895251396648,5,716,788,638,0.304773276861,0.390502793296,25.8888888889,4.0
BALBS001,SAWA0_3,0.680429128739,0.63137254902,0.655900838879,0.31211498973305957,0.6804291287386216,1.100558659217877,0.647067039106,0.895251396648,5,716,788,638,0.304773276861,0.390502793296,25.8888888889,4.0
BALBS001,SAWA0_2,0.685438187271,0.620512820513,0.652975503892,0.31006160164271046,0.6854381872709097,1.1578212290502794,0.647067039106,0.895251396648,5,716,829,638,0.304773276861,0.390502793296,25.8888888889,4.0
BALBS001,SAWA0_1,0.706226350189,0.619306184012,0.662766267101,0.31006160164271046,0.7062263501891984,1.2360335195530727,0.647067039106,0.895251396648,5,716,885,638,0.304773276861,0.390502793296,25.8888888889,4.0
BALBS001,SAWA0,0.825480769231,0.517948717949,0.67171474359,0.21765913757700206,0.8254807692307692,1.7402234636871508,0.647067039106,0.895251396648,5,716,1246,638,0.304773276861,0.390502793296,25.8888888889,4.0
BALBS001,BPPD,0.897460469574,0.565007541478,0.731234005526,0.28542094455852157,0.8974604695735505,1.7276536312849162,0.647067039106,0.895251396648,5,716,1237,638,0.304773276861,0.390502793296,25.8888888889,4.0
BALBS001,DefaultContrAlign,0.728541728542,0.739969834087,0.734255781315,0.3839835728952772,0.7285417285417285,0.9888268156424581,0.647067039106,0.895251396648,5,716,708,638,0.304773276861,0.390502793296,25.8888888889,4.0
BALBS001,ProbAlign,0.710024600246,0.69653092006,0.703277760153,0.35523613963039014,0.7100246002460024,1.0251396648044693,0.647067039106,0.895251396648,5,716,734,638,0.304773276861,0.390502793296,25.8888888889,4.0
BALBS001,LINSI,0.668018720749,0.645852187029,0.656935453889,0.3182751540041068,0.66801872074883,1.0363128491620113,0.647067039106,0.895251396648,5,716,742,638,0.304773276861,0.390502793296,25.8888888889,4.0
