Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length
BPWA1,0.4538535140403257,0.5009429258163041,0.47739821992832776,0.23490829279098546,0.45385351404032964,0.7390964395301073,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,236.75,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
SAWA1,0.4679277496032182,0.5005505921868826,0.4842391708950563,0.22416488735543202,0.4679277496031908,0.7869614288175241,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,260.3421052631579,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
BPWA0_9,0.45922333905165647,0.506964246814943,0.48309379293332116,0.2374782932083187,0.4592233390516674,0.7412909093983654,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,237.6315789473684,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
SAWA0_9,0.46746468857542867,0.5001772439316502,0.48382096625354304,0.2245419315294361,0.46746468857539636,0.7878764833109477,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,260.6666666666667,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
BPWA0_8,0.4624995405147478,0.5104979760368864,0.486498758275834,0.23926310358458133,0.4624995405147568,0.7429338081469326,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,238.33771929824562,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
SAWA0_8,0.4712288288935338,0.5008826100622572,0.48605571947789666,0.22649267737874318,0.47122882889350837,0.7932641299384835,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,262.1622807017544,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
BPWA0_7,0.4698380127957363,0.5183623653901054,0.4941001890929264,0.24174792212799442,0.46983801279573867,0.74551304337177,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,239.44298245614036,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
SAWA0_7,0.473852133135083,0.5023656898301976,0.4881089114826578,0.22885446514226554,0.47385213313507424,0.799505535134988,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,263.3859649122807,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
BPWA0_6,0.47631468396959475,0.5245790323920856,0.5004468581808584,0.24538632201754298,0.4763146839696028,0.7497172065455078,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,240.56578947368422,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
SAWA0_6,0.4795490146687131,0.5032489211714152,0.4913989679200709,0.2298906617664101,0.4795490146686966,0.8086202565275535,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,265.55263157894734,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
BPWA0_5,0.4812626707875941,0.5296871156456924,0.5054748932166527,0.2468145813874362,0.4812626707876095,0.752604169942114,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,241.60526315789474,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
SAWA0_5,0.48216477693085597,0.5041729083259957,0.49316884262844696,0.23165701778138342,0.48216477693082654,0.8250002833208715,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,269.4342105263158,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
BPWA0_4,0.4871677779955784,0.5354075792319581,0.5112876786137602,0.25019341250934374,0.48716777799558764,0.7566522380999299,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,242.94298245614036,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
SAWA0_4,0.48763163702632145,0.5053481955330881,0.49648991627972416,0.23274139432133636,0.4876316370262858,0.9046125128056635,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,287.37280701754383,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
BPWA0_3,0.4936803106751289,0.5413364954886408,0.5175084030818767,0.2543601062417453,0.4936803106751315,0.763864318906669,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,245.9078947368421,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
SAWA0_3,0.49382818357229996,0.5027251670820965,0.4982766753271976,0.23044222530055455,0.4938281835722962,0.9691216895303013,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,303.95175438596493,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
BPWA0_2,0.4965383738232905,0.5425511463084163,0.519544760065843,0.25409265921908264,0.49653837382327126,0.7748736184417638,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,249.37719298245614,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
SAWA0_2,0.5056407496358172,0.5008687415804836,0.5032547456081756,0.23064377057481214,0.5056407496358295,1.0163893243702258,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,315.45175438596493,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
BPWA0_1,0.5039544666595002,0.547589580183887,0.5257720234216845,0.2538390268223556,0.503954466659506,0.7958168271997613,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,257.530701754386,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
SAWA0_1,0.5315253960334252,0.4973935592399611,0.5144594776366775,0.23421674710475957,0.5315253960334348,1.0963808365208865,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,336.0877192982456,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
BPWA0,0.5434152699651306,0.5359706606645117,0.5396929653148578,0.25738287285160205,0.5434152699651422,1.0690107404584903,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,352.5,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
SAWA0,0.595986474333684,0.46844539899249843,0.5322159366630657,0.23455256204014113,0.5959864743336619,1.4210759471109045,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,456.75877192982455,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
BPPD,0.6238105521359876,0.4986340826863749,0.5612223174111837,0.2548018807962287,0.6238105521359669,1.3377158592321812,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,438.2456140350877,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
DefaultContrAlign,0.5292877228638345,0.5816118466990112,0.5554497847814245,0.2749392680938268,0.529287722863833,0.7990425803596098,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,261.03508771929825,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
ProbAlign,0.5377893181275873,0.5664543013075446,0.5521218097175855,0.2667501721735926,0.5377893181276053,0.8693081840208672,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,283.719298245614,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
LINSI,0.5170239414324309,0.5499576066673975,0.5334907740499255,0.254112831490752,0.5170239414324537,0.8325293414888563,0.6316081349168905,0.7739797672250882,6.201754385964913,336.75877192982455,268.7324561403509,222.42105263157896,0.13583192920416834,0.3959479879366445,7.0960454534892525,2.787280701754386
