Dataset,Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length
SF001,BPWA1,0.474036850921,0.48835202761,0.481194439266,0.11235955056179775,0.474036850921273,0.8181818181818182,0.667676767677,0.833333333333,6,132,108,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,SAWA1,0.349411764706,0.25625539258,0.302833578643,0.056179775280898875,0.34941176470588237,1.371212121212121,0.667676767677,0.833333333333,6,132,181,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,BPWA0_9,0.474036850921,0.48835202761,0.481194439266,0.11235955056179775,0.474036850921273,0.8181818181818182,0.667676767677,0.833333333333,6,132,108,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,SAWA0_9,0.349411764706,0.25625539258,0.302833578643,0.056179775280898875,0.34941176470588237,1.371212121212121,0.667676767677,0.833333333333,6,132,181,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,BPWA0_8,0.474036850921,0.48835202761,0.481194439266,0.11235955056179775,0.474036850921273,0.8181818181818182,0.667676767677,0.833333333333,6,132,108,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,SAWA0_8,0.349411764706,0.25625539258,0.302833578643,0.056179775280898875,0.34941176470588237,1.371212121212121,0.667676767677,0.833333333333,6,132,181,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,BPWA0_7,0.474036850921,0.48835202761,0.481194439266,0.11235955056179775,0.474036850921273,0.8181818181818182,0.667676767677,0.833333333333,6,132,108,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,SAWA0_7,0.349411764706,0.25625539258,0.302833578643,0.056179775280898875,0.34941176470588237,1.371212121212121,0.667676767677,0.833333333333,6,132,181,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,BPWA0_6,0.474036850921,0.48835202761,0.481194439266,0.11235955056179775,0.474036850921273,0.8181818181818182,0.667676767677,0.833333333333,6,132,108,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,SAWA0_6,0.349411764706,0.25625539258,0.302833578643,0.056179775280898875,0.34941176470588237,1.371212121212121,0.667676767677,0.833333333333,6,132,181,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,BPWA0_5,0.530161427358,0.538395168248,0.534278297803,0.11235955056179775,0.530161427357689,0.8863636363636364,0.667676767677,0.833333333333,6,132,117,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,SAWA0_5,0.349411764706,0.25625539258,0.302833578643,0.056179775280898875,0.34941176470588237,1.371212121212121,0.667676767677,0.833333333333,6,132,181,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,BPWA0_4,0.52170212766,0.528904227783,0.525303177721,0.11235955056179775,0.5217021276595745,0.8939393939393939,0.667676767677,0.833333333333,6,132,118,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,SAWA0_4,0.262038073908,0.201898188093,0.231968131001,0.011235955056179775,0.2620380739081747,1.4318181818181819,0.667676767677,0.833333333333,6,132,189,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,BPWA0_3,0.532023911187,0.537532355479,0.534778133333,0.1348314606741573,0.5320239111870196,0.9242424242424242,0.667676767677,0.833333333333,6,132,122,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,SAWA0_3,0.262038073908,0.201898188093,0.231968131001,0.011235955056179775,0.2620380739081747,1.4318181818181819,0.667676767677,0.833333333333,6,132,189,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,BPWA0_2,0.515021459227,0.517687661777,0.516354560502,0.1348314606741573,0.5150214592274678,0.946969696969697,0.667676767677,0.833333333333,6,132,125,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,SAWA0_2,0.32619047619,0.236410698878,0.281300587534,0.011235955056179775,0.3261904761904762,1.5681818181818181,0.667676767677,0.833333333333,6,132,207,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,BPWA0_1,0.517211703959,0.518550474547,0.517881089253,0.1348314606741573,0.5172117039586919,0.9545454545454546,0.667676767677,0.833333333333,6,132,126,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,SAWA0_1,0.448863636364,0.136324417601,0.292594026983,0.0,0.44886363636363635,2.257575757575758,0.667676767677,0.833333333333,6,132,298,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,BPWA0,0.621480709072,0.514236410699,0.567858559885,0.1348314606741573,0.62148070907195,1.553030303030303,0.667676767677,0.833333333333,6,132,205,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,SAWA0,1.0,0.108714408973,0.554357204487,0.0,1.0,3.5454545454545454,0.667676767677,0.833333333333,6,132,468,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,BPPD,0.602628918099,0.514236410699,0.558432664399,0.15730337078651685,0.60262891809909,1.3863636363636365,0.667676767677,0.833333333333,6,132,183,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,DefaultContrAlign,0.623953098827,0.642795513374,0.633374306101,0.33707865168539325,0.6239530988274706,0.8787878787878788,0.667676767677,0.833333333333,6,132,116,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,ProbAlign,0.625108979948,0.618636755824,0.621872867886,0.30337078651685395,0.6251089799476897,0.9772727272727273,0.667676767677,0.833333333333,6,132,129,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF001,LINSI,0.499100719424,0.478861087144,0.488980903284,0.12359550561797752,0.49910071942446044,0.9696969696969697,0.667676767677,0.833333333333,6,132,128,104,0.131851172427,0.328282828283,4.12698412698,2.0
SF005,BPWA1,0.814627196454,0.859528979455,0.837078087955,0.42,0.8146271964540129,0.7326732673267327,0.537319116527,0.643564356436,14,404,296,250,0.0749414708538,0.429632248939,6.6393442623,2.0
SF005,SAWA1,0.833712261407,0.877902121263,0.855807191335,0.45666666666666667,0.8337122614074974,0.7920792079207921,0.537319116527,0.643564356436,14,404,320,250,0.0749414708538,0.429632248939,6.6393442623,2.0
SF005,BPWA0_9,0.814627196454,0.859528979455,0.837078087955,0.42,0.8146271964540129,0.7326732673267327,0.537319116527,0.643564356436,14,404,296,250,0.0749414708538,0.429632248939,6.6393442623,2.0
SF005,SAWA0_9,0.833712261407,0.877902121263,0.855807191335,0.45666666666666667,0.8337122614074974,0.7920792079207921,0.537319116527,0.643564356436,14,404,320,250,0.0749414708538,0.429632248939,6.6393442623,2.0
SF005,BPWA0_8,0.814627196454,0.859528979455,0.837078087955,0.42,0.8146271964540129,0.7326732673267327,0.537319116527,0.643564356436,14,404,296,250,0.0749414708538,0.429632248939,6.6393442623,2.0
SF005,SAWA0_8,0.833712261407,0.877902121263,0.855807191335,0.45666666666666667,0.8337122614074974,0.7920792079207921,0.537319116527,0.643564356436,14,404,320,250,0.0749414708538,0.429632248939,6.6393442623,2.0
SF005,BPWA0_7,0.814627196454,0.859528979455,0.837078087955,0.42,0.8146271964540129,0.7326732673267327,0.537319116527,0.643564356436,14,404,296,250,0.0749414708538,0.429632248939,6.6393442623,2.0
SF005,SAWA0_7,0.833712261407,0.877902121263,0.855807191335,0.45666666666666667,0.8337122614074974,0.7920792079207921,0.537319116527,0.643564356436,14,404,320,250,0.0749414708538,0.429632248939,6.6393442623,2.0
SF005,BPWA0_6,0.814627196454,0.859528979455,0.837078087955,0.42,0.8146271964540129,0.7326732673267327,0.537319116527,0.643564356436,14,404,296,250,0.0749414708538,0.429632248939,6.6393442623,2.0
SF005,SAWA0_6,0.833712261407,0.877902121263,0.855807191335,0.45666666666666667,0.8337122614074974,0.7920792079207921,0.537319116527,0.643564356436,14,404,320,250,0.0749414708538,0.429632248939,6.6393442623,2.0
SF005,BPWA0_5,0.815636248147,0.857914370024,0.836775309086,0.42,0.815636248147364,0.7376237623762376,0.537319116527,0.643564356436,14,404,298,250,0.0749414708538,0.429632248939,6.6393442623,2.0
SF005,SAWA0_5,0.825474456435,0.864539836312,0.845007146374,0.44333333333333336,0.8254744564350646,0.801980198019802,0.537319116527,0.643564356436,14,404,324,250,0.0749414708538,0.429632248939,6.6393442623,2.0
SF005,BPWA0_4,0.815636248147,0.857914370024,0.836775309086,0.42,0.815636248147364,0.7376237623762376,0.537319116527,0.643564356436,14,404,298,250,0.0749414708538,0.429632248939,6.6393442623,2.0
SF005,SAWA0_4,0.824114985361,0.861923055509,0.843019020435,0.41333333333333333,0.8241149853606601,0.806930693069307,0.537319116527,0.643564356436,14,404,326,250,0.0749414708538,0.429632248939,6.6393442623,2.0
SF005,BPWA0_3,0.815636248147,0.857914370024,0.836775309086,0.42,0.815636248147364,0.7376237623762376,0.537319116527,0.643564356436,14,404,298,250,0.0749414708538,0.429632248939,6.6393442623,2.0
SF005,SAWA0_3,0.825627899536,0.862034407884,0.84383115371,0.42,0.8256278995360742,0.8118811881188119,0.537319116527,0.643564356436,14,404,328,250,0.0749414708538,0.429632248939,6.6393442623,2.0
SF005,BPWA0_2,0.814493060706,0.856077055843,0.835285058274,0.4066666666666667,0.8144930607055832,0.754950495049505,0.537319116527,0.643564356436,14,404,305,250,0.0749414708538,0.429632248939,6.6393442623,2.0
SF005,SAWA0_2,0.828892835998,0.857413284338,0.843153060168,0.4,0.8288928359976317,0.8688118811881188,0.537319116527,0.643564356436,14,404,351,250,0.0749414708538,0.429632248939,6.6393442623,2.0
SF005,BPWA0_1,0.81321003963,0.856856522465,0.835033281048,0.39666666666666667,0.8132100396301188,0.7673267326732673,0.537319116527,0.643564356436,14,404,310,250,0.0749414708538,0.429632248939,6.6393442623,2.0
SF005,SAWA0_1,0.833152527663,0.855186236847,0.844169382255,0.39,0.8331525276632675,0.9133663366336634,0.537319116527,0.643564356436,14,404,369,250,0.0749414708538,0.429632248939,6.6393442623,2.0
