Dataset,Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length
AL00047305,BPWA1,0.609599063506,0.611388318168,0.610493690837,0.2465753424657534,0.6095990635059995,0.9931972789115646,0.806555349412,0.945578231293,11,147,146,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,SAWA1,0.59748427673,0.599501027297,0.598492652013,0.2465753424657534,0.5974842767295597,0.9931972789115646,0.806555349412,0.945578231293,11,147,146,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,BPWA0_9,0.609599063506,0.611388318168,0.610493690837,0.2465753424657534,0.6095990635059995,0.9931972789115646,0.806555349412,0.945578231293,11,147,146,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,SAWA0_9,0.59748427673,0.599501027297,0.598492652013,0.2465753424657534,0.5974842767295597,0.9931972789115646,0.806555349412,0.945578231293,11,147,146,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,BPWA0_8,0.609599063506,0.611388318168,0.610493690837,0.2465753424657534,0.6095990635059995,0.9931972789115646,0.806555349412,0.945578231293,11,147,146,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,SAWA0_8,0.59748427673,0.599501027297,0.598492652013,0.2465753424657534,0.5974842767295597,0.9931972789115646,0.806555349412,0.945578231293,11,147,146,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,BPWA0_7,0.609599063506,0.611388318168,0.610493690837,0.2465753424657534,0.6095990635059995,0.9931972789115646,0.806555349412,0.945578231293,11,147,146,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,SAWA0_7,0.59748427673,0.599501027297,0.598492652013,0.2465753424657534,0.5974842767295597,0.9931972789115646,0.806555349412,0.945578231293,11,147,146,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,BPWA0_6,0.609599063506,0.611388318168,0.610493690837,0.2465753424657534,0.6095990635059995,0.9931972789115646,0.806555349412,0.945578231293,11,147,146,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,SAWA0_6,0.59748427673,0.599501027297,0.598492652013,0.2465753424657534,0.5974842767295597,0.9931972789115646,0.806555349412,0.945578231293,11,147,146,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,BPWA0_5,0.564478311841,0.565306721456,0.564892516648,0.17123287671232876,0.5644783118405627,1.0,0.806555349412,0.945578231293,11,147,147,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,SAWA0_5,0.59748427673,0.599501027297,0.598492652013,0.2465753424657534,0.5974842767295597,0.9931972789115646,0.806555349412,0.945578231293,11,147,146,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,BPWA0_4,0.564478311841,0.565306721456,0.564892516648,0.17123287671232876,0.5644783118405627,1.0,0.806555349412,0.945578231293,11,147,147,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,SAWA0_4,0.564530289728,0.56618726152,0.565358775624,0.1780821917808219,0.5645302897278315,1.0,0.806555349412,0.945578231293,11,147,147,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,BPWA0_3,0.564478311841,0.565306721456,0.564892516648,0.17123287671232876,0.5644783118405627,1.0,0.806555349412,0.945578231293,11,147,147,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,SAWA0_3,0.564530289728,0.56618726152,0.565358775624,0.1780821917808219,0.5645302897278315,1.0,0.806555349412,0.945578231293,11,147,147,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,BPWA0_2,0.556663245858,0.557235104197,0.556949175028,0.17123287671232876,0.5566632458583786,1.0068027210884354,0.806555349412,0.945578231293,11,147,148,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,SAWA0_2,0.636163660361,0.636630466686,0.636397063523,0.18493150684931506,0.6361636603607567,1.0068027210884354,0.806555349412,0.945578231293,11,147,148,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,BPWA0_1,0.59733135656,0.591282653361,0.594307004961,0.17123287671232876,0.5973313565604151,1.0408163265306123,0.806555349412,0.945578231293,11,147,153,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,SAWA0_1,0.620331038524,0.621514528911,0.620922783717,0.18493150684931506,0.6203310385235096,1.0204081632653061,0.806555349412,0.945578231293,11,147,150,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,BPWA0,0.596510359869,0.561931317875,0.579220838872,0.1780821917808219,0.5965103598691385,1.2585034013605443,0.806555349412,0.945578231293,11,147,185,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,SAWA0,0.60452749924,0.583944819489,0.594236159365,0.19863013698630136,0.6045274992403524,1.1768707482993197,0.806555349412,0.945578231293,11,147,173,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,BPPD,0.735606731621,0.487525682419,0.61156620702,0.21232876712328766,0.7356067316209035,1.782312925170068,0.806555349412,0.945578231293,11,147,262,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,DefaultContrAlign,0.661657491445,0.652626944526,0.657142217985,0.2876712328767123,0.6616574914447255,1.0816326530612246,0.806555349412,0.945578231293,11,147,159,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,ProbAlign,0.411829740188,0.328001174053,0.369915457121,0.0,0.41182974018794916,1.4421768707482994,0.806555349412,0.945578231293,11,147,212,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047305,LINSI,0.549391871848,0.543586733196,0.546489302522,0.1917808219178082,0.5493918718481163,1.0408163265306123,0.806555349412,0.945578231293,11,147,153,145,0.0767709361251,0.103277674706,4.51351351351,3.0
AL00047861,BPWA1,0.978590544157,0.978590544157,0.978590544157,0.8961038961038961,0.9785905441570026,1.0,0.784615384615,0.858974358974,6,78,78,77,0.0144137515133,0.025641025641,1.09090909091,1.0
AL00047861,SAWA1,0.978590544157,0.978590544157,0.978590544157,0.8961038961038961,0.9785905441570026,1.0,0.784615384615,0.858974358974,6,78,78,77,0.0144137515133,0.025641025641,1.09090909091,1.0
AL00047861,BPWA0_9,0.969534050179,0.965209634255,0.967371842217,0.8571428571428571,0.9695340501792115,1.0128205128205128,0.784615384615,0.858974358974,6,78,79,77,0.0144137515133,0.025641025641,1.09090909091,1.0
AL00047861,SAWA0_9,0.978590544157,0.978590544157,0.978590544157,0.8961038961038961,0.9785905441570026,1.0,0.784615384615,0.858974358974,6,78,78,77,0.0144137515133,0.025641025641,1.09090909091,1.0
AL00047861,BPWA0_8,0.969534050179,0.965209634255,0.967371842217,0.8571428571428571,0.9695340501792115,1.0128205128205128,0.784615384615,0.858974358974,6,78,79,77,0.0144137515133,0.025641025641,1.09090909091,1.0
AL00047861,SAWA0_8,0.978590544157,0.978590544157,0.978590544157,0.8961038961038961,0.9785905441570026,1.0,0.784615384615,0.858974358974,6,78,78,77,0.0144137515133,0.025641025641,1.09090909091,1.0
AL00047861,BPWA0_7,0.969534050179,0.965209634255,0.967371842217,0.8571428571428571,0.9695340501792115,1.0128205128205128,0.784615384615,0.858974358974,6,78,79,77,0.0144137515133,0.025641025641,1.09090909091,1.0
AL00047861,SAWA0_7,0.978590544157,0.978590544157,0.978590544157,0.8961038961038961,0.9785905441570026,1.0,0.784615384615,0.858974358974,6,78,78,77,0.0144137515133,0.025641025641,1.09090909091,1.0
AL00047861,BPWA0_6,0.969534050179,0.965209634255,0.967371842217,0.8571428571428571,0.9695340501792115,1.0128205128205128,0.784615384615,0.858974358974,6,78,79,77,0.0144137515133,0.025641025641,1.09090909091,1.0
AL00047861,SAWA0_6,0.978590544157,0.978590544157,0.978590544157,0.8961038961038961,0.9785905441570026,1.0,0.784615384615,0.858974358974,6,78,78,77,0.0144137515133,0.025641025641,1.09090909091,1.0
AL00047861,BPWA0_5,0.969534050179,0.965209634255,0.967371842217,0.8571428571428571,0.9695340501792115,1.0128205128205128,0.784615384615,0.858974358974,6,78,79,77,0.0144137515133,0.025641025641,1.09090909091,1.0
AL00047861,SAWA0_5,0.978590544157,0.978590544157,0.978590544157,0.8961038961038961,0.9785905441570026,1.0,0.784615384615,0.858974358974,6,78,78,77,0.0144137515133,0.025641025641,1.09090909091,1.0
AL00047861,BPWA0_4,0.969534050179,0.965209634255,0.967371842217,0.8571428571428571,0.9695340501792115,1.0128205128205128,0.784615384615,0.858974358974,6,78,79,77,0.0144137515133,0.025641025641,1.09090909091,1.0
AL00047861,SAWA0_4,0.978590544157,0.978590544157,0.978590544157,0.8961038961038961,0.9785905441570026,1.0,0.784615384615,0.858974358974,6,78,78,77,0.0144137515133,0.025641025641,1.09090909091,1.0
AL00047861,BPWA0_3,0.964959568733,0.958073148974,0.961516358854,0.8441558441558441,0.9649595687331537,1.0256410256410255,0.784615384615,0.858974358974,6,78,80,77,0.0144137515133,0.025641025641,1.09090909091,1.0
AL00047861,SAWA0_3,0.978590544157,0.978590544157,0.978590544157,0.8961038961038961,0.9785905441570026,1.0,0.784615384615,0.858974358974,6,78,78,77,0.0144137515133,0.025641025641,1.09090909091,1.0
AL00047861,BPWA0_2,0.964959568733,0.958073148974,0.961516358854,0.8441558441558441,0.9649595687331537,1.0256410256410255,0.784615384615,0.858974358974,6,78,80,77,0.0144137515133,0.025641025641,1.09090909091,1.0
AL00047861,SAWA0_2,0.978590544157,0.978590544157,0.978590544157,0.8961038961038961,0.9785905441570026,1.0,0.784615384615,0.858974358974,6,78,78,77,0.0144137515133,0.025641025641,1.09090909091,1.0
AL00047861,BPWA0_1,0.964896489649,0.956289027654,0.960592758651,0.8441558441558441,0.9648964896489649,1.0384615384615385,0.784615384615,0.858974358974,6,78,81,77,0.0144137515133,0.025641025641,1.09090909091,1.0
AL00047861,SAWA0_1,0.978590544157,0.978590544157,0.978590544157,0.8961038961038961,0.9785905441570026,1.0,0.784615384615,0.858974358974,6,78,78,77,0.0144137515133,0.025641025641,1.09090909091,1.0
AL00047861,BPWA0,0.964896489649,0.956289027654,0.960592758651,0.8441558441558441,0.9648964896489649,1.0384615384615385,0.784615384615,0.858974358974,6,78,81,77,0.0144137515133,0.025641025641,1.09090909091,1.0
AL00047861,SAWA0,0.974014336918,0.969669937556,0.971842137237,0.8831168831168831,0.9740143369175627,1.0256410256410255,0.784615384615,0.858974358974,6,78,80,77,0.0144137515133,0.025641025641,1.09090909091,1.0
AL00047861,BPPD,0.965827338129,0.958073148974,0.961950243552,0.8701298701298701,0.9658273381294964,1.0384615384615385,0.784615384615,0.858974358974,6,78,81,77,0.0144137515133,0.025641025641,1.09090909091,1.0
AL00047861,DefaultContrAlign,0.972370766488,0.973238180196,0.972804473342,0.8961038961038961,0.9723707664884136,1.0,0.784615384615,0.858974358974,6,78,78,77,0.0144137515133,0.025641025641,1.09090909091,1.0
AL00047861,ProbAlign,0.979500891266,0.980374665477,0.979937778371,0.9090909090909091,0.9795008912655971,1.0,0.784615384615,0.858974358974,6,78,78,77,0.0144137515133,0.025641025641,1.09090909091,1.0
