Statistics,TL079,SF263,SF185,SF169,SF054,SF175,SF108,TL272,SF270,SF061,TL332,SF174,SF252,SF319,SF135,SF144,SF024,SF129,SF188,SF227,SF098,SF109,SF045,TL567,SF302,SF055,SF058,SF273,TL239,SF168,SF066,SF133,SF272,SF064,SF173,SF221,SF172,SF254,SF150,TL028,SF190,SF102,SF099,SF222,SF268,SF303,TL788,SF285,TL639,SF261,SF271,SF192,SF151,SF257,SF183,SF001,SF217,SF106,SF266,SF142,SF306,SF255,SF180,SF145,SF052,SF110,SF177,SF130,SF137,SF210,SF097,SF253,SF003,SF087,SF047,SF224,SF011,SF065,SF103,SF207,SF056,SF007,SF225,SF274,SF170,SF198,SF025,SF215,SF318,TL306,SF013,SF134,SF019,SF275,SF208,SF053,SF279,TL436,SF219,SF300,SF315,TL587,TL526,SF067,TL008,SF281,SF091,SF320,TL553,SF012,SF226,SF026,SF305,SF264,SF176,SF313,TL548,SF209,TL443,TL258,SF256,SF018,SF139,SF009,SF197,SF016,SF290,TL142,SF057,SF299,TL568,SF148,SF184,SF017,SF171,SF140,SF063,SF220,SF260,SF187,SF199,SF307,SF104,SF008,SF181,TL413,SF021,SF213,SF131,TL704,TL366,TL657,SF060,SF015,SF096,SF051,SF004,SF027,SF251,SF088,TL346,SF212,SF216,SF178,SF138,TL379,SF149,SF005,SF093,SF092,SF128,SF191,SF304,SF311,SF223,SF146,TL722,TL473,SF229,TL327,SF046,TL026,SF141,SF283,SF316,SF028,SF086,SF049,SF194,SF085,TL347,TL001,SF269,SF111,SF022,TL046,SF100,SF200,TL400,TL167
1-SPFP,0.28217821782200003,0.667928098392,0.913483146067,0.816001275002,0.813946616764,0.809338521401,0.137529137529,0.486618004866,0.826178010471,0.829420970266,0.162436548223,0.948979591837,0.546692607004,0.490939044481,0.328757225434,0.454972592013,0.363870222596,0.590769230769,0.755176455268,0.849093264249,0.504273504274,0.770852620576,0.858324715615,0.40350877193,0.193633952255,0.672965762561,0.388696083292,0.858934169279,0.328638497653,0.583912611718,0.831639301538,0.517928286853,0.549226119608,0.626899016979,0.59804719284,0.201657458564,0.791559737668,0.474683544304,0.493426140758,0.399239543726,0.662572721396,0.731030410393,0.794957983193,0.973418394471,0.98177399757,0.40854611777,0.181008902077,0.525038402458,0.133333333333,0.766106442577,0.736315789474,0.797165633304,0.808219178082,0.861271676301,0.462751677852,0.643522438611,0.681114551084,0.747758902481,0.237835998639,0.572631578947,0.119744058501,0.812030075188,0.681951219512,0.527955271565,0.707762193178,0.892674616695,0.781962190839,0.598517603459,0.961115187087,0.290005461496,0.315959409594,0.785932721713,0.23334159029,0.565743944637,0.590704647676,0.867132867133,0.0938581314879,0.563478679836,0.904629996043,0.767973856209,0.60262434613,0.31775180857,0.414198161389,0.325315005727,0.332214765101,0.21592039801,0.946735395189,0.496465836419,0.62481910275,0.56875,0.748775710088,0.679071628651,0.590145576708,0.419440745672,0.856437864513,0.2949932341,0.712772050401,0.371490280778,0.575984990619,0.871151653364,0.261017525949,0.679334916865,0.0763888888889,0.736319742489,0.0,0.711475409836,0.548214285714,0.639101654846,0.111979166667,0.402116402116,0.807924947537,0.4,0.803968418866,0.770222743259,0.400779588944,0.573385518591,0.647058823529,0.309824828637,0.0851735015773,0.015625,0.795479603087,0.837837837838,0.567475521499,0.614642184557,0.6925,0.63910117486,0.41310362173,0.303846153846,0.687474500204,0.511414326948,0.148623853211,0.434400502197,0.777777777778,0.521016483516,0.310132575758,0.241524310118,0.604256149941,0.497805536799,0.691435185185,0.567322239032,0.568014705882,0.677672209026,0.389966969447,0.554886787045,0.656363636364,0.281690140845,0.317548746518,0.679976162098,0.608633093525,0.435897435897,0.0157480314961,0.101973684211,0.391302064184,0.824289405685,0.307086614173,0.627737226277,0.39606741573,0.499556737589,0.564338235294,0.322580645161,0.278571428571,0.601515151515,0.197336561743,0.663507109005,0.752997601918,0.147887323944,0.771251393534,0.841984454066,0.624358587383,0.454608695652,0.458195898466,0.790366721401,0.800260247235,0.598730778619,0.816666666667,0.45960154953,0.814371257485,0.456470588235,0.565180824222,0.0,0.36132782622,0.101214574899,0.74335106383,0.569014982467,0.644433042586,0.512476007678,0.567232105916,0.575161290323,0.63488372093,0.87549004234,0.0,0.0,0.81021021021,0.461044176707,0.515895953757,0.0450819672131,0.273526370217,0.357990506329,0.0,0.329268292683
1-SPFN,0.3,0.680481927711,0.945348837209,0.847892688582,0.893824133828,0.908296943231,0.156706507304,0.576368876081,0.852051835853,0.858995137763,0.211920529801,0.989361702128,0.568825910931,0.625065547981,0.485074626866,0.540968342644,0.454551416579,0.627450980392,0.772273272074,0.865918097754,0.577959183673,0.82767908677,0.903585765803,0.310810810811,0.247651356994,0.717128642502,0.481276856967,0.910299003322,0.334928229665,0.639825897715,0.870668485675,0.590909090909,0.620871725852,0.650742115028,0.638020833333,0.231012658228,0.85257985258,0.5476556495,0.594594594595,0.430327868852,0.745997088792,0.790801660811,0.855850422195,0.979144385027,0.98177399757,0.478048780488,0.291866028708,0.576002696326,0.188679245283,0.802052785924,0.795790671217,0.868725868726,0.852661261896,0.87134502924,0.477327795085,0.655737704918,0.743243243243,0.841020499109,0.291858037578,0.610961365678,0.158212560386,0.835443037975,0.703927492447,0.635576923077,0.762317596567,0.915283842795,0.824535140246,0.674321503132,0.963235294118,0.35733512786,0.362625727898,0.790769230769,0.267918088737,0.640757674722,0.652317880795,0.914646996839,0.129205120572,0.63473541384,0.930402930403,0.779867256637,0.680789262821,0.406985032074,0.443532950506,0.348039215686,0.376425855513,0.26399026764,0.953287197232,0.522678951099,0.676459067763,0.669117647059,0.81200212427,0.749558303887,0.570346320346,0.556537102473,0.867333030441,0.38026414154,0.752873563218,0.401869158879,0.662516600266,0.936274509804,0.293363931918,0.756613756614,0.065671641791,0.795421616923,0.0,0.854330708661,0.634297520661,0.715071681744,0.131901840491,0.531004366812,0.847797927461,0.44250363901,0.881937321937,0.792521109771,0.468581687612,0.654017857143,0.764705882353,0.378207512086,0.0854430379747,0.0183486238532,0.829310344828,0.901390644753,0.677337398374,0.668287688764,0.731836195509,0.702776151852,0.531897668394,0.364055299539,0.765909090909,0.558292752793,0.152830188679,0.58041518138,0.807692307692,0.542115292997,0.427824951012,0.297507283911,0.638275933182,0.600610997963,0.711698832499,0.607779578606,0.62932790224,0.713606803402,0.50119395065,0.593865030675,0.918575063613,0.31746031746,0.387096774194,0.68776371308,0.691035327752,0.475524475524,0.0251046025105,0.144859813084,0.470684862269,0.893557422969,0.348214285714,0.654822335025,0.475548060708,0.563218390805,0.685267857143,0.323741007194,0.318367346939,0.686257562662,0.288070692194,0.724137931034,0.753399093575,0.172131147541,0.826970489354,0.898613662936,0.681660899654,0.502885725279,0.481973148288,0.817667044168,0.803134182174,0.656408884132,0.820083682008,0.562288422478,0.906666666667,0.470873786408,0.639796889876,0.0,0.484811165846,0.128865979381,0.767857142857,0.639097744361,0.686526373326,0.53722334004,0.643964302489,0.623862841148,0.667481662592,0.890572659116,0.0,0.0,0.831860226105,0.545212765957,0.554347826087,0.0488888888889,0.331453634085,0.372427983539,0.0,0.36
SP-Score,0.291089108911,0.674205013051,0.929415991638,0.831946981792,0.853885375296,0.858817732316,0.147117822417,0.531493440473,0.839114923162,0.844208054015,0.187178539012,0.969170646982,0.557759258968,0.558002296231,0.40691592615,0.497970467328,0.409210819587,0.609110105581,0.763724863671,0.857505681001,0.541116343973,0.799265853673,0.880955240709,0.35715979137,0.220642654624,0.695047202531,0.43498647013,0.884616586301,0.331783363659,0.611869254716,0.851153893606,0.554418688881,0.58504892273,0.638820566004,0.618034013087,0.216335058396,0.822069795124,0.511169596902,0.544010367676,0.414783706289,0.704284905094,0.760916035602,0.825404202694,0.976281389749,0.98177399757,0.443297449129,0.236437465393,0.550520549392,0.161006289308,0.78407961425,0.766053230345,0.832945751015,0.830440219989,0.86630835277,0.470039736469,0.649630071765,0.712178897163,0.794389700795,0.264847018109,0.591796472313,0.138978309444,0.823736556581,0.69293935598,0.581766097321,0.735039894872,0.903979229745,0.803248665542,0.636419553295,0.962175240602,0.323670294678,0.339292568746,0.788350976241,0.250629839514,0.60325080968,0.621511264235,0.890889931986,0.11153162603,0.599107046838,0.917516463223,0.773920556423,0.641706804475,0.362368420322,0.428865555948,0.336677110707,0.354320310307,0.239955332825,0.95001129621,0.509572393759,0.650639085257,0.618933823529,0.780388917179,0.714314966269,0.580245948527,0.487988924073,0.861885447477,0.33762868782,0.73282280681,0.386679719828,0.619250795442,0.903713081584,0.277190728933,0.717974336739,0.07103026534,0.765870679706,0.0,0.782903059249,0.591255903188,0.677086668295,0.121940503579,0.466560384464,0.827861437499,0.421251819505,0.842952870401,0.781371926515,0.434680638278,0.613701687867,0.705882352941,0.344016170361,0.085308269776,0.0169868119266,0.812394973957,0.869614241296,0.622406459936,0.641464936661,0.712168097754,0.670938663356,0.472500645062,0.333950726693,0.726691795557,0.534853539871,0.150727020945,0.507407841788,0.792735042735,0.531565888257,0.368978763385,0.269515797014,0.621266041562,0.549208267381,0.701567008842,0.587550908819,0.598671304061,0.695639506214,0.445580460048,0.57437590886,0.787469349988,0.299575229153,0.352322760356,0.683869937589,0.649834210638,0.455710955711,0.0204263170033,0.123416748647,0.430993463227,0.858923414327,0.327650449944,0.641279780651,0.435807738219,0.531387564197,0.624803046218,0.323160826178,0.298469387755,0.643886357089,0.242703626969,0.69382252002,0.753198347747,0.160009235742,0.799110941444,0.870299058501,0.653009743519,0.478747210466,0.470084523377,0.804016882784,0.801697214705,0.627569831375,0.818375174338,0.510944986004,0.860518962076,0.463672187322,0.602488857049,0.0,0.423069496033,0.11504027714,0.755604103343,0.604056363414,0.665479707956,0.524849673859,0.605598204203,0.599512065735,0.651182691761,0.883031350728,0.0,0.0,0.821035218158,0.503128471332,0.535121889922,0.046985428051,0.302490002151,0.365209244934,0.0,0.344634146341
TC,0.1527777777777778,0.289719626168,0.692307692308,0.464864864865,0.468553459119,0.758620689655,0.0,0.391304347826,0.641860465116,0.573333333333,0.0,0.96875,0.312,0.248554913295,0.200819672131,0.044,0.0361757105943,0.248484848485,0.355029585799,0.71897810219,0.340579710145,0.136363636364,0.519417475728,0.0535714285714,0.0320855614973,0.4,0.126811594203,0.841121495327,0.0,0.244186046512,0.512195121951,0.1,0.147727272727,0.19696969697,0.333333333333,0.120967741935,0.430379746835,0.0945945945946,0.209302325581,0.329787234043,0.425087108014,0.354037267081,0.601941747573,0.952229299363,0.951388888889,0.203187250996,0.224719101124,0.18,0.0,0.493333333333,0.41847826087,0.558823529412,0.619469026549,0.674242424242,0.193277310924,0.337078651685,0.44094488189,0.335135135135,0.00763358778626,0.282407407407,0.00849256900212,0.630188679245,0.425,0.296703296703,0.263929618768,0.839598997494,0.388888888889,0.199052132701,0.855263157895,0.065,0.0093023255814,0.672566371681,0.0537313432836,0.120805369128,0.0,0.828402366864,0.0,0.185654008439,0.743055555556,0.553571428571,0.186192468619,0.0816326530612,0.0551181102362,0.224832214765,0.0,0.0,0.88,0.112107623318,0.373493975904,0.462962962963,0.5,0.359281437126,0.227272727273,0.144827586207,0.552845528455,0.114068441065,0.301255230126,0.0,0.136363636364,0.741935483871,0.0,0.639705882353,0.008,0.372448979592,0.0,0.8,0.339130434783,0.305907172996,0.0227272727273,0.31746031746,0.391304347826,0.217391304348,0.239130434783,0.527472527473,0.0761316872428,0.385542168675,0.569620253165,0.0284629981025,0.0,0.0,0.46835443038,0.736111111111,0.294797687861,0.230046948357,0.456375838926,0.0544554455446,0.0646258503401,0.202247191011,0.263565891473,0.141592920354,0.0,0.159169550173,0.65306122449,0.00440528634361,0.0672,0.0,0.154761904762,0.143229166667,0.1375,0.367346938776,0.271739130435,0.272727272727,0.0125,0.0,0.683229813665,0.195652173913,0.164634146341,0.27358490566,0.0802469135802,0.326530612245,0.0,0.0,0.0449612403101,0.755905511811,0.113095238095,0.414893617021,0.155913978495,0.255813953488,0.393258426966,0.0102040816327,0.208791208791,0.350318471338,0.0630630630631,0.37668161435,0.302395209581,0.0,0.138461538462,0.5,0.103448275862,0.123966942149,0.158798283262,0.550724637681,0.497872340426,0.213235294118,0.71875,0.110497237569,0.836538461538,0.0779220779221,0.251479289941,0.0,0.0872093023256,0.0,0.427083333333,0.278592375367,0.427631578947,0.313131313131,0.188775510204,0.204761904762,0.510344827586,0.589494163424,0.0,0.0,0.578358208955,0.174418604651,0.112903225806,0.0,0.0601941747573,0.0542857142857,0.0,0.321428571429
Modeler,0.2821782178217821,0.667928098392,0.913483146067,0.816001275002,0.813946616764,0.809338521401,0.137529137529,0.486618004866,0.826178010471,0.829420970266,0.162436548223,0.948979591837,0.546692607004,0.490939044481,0.328757225434,0.454972592013,0.363870222596,0.590769230769,0.755176455268,0.849093264249,0.504273504274,0.770852620576,0.858324715615,0.40350877193,0.193633952255,0.672965762561,0.388696083292,0.858934169279,0.328638497653,0.583912611718,0.831639301538,0.517928286853,0.549226119608,0.626899016979,0.59804719284,0.201657458564,0.791559737668,0.474683544304,0.493426140758,0.399239543726,0.662572721396,0.731030410393,0.794957983193,0.973418394471,0.98177399757,0.40854611777,0.181008902077,0.525038402458,0.133333333333,0.766106442577,0.736315789474,0.797165633304,0.808219178082,0.861271676301,0.462751677852,0.643522438611,0.681114551084,0.747758902481,0.237835998639,0.572631578947,0.119744058501,0.812030075188,0.681951219512,0.527955271565,0.707762193178,0.892674616695,0.781962190839,0.598517603459,0.961115187087,0.290005461496,0.315959409594,0.785932721713,0.23334159029,0.565743944637,0.590704647676,0.867132867133,0.0938581314879,0.563478679836,0.904629996043,0.767973856209,0.60262434613,0.31775180857,0.414198161389,0.325315005727,0.332214765101,0.21592039801,0.946735395189,0.496465836419,0.62481910275,0.56875,0.748775710088,0.679071628651,0.590145576708,0.419440745672,0.856437864513,0.2949932341,0.712772050401,0.371490280778,0.575984990619,0.871151653364,0.261017525949,0.679334916865,0.0763888888889,0.736319742489,0.0,0.711475409836,0.548214285714,0.639101654846,0.111979166667,0.402116402116,0.807924947537,0.4,0.803968418866,0.770222743259,0.400779588944,0.573385518591,0.647058823529,0.309824828637,0.0851735015773,0.015625,0.795479603087,0.837837837838,0.567475521499,0.614642184557,0.6925,0.63910117486,0.41310362173,0.303846153846,0.687474500204,0.511414326948,0.148623853211,0.434400502197,0.777777777778,0.521016483516,0.310132575758,0.241524310118,0.604256149941,0.497805536799,0.691435185185,0.567322239032,0.568014705882,0.677672209026,0.389966969447,0.554886787045,0.656363636364,0.281690140845,0.317548746518,0.679976162098,0.608633093525,0.435897435897,0.0157480314961,0.101973684211,0.391302064184,0.824289405685,0.307086614173,0.627737226277,0.39606741573,0.499556737589,0.564338235294,0.322580645161,0.278571428571,0.601515151515,0.197336561743,0.663507109005,0.752997601918,0.147887323944,0.771251393534,0.841984454066,0.624358587383,0.454608695652,0.458195898466,0.790366721401,0.800260247235,0.598730778619,0.816666666667,0.45960154953,0.814371257485,0.456470588235,0.565180824222,0.0,0.36132782622,0.101214574899,0.74335106383,0.569014982467,0.644433042586,0.512476007678,0.567232105916,0.575161290323,0.63488372093,0.87549004234,0.0,0.0,0.81021021021,0.461044176707,0.515895953757,0.0450819672131,0.273526370217,0.357990506329,0.0,0.329268292683
Compression,0.8888888888888888,0.806282722513,0.808219178082,0.801724137931,0.613259668508,0.862903225806,0.857657657658,0.725663716814,0.928571428571,0.873873873874,0.795454545455,0.903614457831,0.825396825397,0.681360201511,0.744807121662,0.638733705773,0.55477980666,0.84355179704,0.840148698885,0.945945945946,0.800415800416,0.560301507538,0.766848816029,1.20779220779,0.60290237467,0.811428571429,0.675774134791,0.884892086331,1.0,0.740740740741,0.814814814815,0.723849372385,0.729281767956,0.882530120482,0.837037037037,0.85201793722,0.607692307692,0.71875,0.741784037559,0.872483221477,0.84332688588,0.700934579439,0.771676300578,0.986595174263,1.0,0.783068783069,0.662745098039,0.797260273973,0.691943127962,0.846774193548,0.770909090909,0.709219858156,0.855212355212,0.944444444444,0.871559633028,0.893939393939,0.909090909091,0.644599303136,0.768518518519,0.824561403509,0.721789883268,0.916666666667,0.952,0.721374045802,0.785162287481,0.953736654804,0.705314009662,0.695214105793,0.994974874372,0.727272727273,0.735849056604,0.989247311828,0.671517671518,0.630170316302,0.776223776224,0.85201793722,0.59842519685,0.712460063898,0.921212121212,0.951086956522,0.683422459893,0.701127819549,0.76511627907,0.882783882784,0.820512820513,0.659550561798,0.980952380952,0.863221884498,0.696721311475,0.817073170732,0.678861788618,0.742857142857,0.993288590604,0.659649122807,0.963235294118,0.532837670384,0.859078590786,0.739393939394,0.666982024598,0.821138211382,0.699115044248,0.865470852018,1.0438247012,0.758064516129,0.546712802768,0.781818181818,0.779710144928,0.696685082873,0.859788359788,0.695526695527,0.757785467128,0.83125,0.587628865979,0.960199004975,0.684485006519,0.784722222222,0.807407407407,0.657303370787,0.914893617021,0.794736842105,0.881656804734,0.855614973262,0.797802197802,0.779944289694,0.868644067797,0.664930555556,0.5,0.798742138365,0.707423580786,0.758064516129,0.838095238095,0.5234375,0.916666666667,0.777348777349,0.621621621622,0.559360730594,0.869324473976,0.660208643815,0.810276679842,0.929712460064,0.767741935484,0.818984547461,0.578729281768,0.716312056738,0.673913043478,0.802030456853,0.692893401015,0.923664122137,0.66384180791,0.850574712644,0.668989547038,0.751968503937,0.590025359256,0.899441340782,0.849802371542,0.923076923077,0.734463276836,0.791946308725,0.697986577181,0.944444444444,0.830409356725,0.75,0.476987447699,0.87460815047,0.882783882784,0.75,0.603636363636,0.742574257426,0.64768683274,0.775510204082,0.770531400966,0.90977443609,0.958490566038,0.751101321586,0.980582524272,0.648910411622,0.848275862069,0.925925925926,0.793991416309,0.744505494505,0.620715917746,0.794117647059,0.942386831276,0.751063829787,0.852534562212,0.900621118012,0.720634920635,0.752873563218,0.917127071823,0.890881913303,0.740601503759,0.739644970414,0.894308943089,0.659359190556,0.842767295597,0.894444444444,0.597183098592,0.911764705882,0.681978798587,0.85
Average Pairwise P-Distance,0.8695004848639999,0.830240634165,0.778929961678,0.804968510509,0.759799173129,0.632431818956,0.819956140351,0.864721494374,0.748275757806,0.791706587947,0.869749045281,0.648857526882,0.853372513515,0.814322946983,0.781737597462,0.792134176935,0.841515202858,0.755606038075,0.748222392735,0.725282838924,0.8393968564,0.770291335261,0.726165796418,0.826513213981,0.855790518777,0.75917552022,0.830959258849,0.675496334456,0.854173943848,0.785510949381,0.800020015902,0.795348288758,0.806525359272,0.810371511644,0.758717665415,0.848936272622,0.727399954706,0.844318756589,0.84117680765,0.865119761969,0.808509889006,0.762812643359,0.817934048516,0.621102044874,0.579843410852,0.797863831305,0.892845926763,0.838317775627,0.91598119859,0.733789594889,0.771097840703,0.732426502772,0.810364159278,0.701416138338,0.856992819553,0.845617184273,0.829384423346,0.7581930172,0.872637504629,0.830256266678,0.904053299954,0.722565440429,0.838046287507,0.815710778137,0.822076643334,0.646084378966,0.753132537036,0.849007465321,0.562589394874,0.850158970031,0.81292432681,0.737379640452,0.858302720367,0.765045442658,0.70970707186,0.694992576035,0.89173061366,0.812831963394,0.624301992431,0.750756748905,0.820384217506,0.841388272493,0.844047399085,0.891191658565,0.838723820722,0.870287694704,0.616068871707,0.813677097742,0.856286473107,0.831027667984,0.76715550631,0.800924685342,0.837019396336,0.781586928582,0.817788023026,0.843500493055,0.804869235778,0.864719437303,0.791986883895,0.690983337249,0.768054535769,0.852134512764,0.893607893608,0.760214031901,0.967276422764,0.759040755992,0.821377516887,0.780619863241,0.890007205541,0.833688798923,0.806974838343,0.784176558601,0.777094950043,0.754258899249,0.872960669904,0.749480144348,0.8129395218,0.847394871068,0.916013243626,0.922297080024,0.801795415885,0.615466523602,0.814422013592,0.825768273158,0.824250130972,0.735406803509,0.840732972395,0.902171555016,0.782015544893,0.841541017971,0.913054893785,0.838182402062,0.858561252669,0.833178561155,0.835072673481,0.849582701299,0.772615459476,0.779502111028,0.818052168694,0.880344535105,0.756645321615,0.74696985449,0.847652598253,0.871988444892,0.624311081639,0.893263639076,0.836157156674,0.833903705436,0.73233924771,0.880590534086,0.900158730159,0.9298325109,0.817340815176,0.718155882689,0.854911180773,0.736454024274,0.863944464689,0.800245106672,0.740567708033,0.856922602529,0.852240392954,0.845692567758,0.886645212138,0.72413100465,0.720423334498,0.884270334182,0.747899895915,0.770470969964,0.828496524325,0.842436907897,0.854850882711,0.751315502523,0.728952254808,0.837572243464,0.750037012096,0.82164523058,0.853421368547,0.872143572144,0.767366493491,0.888970300223,0.763719850898,0.938006930994,0.716564943831,0.812432058982,0.768021707351,0.851608540268,0.808176326615,0.784334533193,0.702223149984,0.729070242243,0.895096801347,0.90182946104,0.731683966597,0.847513331224,0.818228614145,0.921415262001,0.871213888501,0.820529962658,0.921671671672,0.875042735043
Maximum Pairwise P-Distance,0.90625,0.916666666667,0.928571428571,0.904,0.887254901961,0.704225352113,0.850877192982,0.916666666667,0.804469273743,0.879310344828,0.936170212766,0.677419354839,0.947368421053,0.890909090909,0.827433628319,0.914285714286,0.948051948052,0.885057471264,0.898550724638,0.76862745098,0.896739130435,0.962962962963,0.823076923077,0.891304347826,0.91095890411,0.885,0.891472868217,0.77,0.928571428571,0.881355932203,0.911111111111,0.880597014925,0.943089430894,0.888888888889,0.836363636364,0.908163265306,0.885245901639,0.913875598086,0.939393939394,0.907894736842,0.879396984925,0.857142857143,0.853107344633,0.713826366559,0.639705882353,0.869318181818,0.934426229508,0.935779816514,0.942028985507,0.833333333333,0.883928571429,0.88679245283,0.864768683274,0.822033898305,0.917948717949,0.907894736842,0.89,0.88785046729,0.95652173913,0.931506849315,0.95145631068,0.832618025751,0.893617021277,0.954022988506,0.927536231884,0.676092544987,0.885714285714,0.90625,0.637795275591,0.897297297297,0.972222222222,0.787610619469,0.949152542373,0.904761904762,0.941176470588,0.792207792208,0.957345971564,0.904761904762,0.688461538462,0.833333333333,0.91059602649,0.907216494845,0.945205479452,0.899253731343,0.921348314607,0.943298969072,0.6875,0.918699186992,0.950819672131,0.847826086957,0.866666666667,0.871794871795,0.90625,0.857142857143,0.913461538462,0.916666666667,0.891304347826,0.975609756098,0.897810218978,0.820512820513,0.861788617886,0.860655737705,0.918918918919,0.868085106383,1.0,0.785714285714,0.879194630872,0.848,0.928571428571,0.867403314917,0.912280701754,0.859154929577,0.925373134328,0.867469879518,0.931330472103,0.810810810811,0.888888888889,0.914179104478,0.959183673469,0.957746478873,0.913793103448,0.65671641791,0.913793103448,0.937984496124,0.865546218487,0.936305732484,0.960396039604,0.96875,0.952941176471,0.8984375,0.962264150943,0.928057553957,0.931818181818,0.8984375,0.922619047619,0.941860465116,0.877049180328,0.888111888112,0.938596491228,0.925531914894,0.90243902439,0.890052356021,0.938271604938,0.96,0.6625,0.913580246914,0.906103286385,0.924050632911,0.840579710145,0.918367346939,0.95,0.945205479452,0.923076923077,0.826086956522,0.916666666667,0.833333333333,0.917431192661,0.876923076923,0.794871794872,0.934782608696,0.894117647059,0.922330097087,0.929824561404,0.887573964497,0.863070539419,0.953125,0.902777777778,0.884615384615,0.926315789474,0.923076923077,0.901960784314,0.801169590643,0.895287958115,0.892655367232,0.837837837838,0.918552036199,0.9,0.952380952381,0.915789473684,0.941176470588,0.864406779661,0.942028985507,0.845528455285,0.884353741497,0.824242424242,0.919540229885,0.913043478261,0.90990990991,0.805970149254,0.83698296837,0.931818181818,0.958333333333,0.834101382488,0.901639344262,0.918918918919,0.95652173913,0.913333333333,0.92700729927,0.959459459459,0.92
Number of Sequences,3.0,8.0,7.0,14.0,17.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,7.0,11.0,6.0,11.0,4.0,4.0,24.0,11.0,3.0,7.0,7.0,5.0,3.0,5.0,6.0,8.0,8.0,12.0,5.0,5.0,3.0,11.0,7.0,6.0,3.0,4.0,8.0,5.0,4.0,4.0,5.0,3.0,7.0,3.0,5.0,8.0,7.0,5.0,5.0,6.0,6.0,4.0,19.0,8.0,6.0,4.0,4.0,5.0,5.0,11.0,3.0,16.0,8.0,5.0,4.0,6.0,3.0,8.0,11.0,6.0,4.0,6.0,8.0,5.0,4.0,9.0,5.0,9.0,3.0,4.0,6.0,4.0,7.0,10.0,3.0,7.0,7.0,5.0,4.0,7.0,8.0,7.0,5.0,9.0,5.0,9.0,3.0,3.0,8.0,3.0,3.0,4.0,9.0,3.0,4.0,12.0,5.0,16.0,5.0,8.0,4.0,3.0,7.0,3.0,3.0,8.0,4.0,5.0,8.0,4.0,16.0,11.0,3.0,7.0,8.0,5.0,9.0,4.0,13.0,5.0,9.0,6.0,8.0,9.0,4.0,4.0,7.0,7.0,10.0,3.0,3.0,5.0,7.0,11.0,3.0,3.0,3.0,11.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,5.0,7.0,4.0,8.0,4.0,19.0,14.0,11.0,6.0,10.0,5.0,6.0,7.0,4.0,9.0,3.0,4.0,6.0,3.0,9.0,3.0,6.0,6.0,5.0,4.0,7.0,7.0,3.0,8.0,3.0,3.0,7.0,8.0,6.0,3.0,7.0,6.0,3.0,3.0
Reference Length,126.0,191.0,73.0,232.0,543.0,124.0,555.0,113.0,238.0,111.0,176.0,83.0,189.0,794.0,1011.0,537.0,1862.0,473.0,269.0,333.0,481.0,398.0,549.0,77.0,758.0,350.0,549.0,139.0,80.0,135.0,216.0,239.0,362.0,332.0,270.0,223.0,130.0,704.0,213.0,149.0,517.0,321.0,346.0,373.0,165.0,378.0,255.0,365.0,211.0,124.0,275.0,141.0,518.0,144.0,327.0,132.0,198.0,287.0,324.0,285.0,1028.0,324.0,125.0,262.0,647.0,562.0,207.0,397.0,199.0,660.0,424.0,186.0,481.0,411.0,143.0,223.0,1143.0,313.0,330.0,184.0,935.0,532.0,430.0,546.0,156.0,890.0,105.0,329.0,122.0,82.0,246.0,280.0,149.0,285.0,136.0,807.0,369.0,165.0,1057.0,123.0,452.0,223.0,251.0,682.0,289.0,165.0,345.0,1810.0,378.0,693.0,289.0,160.0,388.0,201.0,767.0,144.0,135.0,890.0,188.0,190.0,169.0,187.0,455.0,359.0,236.0,576.0,602.0,159.0,229.0,372.0,105.0,640.0,72.0,777.0,1036.0,438.0,903.0,671.0,253.0,313.0,155.0,453.0,724.0,141.0,276.0,197.0,788.0,131.0,354.0,87.0,287.0,254.0,1183.0,179.0,253.0,234.0,354.0,447.0,149.0,126.0,171.0,240.0,956.0,319.0,546.0,156.0,275.0,404.0,281.0,490.0,414.0,266.0,265.0,454.0,103.0,826.0,145.0,108.0,466.0,364.0,1313.0,170.0,243.0,470.0,651.0,161.0,315.0,348.0,181.0,669.0,266.0,169.0,369.0,593.0,159.0,180.0,1065.0,442.0,283.0,160.0
