Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length,1-SPFP(masked),1-SPFN(masked),TC(masked),Compression(masked),Average Terminal Gap length
BPMAP,0.479196962742,0.484653203404,0.481925083073,0.206744208714,0.479196962742,0.945423781948,0.804245329268,0.887911915434,6.55,389.903846154,372.461538462,238.930769231,0.141514388704,0.422164822841,7.63970469711,2.87115384615,0.479196962742,0.484653203404,0.206744208714,0.945423781948,19.882588175
BPPD,0.612370603175,0.473094163152,0.542732383164,0.235271747107,0.612370603175,1.35996815671,0.804245329268,0.887911915434,6.55,389.903846154,527.426923077,238.930769231,0.141514388704,0.422164822841,7.63970469711,2.87115384615,0.612370603175,0.473094163152,0.235271747107,1.35996815671,19.882588175
Clustal,0.480565865774,0.503862462359,0.492214164067,0.22141621521,0.480565865774,0.820943880845,0.804245329268,0.887911915434,6.55,389.903846154,297.676923077,238.930769231,0.141514388704,0.422164822841,7.63970469711,2.87115384615,0.480565865774,0.503862462359,0.22141621521,0.820943880845,19.882588175
DefaultContrAlign,0.503530593468,0.556637953688,0.530084273578,0.250968932924,0.503530593468,0.780231294721,0.804245329268,0.887911915434,6.55,389.903846154,287.673076923,238.930769231,0.141514388704,0.422164822841,7.63970469711,2.87115384615,0.503530593468,0.556637953688,0.250968932924,0.780231294721,19.882588175
DefaultProbCons,0.494481125531,0.523193782024,0.508837453778,0.227094511143,0.494481125531,0.855618526615,0.804245329268,0.887911915434,6.55,389.903846154,320.134615385,238.930769231,0.141514388704,0.422164822841,7.63970469711,2.87115384615,0.494481125531,0.523193782024,0.227094511143,0.855618526615,19.882588175
DiAlign,0.459554379107,0.436633624182,0.448094001644,0.172309476932,0.459554379107,0.976837230225,0.804245329268,0.887911915434,6.55,389.903846154,372.838461538,238.930769231,0.141514388704,0.422164822841,7.63970469711,2.87115384615,0.459554379107,0.436633624182,0.172309476932,0.976837230225,19.882588175
EINSI,0.490871927134,0.521380596346,0.50612626174,0.226285214921,0.490871927134,0.813237643598,0.804245329268,0.887911915434,6.55,389.903846154,298.153846154,238.930769231,0.141514388704,0.422164822841,7.63970469711,2.87115384615,0.490871927134,0.521380596346,0.226285214921,0.813237643598,19.882588175
GINSI,0.482658496831,0.520190716904,0.501424606867,0.223594669287,0.482658496831,0.794056406753,0.804245329268,0.887911915434,6.55,389.903846154,290.269230769,238.930769231,0.141514388704,0.422164822841,7.63970469711,2.87115384615,0.482658496831,0.520190716904,0.223594669287,0.794056406753,19.882588175
KAlign,0.429308671197,0.466125386869,0.447717029033,0.196104927057,0.429308671197,0.784758214867,0.804245329268,0.887911915434,6.55,389.903846154,284.007692308,238.930769231,0.141514388704,0.422164822841,7.63970469711,2.87115384615,0.429308671197,0.466125386869,0.196104927057,0.784758214867,19.882588175
LINSI,0.491489583831,0.525059362357,0.508274473094,0.231431517305,0.491489583831,0.812105882371,0.804245329268,0.887911915434,6.55,389.903846154,296.415384615,238.930769231,0.141514388704,0.422164822841,7.63970469711,2.87115384615,0.491489583831,0.525059362357,0.231431517305,0.812105882371,19.882588175
MAFFT,0.491099648413,0.524819494651,0.507959571532,0.231265011416,0.491099648413,0.810657172271,0.804245329268,0.887911915434,6.55,389.903846154,296.134615385,238.930769231,0.141514388704,0.422164822841,7.63970469711,2.87115384615,0.491099648413,0.524819494651,0.231265011416,0.810657172271,19.882588175
