,RNASimBigR07,RNASimBigR01,RNASimBigR10,RNASimBigR05,RNASimBigR03,RNASimBigR02,RNASimBigR09,RNASimBigR08,RNASimBigR04,RNASimBigR06
1-SPFP,0.994340313155,0.995506675279,0.99521591009,0.994259546994,0.996274002647,0.9933593494,0.996067231606,0.993911060013,0.993953244388,0.996795639052
1-SPFN,0.993593291127,0.994897922599,0.995258990192,0.994091459368,0.996212548902,0.993175880549,0.996062716005,0.992965238292,0.993863794966,0.996794715714
SP-Score,0.993966802141,0.995202298939,0.995237450141,0.994175503181,0.996243275774,0.993267614974,0.996064973805,0.993438149153,0.993908519677,0.996795177383
TC,0.8445460483344219,0.8598435462842242,0.8098637248539909,0.8363518758085382,0.8555770470664088,0.8171834625322998,0.8574206092028516,0.8332251784555483,0.8239845261121856,0.8407766990291262
Modeler,0.9943403131553639,0.9955066752785291,0.9952159100897546,0.9942595469936879,0.9962740026467329,0.9933593493999029,0.9960672316057242,0.9939110600134528,0.9939532443878754,0.9967956390519961
Compression,1.0026058631921824,1.003242542153048,0.9980879541108987,1.005131494547787,1.000632911392405,1.0019120458891013,1.0012763241863434,1.0038684719535784,1.0043859649122806,1.0019169329073483
Average Pairwise P-Distance,0.172505113783,0.181861782112,0.198544792506,0.186246751738,0.193002596348,0.201270884476,0.192995230883,0.17925536718,0.218580347531,0.194372350247
Maximum Pairwise P-Distance,0.239576439444,0.256073539068,0.371352785146,0.355115511551,0.261467889908,0.368666666667,0.3575677462,0.33488372093,0.372926343729,0.34234828496
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1535,1542,1569,1559,1580,1569,1567,1551,1596,1565
Estimated Length,1539,1547,1566,1567,1581,1572,1569,1557,1603,1568
Maximum Ungapped Length,1526,1534,1532,1538,1539,1529,1531,1527,1532,1539
Sequence Length Heterogeneity,0.00155027299442,0.00214723001321,0.00141682657556,0.00250329956637,0.0015032035131,0.0021211624484,0.00172479045293,0.00157669278277,0.00206180907368,0.00193440356999
Gappiness Percentage,0.0088990228013,0.0095784695201,0.0263288718929,0.0188710711995,0.029082278481,0.0299298916507,0.0288704530951,0.0188072211476,0.0446428571429,0.0203130990415
Average Gap Length,1.00886262925,1.0475177305,1.01874229346,1.00926243568,1.01434878587,1.00837449002,1.02794819359,1.00516884907,1.02048123747,1.01242038217
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
