,RNASimBigR07,RNASimBigR01,RNASimBigR10,RNASimBigR05,RNASimBigR03,RNASimBigR02,RNASimBigR09,RNASimBigR08,RNASimBigR04,RNASimBigR06
1-SPFP,0.993810042098,0.995497404351,0.993196611385,0.992759002758,0.993431610973,0.991678585377,0.993541596855,0.993928193383,0.993105652622,0.992739578237
1-SPFN,0.993823036081,0.995423773062,0.993197138902,0.993027879591,0.993409387685,0.991823894587,0.993480260912,0.993908057896,0.993126806029,0.992753109213
SP-Score,0.993816539089,0.995460588706,0.993196875144,0.992893441175,0.993420499329,0.991751239982,0.993510928884,0.993918125639,0.993116229325,0.992746343725
TC,0.813847158719791,0.8383311603650587,0.7663854639844258,0.7917205692108668,0.7975499677627337,0.7564599483204134,0.7900194426441997,0.8066190785204412,0.7607994842037396,0.7980582524271844
Modeler,0.9938100420980109,0.9954974043508845,0.9931966113847911,0.9927590027583235,0.9934316109728274,0.99167858537686,0.9935415968553121,0.9939281933829623,0.9931056526220192,0.9927395782373399
Compression,1.0006514657980456,1.0006485084306096,1.0,1.0012828736369468,1.0012658227848101,1.0006373486297004,1.0012763241863434,1.0012894906511929,1.00062656641604,1.0006389776357827
Average Pairwise P-Distance,0.172505113783,0.181861782112,0.198544792506,0.186246751738,0.193002596348,0.201270884476,0.192995230883,0.17925536718,0.218580347531,0.194372350247
Maximum Pairwise P-Distance,0.239576439444,0.256073539068,0.371352785146,0.355115511551,0.261467889908,0.368666666667,0.3575677462,0.33488372093,0.372926343729,0.34234828496
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1535,1542,1569,1559,1580,1569,1567,1551,1596,1565
Estimated Length,1536,1543,1569,1561,1582,1570,1569,1553,1597,1566
Maximum Ungapped Length,1526,1534,1532,1538,1539,1529,1531,1527,1532,1539
Sequence Length Heterogeneity,0.00155027299442,0.00214723001321,0.00141682657556,0.00250329956637,0.0015032035131,0.0021211624484,0.00172479045293,0.00157669278277,0.00206180907368,0.00193440356999
Gappiness Percentage,0.0088990228013,0.0095784695201,0.0263288718929,0.0188710711995,0.029082278481,0.0299298916507,0.0288704530951,0.0188072211476,0.0446428571429,0.0203130990415
Average Gap Length,1.00886262925,1.0475177305,1.01874229346,1.00926243568,1.01434878587,1.00837449002,1.02794819359,1.00516884907,1.02048123747,1.01242038217
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
