,RNASimBigR07,RNASimBigR01,RNASimBigR10,RNASimBigR05,RNASimBigR03,RNASimBigR02,RNASimBigR09,RNASimBigR08,RNASimBigR04,RNASimBigR06
1-SPFP,0.969855713743,0.976786304635,0.956666249641,0.956955150126,0.962057659144,0.952232859999,0.971789043104,0.976168275731,0.962407815036,0.970374960985
1-SPFN,0.968883434188,0.976158258681,0.954433591074,0.956573301215,0.961371519792,0.95133024022,0.970959247131,0.975196274143,0.959578366712,0.969285537342
SP-Score,0.969369573965,0.976472281658,0.955549920357,0.956764225671,0.961714589468,0.951781550109,0.971374145117,0.975682274937,0.960993090874,0.969830249164
TC,0.6126714565643371,0.5938722294654498,0.46852693056456846,0.5627425614489003,0.5235332043842682,0.4748062015503876,0.5482825664290344,0.6106424399740429,0.44294003868471954,0.5495145631067961
Modeler,0.9698557137427325,0.976786304634607,0.9566662496406478,0.9569551501261672,0.9620576591436262,0.9522328599987336,0.9717890431038578,0.9761682757314168,0.9624078150364467,0.9703749609851714
Compression,1.0136807817589577,1.0110246433203631,1.0121096239643084,1.010262989095574,1.0031645569620253,1.0095602294455066,1.00765794511806,1.0077369439071566,1.0112781954887218,1.0083067092651756
Average Pairwise P-Distance,0.172505113783,0.181861782112,0.198544792506,0.186246751738,0.193002596348,0.201270884476,0.192995230883,0.17925536718,0.218580347531,0.194372350247
Maximum Pairwise P-Distance,0.239576439444,0.256073539068,0.371352785146,0.355115511551,0.261467889908,0.368666666667,0.3575677462,0.33488372093,0.372926343729,0.34234828496
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1535,1542,1569,1559,1580,1569,1567,1551,1596,1565
Estimated Length,1556,1559,1588,1575,1585,1584,1579,1563,1614,1578
Maximum Ungapped Length,1526,1534,1532,1538,1539,1529,1531,1527,1532,1539
Sequence Length Heterogeneity,0.00155027299442,0.00214723001321,0.00141682657556,0.00250329956637,0.0015032035131,0.0021211624484,0.00172479045293,0.00157669278277,0.00206180907368,0.00193440356999
Gappiness Percentage,0.0088990228013,0.0095784695201,0.0263288718929,0.0188710711995,0.029082278481,0.0299298916507,0.0288704530951,0.0188072211476,0.0446428571429,0.0203130990415
Average Gap Length,1.00886262925,1.0475177305,1.01874229346,1.00926243568,1.01434878587,1.00837449002,1.02794819359,1.00516884907,1.02048123747,1.01242038217
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
