,RNASimBigR07,RNASimBigR01,RNASimBigR10,RNASimBigR05,RNASimBigR03,RNASimBigR02,RNASimBigR09,RNASimBigR08,RNASimBigR04,RNASimBigR06
1-SPFP,0.994132736677,0.994928545905,0.992313764831,0.987460310409,0.992699624684,0.986525849087,0.991219723685,0.99278675994,0.991048897815,0.98903645988
1-SPFN,0.994229692654,0.994944532071,0.992437621297,0.988176283803,0.992770975891,0.987019413429,0.991345148697,0.992949511304,0.991350896994,0.989163804821
SP-Score,0.994181214666,0.994936538988,0.992375693064,0.987818297106,0.992735300287,0.986772631258,0.991282436191,0.992868135622,0.991199897404,0.989100132351
TC,0.8269105160026127,0.8155149934810951,0.7222582738481506,0.7580853816300129,0.7865892972275951,0.7041343669250646,0.7388204795852236,0.7819597663854639,0.7440361057382334,0.7566343042071197
Modeler,0.9941327366772594,0.9949285459047463,0.9923137648306514,0.9874603104092312,0.992699624683729,0.9865258490870555,0.9912197236850683,0.9927867599399594,0.9910488978145273,0.989036459880424
Compression,0.9993485342019544,0.9993514915693904,0.9961759082217974,0.9980756895445798,0.9987341772151899,0.9974506054811982,0.9974473516273133,0.9974210186976145,0.9924812030075187,0.997444089456869
Average Pairwise P-Distance,0.172505113783,0.181861782112,0.198544792506,0.186246751738,0.193002596348,0.201270884476,0.192995230883,0.17925536718,0.218580347531,0.194372350247
Maximum Pairwise P-Distance,0.239576439444,0.256073539068,0.371352785146,0.355115511551,0.261467889908,0.368666666667,0.3575677462,0.33488372093,0.372926343729,0.34234828496
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1535,1542,1569,1559,1580,1569,1567,1551,1596,1565
Estimated Length,1534,1541,1563,1556,1578,1565,1563,1547,1584,1561
Maximum Ungapped Length,1526,1534,1532,1538,1539,1529,1531,1527,1532,1539
Sequence Length Heterogeneity,0.00155027299442,0.00214723001321,0.00141682657556,0.00250329956637,0.0015032035131,0.0021211624484,0.00172479045293,0.00157669278277,0.00206180907368,0.00193440356999
Gappiness Percentage,0.0088990228013,0.0095784695201,0.0263288718929,0.0188710711995,0.029082278481,0.0299298916507,0.0288704530951,0.0188072211476,0.0446428571429,0.0203130990415
Average Gap Length,1.00886262925,1.0475177305,1.01874229346,1.00926243568,1.01434878587,1.00837449002,1.02794819359,1.00516884907,1.02048123747,1.01242038217
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
