,RNASimBigR07,RNASimBigR01,RNASimBigR10,RNASimBigR05,RNASimBigR03,RNASimBigR02,RNASimBigR09,RNASimBigR08,RNASimBigR04,RNASimBigR06
1-SPFP,0.991702743484,0.994194217804,0.991470558515,0.990698661573,0.991787681907,0.986390914932,0.992653215785,0.992061186227,0.991093641748,0.990820360858
1-SPFN,0.991652333179,0.994095071108,0.991469900264,0.991070574324,0.9917800676,0.986694595166,0.992658510048,0.992109050402,0.991250519527,0.99081210063
SP-Score,0.991677538331,0.994144644456,0.99147022939,0.990884617948,0.991783874754,0.986542755049,0.992655862917,0.992085118314,0.991172080637,0.990816230744
TC,0.7779229261920314,0.7894393741851369,0.7222582738481506,0.7548512289780077,0.7756286266924565,0.7138242894056848,0.780946208684381,0.7806619078520441,0.7382333978078659,0.7773462783171521
Modeler,0.9917027434836576,0.9941942178037524,0.9914705585153598,0.9906986615729503,0.9917876819067308,0.9863909149318119,0.9926532157847859,0.9920611862268085,0.9910936417477557,0.990820360857518
Compression,1.0045602605863193,1.0019455252918288,0.9993626513702996,1.0038486209108404,1.0018987341772152,1.004461440407903,1.0006381620931717,1.001934235976789,1.00062656641604,1.0038338658146966
Average Pairwise P-Distance,0.172505113783,0.181861782112,0.198544792506,0.186246751738,0.193002596348,0.201270884476,0.192995230883,0.17925536718,0.218580347531,0.194372350247
Maximum Pairwise P-Distance,0.239576439444,0.256073539068,0.371352785146,0.355115511551,0.261467889908,0.368666666667,0.3575677462,0.33488372093,0.372926343729,0.34234828496
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1535,1542,1569,1559,1580,1569,1567,1551,1596,1565
Estimated Length,1542,1545,1568,1565,1583,1576,1568,1554,1597,1571
Maximum Ungapped Length,1526,1534,1532,1538,1539,1529,1531,1527,1532,1539
Sequence Length Heterogeneity,0.00155027299442,0.00214723001321,0.00141682657556,0.00250329956637,0.0015032035131,0.0021211624484,0.00172479045293,0.00157669278277,0.00206180907368,0.00193440356999
Gappiness Percentage,0.0088990228013,0.0095784695201,0.0263288718929,0.0188710711995,0.029082278481,0.0299298916507,0.0288704530951,0.0188072211476,0.0446428571429,0.0203130990415
Average Gap Length,1.00886262925,1.0475177305,1.01874229346,1.00926243568,1.01434878587,1.00837449002,1.02794819359,1.00516884907,1.02048123747,1.01242038217
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
