,RNASimBigR07,RNASimBigR01,RNASimBigR10,RNASimBigR05,RNASimBigR03,RNASimBigR02,RNASimBigR09,RNASimBigR08,RNASimBigR04,RNASimBigR06
1-SPFP,0.993963157813,0.994799774314,0.991132615525,0.987288198522,0.992846419927,0.98712388474,0.990599855323,0.992305304946,0.99098915899,0.989480703774
1-SPFN,0.994056516725,0.994822099211,0.991264352493,0.988025140027,0.992919095899,0.987582707551,0.990732202287,0.992468638653,0.991307630844,0.989602344666
SP-Score,0.994009837269,0.994810936763,0.991198484009,0.987656669274,0.992882757913,0.987353296145,0.990666028805,0.9923869718,0.991148394917,0.98954152422
TC,0.8269105160026127,0.8142112125162972,0.719013627514601,0.7516170763260026,0.793036750483559,0.712532299741602,0.7433570965651328,0.7787151200519143,0.7421018697614442,0.7618122977346279
Modeler,0.9939631578132896,0.9947997743142951,0.9911326155252648,0.9872881985218848,0.9928464199274728,0.9871238847396205,0.9905998553229091,0.9923053049460833,0.9909891589899469,0.9894807037739032
Compression,0.9993485342019544,0.9993514915693904,0.9961759082217974,0.9974342527261065,0.9974683544303797,0.9974506054811982,0.9974473516273133,0.9974210186976145,0.9924812030075187,0.997444089456869
Average Pairwise P-Distance,0.172505113783,0.181861782112,0.198544792506,0.186246751738,0.193002596348,0.201270884476,0.192995230883,0.17925536718,0.218580347531,0.194372350247
Maximum Pairwise P-Distance,0.239576439444,0.256073539068,0.371352785146,0.355115511551,0.261467889908,0.368666666667,0.3575677462,0.33488372093,0.372926343729,0.34234828496
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1535,1542,1569,1559,1580,1569,1567,1551,1596,1565
Estimated Length,1534,1541,1563,1555,1576,1565,1563,1547,1584,1561
Maximum Ungapped Length,1526,1534,1532,1538,1539,1529,1531,1527,1532,1539
Sequence Length Heterogeneity,0.00155027299442,0.00214723001321,0.00141682657556,0.00250329956637,0.0015032035131,0.0021211624484,0.00172479045293,0.00157669278277,0.00206180907368,0.00193440356999
Gappiness Percentage,0.0088990228013,0.0095784695201,0.0263288718929,0.0188710711995,0.029082278481,0.0299298916507,0.0288704530951,0.0188072211476,0.0446428571429,0.0203130990415
Average Gap Length,1.00886262925,1.0475177305,1.01874229346,1.00926243568,1.01434878587,1.00837449002,1.02794819359,1.00516884907,1.02048123747,1.01242038217
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
