,RNASimBigR07,RNASimBigR01,RNASimBigR10,RNASimBigR05,RNASimBigR03,RNASimBigR02,RNASimBigR09,RNASimBigR08,RNASimBigR04,RNASimBigR06
1-SPFP,0.995172698814,0.995070925164,0.992512299051,0.991945239246,0.992046705915,0.989018446987,0.991492402598,0.993726581291,0.986975986922,0.990917738196
1-SPFN,0.995285025165,0.995092991874,0.992642637937,0.992392385698,0.99213534383,0.989290071918,0.991591553953,0.99384008532,0.986988337842,0.991037457708
SP-Score,0.99522886199,0.995081958519,0.992577468494,0.992168812472,0.992091024872,0.989154259452,0.991541978275,0.993783333306,0.986982162382,0.990977597952
TC,0.8497713912475506,0.848761408083442,0.7780661907852044,0.7891332470892626,0.7943262411347518,0.7325581395348837,0.762799740764744,0.8124594419208306,0.7421018697614442,0.7941747572815534
Modeler,0.9951726988143457,0.9950709251642417,0.9925122990513251,0.9919452392460382,0.9920467059147413,0.9890184469865101,0.9914924025976624,0.9937265812913127,0.9869759869218051,0.9909177381963477
Compression,1.0,0.9993514915693904,0.9955385595920969,0.9967928159076331,0.9974683544303797,0.9974506054811982,0.9968091895341417,0.9974210186976145,0.9912280701754386,0.9968051118210862
Average Pairwise P-Distance,0.172505113783,0.181861782112,0.198544792506,0.186246751738,0.193002596348,0.201270884476,0.192995230883,0.17925536718,0.218580347531,0.194372350247
Maximum Pairwise P-Distance,0.239576439444,0.256073539068,0.371352785146,0.355115511551,0.261467889908,0.368666666667,0.3575677462,0.33488372093,0.372926343729,0.34234828496
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1535,1542,1569,1559,1580,1569,1567,1551,1596,1565
Estimated Length,1535,1541,1562,1554,1576,1565,1562,1547,1582,1560
Maximum Ungapped Length,1526,1534,1532,1538,1539,1529,1531,1527,1532,1539
Sequence Length Heterogeneity,0.00155027299442,0.00214723001321,0.00141682657556,0.00250329956637,0.0015032035131,0.0021211624484,0.00172479045293,0.00157669278277,0.00206180907368,0.00193440356999
Gappiness Percentage,0.0088990228013,0.0095784695201,0.0263288718929,0.0188710711995,0.029082278481,0.0299298916507,0.0288704530951,0.0188072211476,0.0446428571429,0.0203130990415
Average Gap Length,1.00886262925,1.0475177305,1.01874229346,1.00926243568,1.01434878587,1.00837449002,1.02794819359,1.00516884907,1.02048123747,1.01242038217
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
