,RNASimBigR07,RNASimBigR01,RNASimBigR10,RNASimBigR05,RNASimBigR03,RNASimBigR02,RNASimBigR09,RNASimBigR08,RNASimBigR04,RNASimBigR06
1-SPFP,0.994991621128,0.994998425762,0.991908224346,0.990943948913,0.992663988461,0.988692004898,0.993151087654,0.994293874271,0.985125314903,0.990008044903
1-SPFN,0.99504087112,0.994994594098,0.9920068739,0.991376179343,0.992713130991,0.988907069281,0.993213988565,0.994358676086,0.985307214957,0.990097653852
SP-Score,0.995016246124,0.99499650993,0.991957549123,0.991160064128,0.992688559726,0.988799537089,0.99318253811,0.994326275179,0.98521626493,0.990052849377
TC,0.8197256694970607,0.8252933507170795,0.754704737183647,0.7509702457956016,0.7943262411347518,0.7338501291989664,0.7679844458846403,0.8059701492537313,0.6976144422952933,0.7766990291262136
Modeler,0.9949916211279652,0.9949984257623101,0.9919082243460932,0.990943948913128,0.9926639884612417,0.9886920048976318,0.9931510876543185,0.994293874270925,0.985125314902783,0.9900080449032627
Compression,1.0,0.9993514915693904,0.994263862332696,0.9974342527261065,0.9955696202531645,0.9949012109623965,0.99617102744097,0.996776273372018,0.9855889724310777,0.9968051118210862
Average Pairwise P-Distance,0.172505113783,0.181861782112,0.198544792506,0.186246751738,0.193002596348,0.201270884476,0.192995230883,0.17925536718,0.218580347531,0.194372350247
Maximum Pairwise P-Distance,0.239576439444,0.256073539068,0.371352785146,0.355115511551,0.261467889908,0.368666666667,0.3575677462,0.33488372093,0.372926343729,0.34234828496
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1535,1542,1569,1559,1580,1569,1567,1551,1596,1565
Estimated Length,1535,1541,1560,1555,1573,1561,1561,1546,1573,1560
Maximum Ungapped Length,1526,1534,1532,1538,1539,1529,1531,1527,1532,1539
Sequence Length Heterogeneity,0.00155027299442,0.00214723001321,0.00141682657556,0.00250329956637,0.0015032035131,0.0021211624484,0.00172479045293,0.00157669278277,0.00206180907368,0.00193440356999
Gappiness Percentage,0.0088990228013,0.0095784695201,0.0263288718929,0.0188710711995,0.029082278481,0.0299298916507,0.0288704530951,0.0188072211476,0.0446428571429,0.0203130990415
Average Gap Length,1.00886262925,1.0475177305,1.01874229346,1.00926243568,1.01434878587,1.00837449002,1.02794819359,1.00516884907,1.02048123747,1.01242038217
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
