,RNASimBigR07,RNASimBigR01,RNASimBigR10,RNASimBigR05,RNASimBigR03,RNASimBigR02,RNASimBigR09,RNASimBigR08,RNASimBigR04,RNASimBigR06
1-SPFP,0.991595861642,0.991886631981,0.991903072179,0.990604240764,0.990998002277,0.988291690024,0.99179589161,0.991754641155,0.989747148524,0.992321405411
1-SPFN,0.991528655146,0.991756762822,0.991809691445,0.990615019817,0.990921395134,0.988130654877,0.991497685284,0.991592058991,0.989595622584,0.992195869839
SP-Score,0.991562258394,0.991821697401,0.991856381812,0.99060963029,0.990959698706,0.988211172451,0.991646788447,0.991673350073,0.989671385554,0.992258637625
TC,0.7713912475506205,0.7731421121251629,0.7287475665152499,0.7451487710219923,0.7543520309477756,0.7222222222222222,0.7407647440051847,0.7683322517845554,0.7092198581560284,0.7527508090614887
Modeler,0.9915958616420005,0.9918866319807822,0.9919030721794245,0.9906042407642405,0.9909980022771737,0.988291690024292,0.9917958916104319,0.9917546411552647,0.9897471485238791,0.9923214054108423
Compression,1.0052117263843647,1.0058365758754864,1.0031867431485022,1.0121872995509942,1.0056962025316456,1.0152963671128108,1.0127632418634334,1.0058027079303675,1.0093984962406015,1.0095846645367412
Average Pairwise P-Distance,0.172505113783,0.181861782112,0.198544792506,0.186246751738,0.193002596348,0.201270884476,0.192995230883,0.17925536718,0.218580347531,0.194372350247
Maximum Pairwise P-Distance,0.239576439444,0.256073539068,0.371352785146,0.355115511551,0.261467889908,0.368666666667,0.3575677462,0.33488372093,0.372926343729,0.34234828496
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1535,1542,1569,1559,1580,1569,1567,1551,1596,1565
Estimated Length,1543,1551,1574,1578,1589,1593,1587,1560,1611,1580
Maximum Ungapped Length,1526,1534,1532,1538,1539,1529,1531,1527,1532,1539
Sequence Length Heterogeneity,0.00155027299442,0.00214723001321,0.00141682657556,0.00250329956637,0.0015032035131,0.0021211624484,0.00172479045293,0.00157669278277,0.00206180907368,0.00193440356999
Gappiness Percentage,0.0088990228013,0.0095784695201,0.0263288718929,0.0188710711995,0.029082278481,0.0299298916507,0.0288704530951,0.0188072211476,0.0446428571429,0.0203130990415
Average Gap Length,1.00886262925,1.0475177305,1.01874229346,1.00926243568,1.01434878587,1.00837449002,1.02794819359,1.00516884907,1.02048123747,1.01242038217
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
