,RNASimBigR07,RNASimBigR01,RNASimBigR10,RNASimBigR05,RNASimBigR03,RNASimBigR02,RNASimBigR09,RNASimBigR08,RNASimBigR04,RNASimBigR06
1-SPFP,0.992466288496,0.99514304738,0.992528759899,0.992114978543,0.992874281561,0.989350704067,0.992645297871,0.993450537377,0.991645672454,0.991005777085
1-SPFN,0.992410278058,0.995114503938,0.992535349437,0.992390395218,0.992882429909,0.98962770142,0.992571708196,0.993475032607,0.991586397975,0.990941518846
SP-Score,0.992438283277,0.995128775659,0.992532054668,0.99225268688,0.992878355735,0.989489202744,0.992608503034,0.993462784992,0.991616035214,0.990973647965
TC,0.806009144350098,0.8220338983050848,0.7495133030499675,0.7878395860284605,0.7911025145067698,0.7248062015503876,0.7757615035644848,0.7942894224529526,0.746615087040619,0.7799352750809061
Modeler,0.992466288495626,0.9951430473802202,0.9925287598992238,0.9921149785426115,0.9928742815609841,0.9893507040673234,0.9926452978711034,0.9934505373765978,0.9916456724540709,0.9910057770850322
Compression,1.0013029315960913,0.9993514915693904,0.9993626513702996,1.00192431045542,1.0012658227848101,1.0006373486297004,1.0025526483726868,1.0025789813023855,1.0018796992481203,1.0006389776357827
Average Pairwise P-Distance,0.172505113783,0.181861782112,0.198544792506,0.186246751738,0.193002596348,0.201270884476,0.192995230883,0.17925536718,0.218580347531,0.194372350247
Maximum Pairwise P-Distance,0.239576439444,0.256073539068,0.371352785146,0.355115511551,0.261467889908,0.368666666667,0.3575677462,0.33488372093,0.372926343729,0.34234828496
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1535,1542,1569,1559,1580,1569,1567,1551,1596,1565
Estimated Length,1537,1541,1568,1562,1582,1570,1571,1555,1599,1566
Maximum Ungapped Length,1526,1534,1532,1538,1539,1529,1531,1527,1532,1539
Sequence Length Heterogeneity,0.00155027299442,0.00214723001321,0.00141682657556,0.00250329956637,0.0015032035131,0.0021211624484,0.00172479045293,0.00157669278277,0.00206180907368,0.00193440356999
Gappiness Percentage,0.0088990228013,0.0095784695201,0.0263288718929,0.0188710711995,0.029082278481,0.0299298916507,0.0288704530951,0.0188072211476,0.0446428571429,0.0203130990415
Average Gap Length,1.00886262925,1.0475177305,1.01874229346,1.00926243568,1.01434878587,1.00837449002,1.02794819359,1.00516884907,1.02048123747,1.01242038217
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
