Dataset,Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length
RNASimBigR01,BPPD,0.995506675279,0.994897922599,0.995202298939,0.8598435462842242,0.9955066752785291,1.003242542153048,0.181861782112,0.256073539068,100,1542,1547,1534,0.00214723001321,0.0095784695201,1.0475177305,1.0
RNASimBigR01,BPMAP,0.992269859897,0.991348697551,0.991809278724,0.817470664928292,0.9922698598967764,1.0038910505836576,0.181861782112,0.256073539068,100,1542,1548,1534,0.00214723001321,0.0095784695201,1.0475177305,1.0
RNASimBigR01,MAFFT,0.995070925164,0.995092991874,0.995081958519,0.848761408083442,0.9950709251642417,0.9993514915693904,0.181861782112,0.256073539068,100,1542,1541,1534,0.00214723001321,0.0095784695201,1.0475177305,1.0
RNASimBigR01,Muscle,0.994998425762,0.994994594098,0.99499650993,0.8252933507170795,0.9949984257623101,0.9993514915693904,0.181861782112,0.256073539068,100,1542,1541,1534,0.00214723001321,0.0095784695201,1.0475177305,1.0
RNASimBigR01,Clustal,0.993992086653,0.993980207307,0.99398614698,0.7835723598435462,0.9939920866526933,0.9993514915693904,0.181861782112,0.256073539068,100,1542,1541,1534,0.00214723001321,0.0095784695201,1.0475177305,1.0
RNASimBigR01,GINSI,0.994885416845,0.994906686773,0.994896051809,0.8220338983050848,0.9948854168451001,0.9993514915693904,0.181861782112,0.256073539068,100,1542,1541,1534,0.00214723001321,0.0095784695201,1.0475177305,1.0
RNASimBigR01,EINSI,0.994928545905,0.994944532071,0.994936538988,0.8155149934810951,0.9949285459047463,0.9993514915693904,0.181861782112,0.256073539068,100,1542,1541,1534,0.00214723001321,0.0095784695201,1.0475177305,1.0
RNASimBigR01,LINSI,0.994799774314,0.994822099211,0.994810936763,0.8142112125162972,0.9947997743142951,0.9993514915693904,0.181861782112,0.256073539068,100,1542,1541,1534,0.00214723001321,0.0095784695201,1.0475177305,1.0
RNASimBigR01,DiAlign,0.976786304635,0.976158258681,0.976472281658,0.5938722294654498,0.976786304634607,1.0110246433203631,0.181861782112,0.256073539068,100,1542,1559,1534,0.00214723001321,0.0095784695201,1.0475177305,1.0
RNASimBigR01,KAlign,0.994194217804,0.994095071108,0.994144644456,0.7894393741851369,0.9941942178037524,1.0019455252918288,0.181861782112,0.256073539068,100,1542,1545,1534,0.00214723001321,0.0095784695201,1.0475177305,1.0
RNASimBigR01,Prime,0.991886631981,0.991756762822,0.991821697401,0.7731421121251629,0.9918866319807822,1.0058365758754864,0.181861782112,0.256073539068,100,1542,1551,1534,0.00214723001321,0.0095784695201,1.0475177305,1.0
RNASimBigR01,ProbAlign,0.99514304738,0.995114503938,0.995128775659,0.8220338983050848,0.9951430473802202,0.9993514915693904,0.181861782112,0.256073539068,100,1542,1541,1534,0.00214723001321,0.0095784695201,1.0475177305,1.0
