,RNASimBigR07,RNASimBigR01,RNASimBigR10,RNASimBigR05,RNASimBigR03,RNASimBigR02,RNASimBigR09,RNASimBigR08,RNASimBigR04,RNASimBigR06
1-SPFP,0.995273436306,0.996914133746,0.995675381543,0.995336339063,0.995759924155,0.991625216141,0.994395454601,0.995228485862,0.992912875256,0.995013922482
1-SPFN,0.995164949405,0.996545056222,0.995671811912,0.994862040499,0.995715241602,0.99131264612,0.994367213167,0.995039601356,0.992559021019,0.995006812321
SP-Score,0.995219192856,0.996729594984,0.995673596727,0.995099189781,0.995737582878,0.99146893113,0.994381333884,0.995134043609,0.992735948138,0.995010367402
TC,0.8393207054212932,0.864406779661017,0.7884490590525632,0.8260025873221216,0.8272082527401676,0.7835917312661499,0.8230719377835386,0.8286826735885788,0.8207607994842038,0.8200647249190939
Modeler,0.9952734363064085,0.9969141337456677,0.9956753815427797,0.9953363390633381,0.9957599241549169,0.9916252161410022,0.9943954546006089,0.9952284858620866,0.9929128752562436,0.9950139224824338
Compression,1.0026058631921824,1.0077821011673151,0.9993626513702996,1.0057729313662604,1.0012658227848101,1.0063734862970044,1.0006381620931717,1.0045132172791746,1.0068922305764412,1.0019169329073483
Average Pairwise P-Distance,0.172505113783,0.181861782112,0.198544792506,0.186246751738,0.193002596348,0.201270884476,0.192995230883,0.17925536718,0.218580347531,0.194372350247
Maximum Pairwise P-Distance,0.239576439444,0.256073539068,0.371352785146,0.355115511551,0.261467889908,0.368666666667,0.3575677462,0.33488372093,0.372926343729,0.34234828496
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1535,1542,1569,1559,1580,1569,1567,1551,1596,1565
Estimated Length,1539,1554,1568,1568,1582,1579,1568,1558,1607,1568
Maximum Ungapped Length,1526,1534,1532,1538,1539,1529,1531,1527,1532,1539
Sequence Length Heterogeneity,0.00155027299442,0.00214723001321,0.00141682657556,0.00250329956637,0.0015032035131,0.0021211624484,0.00172479045293,0.00157669278277,0.00206180907368,0.00193440356999
Gappiness Percentage,0.0088990228013,0.0095784695201,0.0263288718929,0.0188710711995,0.029082278481,0.0299298916507,0.0288704530951,0.0188072211476,0.0446428571429,0.0203130990415
Average Gap Length,1.00886262925,1.0475177305,1.01874229346,1.00926243568,1.01434878587,1.00837449002,1.02794819359,1.00516884907,1.02048123747,1.01242038217
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
