,RNASimBigR07,RNASimBigR01,RNASimBigR10,RNASimBigR05,RNASimBigR03,RNASimBigR02,RNASimBigR09,RNASimBigR08,RNASimBigR04,RNASimBigR06
1-SPFP,0.995171094398,0.996849542132,0.995621771747,0.994946322169,0.995702165426,0.991704892089,0.994240242274,0.994892422456,0.992988138217,0.994988391335
1-SPFN,0.995145203614,0.996806653549,0.995656276324,0.99513274577,0.995586050246,0.991453836639,0.994211209839,0.994859007552,0.992882119312,0.994982993017
SP-Score,0.995158149006,0.99682809784,0.995639024036,0.99503953397,0.995644107836,0.991579364364,0.994225726056,0.994875715004,0.992935128765,0.994985692176
TC,0.8347485303723057,0.863754889178618,0.7865022712524334,0.8195342820181113,0.8297872340425532,0.7868217054263565,0.8204795852235904,0.8299805321219987,0.8259187620889749,0.8155339805825242
Modeler,0.995171094397613,0.9968495421318629,0.9956217717471101,0.9949463221694077,0.995702165425526,0.9917048920887125,0.9942402422735762,0.9948924224560143,0.992988138217223,0.994988391334755
Compression,1.0006514657980456,1.0019455252918288,0.9974506054811982,1.0012828736369468,1.0012658227848101,1.0031867431485022,1.0006381620931717,0.9987105093488072,1.005012531328321,1.0012779552715656
Average Pairwise P-Distance,0.172505113783,0.181861782112,0.198544792506,0.186246751738,0.193002596348,0.201270884476,0.192995230883,0.17925536718,0.218580347531,0.194372350247
Maximum Pairwise P-Distance,0.239576439444,0.256073539068,0.371352785146,0.355115511551,0.261467889908,0.368666666667,0.3575677462,0.33488372093,0.372926343729,0.34234828496
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1535,1542,1569,1559,1580,1569,1567,1551,1596,1565
Estimated Length,1536,1545,1565,1561,1582,1574,1568,1549,1604,1567
Maximum Ungapped Length,1526,1534,1532,1538,1539,1529,1531,1527,1532,1539
Sequence Length Heterogeneity,0.00155027299442,0.00214723001321,0.00141682657556,0.00250329956637,0.0015032035131,0.0021211624484,0.00172479045293,0.00157669278277,0.00206180907368,0.00193440356999
Gappiness Percentage,0.0088990228013,0.0095784695201,0.0263288718929,0.0188710711995,0.029082278481,0.0299298916507,0.0288704530951,0.0188072211476,0.0446428571429,0.0203130990415
Average Gap Length,1.00886262925,1.0475177305,1.01874229346,1.00926243568,1.01434878587,1.00837449002,1.02794819359,1.00516884907,1.02048123747,1.01242038217
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
