,RNASimBigR07,RNASimBigR01,RNASimBigR10,RNASimBigR05,RNASimBigR03,RNASimBigR02,RNASimBigR09,RNASimBigR08,RNASimBigR04,RNASimBigR06
1-SPFP,0.994796437455,0.996903470783,0.995253883756,0.995337133778,0.995285239253,0.991754918307,0.994462772824,0.995222498206,0.992964385765,0.995026366806
1-SPFN,0.994564437189,0.996522880205,0.99521331291,0.994862438595,0.995242422417,0.991419940238,0.994431214533,0.995091447104,0.992569005515,0.995020309926
SP-Score,0.994680437322,0.996713175494,0.995233598333,0.995099786187,0.995263830835,0.991587429273,0.994446993679,0.995156972655,0.99276669564,0.995023338366
TC,0.8347485303723057,0.8683181225554107,0.7793640493186242,0.8272962483829237,0.8291424887169568,0.7926356589147286,0.8204795852235904,0.8345230369889682,0.8220502901353965,0.8181229773462784
Modeler,0.9947964374552947,0.996903470782832,0.9952538837564032,0.9953371337777408,0.9952852392525641,0.9917549183074374,0.9944627728244779,0.9952224982064873,0.9929643857654933,0.9950263668062751
Compression,1.006514657980456,1.0084306095979247,1.0,1.0057729313662604,1.0018987341772152,1.0070108349267048,1.0006381620931717,1.005157962604771,1.0068922305764412,1.0019169329073483
Average Pairwise P-Distance,0.172505113783,0.181861782112,0.198544792506,0.186246751738,0.193002596348,0.201270884476,0.192995230883,0.17925536718,0.218580347531,0.194372350247
Maximum Pairwise P-Distance,0.239576439444,0.256073539068,0.371352785146,0.355115511551,0.261467889908,0.368666666667,0.3575677462,0.33488372093,0.372926343729,0.34234828496
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1535,1542,1569,1559,1580,1569,1567,1551,1596,1565
Estimated Length,1545,1555,1569,1568,1583,1580,1568,1559,1607,1568
Maximum Ungapped Length,1526,1534,1532,1538,1539,1529,1531,1527,1532,1539
Sequence Length Heterogeneity,0.00155027299442,0.00214723001321,0.00141682657556,0.00250329956637,0.0015032035131,0.0021211624484,0.00172479045293,0.00157669278277,0.00206180907368,0.00193440356999
Gappiness Percentage,0.0088990228013,0.0095784695201,0.0263288718929,0.0188710711995,0.029082278481,0.0299298916507,0.0288704530951,0.0188072211476,0.0446428571429,0.0203130990415
Average Gap Length,1.00886262925,1.0475177305,1.01874229346,1.00926243568,1.01434878587,1.00837449002,1.02794819359,1.00516884907,1.02048123747,1.01242038217
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
