,RNASimSmallR06,RNASimSmallR09,RNASimSmallR01,RNASimSmallR10,RNASimSmallR03,RNASimSmallR07,RNASimSmallR05,RNASimSmallR02,RNASimSmallR04,RNASimSmallR08
1-SPFP,0.99125,0.993680283578,0.994952357104,0.99465619634,0.991255733631,0.994323447637,0.994110084283,0.987856152288,0.993891841654,0.993084285814
1-SPFN,0.991147662697,0.993443490276,0.994886797923,0.99465619634,0.991251388886,0.994375612059,0.99400085702,0.987928031222,0.993832883671,0.993084285814
SP-Score,0.991198831349,0.993561886927,0.994919577514,0.99465619634,0.991253561258,0.994349529848,0.994055470652,0.987892091755,0.993862362662,0.993084285814
TC,0.8851924331376386,0.9434330299089727,0.9393346379647749,0.9355888093689004,0.8959276018099548,0.9369720597790773,0.9197127937336814,0.8761348897535668,0.9171018276762402,0.900455432661028
Modeler,0.99125,0.9936802835781403,0.9949523571042609,0.9946561963404897,0.9912557336307991,0.9943234476367007,0.9941100842829357,0.9878561522875543,0.993891841653685,0.9930842858144591
Compression,1.0006459948320414,1.0006485084306096,1.000646830530401,1.0,1.0,0.9993544222078761,1.0012987012987014,1.0,1.0,1.0
Average Pairwise P-Distance,0.187016307673,0.177425099822,0.178354416811,0.177944127384,0.219580192963,0.198282222387,0.191723086779,0.197020947036,0.196498122551,0.205618072099
Maximum Pairwise P-Distance,0.325985303941,0.246234446627,0.23746701847,0.248184818482,0.364116094987,0.278763971072,0.249670619236,0.340199335548,0.251485148515,0.346103038309
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1548,1542,1546,1544,1575,1549,1540,1548,1538,1546
Estimated Length,1549,1543,1547,1544,1575,1548,1542,1548,1538,1546
Maximum Ungapped Length,1531,1536,1528,1536,1534,1533,1531,1529,1528,1532
Sequence Length Heterogeneity,0.00230287513724,0.00154889409204,0.0014914896869,0.00184556153242,0.00197169547195,0.00131825608563,0.00199408675507,0.00209392506105,0.00196687607255,0.00157249749485
Gappiness Percentage,0.0151162790698,0.00715953307393,0.0141009055627,0.00917098445596,0.0298920634921,0.0118528082634,0.0104935064935,0.0172351421189,0.00920676202861,0.0114877102199
Average Gap Length,1.01386481802,1.07392996109,1.00368324125,1.00283286119,1.00856898029,1.00437636761,1.00748129676,1.04545454545,1.00283286119,1.04470588235
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
