,RNASimSmallR06,RNASimSmallR09,RNASimSmallR01,RNASimSmallR10,RNASimSmallR03,RNASimSmallR07,RNASimSmallR05,RNASimSmallR02,RNASimSmallR04,RNASimSmallR08
1-SPFP,0.988144184984,0.993000205491,0.992495256,0.992661469543,0.986070689716,0.990381778486,0.989804416182,0.987789928565,0.991392170346,0.989092805371
1-SPFN,0.988267907312,0.99307401707,0.992538854186,0.992685354303,0.986077172743,0.990591773923,0.989878369024,0.98785526867,0.991416129854,0.989188170535
SP-Score,0.988206046148,0.99303711128,0.992517055093,0.992673411923,0.98607393123,0.990486776204,0.989841392603,0.987822598618,0.9914041501,0.989140487953
TC,0.8786692759295499,0.9252275682704811,0.9112850619699935,0.9128171763175016,0.8564964447317388,0.9213775178687459,0.9099216710182768,0.8910505836575876,0.8968668407310705,0.8666232921275211
Modeler,0.9881441849840985,0.9930002054905321,0.9924952560002811,0.9926614695434581,0.9860706897156282,0.9903817784858677,0.9898044161819736,0.9877899285651291,0.9913921703462685,0.9890928053707745
Compression,0.9961240310077519,0.9993514915693904,0.9974126778783958,1.0,0.9955555555555555,0.9980632666236281,0.9993506493506493,0.9993540051679587,1.0,1.0
Average Pairwise P-Distance,0.187016307673,0.177425099822,0.178354416811,0.177944127384,0.219580192963,0.198282222387,0.191723086779,0.197020947036,0.196498122551,0.205618072099
Maximum Pairwise P-Distance,0.325985303941,0.246234446627,0.23746701847,0.248184818482,0.364116094987,0.278763971072,0.249670619236,0.340199335548,0.251485148515,0.346103038309
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1548,1542,1546,1544,1575,1549,1540,1548,1538,1546
Estimated Length,1542,1541,1542,1544,1568,1546,1539,1547,1538,1546
Maximum Ungapped Length,1531,1536,1528,1536,1534,1533,1531,1529,1528,1532
Sequence Length Heterogeneity,0.00230287513724,0.00154889409204,0.0014914896869,0.00184556153242,0.00197169547195,0.00131825608563,0.00199408675507,0.00209392506105,0.00196687607255,0.00157249749485
Gappiness Percentage,0.0151162790698,0.00715953307393,0.0141009055627,0.00917098445596,0.0298920634921,0.0118528082634,0.0104935064935,0.0172351421189,0.00920676202861,0.0114877102199
Average Gap Length,1.01386481802,1.07392996109,1.00368324125,1.00283286119,1.00856898029,1.00437636761,1.00748129676,1.04545454545,1.00283286119,1.04470588235
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
