,RNASimSmallR06,RNASimSmallR09,RNASimSmallR01,RNASimSmallR10,RNASimSmallR03,RNASimSmallR07,RNASimSmallR05,RNASimSmallR02,RNASimSmallR04,RNASimSmallR08
1-SPFP,0.99290210082,0.995155426425,0.9946456769,0.994183871892,0.991736297835,0.995226490356,0.994240838847,0.990138345367,0.994008397472,0.991478592401
1-SPFN,0.993118021645,0.995179358472,0.994735246831,0.994209967955,0.991805847456,0.99534179141,0.99431949282,0.990236588539,0.993966903655,0.991539425706
SP-Score,0.993010061233,0.995167392449,0.994690461865,0.994196919923,0.991771072646,0.995284140883,0.994280165833,0.990187466953,0.993987650563,0.991509009054
TC,0.913894324853229,0.9382314694408322,0.9256360078277887,0.9355888093689004,0.8894634776987718,0.9350227420402859,0.9268929503916449,0.8916990920881972,0.9216710182767625,0.8998048145738452
Modeler,0.9929021008200357,0.995155426425225,0.9946456769002027,0.994183871892068,0.9917362978351335,0.9952264903557183,0.9942408388467615,0.9901383453673593,0.9940083974715306,0.9914785924010693
Compression,0.9967700258397932,0.9993514915693904,0.9987063389391979,1.0,1.0,0.9993544222078761,0.9993506493506493,1.0006459948320414,1.0006501950585176,1.001293661060802
Average Pairwise P-Distance,0.187016307673,0.177425099822,0.178354416811,0.177944127384,0.219580192963,0.198282222387,0.191723086779,0.197020947036,0.196498122551,0.205618072099
Maximum Pairwise P-Distance,0.325985303941,0.246234446627,0.23746701847,0.248184818482,0.364116094987,0.278763971072,0.249670619236,0.340199335548,0.251485148515,0.346103038309
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1548,1542,1546,1544,1575,1549,1540,1548,1538,1546
Estimated Length,1543,1541,1544,1544,1575,1548,1539,1549,1539,1548
Maximum Ungapped Length,1531,1536,1528,1536,1534,1533,1531,1529,1528,1532
Sequence Length Heterogeneity,0.00230287513724,0.00154889409204,0.0014914896869,0.00184556153242,0.00197169547195,0.00131825608563,0.00199408675507,0.00209392506105,0.00196687607255,0.00157249749485
Gappiness Percentage,0.0151162790698,0.00715953307393,0.0141009055627,0.00917098445596,0.0298920634921,0.0118528082634,0.0104935064935,0.0172351421189,0.00920676202861,0.0114877102199
Average Gap Length,1.01386481802,1.07392996109,1.00368324125,1.00283286119,1.00856898029,1.00437636761,1.00748129676,1.04545454545,1.00283286119,1.04470588235
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
