,RNASimSmallR06,RNASimSmallR09,RNASimSmallR01,RNASimSmallR10,RNASimSmallR03,RNASimSmallR07,RNASimSmallR05,RNASimSmallR02,RNASimSmallR04,RNASimSmallR08
1-SPFP,0.96979381194,0.978023180729,0.973446306563,0.979254827995,0.971562546606,0.981793593621,0.978516862635,0.952979883852,0.971453753014,0.975607615654
1-SPFN,0.969210121099,0.976819382258,0.972263953682,0.978948519681,0.970810934011,0.980741990767,0.977293353697,0.951593058894,0.971080245015,0.974423252226
SP-Score,0.96950196652,0.977421281493,0.972855130123,0.979101673838,0.971186740308,0.981267792194,0.977905108166,0.952286471373,0.971266999014,0.97501543394
TC,0.7527723418134377,0.8342002600780234,0.8036529680365296,0.8321405335068315,0.7104072398190046,0.8362573099415205,0.8237597911227154,0.6990920881971465,0.7467362924281984,0.7605725439167209
Modeler,0.9697938119404887,0.9780231807286935,0.9734463065626656,0.9792548279951512,0.9715625466061919,0.9817935936207554,0.9785168626346546,0.952979883851878,0.9714537530138622,0.975607615654303
Compression,1.0012919896640826,1.0051880674448768,1.0045278137128073,1.003238341968912,1.005079365079365,1.0012911555842479,1.0058441558441558,1.0109819121447028,1.0019505851755526,1.0097024579560154
Average Pairwise P-Distance,0.187016307673,0.177425099822,0.178354416811,0.177944127384,0.219580192963,0.198282222387,0.191723086779,0.197020947036,0.196498122551,0.205618072099
Maximum Pairwise P-Distance,0.325985303941,0.246234446627,0.23746701847,0.248184818482,0.364116094987,0.278763971072,0.249670619236,0.340199335548,0.251485148515,0.346103038309
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1548,1542,1546,1544,1575,1549,1540,1548,1538,1546
Estimated Length,1550,1550,1553,1549,1583,1551,1549,1565,1541,1561
Maximum Ungapped Length,1531,1536,1528,1536,1534,1533,1531,1529,1528,1532
Sequence Length Heterogeneity,0.00230287513724,0.00154889409204,0.0014914896869,0.00184556153242,0.00197169547195,0.00131825608563,0.00199408675507,0.00209392506105,0.00196687607255,0.00157249749485
Gappiness Percentage,0.0151162790698,0.00715953307393,0.0141009055627,0.00917098445596,0.0298920634921,0.0118528082634,0.0104935064935,0.0172351421189,0.00920676202861,0.0114877102199
Average Gap Length,1.01386481802,1.07392996109,1.00368324125,1.00283286119,1.00856898029,1.00437636761,1.00748129676,1.04545454545,1.00283286119,1.04470588235
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
