,RNASimSmallR06,RNASimSmallR09,RNASimSmallR01,RNASimSmallR10,RNASimSmallR03,RNASimSmallR07,RNASimSmallR05,RNASimSmallR02,RNASimSmallR04,RNASimSmallR08
1-SPFP,0.990818959365,0.994574294134,0.993721726909,0.992631217479,0.988829533154,0.990856043884,0.988877658639,0.981454463711,0.990972425142,0.988101236981
1-SPFN,0.991141072868,0.994669966419,0.993913795981,0.99270504085,0.989005064639,0.99106830582,0.988997176228,0.981926223183,0.990983311216,0.988278784798
SP-Score,0.990980016117,0.994622130277,0.993817761445,0.992668129164,0.988917298897,0.990962174852,0.988937417434,0.981690343447,0.990977868179,0.988190010889
TC,0.8923679060665362,0.9421326397919376,0.9256360078277887,0.9206245933636955,0.8804137039431157,0.916829109811566,0.9171018276762402,0.8482490272373541,0.8994778067885117,0.8536109303838647
Modeler,0.9908189593649469,0.9945742941335921,0.9937217269093943,0.9926312174786034,0.9888295331542436,0.9908560438839958,0.9888776586394797,0.9814544637111348,0.9909724251418729,0.988101236980593
Compression,0.9954780361757106,0.9993514915693904,0.9974126778783958,1.0,0.9974603174603175,0.9980632666236281,1.0,0.998062015503876,1.0,0.9987063389391979
Average Pairwise P-Distance,0.187016307673,0.177425099822,0.178354416811,0.177944127384,0.219580192963,0.198282222387,0.191723086779,0.197020947036,0.196498122551,0.205618072099
Maximum Pairwise P-Distance,0.325985303941,0.246234446627,0.23746701847,0.248184818482,0.364116094987,0.278763971072,0.249670619236,0.340199335548,0.251485148515,0.346103038309
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1548,1542,1546,1544,1575,1549,1540,1548,1538,1546
Estimated Length,1541,1541,1542,1544,1571,1546,1540,1545,1538,1544
Maximum Ungapped Length,1531,1536,1528,1536,1534,1533,1531,1529,1528,1532
Sequence Length Heterogeneity,0.00230287513724,0.00154889409204,0.0014914896869,0.00184556153242,0.00197169547195,0.00131825608563,0.00199408675507,0.00209392506105,0.00196687607255,0.00157249749485
Gappiness Percentage,0.0151162790698,0.00715953307393,0.0141009055627,0.00917098445596,0.0298920634921,0.0118528082634,0.0104935064935,0.0172351421189,0.00920676202861,0.0114877102199
Average Gap Length,1.01386481802,1.07392996109,1.00368324125,1.00283286119,1.00856898029,1.00437636761,1.00748129676,1.04545454545,1.00283286119,1.04470588235
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
