,RNASimSmallR06,RNASimSmallR09,RNASimSmallR01,RNASimSmallR10,RNASimSmallR03,RNASimSmallR07,RNASimSmallR05,RNASimSmallR02,RNASimSmallR04,RNASimSmallR08
1-SPFP,0.990610576057,0.995094588746,0.993631678228,0.993064289292,0.990507764482,0.993920055948,0.992423709745,0.984774325489,0.992022550411,0.986992500477
1-SPFN,0.990956557649,0.995194662096,0.99382154749,0.993138144871,0.990664057278,0.994132974259,0.992508762484,0.985301964589,0.992026909455,0.987159035131
SP-Score,0.990783566853,0.995144625421,0.993726612859,0.993101217082,0.99058591088,0.994026515103,0.992466236115,0.985038145039,0.992024729933,0.987075767804
TC,0.8891063274624919,0.9460338101430429,0.9262883235485975,0.9258295380611581,0.8791208791208791,0.9246263807667316,0.9171018276762402,0.8566796368352788,0.9040469973890339,0.8510084580351334
Modeler,0.9906105760574081,0.995094588745535,0.9936316782284647,0.9930642892919713,0.9905077644821232,0.9939200559477238,0.9924237097454648,0.9847743254887356,0.992022550411066,0.9869925004765254
Compression,0.9954780361757106,0.9993514915693904,0.9974126778783958,1.0,0.9980952380952381,0.9980632666236281,0.9993506493506493,0.998062015503876,1.0,0.9987063389391979
Average Pairwise P-Distance,0.187016307673,0.177425099822,0.178354416811,0.177944127384,0.219580192963,0.198282222387,0.191723086779,0.197020947036,0.196498122551,0.205618072099
Maximum Pairwise P-Distance,0.325985303941,0.246234446627,0.23746701847,0.248184818482,0.364116094987,0.278763971072,0.249670619236,0.340199335548,0.251485148515,0.346103038309
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1548,1542,1546,1544,1575,1549,1540,1548,1538,1546
Estimated Length,1541,1541,1542,1544,1572,1546,1539,1545,1538,1544
Maximum Ungapped Length,1531,1536,1528,1536,1534,1533,1531,1529,1528,1532
Sequence Length Heterogeneity,0.00230287513724,0.00154889409204,0.0014914896869,0.00184556153242,0.00197169547195,0.00131825608563,0.00199408675507,0.00209392506105,0.00196687607255,0.00157249749485
Gappiness Percentage,0.0151162790698,0.00715953307393,0.0141009055627,0.00917098445596,0.0298920634921,0.0118528082634,0.0104935064935,0.0172351421189,0.00920676202861,0.0114877102199
Average Gap Length,1.01386481802,1.07392996109,1.00368324125,1.00283286119,1.00856898029,1.00437636761,1.00748129676,1.04545454545,1.00283286119,1.04470588235
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
