,RNASimSmallR06,RNASimSmallR09,RNASimSmallR01,RNASimSmallR10,RNASimSmallR03,RNASimSmallR07,RNASimSmallR05,RNASimSmallR02,RNASimSmallR04,RNASimSmallR08
1-SPFP,0.99032944447,0.993575240081,0.991921263612,0.99224609516,0.991685786728,0.992066804933,0.994159384208,0.986886741921,0.990637654602,0.987591328828
1-SPFN,0.990668801771,0.993664299706,0.992141307117,0.992298185557,0.991742292916,0.992281494824,0.994211815894,0.987176151523,0.990561477823,0.98781423112
SP-Score,0.990499123121,0.993619769894,0.992031285365,0.992272140358,0.991714039822,0.992174149878,0.994185600051,0.987031446722,0.990599566212,0.987702779974
TC,0.8858447488584474,0.9349804941482445,0.9145466405740378,0.9180221210149642,0.8901098901098901,0.9129304743339831,0.9177545691906005,0.8728923476005188,0.8890339425587467,0.8516590761223162
Modeler,0.9903294444700628,0.993575240081408,0.9919212636118693,0.9922460951597698,0.9916857867275002,0.9920668049330049,0.9941593842083636,0.986886741920765,0.9906376546017432,0.9875913288275953
Compression,0.9954780361757106,1.0006485084306096,0.9987063389391979,1.0,0.9987301587301587,0.9987088444157521,1.0,1.0006459948320414,1.0013003901170352,1.0
Average Pairwise P-Distance,0.187016307673,0.177425099822,0.178354416811,0.177944127384,0.219580192963,0.198282222387,0.191723086779,0.197020947036,0.196498122551,0.205618072099
Maximum Pairwise P-Distance,0.325985303941,0.246234446627,0.23746701847,0.248184818482,0.364116094987,0.278763971072,0.249670619236,0.340199335548,0.251485148515,0.346103038309
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1548,1542,1546,1544,1575,1549,1540,1548,1538,1546
Estimated Length,1541,1543,1544,1544,1573,1547,1540,1549,1540,1546
Maximum Ungapped Length,1531,1536,1528,1536,1534,1533,1531,1529,1528,1532
Sequence Length Heterogeneity,0.00230287513724,0.00154889409204,0.0014914896869,0.00184556153242,0.00197169547195,0.00131825608563,0.00199408675507,0.00209392506105,0.00196687607255,0.00157249749485
Gappiness Percentage,0.0151162790698,0.00715953307393,0.0141009055627,0.00917098445596,0.0298920634921,0.0118528082634,0.0104935064935,0.0172351421189,0.00920676202861,0.0114877102199
Average Gap Length,1.01386481802,1.07392996109,1.00368324125,1.00283286119,1.00856898029,1.00437636761,1.00748129676,1.04545454545,1.00283286119,1.04470588235
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
