,RNASimSmallR06,RNASimSmallR09,RNASimSmallR01,RNASimSmallR10,RNASimSmallR03,RNASimSmallR07,RNASimSmallR05,RNASimSmallR02,RNASimSmallR04,RNASimSmallR08
1-SPFP,0.990716119215,0.994554643746,0.993370371997,0.992674962106,0.989637952833,0.991022138689,0.990358756218,0.982039477889,0.991178926092,0.988149462684
1-SPFN,0.991077371185,0.994654662796,0.993562373158,0.992748788731,0.989802783689,0.991234436206,0.990495863228,0.982565651666,0.991187636766,0.988329184489
SP-Score,0.9908967452,0.994604653271,0.993466372578,0.992711875418,0.989720368261,0.991128287448,0.990427309723,0.982302564777,0.991183281429,0.988239323586
TC,0.8930202217873451,0.9427828348504551,0.923679060665362,0.9238776837996097,0.8791208791208791,0.916829109811566,0.9151436031331592,0.851491569390402,0.9001305483028721,0.8536109303838647
Modeler,0.9907161192148665,0.9945546437456007,0.9933703719970135,0.9926749621062163,0.9896379528328553,0.9910221386891623,0.9903587562180309,0.9820394778887241,0.9911789260919237,0.9881494626836241
Compression,0.9954780361757106,0.9993514915693904,0.9974126778783958,1.0,0.9974603174603175,0.9980632666236281,0.9993506493506493,0.998062015503876,1.0,0.9987063389391979
Average Pairwise P-Distance,0.187016307673,0.177425099822,0.178354416811,0.177944127384,0.219580192963,0.198282222387,0.191723086779,0.197020947036,0.196498122551,0.205618072099
Maximum Pairwise P-Distance,0.325985303941,0.246234446627,0.23746701847,0.248184818482,0.364116094987,0.278763971072,0.249670619236,0.340199335548,0.251485148515,0.346103038309
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1548,1542,1546,1544,1575,1549,1540,1548,1538,1546
Estimated Length,1541,1541,1542,1544,1571,1546,1539,1545,1538,1544
Maximum Ungapped Length,1531,1536,1528,1536,1534,1533,1531,1529,1528,1532
Sequence Length Heterogeneity,0.00230287513724,0.00154889409204,0.0014914896869,0.00184556153242,0.00197169547195,0.00131825608563,0.00199408675507,0.00209392506105,0.00196687607255,0.00157249749485
Gappiness Percentage,0.0151162790698,0.00715953307393,0.0141009055627,0.00917098445596,0.0298920634921,0.0118528082634,0.0104935064935,0.0172351421189,0.00920676202861,0.0114877102199
Average Gap Length,1.01386481802,1.07392996109,1.00368324125,1.00283286119,1.00856898029,1.00437636761,1.00748129676,1.04545454545,1.00283286119,1.04470588235
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
