,RNASimSmallR06,RNASimSmallR09,RNASimSmallR01,RNASimSmallR10,RNASimSmallR03,RNASimSmallR07,RNASimSmallR05,RNASimSmallR02,RNASimSmallR04,RNASimSmallR08
1-SPFP,0.986882205723,0.988120860565,0.992032371375,0.991539163368,0.989189639414,0.991850350754,0.991495114472,0.98477122655,0.987006674804,0.985099177976
1-SPFN,0.986578714412,0.98764560305,0.991868954429,0.991283234718,0.989033554605,0.991787475518,0.991168294639,0.984528035632,0.986006995404,0.984227087862
SP-Score,0.986730460068,0.987883231808,0.991950662902,0.991411199043,0.989111597009,0.991818913136,0.991331704556,0.984649631091,0.986506835104,0.984663132919
TC,0.8434442270058709,0.9037711313394018,0.9073711676451403,0.9011060507482108,0.870071105365223,0.916829109811566,0.9014360313315927,0.8482490272373541,0.8746736292428199,0.8041639557579701
Modeler,0.9868822057230497,0.9881208605650192,0.9920323713745313,0.9915391633683188,0.9891896394135401,0.991850350754083,0.9914951144719343,0.9847712265503354,0.9870066748039895,0.9850991779764359
Compression,1.003875968992248,1.0006485084306096,1.0025873221216042,1.0025906735751295,1.0019047619047619,1.0012911555842479,1.0045454545454546,1.003875968992248,1.005851755526658,1.0116429495472186
Average Pairwise P-Distance,0.187016307673,0.177425099822,0.178354416811,0.177944127384,0.219580192963,0.198282222387,0.191723086779,0.197020947036,0.196498122551,0.205618072099
Maximum Pairwise P-Distance,0.325985303941,0.246234446627,0.23746701847,0.248184818482,0.364116094987,0.278763971072,0.249670619236,0.340199335548,0.251485148515,0.346103038309
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1548,1542,1546,1544,1575,1549,1540,1548,1538,1546
Estimated Length,1554,1543,1550,1548,1578,1551,1547,1554,1547,1564
Maximum Ungapped Length,1531,1536,1528,1536,1534,1533,1531,1529,1528,1532
Sequence Length Heterogeneity,0.00230287513724,0.00154889409204,0.0014914896869,0.00184556153242,0.00197169547195,0.00131825608563,0.00199408675507,0.00209392506105,0.00196687607255,0.00157249749485
Gappiness Percentage,0.0151162790698,0.00715953307393,0.0141009055627,0.00917098445596,0.0298920634921,0.0118528082634,0.0104935064935,0.0172351421189,0.00920676202861,0.0114877102199
Average Gap Length,1.01386481802,1.07392996109,1.00368324125,1.00283286119,1.00856898029,1.00437636761,1.00748129676,1.04545454545,1.00283286119,1.04470588235
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
