,RNASimSmallR06,RNASimSmallR09,RNASimSmallR01,RNASimSmallR10,RNASimSmallR03,RNASimSmallR07,RNASimSmallR05,RNASimSmallR02,RNASimSmallR04,RNASimSmallR08
1-SPFP,0.992213924885,0.993456836546,0.994023996258,0.994373591757,0.991105160278,0.992602224796,0.991652017228,0.987671580247,0.992925580179,0.990586523565
1-SPFN,0.992329438744,0.993491587379,0.994087311,0.994297463717,0.991172493595,0.9928148608,0.991684704383,0.987617136683,0.99293648771,0.990619083514
SP-Score,0.992271681814,0.993474211962,0.994055653629,0.994335527737,0.991138826937,0.992708542798,0.991668360805,0.987644358465,0.992931033945,0.99060280354
TC,0.9106327462491846,0.9258777633289987,0.9223744292237442,0.9310344827586207,0.885585003232062,0.9239766081871345,0.9203655352480418,0.8780804150453956,0.9092689295039165,0.8809368900455433
Modeler,0.9922139248846914,0.9934568365455245,0.9940239962575853,0.9943735917572681,0.9911051602780432,0.9926022247962061,0.9916520172277402,0.9876715802471858,0.9929255801793212,0.9905865235654637
Compression,0.9967700258397932,1.0,0.9987063389391979,1.0006476683937824,1.0006349206349205,0.9987088444157521,0.9993506493506493,1.0032299741602067,1.0,1.001293661060802
Average Pairwise P-Distance,0.187016307673,0.177425099822,0.178354416811,0.177944127384,0.219580192963,0.198282222387,0.191723086779,0.197020947036,0.196498122551,0.205618072099
Maximum Pairwise P-Distance,0.325985303941,0.246234446627,0.23746701847,0.248184818482,0.364116094987,0.278763971072,0.249670619236,0.340199335548,0.251485148515,0.346103038309
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1548,1542,1546,1544,1575,1549,1540,1548,1538,1546
Estimated Length,1543,1542,1544,1545,1576,1547,1539,1553,1538,1548
Maximum Ungapped Length,1531,1536,1528,1536,1534,1533,1531,1529,1528,1532
Sequence Length Heterogeneity,0.00230287513724,0.00154889409204,0.0014914896869,0.00184556153242,0.00197169547195,0.00131825608563,0.00199408675507,0.00209392506105,0.00196687607255,0.00157249749485
Gappiness Percentage,0.0151162790698,0.00715953307393,0.0141009055627,0.00917098445596,0.0298920634921,0.0118528082634,0.0104935064935,0.0172351421189,0.00920676202861,0.0114877102199
Average Gap Length,1.01386481802,1.07392996109,1.00368324125,1.00283286119,1.00856898029,1.00437636761,1.00748129676,1.04545454545,1.00283286119,1.04470588235
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
