,RNASimSmallR06,RNASimSmallR09,RNASimSmallR01,RNASimSmallR10,RNASimSmallR03,RNASimSmallR07,RNASimSmallR05,RNASimSmallR02,RNASimSmallR04,RNASimSmallR08
1-SPFP,0.992619715464,0.993798476734,0.995591820598,0.995163576547,0.994383610574,0.996867828026,0.994097572445,0.991300379423,0.994131656538,0.992591245354
1-SPFN,0.992663323427,0.993579036659,0.995587447177,0.995143985213,0.994475138122,0.996950633044,0.994101941481,0.991416223844,0.994127288226,0.992591245354
SP-Score,0.992641519445,0.993688756697,0.995589633887,0.99515378088,0.994429374348,0.996909230535,0.994099756963,0.991358301634,0.994129472382,0.992591245354
TC,0.9106327462491846,0.9544863459037711,0.9478147423352903,0.9362394274560832,0.9224305106658048,0.9538661468486029,0.9406005221932114,0.9066147859922179,0.9308093994778068,0.9056603773584906
Modeler,0.992619715463673,0.9937984767344475,0.9955918205978607,0.9951635765471742,0.9943836105736256,0.9968678280256169,0.9940975724453762,0.9913003794233911,0.9941316565382267,0.9925912453544632
Compression,1.0,1.0006485084306096,1.000646830530401,1.0006476683937824,0.9993650793650793,0.9993544222078761,1.0006493506493506,1.0,1.0,1.0
Average Pairwise P-Distance,0.187016307673,0.177425099822,0.178354416811,0.177944127384,0.219580192963,0.198282222387,0.191723086779,0.197020947036,0.196498122551,0.205618072099
Maximum Pairwise P-Distance,0.325985303941,0.246234446627,0.23746701847,0.248184818482,0.364116094987,0.278763971072,0.249670619236,0.340199335548,0.251485148515,0.346103038309
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1548,1542,1546,1544,1575,1549,1540,1548,1538,1546
Estimated Length,1548,1543,1547,1545,1574,1548,1541,1548,1538,1546
Maximum Ungapped Length,1531,1536,1528,1536,1534,1533,1531,1529,1528,1532
Sequence Length Heterogeneity,0.00230287513724,0.00154889409204,0.0014914896869,0.00184556153242,0.00197169547195,0.00131825608563,0.00199408675507,0.00209392506105,0.00196687607255,0.00157249749485
Gappiness Percentage,0.0151162790698,0.00715953307393,0.0141009055627,0.00917098445596,0.0298920634921,0.0118528082634,0.0104935064935,0.0172351421189,0.00920676202861,0.0114877102199
Average Gap Length,1.01386481802,1.07392996109,1.00368324125,1.00283286119,1.00856898029,1.00437636761,1.00748129676,1.04545454545,1.00283286119,1.04470588235
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
