,RNASimSmallR06,RNASimSmallR09,RNASimSmallR01,RNASimSmallR10,RNASimSmallR03,RNASimSmallR07,RNASimSmallR05,RNASimSmallR02,RNASimSmallR04,RNASimSmallR08
1-SPFP,0.992110553316,0.993562395996,0.995007544692,0.995546514426,0.993829203034,0.996821899604,0.994202083118,0.991431374927,0.994153691347,0.992852071628
1-SPFN,0.991931852379,0.993356040996,0.994996617555,0.995557402688,0.993920679551,0.996895984891,0.994040411809,0.991398584438,0.99416024396,0.992860774139
SP-Score,0.992021202847,0.993459218496,0.995002081123,0.995551958557,0.993874941293,0.996858942247,0.994121247464,0.991414979682,0.994156967654,0.992856422884
TC,0.9060665362035225,0.951885565669701,0.943900848010437,0.9401431359791802,0.9159663865546218,0.9545159194282001,0.9412532637075718,0.9033722438391699,0.924934725848564,0.9108653220559532
Modeler,0.9921105533158305,0.9935623959957404,0.9950075446915901,0.995546514425706,0.993829203033683,0.9968218996035024,0.9942020831181276,0.9914313749269594,0.9941536913474193,0.9928520716282901
Compression,1.0012919896640826,1.0006485084306096,1.000646830530401,1.0006476683937824,0.9993650793650793,0.9993544222078761,1.001948051948052,1.0012919896640826,1.0,1.0
Average Pairwise P-Distance,0.187016307673,0.177425099822,0.178354416811,0.177944127384,0.219580192963,0.198282222387,0.191723086779,0.197020947036,0.196498122551,0.205618072099
Maximum Pairwise P-Distance,0.325985303941,0.246234446627,0.23746701847,0.248184818482,0.364116094987,0.278763971072,0.249670619236,0.340199335548,0.251485148515,0.346103038309
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1548,1542,1546,1544,1575,1549,1540,1548,1538,1546
Estimated Length,1550,1543,1547,1545,1574,1548,1543,1550,1538,1546
Maximum Ungapped Length,1531,1536,1528,1536,1534,1533,1531,1529,1528,1532
Sequence Length Heterogeneity,0.00230287513724,0.00154889409204,0.0014914896869,0.00184556153242,0.00197169547195,0.00131825608563,0.00199408675507,0.00209392506105,0.00196687607255,0.00157249749485
Gappiness Percentage,0.0151162790698,0.00715953307393,0.0141009055627,0.00917098445596,0.0298920634921,0.0118528082634,0.0104935064935,0.0172351421189,0.00920676202861,0.0114877102199
Average Gap Length,1.01386481802,1.07392996109,1.00368324125,1.00283286119,1.00856898029,1.00437636761,1.00748129676,1.04545454545,1.00283286119,1.04470588235
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
