,RoseBigL1R09,RoseBigL1R03,RoseBigL1R04,RoseBigL1R02,RoseBigL1R10,RoseBigL1R08,RoseBigL1R05,RoseBigL1R01,RoseBigL1R07,RoseBigL1R06
1-SPFP,0.416617983078,0.150862761456,0.259801008868,0.0850146501753,0.414780589602,0.22158091278,0.216627833508,0.128367788094,0.299744578207,0.193714961849
1-SPFN,0.374274715205,0.128197742781,0.222394721679,0.0707501554435,0.375395141315,0.188616603079,0.185307914277,0.108792247672,0.262707018197,0.165564800886
SP-Score,0.395446349142,0.139530252118,0.241097865274,0.0778824028094,0.395087865459,0.205098757929,0.200967873893,0.118580017883,0.281225798202,0.179639881367
TC,0.0,0.0,0.0,0.0,0.0,0.0,0.0024691358024691358,0.0022988505747126436,0.0,0.0
Modeler,0.4166179830784118,0.15086276145640903,0.2598010088683046,0.08501465017526583,0.4147805896024684,0.22158091277979072,0.21662783350820905,0.1283677880935837,0.29974457820747274,0.19371496184919637
Compression,0.8820541760722348,0.9903846153846154,0.87651598676957,0.8783098591549295,0.9852448021462106,0.8917725013804528,0.9653624118024374,0.92,0.9338103756708408,0.8781697905181919
Average Pairwise P-Distance,0.686391081078,0.701986317732,0.695097495526,0.701775939449,0.687312158477,0.693693289354,0.69663855509,0.70012148161,0.689946855716,0.687912503672
Maximum Pairwise P-Distance,0.741935483871,0.761569416499,0.750503018109,0.766364551863,0.753259779338,0.746987951807,0.757271815446,0.757056451613,0.744488977956,0.742393509128
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1772,1560,1814,1775,1491,1811,1559,1700,1677,1814
Estimated Length,1563,1545,1590,1559,1469,1615,1505,1564,1566,1593
Maximum Ungapped Length,1055,1043,1084,1068,1036,1083,1045,1090,1057,1060
Sequence Length Heterogeneity,0.0123432134528,0.0108499586315,0.0142118293192,0.0169456574416,0.0112549969287,0.0173046884171,0.0126842421926,0.0237480399186,0.0152192173276,0.0176174207136
Gappiness Percentage,0.429774266366,0.353532051282,0.443169790518,0.428478873239,0.323393695506,0.432788514633,0.354502886466,0.393052941176,0.393840190817,0.440578831312
Average Gap Length,11.0643614703,9.05748070291,11.2687132044,12.3646561535,8.87338976813,9.957819845,10.0907431075,10.4306899781,9.91398979285,9.87532435438
Median Gap Length,9.0,7.0,9.0,13.0,7.0,7.0,8.0,7.0,8.0,8.0
