,RoseBigL1R09,RoseBigL1R03,RoseBigL1R04,RoseBigL1R02,RoseBigL1R10,RoseBigL1R08,RoseBigL1R05,RoseBigL1R01,RoseBigL1R07,RoseBigL1R06
1-SPFP,0.0410803292673,0.0318440593019,0.0334795345299,0.0374636551765,0.0481089645551,0.035835549317,0.0346971728508,0.0296555824584,0.0525170727666,0.0369579503296
1-SPFN,0.00564989610854,0.00383515439363,0.00419693071798,0.00496891637902,0.00602396087891,0.00471574671886,0.00467786972203,0.00401030195061,0.00693128492322,0.00467478328166
SP-Score,0.0233651126879,0.0178396068477,0.0188382326239,0.0212162857778,0.027066462717,0.0202756480179,0.0196875212864,0.0168329422045,0.0297241788449,0.0208163668056
TC,0.0,0.007518796992481203,0.0,0.0,0.003424657534246575,0.0,0.0,0.0,0.0,7.336757153338225E-4
Modeler,0.041080329267340385,0.031844059301866005,0.033479534529917296,0.03746365517652763,0.04810896455512236,0.03583554931702899,0.034697172850820364,0.02965558245841383,0.05251707276657834,0.03695795032962019
Compression,9.988148984198645,11.162179487179488,9.307056229327452,9.716056338028169,11.126760563380282,9.633903920485919,10.443232841565106,10.48,10.215861657722122,9.520396912899669
Average Pairwise P-Distance,0.686391081078,0.701986317732,0.695097495526,0.701775939449,0.687312158477,0.693693289354,0.69663855509,0.70012148161,0.689946855716,0.687912503672
Maximum Pairwise P-Distance,0.741935483871,0.761569416499,0.750503018109,0.766364551863,0.753259779338,0.746987951807,0.757271815446,0.757056451613,0.744488977956,0.742393509128
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1772,1560,1814,1775,1491,1811,1559,1700,1677,1814
Estimated Length,17699,17413,16883,17246,16590,17447,16281,17816,17132,17270
Maximum Ungapped Length,1055,1043,1084,1068,1036,1083,1045,1090,1057,1060
Sequence Length Heterogeneity,0.0123432134528,0.0108499586315,0.0142118293192,0.0169456574416,0.0112549969287,0.0173046884171,0.0126842421926,0.0237480399186,0.0152192173276,0.0176174207136
Gappiness Percentage,0.429774266366,0.353532051282,0.443169790518,0.428478873239,0.323393695506,0.432788514633,0.354502886466,0.393052941176,0.393840190817,0.440578831312
Average Gap Length,11.0643614703,9.05748070291,11.2687132044,12.3646561535,8.87338976813,9.957819845,10.0907431075,10.4306899781,9.91398979285,9.87532435438
Median Gap Length,9.0,7.0,9.0,13.0,7.0,7.0,8.0,7.0,8.0,8.0
