,RoseBigL1R09,RoseBigL1R03,RoseBigL1R04,RoseBigL1R02,RoseBigL1R10,RoseBigL1R08,RoseBigL1R05,RoseBigL1R01,RoseBigL1R07,RoseBigL1R06
1-SPFP,0.888106735066,0.731905447953,0.742545129116,0.737621448252,0.873720540746,0.765862158945,0.835136973084,0.717994665705,0.843969598314,0.759792350234
1-SPFN,0.854282447794,0.663199755153,0.68716594574,0.680871173124,0.850623360185,0.705547223193,0.800780814911,0.657641799693,0.812659897042,0.705173437671
SP-Score,0.87119459143,0.697552601553,0.714855537428,0.709246310688,0.862171950466,0.735704691069,0.817958893998,0.687818232699,0.828314747678,0.732482893952
TC,0.05938037865748709,8.35421888053467E-4,0.04611443210930828,0.002377179080824089,0.019691780821917807,0.01283987915407855,0.03209876543209877,0.006130268199233717,0.03201970443349754,0.00293470286133529
Modeler,0.8881067350662712,0.7319054479531196,0.7425451291160354,0.7376214482519298,0.8737205407459924,0.7658621589449285,0.8351369730844165,0.7179946657046489,0.8439695983139055,0.7597923502341283
Compression,0.994920993227991,1.2423076923076923,0.9983461962513782,1.1290140845070422,1.0771294433266265,1.0850358917725014,1.1173829377806286,1.2629411764705882,1.0805008944543828,1.0446527012127895
Average Pairwise P-Distance,0.686391081078,0.701986317732,0.695097495526,0.701775939449,0.687312158477,0.693693289354,0.69663855509,0.70012148161,0.689946855716,0.687912503672
Maximum Pairwise P-Distance,0.741935483871,0.761569416499,0.750503018109,0.766364551863,0.753259779338,0.746987951807,0.757271815446,0.757056451613,0.744488977956,0.742393509128
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1772,1560,1814,1775,1491,1811,1559,1700,1677,1814
Estimated Length,1763,1938,1811,2004,1606,1965,1742,2147,1812,1895
Maximum Ungapped Length,1055,1043,1084,1068,1036,1083,1045,1090,1057,1060
Sequence Length Heterogeneity,0.0123432134528,0.0108499586315,0.0142118293192,0.0169456574416,0.0112549969287,0.0173046884171,0.0126842421926,0.0237480399186,0.0152192173276,0.0176174207136
Gappiness Percentage,0.429774266366,0.353532051282,0.443169790518,0.428478873239,0.323393695506,0.432788514633,0.354502886466,0.393052941176,0.393840190817,0.440578831312
Average Gap Length,11.0643614703,9.05748070291,11.2687132044,12.3646561535,8.87338976813,9.957819845,10.0907431075,10.4306899781,9.91398979285,9.87532435438
Median Gap Length,9.0,7.0,9.0,13.0,7.0,7.0,8.0,7.0,8.0,8.0
