,RoseBigL1R09,RoseBigL1R03,RoseBigL1R04,RoseBigL1R02,RoseBigL1R10,RoseBigL1R08,RoseBigL1R05,RoseBigL1R01,RoseBigL1R07,RoseBigL1R06
1-SPFP,0.81580137684,0.60785718133,0.692064750453,0.601170151299,0.850147825197,0.656847575361,0.727309001312,0.551511674647,0.729942714899,0.679370035408
1-SPFN,0.758356403438,0.514328152209,0.609617070142,0.5141664021,0.799203668281,0.577217689336,0.669721338386,0.459144785715,0.645456747154,0.598130615095
SP-Score,0.787078890139,0.561092666769,0.650840910298,0.557668276699,0.824675746739,0.617032632349,0.698515169849,0.505328230181,0.687699731027,0.638750325252
TC,0.055077452667814115,0.0,0.04526046114432109,0.0,0.008561643835616438,0.00906344410876133,0.0,0.0,0.0,0.0
Modeler,0.8158013768400428,0.6078571813301574,0.6920647504533411,0.6011701512985184,0.8501478251965703,0.6568475753614685,0.7273090013116139,0.5515116746469331,0.7299427148992788,0.6793700354081541
Compression,1.1049661399548534,1.4294871794871795,1.1846747519294376,1.335774647887324,1.2233400402414487,1.209828823854224,1.2405388069275176,1.5547058823529412,1.3351222420989863,1.2364939360529217
Average Pairwise P-Distance,0.686391081078,0.701986317732,0.695097495526,0.701775939449,0.687312158477,0.693693289354,0.69663855509,0.70012148161,0.689946855716,0.687912503672
Maximum Pairwise P-Distance,0.741935483871,0.761569416499,0.750503018109,0.766364551863,0.753259779338,0.746987951807,0.757271815446,0.757056451613,0.744488977956,0.742393509128
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1772,1560,1814,1775,1491,1811,1559,1700,1677,1814
Estimated Length,1958,2230,2149,2371,1824,2191,1934,2643,2239,2243
Maximum Ungapped Length,1055,1043,1084,1068,1036,1083,1045,1090,1057,1060
Sequence Length Heterogeneity,0.0123432134528,0.0108499586315,0.0142118293192,0.0169456574416,0.0112549969287,0.0173046884171,0.0126842421926,0.0237480399186,0.0152192173276,0.0176174207136
Gappiness Percentage,0.429774266366,0.353532051282,0.443169790518,0.428478873239,0.323393695506,0.432788514633,0.354502886466,0.393052941176,0.393840190817,0.440578831312
Average Gap Length,11.0643614703,9.05748070291,11.2687132044,12.3646561535,8.87338976813,9.957819845,10.0907431075,10.4306899781,9.91398979285,9.87532435438
Median Gap Length,9.0,7.0,9.0,13.0,7.0,7.0,8.0,7.0,8.0,8.0
