,RoseBigL1R09,RoseBigL1R03,RoseBigL1R04,RoseBigL1R02,RoseBigL1R10,RoseBigL1R08,RoseBigL1R05,RoseBigL1R01,RoseBigL1R07,RoseBigL1R06
1-SPFP,0.260425991567,0.030872355374,0.0600452511258,0.0272561439476,0.0725430144719,0.0977353244774,0.0491353028856,0.103649199601,0.069773296028,0.0447631866159
1-SPFN,0.24818043031,0.0284282287943,0.0556851104925,0.0253734446778,0.0664090720535,0.090454019761,0.0451700391544,0.0974055646173,0.0640975276277,0.0417442172878
SP-Score,0.254303210938,0.0296502920842,0.0578651808092,0.0263147943127,0.0694760432627,0.0940946721192,0.04715267102,0.100527382109,0.0669354118279,0.0432537019518
TC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015325670498084292,0.0,0.0
Modeler,0.2604259915669235,0.030872355374027795,0.06004525112580881,0.02725614394762023,0.07254301447190016,0.09773532447738549,0.049135302885648824,0.10364919960068043,0.06977329602803496,0.04476318661585079
Compression,0.7968397291196389,0.8692307692307693,0.7971334068357222,0.8078873239436619,0.9403085177733065,0.8547763666482606,0.9076330981398332,0.8294117647058824,0.8282647584973166,0.7833517089305403
Average Pairwise P-Distance,0.686391081078,0.701986317732,0.695097495526,0.701775939449,0.687312158477,0.693693289354,0.69663855509,0.70012148161,0.689946855716,0.687912503672
Maximum Pairwise P-Distance,0.741935483871,0.761569416499,0.750503018109,0.766364551863,0.753259779338,0.746987951807,0.757271815446,0.757056451613,0.744488977956,0.742393509128
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1772,1560,1814,1775,1491,1811,1559,1700,1677,1814
Estimated Length,1412,1356,1446,1434,1402,1548,1415,1410,1389,1421
Maximum Ungapped Length,1055,1043,1084,1068,1036,1083,1045,1090,1057,1060
Sequence Length Heterogeneity,0.0123432134528,0.0108499586315,0.0142118293192,0.0169456574416,0.0112549969287,0.0173046884171,0.0126842421926,0.0237480399186,0.0152192173276,0.0176174207136
Gappiness Percentage,0.429774266366,0.353532051282,0.443169790518,0.428478873239,0.323393695506,0.432788514633,0.354502886466,0.393052941176,0.393840190817,0.440578831312
Average Gap Length,11.0643614703,9.05748070291,11.2687132044,12.3646561535,8.87338976813,9.957819845,10.0907431075,10.4306899781,9.91398979285,9.87532435438
Median Gap Length,9.0,7.0,9.0,13.0,7.0,7.0,8.0,7.0,8.0,8.0
