,RoseBigL1R09,RoseBigL1R03,RoseBigL1R04,RoseBigL1R02,RoseBigL1R10,RoseBigL1R08,RoseBigL1R05,RoseBigL1R01,RoseBigL1R07,RoseBigL1R06
1-SPFP,0.907268580996,0.928688211085,0.8332960843,0.843284251297,0.901566474594,0.81245022415,0.898303433189,0.73814064728,0.872554535052,0.871049176997
1-SPFN,0.905661405832,0.927571405799,0.832110598031,0.841295723961,0.900100656037,0.812377719614,0.895897364004,0.738070198831,0.86935573819,0.871147957846
SP-Score,0.906464993414,0.928129808442,0.832703341166,0.842289987629,0.900833565316,0.812413971882,0.897100398596,0.738105423055,0.870955136621,0.871098567421
TC,0.03614457831325301,0.08437761069340016,0.05636208368915457,0.00792393026941363,0.0779109589041096,0.008308157099697885,0.0345679012345679,0.014559386973180077,0.0361247947454844,0.06823184152604549
Modeler,0.9072685809960424,0.928688211084842,0.8332960843003859,0.8432842512974751,0.9015664745938582,0.8124502241496244,0.8983034331885402,0.7381406472801197,0.8725545350522231,0.8710491769965454
Compression,1.1709932279909707,1.1346153846153846,1.1218302094818082,1.2563380281690142,1.096579476861167,1.1551628934290448,1.1597177677998718,1.1364705882352941,1.29695885509839,1.1957001102535831
Average Pairwise P-Distance,0.686391081078,0.701986317732,0.695097495526,0.701775939449,0.687312158477,0.693693289354,0.69663855509,0.70012148161,0.689946855716,0.687912503672
Maximum Pairwise P-Distance,0.741935483871,0.761569416499,0.750503018109,0.766364551863,0.753259779338,0.746987951807,0.757271815446,0.757056451613,0.744488977956,0.742393509128
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1772,1560,1814,1775,1491,1811,1559,1700,1677,1814
Estimated Length,2075,1770,2035,2230,1635,2092,1808,1932,2175,2169
Maximum Ungapped Length,1055,1043,1084,1068,1036,1083,1045,1090,1057,1060
Sequence Length Heterogeneity,0.0123432134528,0.0108499586315,0.0142118293192,0.0169456574416,0.0112549969287,0.0173046884171,0.0126842421926,0.0237480399186,0.0152192173276,0.0176174207136
Gappiness Percentage,0.429774266366,0.353532051282,0.443169790518,0.428478873239,0.323393695506,0.432788514633,0.354502886466,0.393052941176,0.393840190817,0.440578831312
Average Gap Length,11.0643614703,9.05748070291,11.2687132044,12.3646561535,8.87338976813,9.957819845,10.0907431075,10.4306899781,9.91398979285,9.87532435438
Median Gap Length,9.0,7.0,9.0,13.0,7.0,7.0,8.0,7.0,8.0,8.0
