Dataset,Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length
RoseBigL1R01,BPPD,0.039726615644,0.012131158388,0.025928887016,0.0,0.03972661564402515,20.33705882352941,0.70012148161,0.757056451613,100,1700,34573,1090,0.0237480399186,0.393052941176,10.4306899781,7.0
RoseBigL1R01,BPMAP,0.959481445229,0.959925652719,0.959703548974,0.35172413793103446,0.9594814452291254,0.9911764705882353,0.70012148161,0.757056451613,100,1700,1685,1090,0.0237480399186,0.393052941176,10.4306899781,7.0
RoseBigL1R01,MAFFT,0.0524150397862,0.0303362169304,0.0413756283583,0.0,0.05241503978615354,2.353529411764706,0.70012148161,0.757056451613,100,1700,4001,1090,0.0237480399186,0.393052941176,10.4306899781,7.0
RoseBigL1R01,Muscle,0.103649199601,0.0974055646173,0.100527382109,0.0015325670498084292,0.10364919960068043,0.8294117647058824,0.70012148161,0.757056451613,100,1700,1410,1090,0.0237480399186,0.393052941176,10.4306899781,7.0
RoseBigL1R01,Clustal,0.128367788094,0.108792247672,0.118580017883,0.0022988505747126436,0.1283677880935837,0.92,0.70012148161,0.757056451613,100,1700,1564,1090,0.0237480399186,0.393052941176,10.4306899781,7.0
RoseBigL1R01,GINSI,0.717994665705,0.657641799693,0.687818232699,0.006130268199233717,0.7179946657046489,1.2629411764705882,0.70012148161,0.757056451613,100,1700,2147,1090,0.0237480399186,0.393052941176,10.4306899781,7.0
RoseBigL1R01,EINSI,0.657094724796,0.593125483092,0.625110103944,0.0030651340996168583,0.6570947247956572,1.1911764705882353,0.70012148161,0.757056451613,100,1700,2025,1090,0.0237480399186,0.393052941176,10.4306899781,7.0
RoseBigL1R01,LINSI,0.551511674647,0.459144785715,0.505328230181,0.0,0.5515116746469331,1.5547058823529412,0.70012148161,0.757056451613,100,1700,2643,1090,0.0237480399186,0.393052941176,10.4306899781,7.0
RoseBigL1R01,DiAlign,0.0296555824584,0.00401030195061,0.0168329422045,0.0,0.02965558245841383,10.48,0.70012148161,0.757056451613,100,1700,17816,1090,0.0237480399186,0.393052941176,10.4306899781,7.0
RoseBigL1R01,KAlign,0.104128263865,0.102662005592,0.103395134729,7.662835249042146E-4,0.10412826386527552,1.2158823529411764,0.70012148161,0.757056451613,100,1700,2067,1090,0.0237480399186,0.393052941176,10.4306899781,7.0
RoseBigL1R01,Prime,0.73814064728,0.738070198831,0.738105423055,0.014559386973180077,0.7381406472801197,1.1364705882352941,0.70012148161,0.757056451613,100,1700,1932,1090,0.0237480399186,0.393052941176,10.4306899781,7.0
RoseBigL1R01,ProbAlign,0.153081395718,0.154649562247,0.153865478983,0.0015325670498084292,0.1530813957180873,0.6411764705882353,0.70012148161,0.757056451613,100,1700,1090,1090,0.0237480399186,0.393052941176,10.4306899781,7.0
RoseBigL1R01,DefaultProbCons,0.0723497218404,0.0668141047298,0.0695819132851,0.007662835249042145,0.07234972184039763,1.3711764705882352,0.70012148161,0.757056451613,100,1700,2331,1090,0.0237480399186,0.393052941176,10.4306899781,7.0
RoseBigL1R01,SAPD,0.0508678585311,0.0241666758565,0.0375172671938,0.013026819923371647,0.05086785853106181,5.556470588235294,0.70012148161,0.757056451613,100,1700,9446,1090,0.0237480399186,0.393052941176,10.4306899781,7.0
RoseBigL1R01,SAPDSum,0.0525349185024,0.0249322042224,0.0387335613624,0.014559386973180077,0.052534918502370145,5.56,0.70012148161,0.757056451613,100,1700,9452,1090,0.0237480399186,0.393052941176,10.4306899781,7.0
RoseBigL1R01,SAPDMul,0.0507846378074,0.0242917910216,0.0375382144145,0.012260536398467433,0.05078463780739874,5.526470588235294,0.70012148161,0.757056451613,100,1700,9395,1090,0.0237480399186,0.393052941176,10.4306899781,7.0
RoseBigL1R01,SparseSAPD,0.0517702131253,0.0240902834239,0.0379302482746,0.014559386973180077,0.05177021312533555,5.5717647058823525,0.70012148161,0.757056451613,100,1700,9472,1090,0.0237480399186,0.393052941176,10.4306899781,7.0
RoseBigL1R02,BPPD,0.962816106092,0.96311572601,0.962965916051,0.347068145800317,0.9628161060917112,1.0298591549295775,0.701775939449,0.766364551863,100,1775,1828,1068,0.0169456574416,0.428478873239,12.3646561535,13.0
RoseBigL1R02,BPMAP,0.95379611454,0.953957291338,0.953876702939,0.2757527733755943,0.9537961145395858,1.0078873239436619,0.701775939449,0.766364551863,100,1775,1789,1068,0.0169456574416,0.428478873239,12.3646561535,13.0
RoseBigL1R02,MAFFT,0.0267805759425,0.0140658836847,0.0204232298136,0.0,0.026780575942478364,2.2067605633802816,0.701775939449,0.766364551863,100,1775,3917,1068,0.0169456574416,0.428478873239,12.3646561535,13.0
RoseBigL1R02,Muscle,0.0272561439476,0.0253734446778,0.0263147943127,0.0,0.02725614394762023,0.8078873239436619,0.701775939449,0.766364551863,100,1775,1434,1068,0.0169456574416,0.428478873239,12.3646561535,13.0
RoseBigL1R02,Clustal,0.0850146501753,0.0707501554435,0.0778824028094,0.0,0.08501465017526583,0.8783098591549295,0.701775939449,0.766364551863,100,1775,1559,1068,0.0169456574416,0.428478873239,12.3646561535,13.0
RoseBigL1R02,GINSI,0.737621448252,0.680871173124,0.709246310688,0.002377179080824089,0.7376214482519298,1.1290140845070422,0.701775939449,0.766364551863,100,1775,2004,1068,0.0169456574416,0.428478873239,12.3646561535,13.0
RoseBigL1R02,EINSI,0.372100466557,0.279948959771,0.326024713164,0.0,0.3721004665570313,1.488450704225352,0.701775939449,0.766364551863,100,1775,2642,1068,0.0169456574416,0.428478873239,12.3646561535,13.0
RoseBigL1R02,LINSI,0.601170151299,0.5141664021,0.557668276699,0.0,0.6011701512985184,1.335774647887324,0.701775939449,0.766364551863,100,1775,2371,1068,0.0169456574416,0.428478873239,12.3646561535,13.0
RoseBigL1R02,DiAlign,0.0374636551765,0.00496891637902,0.0212162857778,0.0,0.03746365517652763,9.716056338028169,0.701775939449,0.766364551863,100,1775,17246,1068,0.0169456574416,0.428478873239,12.3646561535,13.0
RoseBigL1R02,KAlign,0.123884029069,0.121685707012,0.12278486804,0.001584786053882726,0.12388402906914786,1.116056338028169,0.701775939449,0.766364551863,100,1775,1981,1068,0.0169456574416,0.428478873239,12.3646561535,13.0
RoseBigL1R02,Prime,0.843284251297,0.841295723961,0.842289987629,0.00792393026941363,0.8432842512974751,1.2563380281690142,0.701775939449,0.766364551863,100,1775,2230,1068,0.0169456574416,0.428478873239,12.3646561535,13.0
RoseBigL1R02,ProbAlign,0.20323662233,0.205117411798,0.204177017064,0.001584786053882726,0.2032366223302097,0.6016901408450704,0.701775939449,0.766364551863,100,1775,1068,1068,0.0169456574416,0.428478873239,12.3646561535,13.0
RoseBigL1R02,DefaultProbCons,0.111697656595,0.108799875037,0.110248765816,0.003961965134706815,0.11169765659493998,0.9346478873239437,0.701775939449,0.766364551863,100,1775,1659,1068,0.0169456574416,0.428478873239,12.3646561535,13.0
RoseBigL1R02,SAPD,0.0420834291107,0.0203897193295,0.0312365742201,0.0,0.04208342911071279,5.179718309859155,0.701775939449,0.766364551863,100,1775,9194,1068,0.0169456574416,0.428478873239,12.3646561535,13.0
RoseBigL1R02,SAPDSum,0.0421434228735,0.0203688244823,0.0312561236779,0.0,0.042143422873469,5.183661971830986,0.701775939449,0.766364551863,100,1775,9201,1068,0.0169456574416,0.428478873239,12.3646561535,13.0
RoseBigL1R02,SAPDMul,0.0410088665743,0.0205676298245,0.0307882481994,0.006339144215530904,0.0410088665742568,5.085070422535211,0.701775939449,0.766364551863,100,1775,9026,1068,0.0169456574416,0.428478873239,12.3646561535,13.0
RoseBigL1R02,SparseSAPD,0.0419750383551,0.0203026912766,0.0311388648159,0.0,0.04197503835510494,5.187605633802817,0.701775939449,0.766364551863,100,1775,9208,1068,0.0169456574416,0.428478873239,12.3646561535,13.0
RoseBigL1R03,BPPD,0.123642793733,0.00696825718018,0.0653055254568,0.0,0.12364279373339994,31.350641025641025,0.701986317732,0.761569416499,100,1560,48907,1043,0.0108499586315,0.353532051282,9.05748070291,7.0
RoseBigL1R03,BPMAP,0.971233702843,0.97111724039,0.971175471616,0.44110275689223055,0.9712337028425966,1.008974358974359,0.701986317732,0.761569416499,100,1560,1574,1043,0.0108499586315,0.353532051282,9.05748070291,7.0
RoseBigL1R03,MAFFT,0.0229800308499,0.0111803642688,0.0170801975593,0.0,0.02298003084987021,2.767948717948718,0.701986317732,0.761569416499,100,1560,4318,1043,0.0108499586315,0.353532051282,9.05748070291,7.0
RoseBigL1R03,Muscle,0.030872355374,0.0284282287943,0.0296502920842,0.0,0.030872355374027795,0.8692307692307693,0.701986317732,0.761569416499,100,1560,1356,1043,0.0108499586315,0.353532051282,9.05748070291,7.0
RoseBigL1R03,Clustal,0.150862761456,0.128197742781,0.139530252118,0.0,0.15086276145640903,0.9903846153846154,0.701986317732,0.761569416499,100,1560,1545,1043,0.0108499586315,0.353532051282,9.05748070291,7.0
RoseBigL1R03,GINSI,0.731905447953,0.663199755153,0.697552601553,8.35421888053467E-4,0.7319054479531196,1.2423076923076923,0.701986317732,0.761569416499,100,1560,1938,1043,0.0108499586315,0.353532051282,9.05748070291,7.0
RoseBigL1R03,EINSI,0.637431797113,0.530917311649,0.584174554381,0.0,0.6374317971126431,1.483974358974359,0.701986317732,0.761569416499,100,1560,2315,1043,0.0108499586315,0.353532051282,9.05748070291,7.0
RoseBigL1R03,LINSI,0.60785718133,0.514328152209,0.561092666769,0.0,0.6078571813301574,1.4294871794871795,0.701986317732,0.761569416499,100,1560,2230,1043,0.0108499586315,0.353532051282,9.05748070291,7.0
RoseBigL1R03,DiAlign,0.0318440593019,0.00383515439363,0.0178396068477,0.007518796992481203,0.031844059301866005,11.162179487179488,0.701986317732,0.761569416499,100,1560,17413,1043,0.0108499586315,0.353532051282,9.05748070291,7.0
RoseBigL1R03,KAlign,0.183320414107,0.179684498089,0.181502456098,8.35421888053467E-4,0.18332041410684471,1.205128205128205,0.701986317732,0.761569416499,100,1560,1880,1043,0.0108499586315,0.353532051282,9.05748070291,7.0
RoseBigL1R03,Prime,0.928688211085,0.927571405799,0.928129808442,0.08437761069340016,0.928688211084842,1.1346153846153846,0.701986317732,0.761569416499,100,1560,1770,1043,0.0108499586315,0.353532051282,9.05748070291,7.0
RoseBigL1R03,ProbAlign,0.251452370605,0.252800965129,0.252126667867,0.003341687552213868,0.25145237060528824,0.6685897435897435,0.701986317732,0.761569416499,100,1560,1043,1043,0.0108499586315,0.353532051282,9.05748070291,7.0
RoseBigL1R03,DefaultProbCons,0.165678126002,0.156159692637,0.160918909319,0.007518796992481203,0.16567812600197193,1.1224358974358974,0.701986317732,0.761569416499,100,1560,1751,1043,0.0108499586315,0.353532051282,9.05748070291,7.0
RoseBigL1R03,SAPD,0.0498240969372,0.0234970555761,0.0366605762566,0.018379281537176273,0.04982409693716926,5.6826923076923075,0.701986317732,0.761569416499,100,1560,8865,1043,0.0108499586315,0.353532051282,9.05748070291,7.0
RoseBigL1R03,SAPDSum,0.0502087752653,0.0236645676012,0.0369366714333,0.018379281537176273,0.0502087752653311,5.7012820512820515,0.701986317732,0.761569416499,100,1560,8894,1043,0.0108499586315,0.353532051282,9.05748070291,7.0
RoseBigL1R03,SAPDMul,0.0496661338221,0.0238012914428,0.0367337126324,0.005012531328320802,0.04966613382205132,5.6320512820512825,0.701986317732,0.761569416499,100,1560,8786,1043,0.0108499586315,0.353532051282,9.05748070291,7.0
RoseBigL1R03,SparseSAPD,0.0505207694344,0.0237717185822,0.0371462440083,0.018379281537176273,0.05052076943441792,5.708974358974359,0.701986317732,0.761569416499,100,1560,8906,1043,0.0108499586315,0.353532051282,9.05748070291,7.0
RoseBigL1R04,BPPD,0.0324876516683,0.00248476314914,0.0174862074087,0.0,0.032487651668284816,20.108599779492835,0.695097495526,0.750503018109,100,1814,36477,1084,0.0142118293192,0.443169790518,11.2687132044,9.0
RoseBigL1R04,BPMAP,0.961805965708,0.961451984645,0.961628975177,0.3851409052092229,0.9618059657083198,1.0066152149944874,0.695097495526,0.750503018109,100,1814,1826,1084,0.0142118293192,0.443169790518,11.2687132044,9.0
RoseBigL1R04,MAFFT,0.0269257102752,0.0143220311473,0.0206238707113,0.0,0.026925710275222708,2.288864388092613,0.695097495526,0.750503018109,100,1814,4152,1084,0.0142118293192,0.443169790518,11.2687132044,9.0
RoseBigL1R04,Muscle,0.0600452511258,0.0556851104925,0.0578651808092,0.0,0.06004525112580881,0.7971334068357222,0.695097495526,0.750503018109,100,1814,1446,1084,0.0142118293192,0.443169790518,11.2687132044,9.0
RoseBigL1R04,Clustal,0.259801008868,0.222394721679,0.241097865274,0.0,0.2598010088683046,0.87651598676957,0.695097495526,0.750503018109,100,1814,1590,1084,0.0142118293192,0.443169790518,11.2687132044,9.0
RoseBigL1R04,GINSI,0.742545129116,0.68716594574,0.714855537428,0.04611443210930828,0.7425451291160354,0.9983461962513782,0.695097495526,0.750503018109,100,1814,1811,1084,0.0142118293192,0.443169790518,11.2687132044,9.0
RoseBigL1R04,EINSI,0.745045631107,0.690590686652,0.71781815888,0.04099060631938514,0.745045631106638,1.0110253583241455,0.695097495526,0.750503018109,100,1814,1834,1084,0.0142118293192,0.443169790518,11.2687132044,9.0
RoseBigL1R04,LINSI,0.692064750453,0.609617070142,0.650840910298,0.04526046114432109,0.6920647504533411,1.1846747519294376,0.695097495526,0.750503018109,100,1814,2149,1084,0.0142118293192,0.443169790518,11.2687132044,9.0
RoseBigL1R04,DiAlign,0.0334795345299,0.00419693071798,0.0188382326239,0.0,0.033479534529917296,9.307056229327452,0.695097495526,0.750503018109,100,1814,16883,1084,0.0142118293192,0.443169790518,11.2687132044,9.0
RoseBigL1R04,KAlign,0.186368191068,0.183014664708,0.184691427888,8.539709649871904E-4,0.18636819106845862,1.0286659316427784,0.695097495526,0.750503018109,100,1814,1866,1084,0.0142118293192,0.443169790518,11.2687132044,9.0
RoseBigL1R04,Prime,0.8332960843,0.832110598031,0.832703341166,0.05636208368915457,0.8332960843003859,1.1218302094818082,0.695097495526,0.750503018109,100,1814,2035,1084,0.0142118293192,0.443169790518,11.2687132044,9.0
RoseBigL1R04,ProbAlign,0.248074471497,0.249835661129,0.248955066313,0.013663535439795047,0.24807447149702086,0.597574421168688,0.695097495526,0.750503018109,100,1814,1084,1084,0.0142118293192,0.443169790518,11.2687132044,9.0
RoseBigL1R04,DefaultProbCons,0.165969063191,0.150673586483,0.158321324837,0.005977796754910333,0.16596906319105262,1.1460859977949283,0.695097495526,0.750503018109,100,1814,2079,1084,0.0142118293192,0.443169790518,11.2687132044,9.0
