,RoseBigL1R09,RoseBigL1R03,RoseBigL1R04,RoseBigL1R02,RoseBigL1R10,RoseBigL1R08,RoseBigL1R05,RoseBigL1R01,RoseBigL1R07,RoseBigL1R06
1-SPFP,0.0474085570511,0.0498240969372,0.0519348224663,0.0420834291107,0.0643471544949,0.0480206953365,0.0542154156078,0.0508678585311,0.0576118037969,0.0466646406782
1-SPFN,0.0237564331854,0.0234970555761,0.0267180513062,0.0203897193295,0.0300194928614,0.0218863549662,0.026470530354,0.0241666758565,0.0274001312993,0.0218762867238
SP-Score,0.0355824951183,0.0366605762566,0.0393264368862,0.0312365742201,0.0471833236781,0.0349535251513,0.0403429729809,0.0375172671938,0.0425059675481,0.034270463701
TC,0.013769363166953529,0.018379281537176273,0.005977796754910333,0.0,0.023972602739726026,0.013595166163141994,0.0,0.013026819923371647,0.0,0.00880410858400587
Modeler,0.04740855705105083,0.04982409693716926,0.05193482246627011,0.04208342911071279,0.06434715449485301,0.04802069533649326,0.054215415607750186,0.05086785853106181,0.057611803796875506,0.04666464067823503
Compression,4.95372460496614,5.6826923076923075,5.041345093715546,5.179718309859155,5.43326626425218,4.868028713418001,5.547787042976267,5.556470588235294,5.197376267143709,5.0826901874310915
Average Pairwise P-Distance,0.686391081078,0.701986317732,0.695097495526,0.701775939449,0.687312158477,0.693693289354,0.69663855509,0.70012148161,0.689946855716,0.687912503672
Maximum Pairwise P-Distance,0.741935483871,0.761569416499,0.750503018109,0.766364551863,0.753259779338,0.746987951807,0.757271815446,0.757056451613,0.744488977956,0.742393509128
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1772,1560,1814,1775,1491,1811,1559,1700,1677,1814
Estimated Length,8778,8865,9145,9194,8101,8816,8649,9446,8716,9220
Maximum Ungapped Length,1055,1043,1084,1068,1036,1083,1045,1090,1057,1060
Sequence Length Heterogeneity,0.0123432134528,0.0108499586315,0.0142118293192,0.0169456574416,0.0112549969287,0.0173046884171,0.0126842421926,0.0237480399186,0.0152192173276,0.0176174207136
Gappiness Percentage,0.429774266366,0.353532051282,0.443169790518,0.428478873239,0.323393695506,0.432788514633,0.354502886466,0.393052941176,0.393840190817,0.440578831312
Average Gap Length,11.0643614703,9.05748070291,11.2687132044,12.3646561535,8.87338976813,9.957819845,10.0907431075,10.4306899781,9.91398979285,9.87532435438
Median Gap Length,9.0,7.0,9.0,13.0,7.0,7.0,8.0,7.0,8.0,8.0
