,RoseBigL1R09,RoseBigL1R03,RoseBigL1R04,RoseBigL1R02,RoseBigL1R10,RoseBigL1R08,RoseBigL1R05,RoseBigL1R01,RoseBigL1R07,RoseBigL1R06
1-SPFP,0.0468334037133,0.0496661338221,0.0514458941949,0.0410088665743,0.0634349647024,0.046978207859,0.0536723015189,0.0507846378074,0.0552251119056,0.046981240835
1-SPFN,0.0237096242764,0.0238012914428,0.0264051987892,0.0205676298245,0.0296287845059,0.0216728981843,0.0269006419822,0.0242917910216,0.0266093787905,0.022229507024
SP-Score,0.0352715139948,0.0367337126324,0.038925546492,0.0307882481994,0.0465318746042,0.0343255530217,0.0402864717505,0.0375382144145,0.040917245348,0.0346053739295
TC,0.013769363166953529,0.005012531328320802,0.007685738684884714,0.006339144215530904,0.0273972602739726,0.010574018126888218,0.0,0.012260536398467433,0.0,0.012472487160674981
Modeler,0.04683340371325818,0.04966613382205132,0.051445894194919406,0.0410088665742568,0.0634349647024318,0.046978207859007866,0.05367230151890444,0.05078463780739874,0.055225111905595425,0.04698124083496625
Compression,4.948081264108352,5.6320512820512825,5.018743109151047,5.085070422535211,5.395036887994634,4.831584759801215,5.45349583066068,5.526470588235294,5.156231365533691,5.055126791620728
Average Pairwise P-Distance,0.686391081078,0.701986317732,0.695097495526,0.701775939449,0.687312158477,0.693693289354,0.69663855509,0.70012148161,0.689946855716,0.687912503672
Maximum Pairwise P-Distance,0.741935483871,0.761569416499,0.750503018109,0.766364551863,0.753259779338,0.746987951807,0.757271815446,0.757056451613,0.744488977956,0.742393509128
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1772,1560,1814,1775,1491,1811,1559,1700,1677,1814
Estimated Length,8768,8786,9104,9026,8044,8750,8502,9395,8647,9170
Maximum Ungapped Length,1055,1043,1084,1068,1036,1083,1045,1090,1057,1060
Sequence Length Heterogeneity,0.0123432134528,0.0108499586315,0.0142118293192,0.0169456574416,0.0112549969287,0.0173046884171,0.0126842421926,0.0237480399186,0.0152192173276,0.0176174207136
Gappiness Percentage,0.429774266366,0.353532051282,0.443169790518,0.428478873239,0.323393695506,0.432788514633,0.354502886466,0.393052941176,0.393840190817,0.440578831312
Average Gap Length,11.0643614703,9.05748070291,11.2687132044,12.3646561535,8.87338976813,9.957819845,10.0907431075,10.4306899781,9.91398979285,9.87532435438
Median Gap Length,9.0,7.0,9.0,13.0,7.0,7.0,8.0,7.0,8.0,8.0
