,RoseBigL1R09,RoseBigL1R03,RoseBigL1R04,RoseBigL1R02,RoseBigL1R10,RoseBigL1R08,RoseBigL1R05,RoseBigL1R01,RoseBigL1R07,RoseBigL1R06
1-SPFP,0.046925453668,0.0505207694344,0.0515275919616,0.0419750383551,0.0646536486772,0.0466285076085,0.0539651542073,0.0517702131253,0.0560354870622,0.047005958361
1-SPFN,0.0234875352536,0.0237717185822,0.0262163105315,0.0203026912766,0.0299098594483,0.0217508842779,0.0263055866023,0.0240902834239,0.0267363446863,0.0219848135594
SP-Score,0.0352064944608,0.0371462440083,0.0388719512465,0.0311388648159,0.0472817540628,0.0341896959432,0.0401353704048,0.0379302482746,0.0413859158743,0.0344953859602
TC,0.013769363166953529,0.018379281537176273,0.006831767719897523,0.0,0.032534246575342464,0.013595166163141994,0.0,0.014559386973180077,0.0,0.010271460014673514
Modeler,0.04692545366804746,0.05052076943441792,0.05152759196157443,0.04197503835510494,0.06465364867724033,0.04662850760854391,0.05396515420726258,0.05177021312533555,0.056035487062220765,0.04700595836099881
Compression,4.975733634311513,5.708974358974359,5.050165380374862,5.187605633802817,5.421193829644534,4.833241303147433,5.563822963438102,5.5717647058823525,5.181872391174717,5.080485115766263
Average Pairwise P-Distance,0.686391081078,0.701986317732,0.695097495526,0.701775939449,0.687312158477,0.693693289354,0.69663855509,0.70012148161,0.689946855716,0.687912503672
Maximum Pairwise P-Distance,0.741935483871,0.761569416499,0.750503018109,0.766364551863,0.753259779338,0.746987951807,0.757271815446,0.757056451613,0.744488977956,0.742393509128
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1772,1560,1814,1775,1491,1811,1559,1700,1677,1814
Estimated Length,8817,8906,9161,9208,8083,8753,8674,9472,8690,9216
Maximum Ungapped Length,1055,1043,1084,1068,1036,1083,1045,1090,1057,1060
Sequence Length Heterogeneity,0.0123432134528,0.0108499586315,0.0142118293192,0.0169456574416,0.0112549969287,0.0173046884171,0.0126842421926,0.0237480399186,0.0152192173276,0.0176174207136
Gappiness Percentage,0.429774266366,0.353532051282,0.443169790518,0.428478873239,0.323393695506,0.432788514633,0.354502886466,0.393052941176,0.393840190817,0.440578831312
Average Gap Length,11.0643614703,9.05748070291,11.2687132044,12.3646561535,8.87338976813,9.957819845,10.0907431075,10.4306899781,9.91398979285,9.87532435438
Median Gap Length,9.0,7.0,9.0,13.0,7.0,7.0,8.0,7.0,8.0,8.0
