,RoseBigM1R04,RoseBigM1R10,RoseBigM1R07,RoseBigM1R08,RoseBigM1R01,RoseBigM1R09,RoseBigM1R06,RoseBigM1R02,RoseBigM1R05,RoseBigM1R03
1-SPFP,0.936942910403,0.921804344824,0.706562709359,0.937287114848,0.932035803096,0.934747469192,0.941093292656,0.929623681606,0.926377048175,0.931952571419
1-SPFN,0.936771629446,0.922237033274,0.681409748591,0.93658472942,0.93209522949,0.934521311077,0.940723631214,0.929016031862,0.926193813072,0.930506511138
SP-Score,0.936857269925,0.922020689049,0.693986228975,0.936935922134,0.932065516293,0.934634390134,0.940908461935,0.929319856734,0.926285430624,0.931229541278
TC,0.23853211009174313,0.15965732087227413,0.010673234811165846,0.19517709118311982,0.1534136546184739,0.17183570829840739,0.20637450199203186,0.21334431630971992,0.11129296235679215,0.17515638963360142
Modeler,0.9369429104026815,0.9218043448236641,0.706562709359251,0.9372871148482242,0.9320358030955631,0.934747469191822,0.9410932926561107,0.92962368160639,0.9263770481749618,0.9319525714188783
Compression,1.0046082949308757,0.9926586261143157,1.1239577543079489,1.0045845272206304,1.0,1.0,1.004909983633388,0.9872151195108394,1.010532475131656,1.0162885398487493
Average Pairwise P-Distance,0.689079389009,0.697498079023,0.708901797746,0.696056165755,0.694628165,0.695554734713,0.693652958529,0.689785559405,0.693448629067,0.694290436579
Maximum Pairwise P-Distance,0.750756811302,0.74873864783,0.764705882353,0.761133603239,0.765829145729,0.75,0.759146341463,0.745728643216,0.748484848485,0.758375634518
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1736,1907,1799,1745,1802,1638,1833,1799,1709,1719
Estimated Length,1744,1893,2022,1753,1802,1638,1842,1776,1727,1747
Maximum Ungapped Length,1058,1049,1037,1060,1048,1045,1050,1037,1042,1057
Sequence Length Heterogeneity,0.0133370351286,0.0108500567786,0.0108027119851,0.0129664681651,0.0121265744929,0.0119937127628,0.0124218304724,0.00896109397459,0.0099835347603,0.010461595071
Gappiness Percentage,0.415483870968,0.468306240168,0.438160088938,0.418968481375,0.43667036626,0.385567765568,0.446775777414,0.438365758755,0.409836161498,0.414938917976
Average Gap Length,6.35937224475,7.29564578057,6.11378267277,6.27823100043,6.33813934756,5.61237003466,6.45648060549,5.36658727458,5.47880162703,6.82042455536
Median Gap Length,5.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0
