,RoseBigM1R04,RoseBigM1R10,RoseBigM1R07,RoseBigM1R08,RoseBigM1R01,RoseBigM1R09,RoseBigM1R06,RoseBigM1R02,RoseBigM1R05,RoseBigM1R03
1-SPFP,0.0520824521332,0.0261971779772,0.0264154980289,0.0444396864,0.0440603846826,0.0368126626051,0.0472622387134,0.0364273779291,0.0438181851131,0.037081718469
1-SPFN,0.00711229740603,0.00322072644145,0.00338048038212,0.00672751142623,0.00593717225394,0.00460491064201,0.00668309506859,0.00501933370722,0.00591050017722,0.00477941183973
SP-Score,0.0295973747696,0.0147089522093,0.0148979892055,0.0255835989131,0.0249987784683,0.0207087866236,0.026972666891,0.0207233558181,0.0248643426452,0.0209305651544
TC,0.0,0.014018691588785047,0.0,0.0,0.0,0.0,7.968127490039841E-4,0.0,0.0,0.0
Modeler,0.05208245213320926,0.026197177977181185,0.02641549802889674,0.04443968639998276,0.04406038468261574,0.03681266260513368,0.04726223871338245,0.03642737792905991,0.04381818511314349,0.037081718468981936
Compression,9.454493087557603,8.902988987939171,8.914952751528627,8.57077363896848,9.435072142064373,10.340659340659341,8.632296781232952,8.922734852695942,9.263311878291399,9.923211169284468
Average Pairwise P-Distance,0.689079389009,0.697498079023,0.708901797746,0.696056165755,0.694628165,0.695554734713,0.693652958529,0.689785559405,0.693448629067,0.694290436579
Maximum Pairwise P-Distance,0.750756811302,0.74873864783,0.764705882353,0.761133603239,0.765829145729,0.75,0.759146341463,0.745728643216,0.748484848485,0.758375634518
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1736,1907,1799,1745,1802,1638,1833,1799,1709,1719
Estimated Length,16413,16978,16038,14956,17002,16938,15823,16052,15831,17058
Maximum Ungapped Length,1058,1049,1037,1060,1048,1045,1050,1037,1042,1057
Sequence Length Heterogeneity,0.0133370351286,0.0108500567786,0.0108027119851,0.0129664681651,0.0121265744929,0.0119937127628,0.0124218304724,0.00896109397459,0.0099835347603,0.010461595071
Gappiness Percentage,0.415483870968,0.468306240168,0.438160088938,0.418968481375,0.43667036626,0.385567765568,0.446775777414,0.438365758755,0.409836161498,0.414938917976
Average Gap Length,6.35937224475,7.29564578057,6.11378267277,6.27823100043,6.33813934756,5.61237003466,6.45648060549,5.36658727458,5.47880162703,6.82042455536
Median Gap Length,5.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0
