,RoseBigM1R04,RoseBigM1R10,RoseBigM1R07,RoseBigM1R08,RoseBigM1R01,RoseBigM1R09,RoseBigM1R06,RoseBigM1R02,RoseBigM1R05,RoseBigM1R03
1-SPFP,0.758166916798,0.618939651226,0.353599882223,0.594674405131,0.741087728265,0.656334378111,0.625180819543,0.70319188525,0.705023567812,0.711173770807
1-SPFN,0.703178675876,0.53622981966,0.292498803121,0.508030570516,0.705442424821,0.578710449874,0.552123948955,0.648539971765,0.648163803254,0.66494837472
SP-Score,0.730672796337,0.577584735443,0.323049342672,0.551352487824,0.723265076543,0.617522413993,0.588652384249,0.675865928508,0.676593685533,0.688061072764
TC,0.02981651376146789,7.78816199376947E-4,0.0,0.01808590806330068,0.020883534136546186,0.0016764459346186086,0.005577689243027889,0.004942339373970346,0.009819967266775777,0.01876675603217158
Modeler,0.758166916797705,0.6189396512256263,0.3535998822225455,0.5946744051306379,0.7410877282650385,0.6563343781109466,0.6251808195431906,0.7031918852499904,0.7050235678119946,0.7111737708066441
Compression,1.1180875576036866,1.1793392763502883,1.4018899388549193,1.2934097421203439,0.9827968923418424,1.3943833943833943,1.1134751773049645,1.048360200111173,1.0842598010532476,1.0878417684700408
Average Pairwise P-Distance,0.689079389009,0.697498079023,0.708901797746,0.696056165755,0.694628165,0.695554734713,0.693652958529,0.689785559405,0.693448629067,0.694290436579
Maximum Pairwise P-Distance,0.750756811302,0.74873864783,0.764705882353,0.761133603239,0.765829145729,0.75,0.759146341463,0.745728643216,0.748484848485,0.758375634518
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1736,1907,1799,1745,1802,1638,1833,1799,1709,1719
Estimated Length,1941,2249,2522,2257,1771,2284,2041,1886,1853,1870
Maximum Ungapped Length,1058,1049,1037,1060,1048,1045,1050,1037,1042,1057
Sequence Length Heterogeneity,0.0133370351286,0.0108500567786,0.0108027119851,0.0129664681651,0.0121265744929,0.0119937127628,0.0124218304724,0.00896109397459,0.0099835347603,0.010461595071
Gappiness Percentage,0.415483870968,0.468306240168,0.438160088938,0.418968481375,0.43667036626,0.385567765568,0.446775777414,0.438365758755,0.409836161498,0.414938917976
Average Gap Length,6.35937224475,7.29564578057,6.11378267277,6.27823100043,6.33813934756,5.61237003466,6.45648060549,5.36658727458,5.47880162703,6.82042455536
Median Gap Length,5.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0
