,RoseBigM1R04,RoseBigM1R10,RoseBigM1R07,RoseBigM1R08,RoseBigM1R01,RoseBigM1R09,RoseBigM1R06,RoseBigM1R02,RoseBigM1R05,RoseBigM1R03
1-SPFP,0.724262337387,0.543308759168,0.165762724349,0.459826972564,0.581945805046,0.576943129521,0.536293437044,0.614518392841,0.619913953788,0.613304121908
1-SPFN,0.632504210469,0.464649022098,0.110361732243,0.364961939748,0.483343164658,0.482285523196,0.449375000254,0.513460718324,0.538601280082,0.532616496378
SP-Score,0.678383273928,0.503978890633,0.138062228296,0.412394456156,0.532644484852,0.529614326359,0.492834218649,0.563989555583,0.579257616935,0.572960309143
TC,0.0022935779816513763,0.0,0.0,0.0,8.032128514056225E-4,0.0,0.0,0.0,0.010638297872340425,0.0
Modeler,0.7242623373874685,0.5433087591677921,0.16576272434874414,0.45982697256439214,0.5819458050459293,0.5769431295208535,0.5362934370436724,0.6145183928407413,0.6199139537882606,0.6133041219078876
Compression,1.2862903225806452,1.2197168327215522,1.8732629238465814,1.5340974212034384,1.36015538290788,1.42002442002442,1.3726132024004365,1.255141745414119,1.3247513165593914,1.356020942408377
Average Pairwise P-Distance,0.689079389009,0.697498079023,0.708901797746,0.696056165755,0.694628165,0.695554734713,0.693652958529,0.689785559405,0.693448629067,0.694290436579
Maximum Pairwise P-Distance,0.750756811302,0.74873864783,0.764705882353,0.761133603239,0.765829145729,0.75,0.759146341463,0.745728643216,0.748484848485,0.758375634518
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1736,1907,1799,1745,1802,1638,1833,1799,1709,1719
Estimated Length,2233,2326,3370,2677,2451,2326,2516,2258,2264,2331
Maximum Ungapped Length,1058,1049,1037,1060,1048,1045,1050,1037,1042,1057
Sequence Length Heterogeneity,0.0133370351286,0.0108500567786,0.0108027119851,0.0129664681651,0.0121265744929,0.0119937127628,0.0124218304724,0.00896109397459,0.0099835347603,0.010461595071
Gappiness Percentage,0.415483870968,0.468306240168,0.438160088938,0.418968481375,0.43667036626,0.385567765568,0.446775777414,0.438365758755,0.409836161498,0.414938917976
Average Gap Length,6.35937224475,7.29564578057,6.11378267277,6.27823100043,6.33813934756,5.61237003466,6.45648060549,5.36658727458,5.47880162703,6.82042455536
Median Gap Length,5.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0
